Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.69,8.72
01-Jul-20,12:30:00 AM,8.14,8.17
01-Jul-20,1:00:00 AM,7.57,7.61
01-Jul-20,1:30:00 AM,7.19,7.23
01-Jul-20,2:00:00 AM,7.00,7.05
01-Jul-20,2:30:00 AM,6.82,6.86
01-Jul-20,3:00:00 AM,6.79,6.84
01-Jul-20,3:30:00 AM,6.86,6.90
01-Jul-20,4:00:00 AM,7.14,7.17
01-Jul-20,4:30:00 AM,7.57,7.59
01-Jul-20,5:00:00 AM,8.38,8.40
01-Jul-20,5:30:00 AM,9.13,9.15
01-Jul-20,6:00:00 AM,10.25,10.26
01-Jul-20,6:30:00 AM,11.79,11.80
01-Jul-20,7:00:00 AM,13.20,13.21
01-Jul-20,7:30:00 AM,14.02,14.02
01-Jul-20,8:00:00 AM,14.26,14.26
01-Jul-20,8:30:00 AM,13.96,13.96
01-Jul-20,9:00:00 AM,12.86,12.86
01-Jul-20,9:30:00 AM,10.86,10.86
01-Jul-20,10:00:00 AM,9.14,9.15
01-Jul-20,10:30:00 AM,8.45,8.45
01-Jul-20,11:00:00 AM,7.79,7.79
01-Jul-20,11:30:00 AM,7.26,7.26
01-Jul-20,12:00:00 PM,7.24,7.25
01-Jul-20,12:30:00 PM,7.01,7.01
01-Jul-20,1:00:00 PM,7.46,7.46
01-Jul-20,1:30:00 PM,9.02,9.02
01-Jul-20,2:00:00 PM,9.03,9.03
01-Jul-20,2:30:00 PM,10.63,10.63
01-Jul-20,3:00:00 PM,10.85,10.85
01-Jul-20,3:30:00 PM,12.03,12.04
01-Jul-20,4:00:00 PM,12.76,12.76
01-Jul-20,4:30:00 PM,14.49,14.49
01-Jul-20,5:00:00 PM,16.41,16.41
01-Jul-20,5:30:00 PM,18.39,18.39
01-Jul-20,6:00:00 PM,18.93,18.94
01-Jul-20,6:30:00 PM,18.92,18.92
01-Jul-20,7:00:00 PM,17.77,17.77
01-Jul-20,7:30:00 PM,17.33,17.33
01-Jul-20,8:00:00 PM,16.64,16.64
01-Jul-20,8:30:00 PM,15.86,15.86
