Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.81,9.86
01-Jul-20,12:30:00 AM,9.21,9.26
01-Jul-20,1:00:00 AM,8.66,8.71
01-Jul-20,1:30:00 AM,8.34,8.40
01-Jul-20,2:00:00 AM,8.19,8.26
01-Jul-20,2:30:00 AM,8.04,8.10
01-Jul-20,3:00:00 AM,8.04,8.10
01-Jul-20,3:30:00 AM,8.16,8.22
01-Jul-20,4:00:00 AM,8.32,8.37
01-Jul-20,4:30:00 AM,8.87,8.92
01-Jul-20,5:00:00 AM,9.57,9.60
01-Jul-20,5:30:00 AM,10.16,10.19
01-Jul-20,6:00:00 AM,10.99,11.01
01-Jul-20,6:30:00 AM,11.59,11.62
01-Jul-20,7:00:00 AM,11.91,11.94
01-Jul-20,7:30:00 AM,10.93,10.96
01-Jul-20,8:00:00 AM,10.03,10.04
01-Jul-20,8:30:00 AM,8.31,8.32
01-Jul-20,9:00:00 AM,6.64,6.64
01-Jul-20,9:30:00 AM,4.78,4.79
01-Jul-20,10:00:00 AM,3.49,3.49
01-Jul-20,10:30:00 AM,2.91,2.92
01-Jul-20,11:00:00 AM,3.03,3.04
01-Jul-20,11:30:00 AM,3.18,3.19
01-Jul-20,12:00:00 PM,2.33,2.33
01-Jul-20,12:30:00 PM,1.84,1.84
01-Jul-20,1:00:00 PM,2.61,2.61
01-Jul-20,1:30:00 PM,4.59,4.61
01-Jul-20,2:00:00 PM,7.06,7.08
01-Jul-20,2:30:00 PM,7.79,7.82
01-Jul-20,3:00:00 PM,8.24,8.27
01-Jul-20,3:30:00 PM,8.68,8.72
01-Jul-20,4:00:00 PM,10.15,10.18
01-Jul-20,4:30:00 PM,12.24,12.27
01-Jul-20,5:00:00 PM,14.22,14.24
01-Jul-20,5:30:00 PM,15.89,15.90
01-Jul-20,6:00:00 PM,16.25,16.25
01-Jul-20,6:30:00 PM,16.31,16.31
01-Jul-20,7:00:00 PM,16.23,16.23
01-Jul-20,7:30:00 PM,16.04,16.04
01-Jul-20,8:00:00 PM,16.23,16.23
01-Jul-20,8:30:00 PM,15.38,15.39
01-Jul-20,9:00:00 PM,14.61,14.62
01-Jul-20,9:30:00 PM,13.95,13.97
01-Jul-20,10:00:00 PM,13.19,13.21
01-Jul-20,10:30:00 PM,13.33,13.35
01-Jul-20,11:00:00 PM,12.26,12.29
01-Jul-20,11:30:00 PM,11.05,11.09
02-Jul-20,12:00:00 AM,9.95,10.00
02-Jul-20,12:30:00 AM,9.14,9.19
02-Jul-20,1:00:00 AM,8.60,8.66
02-Jul-20,1:30:00 AM,8.33,8.39
02-Jul-20,2:00:00 AM,8.13,8.20
02-Jul-20,2:30:00 AM,7.96,8.03
02-Jul-20,3:00:00 AM,7.93,8.00
02-Jul-20,3:30:00 AM,7.92,7.99
02-Jul-20,4:00:00 AM,8.29,8.35
02-Jul-20,4:30:00 AM,8.80,8.85
02-Jul-20,5:00:00 AM,9.67,9.71
02-Jul-20,5:30:00 AM,10.67,10.69
02-Jul-20,6:00:00 AM,11.59,11.61
02-Jul-20,6:30:00 AM,12.23,12.25
02-Jul-20,7:00:00 AM,12.05,12.07
02-Jul-20,7:30:00 AM,11.00,11.02
02-Jul-20,8:00:00 AM,9.58,9.60
02-Jul-20,8:30:00 AM,7.83,7.84
02-Jul-20,9:00:00 AM,5.87,5.88
02-Jul-20,9:30:00 AM,7.27,7.29
02-Jul-20,10:00:00 AM,6.16,6.18
02-Jul-20,10:30:00 AM,2.62,2.64
02-Jul-20,11:00:00 AM,1.39,1.40
02-Jul-20,11:30:00 AM,1.14,1.14
02-Jul-20,12:00:00 PM,1.70,1.70
02-Jul-20,12:30:00 PM,2.15,2.15
02-Jul-20,1:00:00 PM,4.47,4.48
02-Jul-20,1:30:00 PM,3.11,3.12
02-Jul-20,2:00:00 PM,5.67,5.69
02-Jul-20,2:30:00 PM,4.90,4.92
02-Jul-20,3:00:00 PM,6.87,6.89
02-Jul-20,3:30:00 PM,8.59,8.61
02-Jul-20,4:00:00 PM,10.58,10.60
02-Jul-20,4:30:00 PM,12.50,12.52
02-Jul-20,5:00:00 PM,14.17,14.19
02-Jul-20,5:30:00 PM,15.86,15.86
02-Jul-20,6:00:00 PM,16.15,16.15
02-Jul-20,6:30:00 PM,15.90,15.90
02-Jul-20,7:00:00 PM,15.46,15.47
02-Jul-20,7:30:00 PM,15.21,15.22
02-Jul-20,8:00:00 PM,15.56,15.56
02-Jul-20,8:30:00 PM,14.92,14.93
02-Jul-20,9:00:00 PM,14.26,14.27
02-Jul-20,9:30:00 PM,13.51,13.53
02-Jul-20,10:00:00 PM,12.82,12.85
02-Jul-20,10:30:00 PM,13.18,13.21
02-Jul-20,11:00:00 PM,12.09,12.12
02-Jul-20,11:30:00 PM,10.91,10.95
03-Jul-20,12:00:00 AM,9.75,9.80
03-Jul-20,12:30:00 AM,9.07,9.12
03-Jul-20,1:00:00 AM,8.62,8.68
03-Jul-20,1:30:00 AM,8.28,8.35
03-Jul-20,2:00:00 AM,8.08,8.14
03-Jul-20,2:30:00 AM,7.99,8.05
03-Jul-20,3:00:00 AM,8.00,8.07
03-Jul-20,3:30:00 AM,7.99,8.06
03-Jul-20,4:00:00 AM,8.31,8.37
03-Jul-20,4:30:00 AM,8.72,8.78
03-Jul-20,5:00:00 AM,9.40,9.45
03-Jul-20,5:30:00 AM,10.17,10.21
03-Jul-20,6:00:00 AM,11.19,11.21
03-Jul-20,6:30:00 AM,12.03,12.06
03-Jul-20,7:00:00 AM,12.39,12.41
03-Jul-20,7:30:00 AM,11.63,11.65
03-Jul-20,8:00:00 AM,10.22,10.23
03-Jul-20,8:30:00 AM,8.63,8.64
03-Jul-20,9:00:00 AM,6.96,6.96
03-Jul-20,9:30:00 AM,5.03,5.04
03-Jul-20,10:00:00 AM,3.78,3.78
03-Jul-20,10:30:00 AM,2.77,2.77
