Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,10.90,11.13
01-Jul-20,12:30:00 AM,10.61,10.78
01-Jul-20,1:00:00 AM,10.33,10.48
01-Jul-20,1:30:00 AM,10.26,10.39
01-Jul-20,2:00:00 AM,9.94,10.03
01-Jul-20,2:30:00 AM,9.69,9.76
01-Jul-20,3:00:00 AM,9.69,9.75
01-Jul-20,3:30:00 AM,10.03,10.11
01-Jul-20,4:00:00 AM,10.13,10.23
01-Jul-20,4:30:00 AM,10.37,10.49
01-Jul-20,5:00:00 AM,10.95,11.07
01-Jul-20,5:30:00 AM,11.42,11.56
01-Jul-20,6:00:00 AM,12.26,12.43
01-Jul-20,6:30:00 AM,13.21,13.45
01-Jul-20,7:00:00 AM,13.68,13.96
01-Jul-20,7:30:00 AM,13.93,14.19
01-Jul-20,8:00:00 AM,14.22,14.51
01-Jul-20,8:30:00 AM,13.95,14.31
01-Jul-20,9:00:00 AM,13.85,14.23
01-Jul-20,9:30:00 AM,13.74,14.12
01-Jul-20,10:00:00 AM,13.52,13.94
01-Jul-20,10:30:00 AM,13.75,14.21
01-Jul-20,11:00:00 AM,13.54,13.97
01-Jul-20,11:30:00 AM,13.68,14.12
01-Jul-20,12:00:00 PM,14.10,14.59
01-Jul-20,12:30:00 PM,13.77,14.27
01-Jul-20,1:00:00 PM,13.95,14.41
01-Jul-20,1:30:00 PM,14.18,14.62
01-Jul-20,2:00:00 PM,13.98,14.38
01-Jul-20,2:30:00 PM,14.33,14.75
01-Jul-20,3:00:00 PM,13.79,14.14
01-Jul-20,3:30:00 PM,13.69,13.98
01-Jul-20,4:00:00 PM,13.54,13.81
01-Jul-20,4:30:00 PM,13.28,13.51
01-Jul-20,5:00:00 PM,13.62,13.87
01-Jul-20,5:30:00 PM,13.64,13.88
01-Jul-20,6:00:00 PM,13.30,13.51
01-Jul-20,6:30:00 PM,13.40,13.62
01-Jul-20,7:00:00 PM,13.20,13.41
01-Jul-20,7:30:00 PM,13.05,13.25
01-Jul-20,8:00:00 PM,12.72,12.94
01-Jul-20,8:30:00 PM,12.02,12.18
01-Jul-20,9:00:00 PM,12.18,12.40
01-Jul-20,9:30:00 PM,11.91,12.11
01-Jul-20,10:00:00 PM,11.64,11.80
01-Jul-20,10:30:00 PM,11.20,11.33
01-Jul-20,11:00:00 PM,10.94,11.10
01-Jul-20,11:30:00 PM,10.18,10.27
02-Jul-20,12:00:00 AM,9.81,9.89
02-Jul-20,12:30:00 AM,9.98,10.11
02-Jul-20,1:00:00 AM,9.99,10.13
02-Jul-20,1:30:00 AM,10.00,10.14
02-Jul-20,2:00:00 AM,9.72,9.83
02-Jul-20,2:30:00 AM,9.56,9.67
02-Jul-20,3:00:00 AM,9.97,10.10
02-Jul-20,3:30:00 AM,10.08,10.16
02-Jul-20,4:00:00 AM,10.13,10.24
02-Jul-20,4:30:00 AM,10.32,10.44
02-Jul-20,5:00:00 AM,10.94,11.06
02-Jul-20,5:30:00 AM,11.74,11.89
02-Jul-20,6:00:00 AM,12.61,12.82
02-Jul-20,6:30:00 AM,13.70,13.97
02-Jul-20,7:00:00 AM,14.20,14.50
02-Jul-20,7:30:00 AM,14.71,15.04
02-Jul-20,8:00:00 AM,14.31,14.67
02-Jul-20,8:30:00 AM,14.87,15.28
02-Jul-20,9:00:00 AM,14.89,15.36
02-Jul-20,9:30:00 AM,14.67,15.13
02-Jul-20,10:00:00 AM,14.75,15.22
02-Jul-20,10:30:00 AM,14.53,15.05
02-Jul-20,11:00:00 AM,14.34,14.83
02-Jul-20,11:30:00 AM,14.37,14.88
02-Jul-20,12:00:00 PM,14.83,15.34
02-Jul-20,12:30:00 PM,14.62,15.10
02-Jul-20,1:00:00 PM,14.41,14.87
02-Jul-20,1:30:00 PM,14.75,15.29
02-Jul-20,2:00:00 PM,14.59,15.08
02-Jul-20,2:30:00 PM,14.82,15.38
02-Jul-20,3:00:00 PM,14.65,15.12
02-Jul-20,3:30:00 PM,14.64,15.06
02-Jul-20,4:00:00 PM,14.11,14.49
02-Jul-20,4:30:00 PM,13.99,14.29
02-Jul-20,5:00:00 PM,14.14,14.44
02-Jul-20,5:30:00 PM,14.29,14.60
02-Jul-20,6:00:00 PM,14.10,14.41
02-Jul-20,6:30:00 PM,13.97,14.23
02-Jul-20,7:00:00 PM,13.82,14.08
02-Jul-20,7:30:00 PM,13.56,13.83
02-Jul-20,8:00:00 PM,13.39,13.68
02-Jul-20,8:30:00 PM,12.63,12.89
02-Jul-20,9:00:00 PM,12.48,12.78
02-Jul-20,9:30:00 PM,12.43,12.69
02-Jul-20,10:00:00 PM,12.46,12.76
02-Jul-20,10:30:00 PM,11.17,11.31
02-Jul-20,11:00:00 PM,10.91,11.09
02-Jul-20,11:30:00 PM,10.65,10.82
03-Jul-20,12:00:00 AM,9.74,9.83
03-Jul-20,12:30:00 AM,9.93,10.11
03-Jul-20,1:00:00 AM,10.04,10.23
03-Jul-20,1:30:00 AM,9.52,9.66
03-Jul-20,2:00:00 AM,9.72,9.89
03-Jul-20,2:30:00 AM,9.98,10.12
03-Jul-20,3:00:00 AM,9.89,9.96
03-Jul-20,3:30:00 AM,10.19,10.30
03-Jul-20,4:00:00 AM,10.14,10.23
03-Jul-20,4:30:00 AM,10.17,10.27
03-Jul-20,5:00:00 AM,10.62,10.74
03-Jul-20,5:30:00 AM,11.25,11.40
03-Jul-20,6:00:00 AM,11.87,12.06
03-Jul-20,6:30:00 AM,12.68,12.90
03-Jul-20,7:00:00 AM,13.48,13.75
03-Jul-20,7:30:00 AM,13.58,13.84
03-Jul-20,8:00:00 AM,13.53,13.82
03-Jul-20,8:30:00 AM,13.50,13.81
03-Jul-20,9:00:00 AM,13.72,14.10
03-Jul-20,9:30:00 AM,13.44,13.80
03-Jul-20,10:00:00 AM,13.34,13.70
03-Jul-20,10:30:00 AM,13.33,13.73
03-Jul-20,11:00:00 AM,13.67,14.09
03-Jul-20,11:30:00 AM,13.82,14.25
03-Jul-20,12:00:00 PM,13.85,14.40
03-Jul-20,12:30:00 PM,13.62,14.07
03-Jul-20,1:00:00 PM,13.37,13.76
03-Jul-20,1:30:00 PM,13.57,13.98
03-Jul-20,2:00:00 PM,13.46,13.86
03-Jul-20,2:30:00 PM,13.54,13.94
03-Jul-20,3:00:00 PM,13.56,13.92
03-Jul-20,3:30:00 PM,13.21,13.50
03-Jul-20,4:00:00 PM,12.94,13.20
03-Jul-20,4:30:00 PM,12.79,13.04
03-Jul-20,5:00:00 PM,12.88,13.10
03-Jul-20,5:30:00 PM,12.94,13.18
03-Jul-20,6:00:00 PM,12.69,12.93
03-Jul-20,6:30:00 PM,12.47,12.70
03-Jul-20,7:00:00 PM,12.41,12.64
03-Jul-20,7:30:00 PM,12.52,12.77
03-Jul-20,8:00:00 PM,12.08,12.25
03-Jul-20,8:30:00 PM,11.87,12.09
03-Jul-20,9:00:00 PM,11.60,11.85
03-Jul-20,9:30:00 PM,11.75,11.94
03-Jul-20,10:00:00 PM,11.41,11.55
03-Jul-20,10:30:00 PM,11.05,11.28
03-Jul-20,11:00:00 PM,10.72,10.89
03-Jul-20,11:30:00 PM,9.92,10.05
04-Jul-20,12:00:00 AM,10.20,10.37
04-Jul-20,12:30:00 AM,9.77,9.93
04-Jul-20,1:00:00 AM,8.96,9.03
04-Jul-20,1:30:00 AM,8.67,8.70
04-Jul-20,2:00:00 AM,8.33,8.36
04-Jul-20,2:30:00 AM,8.09,8.10
04-Jul-20,3:00:00 AM,7.97,7.98
04-Jul-20,3:30:00 AM,7.90,7.91
04-Jul-20,4:00:00 AM,7.82,7.84
04-Jul-20,4:30:00 AM,7.83,7.84
04-Jul-20,5:00:00 AM,8.06,8.07
04-Jul-20,5:30:00 AM,8.00,8.01
04-Jul-20,6:00:00 AM,7.84,7.84
04-Jul-20,6:30:00 AM,7.82,7.83
04-Jul-20,7:00:00 AM,8.00,8.01
04-Jul-20,7:30:00 AM,7.79,7.80
04-Jul-20,8:00:00 AM,7.79,7.80
04-Jul-20,8:30:00 AM,7.77,7.78
04-Jul-20,9:00:00 AM,7.51,7.51
04-Jul-20,9:30:00 AM,7.53,7.54
04-Jul-20,10:00:00 AM,7.25,7.27
04-Jul-20,10:30:00 AM,7.23,7.25
04-Jul-20,11:00:00 AM,7.17,7.18
04-Jul-20,11:30:00 AM,7.16,7.19
04-Jul-20,12:00:00 PM,7.14,7.16
04-Jul-20,12:30:00 PM,7.04,7.06
04-Jul-20,1:00:00 PM,7.10,7.12
04-Jul-20,1:30:00 PM,7.38,7.41
04-Jul-20,2:00:00 PM,7.66,7.69
04-Jul-20,2:30:00 PM,8.04,8.07
04-Jul-20,3:00:00 PM,8.30,8.34
04-Jul-20,3:30:00 PM,8.39,8.42
04-Jul-20,4:00:00 PM,8.39,8.41
04-Jul-20,4:30:00 PM,8.79,8.81
04-Jul-20,5:00:00 PM,9.19,9.21
04-Jul-20,5:30:00 PM,9.46,9.49
04-Jul-20,6:00:00 PM,9.38,9.41
04-Jul-20,6:30:00 PM,9.44,9.47
04-Jul-20,7:00:00 PM,9.55,9.59
04-Jul-20,7:30:00 PM,10.04,10.12
04-Jul-20,8:00:00 PM,9.76,9.79
04-Jul-20,8:30:00 PM,9.53,9.60
04-Jul-20,9:00:00 PM,9.37,9.44
04-Jul-20,9:30:00 PM,9.55,9.61
04-Jul-20,10:00:00 PM,9.60,9.64
04-Jul-20,10:30:00 PM,8.46,8.47
04-Jul-20,11:00:00 PM,8.63,8.67
04-Jul-20,11:30:00 PM,8.96,9.00
05-Jul-20,12:00:00 AM,8.44,8.47
05-Jul-20,12:30:00 AM,8.20,8.23
05-Jul-20,1:00:00 AM,8.38,8.42
05-Jul-20,1:30:00 AM,7.60,7.60
05-Jul-20,2:00:00 AM,7.37,7.37
05-Jul-20,2:30:00 AM,7.18,7.19
05-Jul-20,3:00:00 AM,7.22,7.22
05-Jul-20,3:30:00 AM,7.20,7.21
05-Jul-20,4:00:00 AM,7.30,7.31
05-Jul-20,4:30:00 AM,7.20,7.20
05-Jul-20,5:00:00 AM,7.32,7.33
05-Jul-20,5:30:00 AM,7.39,7.39
05-Jul-20,6:00:00 AM,7.53,7.53
05-Jul-20,6:30:00 AM,7.56,7.56
05-Jul-20,7:00:00 AM,7.76,7.76
05-Jul-20,7:30:00 AM,7.68,7.69
05-Jul-20,8:00:00 AM,7.86,7.87
05-Jul-20,8:30:00 AM,7.94,7.95
05-Jul-20,9:00:00 AM,7.93,7.94
05-Jul-20,9:30:00 AM,7.82,7.83
05-Jul-20,10:00:00 AM,7.58,7.59
05-Jul-20,10:30:00 AM,7.31,7.33
05-Jul-20,11:00:00 AM,7.21,7.22
05-Jul-20,11:30:00 AM,7.36,7.37
05-Jul-20,12:00:00 PM,7.24,7.26
05-Jul-20,12:30:00 PM,7.65,7.67
05-Jul-20,1:00:00 PM,7.49,7.52
05-Jul-20,1:30:00 PM,7.61,7.64
05-Jul-20,2:00:00 PM,7.71,7.73
05-Jul-20,2:30:00 PM,7.86,7.88
05-Jul-20,3:00:00 PM,7.98,7.99
05-Jul-20,3:30:00 PM,8.17,8.19
05-Jul-20,4:00:00 PM,8.09,8.10
05-Jul-20,4:30:00 PM,8.38,8.39
05-Jul-20,5:00:00 PM,9.16,9.18
05-Jul-20,5:30:00 PM,9.37,9.40
05-Jul-20,6:00:00 PM,9.32,9.34
05-Jul-20,6:30:00 PM,9.36,9.37
05-Jul-20,7:00:00 PM,9.25,9.26
05-Jul-20,7:30:00 PM,9.26,9.29
05-Jul-20,8:00:00 PM,9.38,9.42
05-Jul-20,8:30:00 PM,9.18,9.21
05-Jul-20,9:00:00 PM,9.27,9.32
05-Jul-20,9:30:00 PM,9.20,9.24
05-Jul-20,10:00:00 PM,9.10,9.12
05-Jul-20,10:30:00 PM,8.70,8.72
05-Jul-20,11:00:00 PM,8.85,8.92
05-Jul-20,11:30:00 PM,8.59,8.63
06-Jul-20,12:00:00 AM,8.45,8.49
06-Jul-20,12:30:00 AM,8.39,8.45
06-Jul-20,1:00:00 AM,8.57,8.62
06-Jul-20,1:30:00 AM,8.69,8.74
06-Jul-20,2:00:00 AM,8.78,8.83
06-Jul-20,2:30:00 AM,8.54,8.58
06-Jul-20,3:00:00 AM,9.05,9.11
06-Jul-20,3:30:00 AM,9.25,9.30
06-Jul-20,4:00:00 AM,9.45,9.52
06-Jul-20,4:30:00 AM,9.41,9.49
06-Jul-20,5:00:00 AM,9.97,10.05
06-Jul-20,5:30:00 AM,10.73,10.83
