Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.20,7.22
01-Jul-20,12:30:00 AM,6.93,6.95
01-Jul-20,1:00:00 AM,6.73,6.76
01-Jul-20,1:30:00 AM,6.85,6.88
01-Jul-20,2:00:00 AM,6.50,6.53
01-Jul-20,2:30:00 AM,6.36,6.39
01-Jul-20,3:00:00 AM,6.57,6.58
01-Jul-20,3:30:00 AM,6.56,6.57
01-Jul-20,4:00:00 AM,6.90,6.91
01-Jul-20,4:30:00 AM,7.37,7.37
01-Jul-20,5:00:00 AM,8.07,8.08
01-Jul-20,5:30:00 AM,8.62,8.63
01-Jul-20,6:00:00 AM,9.77,9.78
01-Jul-20,6:30:00 AM,10.75,10.75
01-Jul-20,7:00:00 AM,11.77,11.77
01-Jul-20,7:30:00 AM,11.94,11.94
01-Jul-20,8:00:00 AM,11.64,11.64
01-Jul-20,8:30:00 AM,10.81,10.82
01-Jul-20,9:00:00 AM,10.04,10.05
01-Jul-20,9:30:00 AM,9.51,9.52
01-Jul-20,10:00:00 AM,8.94,8.96
01-Jul-20,10:30:00 AM,8.56,8.57
01-Jul-20,11:00:00 AM,8.46,8.48
01-Jul-20,11:30:00 AM,8.60,8.62
01-Jul-20,12:00:00 PM,9.90,9.91
01-Jul-20,12:30:00 PM,10.46,10.48
01-Jul-20,1:00:00 PM,9.30,9.32
01-Jul-20,1:30:00 PM,8.49,8.51
01-Jul-20,2:00:00 PM,9.74,9.76
01-Jul-20,2:30:00 PM,10.87,10.89
01-Jul-20,3:00:00 PM,10.80,10.82
01-Jul-20,3:30:00 PM,10.36,10.37
01-Jul-20,4:00:00 PM,10.91,10.95
01-Jul-20,4:30:00 PM,12.27,12.27
01-Jul-20,5:00:00 PM,12.94,12.94
01-Jul-20,5:30:00 PM,14.22,14.24
01-Jul-20,6:00:00 PM,14.52,14.55
01-Jul-20,6:30:00 PM,14.79,14.82
01-Jul-20,7:00:00 PM,14.60,14.61
01-Jul-20,7:30:00 PM,13.51,13.52
01-Jul-20,8:00:00 PM,13.47,13.47
01-Jul-20,8:30:00 PM,13.15,13.15
01-Jul-20,9:00:00 PM,11.94,11.95
01-Jul-20,9:30:00 PM,11.72,11.73
01-Jul-20,10:00:00 PM,10.91,10.91
01-Jul-20,10:30:00 PM,9.56,9.57
01-Jul-20,11:00:00 PM,8.88,8.89
01-Jul-20,11:30:00 PM,8.32,8.32
02-Jul-20,12:00:00 AM,7.64,7.65
02-Jul-20,12:30:00 AM,7.49,7.50
02-Jul-20,1:00:00 AM,6.89,6.90
02-Jul-20,1:30:00 AM,6.86,6.86
02-Jul-20,2:00:00 AM,6.66,6.68
02-Jul-20,2:30:00 AM,6.51,6.52
02-Jul-20,3:00:00 AM,6.41,6.42
02-Jul-20,3:30:00 AM,6.67,6.67
02-Jul-20,4:00:00 AM,6.86,6.89
02-Jul-20,4:30:00 AM,7.24,7.29
02-Jul-20,5:00:00 AM,7.97,7.99
02-Jul-20,5:30:00 AM,8.94,8.94
02-Jul-20,6:00:00 AM,10.25,10.25
02-Jul-20,6:30:00 AM,11.44,11.44
02-Jul-20,7:00:00 AM,12.32,12.32
02-Jul-20,7:30:00 AM,12.16,12.17
02-Jul-20,8:00:00 AM,11.20,11.21
02-Jul-20,8:30:00 AM,11.24,11.25
02-Jul-20,9:00:00 AM,10.52,10.54
02-Jul-20,9:30:00 AM,9.99,10.03
02-Jul-20,10:00:00 AM,9.41,9.43
02-Jul-20,10:30:00 AM,9.74,9.75
02-Jul-20,11:00:00 AM,8.92,8.94
02-Jul-20,11:30:00 AM,8.26,8.28
02-Jul-20,12:00:00 PM,9.48,9.49
02-Jul-20,12:30:00 PM,9.77,9.79
02-Jul-20,1:00:00 PM,9.67,9.68
02-Jul-20,1:30:00 PM,8.45,8.48
02-Jul-20,2:00:00 PM,8.79,8.81
02-Jul-20,2:30:00 PM,9.59,9.60
02-Jul-20,3:00:00 PM,9.87,9.88
02-Jul-20,3:30:00 PM,10.14,10.17
02-Jul-20,4:00:00 PM,11.02,11.05
02-Jul-20,4:30:00 PM,12.13,12.14
02-Jul-20,5:00:00 PM,13.03,13.04
02-Jul-20,5:30:00 PM,13.64,13.67
02-Jul-20,6:00:00 PM,14.37,14.40
02-Jul-20,6:30:00 PM,14.52,14.54
02-Jul-20,7:00:00 PM,14.00,14.01
02-Jul-20,7:30:00 PM,13.61,13.63
02-Jul-20,8:00:00 PM,13.45,13.48
02-Jul-20,8:30:00 PM,12.82,12.83
02-Jul-20,9:00:00 PM,11.80,11.81
02-Jul-20,9:30:00 PM,11.34,11.34
02-Jul-20,10:00:00 PM,10.72,10.72
02-Jul-20,10:30:00 PM,9.63,9.63
02-Jul-20,11:00:00 PM,8.83,8.83
