Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.56,8.60
01-Jul-20,12:30:00 AM,7.55,7.61
01-Jul-20,1:00:00 AM,6.78,6.85
01-Jul-20,1:30:00 AM,6.23,6.30
01-Jul-20,2:00:00 AM,6.00,6.09
01-Jul-20,2:30:00 AM,5.84,5.92
01-Jul-20,3:00:00 AM,5.80,5.89
01-Jul-20,3:30:00 AM,5.83,5.92
01-Jul-20,4:00:00 AM,6.07,6.15
01-Jul-20,4:30:00 AM,6.57,6.63
01-Jul-20,5:00:00 AM,7.09,7.14
01-Jul-20,5:30:00 AM,7.98,8.03
01-Jul-20,6:00:00 AM,9.00,9.03
01-Jul-20,6:30:00 AM,10.17,10.20
01-Jul-20,7:00:00 AM,11.13,11.15
01-Jul-20,7:30:00 AM,11.69,11.71
01-Jul-20,8:00:00 AM,11.42,11.43
01-Jul-20,8:30:00 AM,11.17,11.18
01-Jul-20,9:00:00 AM,10.46,10.47
01-Jul-20,9:30:00 AM,8.14,8.14
01-Jul-20,10:00:00 AM,6.50,6.51
01-Jul-20,10:30:00 AM,5.82,5.83
01-Jul-20,11:00:00 AM,4.98,4.99
01-Jul-20,11:30:00 AM,4.65,4.66
01-Jul-20,12:00:00 PM,4.53,4.54
01-Jul-20,12:30:00 PM,5.06,5.07
01-Jul-20,1:00:00 PM,4.93,4.95
01-Jul-20,1:30:00 PM,5.67,5.68
01-Jul-20,2:00:00 PM,7.02,7.03
01-Jul-20,2:30:00 PM,8.57,8.58
01-Jul-20,3:00:00 PM,8.84,8.86
01-Jul-20,3:30:00 PM,9.82,9.83
01-Jul-20,4:00:00 PM,10.42,10.43
01-Jul-20,4:30:00 PM,11.89,11.90
01-Jul-20,5:00:00 PM,13.80,13.80
01-Jul-20,5:30:00 PM,15.30,15.30
01-Jul-20,6:00:00 PM,15.34,15.35
01-Jul-20,6:30:00 PM,15.41,15.41
01-Jul-20,7:00:00 PM,14.75,14.75
01-Jul-20,7:30:00 PM,14.66,14.66
01-Jul-20,8:00:00 PM,14.31,14.31
01-Jul-20,8:30:00 PM,13.31,13.32
01-Jul-20,9:00:00 PM,12.24,12.25
01-Jul-20,9:30:00 PM,11.53,11.54
01-Jul-20,10:00:00 PM,12.06,12.08
01-Jul-20,10:30:00 PM,11.60,11.62
