Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.68,9.76
01-Jul-20,12:30:00 AM,8.65,8.76
01-Jul-20,1:00:00 AM,8.11,8.22
01-Jul-20,1:30:00 AM,7.80,7.91
01-Jul-20,2:00:00 AM,7.35,7.48
01-Jul-20,2:30:00 AM,7.29,7.41
01-Jul-20,3:00:00 AM,7.37,7.49
01-Jul-20,3:30:00 AM,7.38,7.50
01-Jul-20,4:00:00 AM,7.46,7.58
01-Jul-20,4:30:00 AM,7.88,7.99
01-Jul-20,5:00:00 AM,8.60,8.68
01-Jul-20,5:30:00 AM,9.45,9.52
01-Jul-20,6:00:00 AM,10.51,10.57
01-Jul-20,6:30:00 AM,11.65,11.72
01-Jul-20,7:00:00 AM,13.13,13.20
01-Jul-20,7:30:00 AM,13.41,13.46
01-Jul-20,8:00:00 AM,13.10,13.14
01-Jul-20,8:30:00 AM,12.18,12.21
01-Jul-20,9:00:00 AM,10.88,10.90
01-Jul-20,9:30:00 AM,8.71,8.72
01-Jul-20,10:00:00 AM,7.75,7.76
01-Jul-20,10:30:00 AM,6.85,6.86
01-Jul-20,11:00:00 AM,6.25,6.25
01-Jul-20,11:30:00 AM,5.68,5.68
01-Jul-20,12:00:00 PM,6.07,6.07
01-Jul-20,12:30:00 PM,5.64,5.64
01-Jul-20,1:00:00 PM,5.89,5.89
01-Jul-20,1:30:00 PM,6.18,6.18
01-Jul-20,2:00:00 PM,6.48,6.48
01-Jul-20,2:30:00 PM,7.90,7.90
01-Jul-20,3:00:00 PM,8.92,8.93
01-Jul-20,3:30:00 PM,10.75,10.76
01-Jul-20,4:00:00 PM,12.14,12.15
01-Jul-20,4:30:00 PM,14.06,14.08
01-Jul-20,5:00:00 PM,15.59,15.60
01-Jul-20,5:30:00 PM,16.75,16.75
01-Jul-20,6:00:00 PM,16.64,16.64
01-Jul-20,6:30:00 PM,16.65,16.65
01-Jul-20,7:00:00 PM,16.12,16.14
01-Jul-20,7:30:00 PM,16.20,16.22
01-Jul-20,8:00:00 PM,16.21,16.23
01-Jul-20,8:30:00 PM,15.38,15.40
01-Jul-20,9:00:00 PM,14.52,14.55
01-Jul-20,9:30:00 PM,13.80,13.85
01-Jul-20,10:00:00 PM,13.71,13.76
01-Jul-20,10:30:00 PM,14.40,14.45
01-Jul-20,11:00:00 PM,13.09,13.14
01-Jul-20,11:30:00 PM,11.19,11.25
02-Jul-20,12:00:00 AM,9.86,9.94
02-Jul-20,12:30:00 AM,8.84,8.95
02-Jul-20,1:00:00 AM,8.23,8.35
02-Jul-20,1:30:00 AM,7.82,7.93
02-Jul-20,2:00:00 AM,7.57,7.69
02-Jul-20,2:30:00 AM,7.49,7.60
02-Jul-20,3:00:00 AM,7.47,7.58
02-Jul-20,3:30:00 AM,7.57,7.70
02-Jul-20,4:00:00 AM,7.67,7.78
02-Jul-20,4:30:00 AM,8.05,8.15
02-Jul-20,5:00:00 AM,8.71,8.79
02-Jul-20,5:30:00 AM,9.50,9.58
02-Jul-20,6:00:00 AM,10.77,10.83
02-Jul-20,6:30:00 AM,12.04,12.12
02-Jul-20,7:00:00 AM,13.46,13.53
02-Jul-20,7:30:00 AM,13.01,13.05
02-Jul-20,8:00:00 AM,13.23,13.26
02-Jul-20,8:30:00 AM,12.45,12.47
02-Jul-20,9:00:00 AM,11.26,11.27
02-Jul-20,9:30:00 AM,11.23,11.24
02-Jul-20,10:00:00 AM,9.19,9.20
02-Jul-20,10:30:00 AM,7.54,7.55
02-Jul-20,11:00:00 AM,6.43,6.43
02-Jul-20,11:30:00 AM,6.39,6.39
02-Jul-20,12:00:00 PM,7.58,7.58
02-Jul-20,12:30:00 PM,6.98,6.98
02-Jul-20,1:00:00 PM,6.58,6.58
02-Jul-20,1:30:00 PM,6.85,6.85
02-Jul-20,2:00:00 PM,7.50,7.51
02-Jul-20,2:30:00 PM,8.35,8.36
02-Jul-20,3:00:00 PM,9.27,9.29
02-Jul-20,3:30:00 PM,10.50,10.51
02-Jul-20,4:00:00 PM,12.23,12.24
02-Jul-20,4:30:00 PM,14.12,14.14
02-Jul-20,5:00:00 PM,15.72,15.73
02-Jul-20,5:30:00 PM,16.88,16.88
02-Jul-20,6:00:00 PM,16.84,16.84
02-Jul-20,6:30:00 PM,16.86,16.87
02-Jul-20,7:00:00 PM,16.43,16.43
02-Jul-20,7:30:00 PM,16.37,16.38
02-Jul-20,8:00:00 PM,16.19,16.20
02-Jul-20,8:30:00 PM,15.39,15.42
02-Jul-20,9:00:00 PM,14.40,14.43
02-Jul-20,9:30:00 PM,13.43,13.48
02-Jul-20,10:00:00 PM,13.62,13.67
02-Jul-20,10:30:00 PM,14.39,14.43
02-Jul-20,11:00:00 PM,12.98,13.03
02-Jul-20,11:30:00 PM,11.10,11.17
03-Jul-20,12:00:00 AM,9.69,9.77
03-Jul-20,12:30:00 AM,8.85,8.94
03-Jul-20,1:00:00 AM,8.27,8.38
03-Jul-20,1:30:00 AM,7.68,7.79
03-Jul-20,2:00:00 AM,7.36,7.49
03-Jul-20,2:30:00 AM,7.28,7.40
03-Jul-20,3:00:00 AM,7.53,7.65
03-Jul-20,3:30:00 AM,7.44,7.55
03-Jul-20,4:00:00 AM,7.56,7.68
03-Jul-20,4:30:00 AM,7.84,7.95
03-Jul-20,5:00:00 AM,8.50,8.59
03-Jul-20,5:30:00 AM,9.38,9.46
03-Jul-20,6:00:00 AM,10.38,10.45
03-Jul-20,6:30:00 AM,11.65,11.74
03-Jul-20,7:00:00 AM,13.10,13.16
03-Jul-20,7:30:00 AM,12.93,12.98
03-Jul-20,8:00:00 AM,12.27,12.30
03-Jul-20,8:30:00 AM,11.39,11.41
03-Jul-20,9:00:00 AM,10.28,10.30
03-Jul-20,9:30:00 AM,8.88,8.89
03-Jul-20,10:00:00 AM,7.82,7.83
03-Jul-20,10:30:00 AM,6.99,6.99
03-Jul-20,11:00:00 AM,6.08,6.08
03-Jul-20,11:30:00 AM,5.87,5.87
03-Jul-20,12:00:00 PM,5.60,5.60
