Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,5.62,5.62
01-Jul-20,12:30:00 AM,5.64,5.64
01-Jul-20,1:00:00 AM,5.43,5.43
01-Jul-20,1:30:00 AM,5.54,5.54
01-Jul-20,2:00:00 AM,5.41,5.41
01-Jul-20,2:30:00 AM,5.23,5.23
01-Jul-20,3:00:00 AM,5.37,5.37
01-Jul-20,3:30:00 AM,5.54,5.54
01-Jul-20,4:00:00 AM,5.77,5.78
01-Jul-20,4:30:00 AM,5.72,5.72
01-Jul-20,5:00:00 AM,6.08,6.08
01-Jul-20,5:30:00 AM,6.60,6.61
01-Jul-20,6:00:00 AM,7.30,7.32
01-Jul-20,6:30:00 AM,7.40,7.43
01-Jul-20,7:00:00 AM,8.20,8.24
01-Jul-20,7:30:00 AM,8.27,8.33
01-Jul-20,8:00:00 AM,8.20,8.25
01-Jul-20,8:30:00 AM,7.63,7.68
01-Jul-20,9:00:00 AM,7.54,7.60
01-Jul-20,9:30:00 AM,7.27,7.34
01-Jul-20,10:00:00 AM,6.86,6.93
01-Jul-20,10:30:00 AM,7.07,7.16
01-Jul-20,11:00:00 AM,6.97,7.07
01-Jul-20,11:30:00 AM,6.84,6.93
01-Jul-20,12:00:00 PM,7.07,7.17
01-Jul-20,12:30:00 PM,6.89,6.97
01-Jul-20,1:00:00 PM,7.04,7.14
01-Jul-20,1:30:00 PM,7.28,7.39
01-Jul-20,2:00:00 PM,7.37,7.48
01-Jul-20,2:30:00 PM,7.36,7.46
01-Jul-20,3:00:00 PM,7.60,7.70
01-Jul-20,3:30:00 PM,7.55,7.63
01-Jul-20,4:00:00 PM,7.73,7.78
01-Jul-20,4:30:00 PM,7.84,7.89
01-Jul-20,5:00:00 PM,7.88,7.93
01-Jul-20,5:30:00 PM,8.24,8.30
01-Jul-20,6:00:00 PM,7.78,7.80
01-Jul-20,6:30:00 PM,7.50,7.52
01-Jul-20,7:00:00 PM,7.17,7.19
01-Jul-20,7:30:00 PM,7.38,7.40
01-Jul-20,8:00:00 PM,7.34,7.35
01-Jul-20,8:30:00 PM,7.23,7.25
01-Jul-20,9:00:00 PM,7.13,7.15
01-Jul-20,9:30:00 PM,7.09,7.10
01-Jul-20,10:00:00 PM,6.98,6.99
01-Jul-20,10:30:00 PM,6.54,6.55
01-Jul-20,11:00:00 PM,6.25,6.25
01-Jul-20,11:30:00 PM,6.14,6.15
02-Jul-20,12:00:00 AM,5.69,5.69
02-Jul-20,12:30:00 AM,5.63,5.63
02-Jul-20,1:00:00 AM,5.22,5.22
02-Jul-20,1:30:00 AM,5.34,5.34
02-Jul-20,2:00:00 AM,5.16,5.16
02-Jul-20,2:30:00 AM,5.02,5.02
02-Jul-20,3:00:00 AM,5.04,5.04
02-Jul-20,3:30:00 AM,5.07,5.07
02-Jul-20,4:00:00 AM,5.10,5.10
02-Jul-20,4:30:00 AM,4.92,4.92
02-Jul-20,5:00:00 AM,5.30,5.30
02-Jul-20,5:30:00 AM,5.87,5.88
02-Jul-20,6:00:00 AM,6.34,6.35
02-Jul-20,6:30:00 AM,6.80,6.81
02-Jul-20,7:00:00 AM,7.22,7.24
02-Jul-20,7:30:00 AM,7.35,7.37
02-Jul-20,8:00:00 AM,7.37,7.39
02-Jul-20,8:30:00 AM,7.59,7.63
02-Jul-20,9:00:00 AM,7.56,7.60
02-Jul-20,9:30:00 AM,7.23,7.28
02-Jul-20,10:00:00 AM,6.69,6.76
02-Jul-20,10:30:00 AM,6.75,6.83
02-Jul-20,11:00:00 AM,6.59,6.69
02-Jul-20,11:30:00 AM,7.15,7.25
02-Jul-20,12:00:00 PM,7.28,7.41
02-Jul-20,12:30:00 PM,6.68,6.76
02-Jul-20,1:00:00 PM,6.90,6.98
02-Jul-20,1:30:00 PM,7.14,7.27
02-Jul-20,2:00:00 PM,7.04,7.19
02-Jul-20,2:30:00 PM,7.28,7.39
02-Jul-20,3:00:00 PM,6.92,6.98
02-Jul-20,3:30:00 PM,6.90,6.93
02-Jul-20,4:00:00 PM,7.16,7.19
02-Jul-20,4:30:00 PM,7.34,7.37
02-Jul-20,5:00:00 PM,7.41,7.43
02-Jul-20,5:30:00 PM,7.93,7.97
02-Jul-20,6:00:00 PM,7.77,7.79
02-Jul-20,6:30:00 PM,7.60,7.62
02-Jul-20,7:00:00 PM,7.59,7.64
02-Jul-20,7:30:00 PM,7.39,7.41
02-Jul-20,8:00:00 PM,7.26,7.28
02-Jul-20,8:30:00 PM,7.14,7.16
02-Jul-20,9:00:00 PM,6.84,6.85
02-Jul-20,9:30:00 PM,6.68,6.70
02-Jul-20,10:00:00 PM,6.44,6.45
02-Jul-20,10:30:00 PM,6.11,6.12
02-Jul-20,11:00:00 PM,5.94,5.95
02-Jul-20,11:30:00 PM,5.75,5.75
03-Jul-20,12:00:00 AM,5.28,5.28
03-Jul-20,12:30:00 AM,5.15,5.15
03-Jul-20,1:00:00 AM,5.17,5.17
03-Jul-20,1:30:00 AM,5.01,5.01
03-Jul-20,2:00:00 AM,4.78,4.78
03-Jul-20,2:30:00 AM,4.63,4.63
03-Jul-20,3:00:00 AM,4.61,4.61
03-Jul-20,3:30:00 AM,4.71,4.71
03-Jul-20,4:00:00 AM,4.69,4.69
03-Jul-20,4:30:00 AM,4.89,4.89
03-Jul-20,5:00:00 AM,5.22,5.22
03-Jul-20,5:30:00 AM,5.71,5.71
03-Jul-20,6:00:00 AM,6.18,6.19
03-Jul-20,6:30:00 AM,6.25,6.26
03-Jul-20,7:00:00 AM,6.81,6.83
03-Jul-20,7:30:00 AM,6.68,6.70
03-Jul-20,8:00:00 AM,6.87,6.89
03-Jul-20,8:30:00 AM,7.01,7.04
03-Jul-20,9:00:00 AM,6.83,6.86
03-Jul-20,9:30:00 AM,6.63,6.66
03-Jul-20,10:00:00 AM,6.75,6.82
03-Jul-20,10:30:00 AM,6.58,6.66
03-Jul-20,11:00:00 AM,6.43,6.51
03-Jul-20,11:30:00 AM,6.25,6.32
03-Jul-20,12:00:00 PM,6.42,6.48
03-Jul-20,12:30:00 PM,6.47,6.55
03-Jul-20,1:00:00 PM,6.62,6.70
03-Jul-20,1:30:00 PM,6.68,6.76
03-Jul-20,2:00:00 PM,6.60,6.67
03-Jul-20,2:30:00 PM,6.45,6.49
03-Jul-20,3:00:00 PM,6.67,6.69
03-Jul-20,3:30:00 PM,6.56,6.58
03-Jul-20,4:00:00 PM,6.93,6.95
03-Jul-20,4:30:00 PM,7.24,7.26
03-Jul-20,5:00:00 PM,7.13,7.16
03-Jul-20,5:30:00 PM,7.39,7.41
03-Jul-20,6:00:00 PM,7.06,7.08
03-Jul-20,6:30:00 PM,6.51,6.51
03-Jul-20,7:00:00 PM,6.59,6.60
03-Jul-20,7:30:00 PM,6.54,6.55
03-Jul-20,8:00:00 PM,6.43,6.44
03-Jul-20,8:30:00 PM,6.33,6.33
03-Jul-20,9:00:00 PM,6.05,6.06
03-Jul-20,9:30:00 PM,5.93,5.93
03-Jul-20,10:00:00 PM,5.59,5.59
03-Jul-20,10:30:00 PM,5.32,5.32
03-Jul-20,11:00:00 PM,5.26,5.26
03-Jul-20,11:30:00 PM,5.11,5.11
04-Jul-20,12:00:00 AM,4.74,4.74
04-Jul-20,12:30:00 AM,4.72,4.72
04-Jul-20,1:00:00 AM,4.61,4.61
04-Jul-20,1:30:00 AM,4.44,4.45
04-Jul-20,2:00:00 AM,4.28,4.28
04-Jul-20,2:30:00 AM,4.13,4.13
04-Jul-20,3:00:00 AM,4.22,4.22
04-Jul-20,3:30:00 AM,4.11,4.11
04-Jul-20,4:00:00 AM,4.14,4.14
04-Jul-20,4:30:00 AM,4.30,4.30
04-Jul-20,5:00:00 AM,4.39,4.39
04-Jul-20,5:30:00 AM,4.75,4.75
04-Jul-20,6:00:00 AM,4.90,4.90
04-Jul-20,6:30:00 AM,4.75,4.75
04-Jul-20,7:00:00 AM,5.11,5.11
04-Jul-20,7:30:00 AM,5.00,5.00
04-Jul-20,8:00:00 AM,4.96,4.96
04-Jul-20,8:30:00 AM,5.08,5.08
04-Jul-20,9:00:00 AM,5.25,5.25
04-Jul-20,9:30:00 AM,5.00,5.01
04-Jul-20,10:00:00 AM,4.75,4.76
04-Jul-20,10:30:00 AM,4.82,4.82
04-Jul-20,11:00:00 AM,4.50,4.50
04-Jul-20,11:30:00 AM,4.30,4.31
04-Jul-20,12:00:00 PM,4.40,4.40
04-Jul-20,12:30:00 PM,4.47,4.48
04-Jul-20,1:00:00 PM,4.48,4.49
