Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,11.13,11.19
01-Jul-20,12:30:00 AM,11.49,11.54
01-Jul-20,1:00:00 AM,11.91,11.97
01-Jul-20,1:30:00 AM,10.58,10.64
01-Jul-20,2:00:00 AM,9.29,9.36
01-Jul-20,2:30:00 AM,8.31,8.40
01-Jul-20,3:00:00 AM,7.94,8.02
01-Jul-20,3:30:00 AM,7.51,7.60
01-Jul-20,4:00:00 AM,7.31,7.41
01-Jul-20,4:30:00 AM,7.77,7.86
01-Jul-20,5:00:00 AM,8.15,8.23
01-Jul-20,5:30:00 AM,8.68,8.75
01-Jul-20,6:00:00 AM,9.45,9.50
01-Jul-20,6:30:00 AM,10.28,10.34
01-Jul-20,7:00:00 AM,11.01,11.07
01-Jul-20,7:30:00 AM,11.26,11.32
01-Jul-20,8:00:00 AM,9.84,9.90
01-Jul-20,8:30:00 AM,9.10,9.15
01-Jul-20,9:00:00 AM,7.11,7.16
01-Jul-20,9:30:00 AM,5.52,5.59
01-Jul-20,10:00:00 AM,4.50,4.57
01-Jul-20,10:30:00 AM,3.84,3.90
01-Jul-20,11:00:00 AM,3.24,3.32
01-Jul-20,11:30:00 AM,2.86,2.94
01-Jul-20,12:00:00 PM,2.90,2.99
01-Jul-20,12:30:00 PM,2.92,3.00
01-Jul-20,1:00:00 PM,3.87,3.95
01-Jul-20,1:30:00 PM,4.57,4.63
01-Jul-20,2:00:00 PM,4.87,4.92
01-Jul-20,2:30:00 PM,6.41,6.45
01-Jul-20,3:00:00 PM,7.19,7.25
01-Jul-20,3:30:00 PM,8.23,8.28
01-Jul-20,4:00:00 PM,9.15,9.20
01-Jul-20,4:30:00 PM,10.71,10.76
01-Jul-20,5:00:00 PM,11.21,11.24
01-Jul-20,5:30:00 PM,12.73,12.74
01-Jul-20,6:00:00 PM,12.85,12.86
01-Jul-20,6:30:00 PM,12.64,12.65
01-Jul-20,7:00:00 PM,12.19,12.20
01-Jul-20,7:30:00 PM,12.20,12.22
01-Jul-20,8:00:00 PM,14.38,14.39
01-Jul-20,8:30:00 PM,15.20,15.22
01-Jul-20,9:00:00 PM,13.99,14.01
01-Jul-20,9:30:00 PM,15.58,15.60
01-Jul-20,10:00:00 PM,14.15,14.18
01-Jul-20,10:30:00 PM,12.10,12.14
01-Jul-20,11:00:00 PM,10.97,11.01
01-Jul-20,11:30:00 PM,10.66,10.71
02-Jul-20,12:00:00 AM,11.30,11.35
