Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,2.38,2.38
01-Jul-20,12:30:00 AM,2.21,2.21
01-Jul-20,1:00:00 AM,2.07,2.07
01-Jul-20,1:30:00 AM,2.00,2.00
01-Jul-20,2:00:00 AM,1.95,1.95
01-Jul-20,2:30:00 AM,1.87,1.87
01-Jul-20,3:00:00 AM,1.89,1.90
01-Jul-20,3:30:00 AM,1.88,1.89
01-Jul-20,4:00:00 AM,1.94,1.94
01-Jul-20,4:30:00 AM,2.02,2.02
01-Jul-20,5:00:00 AM,2.15,2.16
01-Jul-20,5:30:00 AM,2.36,2.36
01-Jul-20,6:00:00 AM,2.62,2.62
01-Jul-20,6:30:00 AM,2.92,2.92
01-Jul-20,7:00:00 AM,3.06,3.06
01-Jul-20,7:30:00 AM,3.01,3.01
01-Jul-20,8:00:00 AM,2.81,2.81
01-Jul-20,8:30:00 AM,2.46,2.47
01-Jul-20,9:00:00 AM,2.00,2.00
01-Jul-20,9:30:00 AM,1.46,1.46
01-Jul-20,10:00:00 AM,1.10,1.10
01-Jul-20,10:30:00 AM,0.72,0.72
01-Jul-20,11:00:00 AM,0.49,0.49
01-Jul-20,11:30:00 AM,0.36,0.36
01-Jul-20,12:00:00 PM,0.57,0.57
01-Jul-20,12:30:00 PM,0.34,0.34
01-Jul-20,1:00:00 PM,0.75,0.75
01-Jul-20,1:30:00 PM,0.88,0.88
01-Jul-20,2:00:00 PM,1.08,1.08
01-Jul-20,2:30:00 PM,1.48,1.48
01-Jul-20,3:00:00 PM,2.15,2.16
01-Jul-20,3:30:00 PM,2.45,2.45
01-Jul-20,4:00:00 PM,2.87,2.87
01-Jul-20,4:30:00 PM,3.46,3.46
01-Jul-20,5:00:00 PM,4.01,4.01
01-Jul-20,5:30:00 PM,4.43,4.43
01-Jul-20,6:00:00 PM,4.53,4.53
01-Jul-20,6:30:00 PM,4.63,4.63
01-Jul-20,7:00:00 PM,4.47,4.47
01-Jul-20,7:30:00 PM,4.37,4.37
01-Jul-20,8:00:00 PM,4.23,4.23
01-Jul-20,8:30:00 PM,3.95,3.95
01-Jul-20,9:00:00 PM,3.74,3.74
01-Jul-20,9:30:00 PM,3.50,3.50
01-Jul-20,10:00:00 PM,3.35,3.35
01-Jul-20,10:30:00 PM,3.30,3.30
01-Jul-20,11:00:00 PM,3.18,3.18
01-Jul-20,11:30:00 PM,2.90,2.91
02-Jul-20,12:00:00 AM,2.56,2.56
02-Jul-20,12:30:00 AM,2.32,2.32
02-Jul-20,1:00:00 AM,2.13,2.13
02-Jul-20,1:30:00 AM,2.05,2.05
02-Jul-20,2:00:00 AM,2.03,2.03
02-Jul-20,2:30:00 AM,1.97,1.97
02-Jul-20,3:00:00 AM,1.97,1.97
02-Jul-20,3:30:00 AM,1.98,1.98
02-Jul-20,4:00:00 AM,2.00,2.00
02-Jul-20,4:30:00 AM,2.09,2.09
02-Jul-20,5:00:00 AM,2.21,2.21
02-Jul-20,5:30:00 AM,2.45,2.45
02-Jul-20,6:00:00 AM,2.69,2.70
02-Jul-20,6:30:00 AM,3.01,3.01
02-Jul-20,7:00:00 AM,3.17,3.17
02-Jul-20,7:30:00 AM,2.96,2.97
02-Jul-20,8:00:00 AM,3.01,3.01
02-Jul-20,8:30:00 AM,2.84,2.84
02-Jul-20,9:00:00 AM,2.48,2.48
02-Jul-20,9:30:00 AM,2.03,2.03
02-Jul-20,10:00:00 AM,1.66,1.66
02-Jul-20,10:30:00 AM,0.91,0.91
02-Jul-20,11:00:00 AM,0.66,0.66
02-Jul-20,11:30:00 AM,0.38,0.38
02-Jul-20,12:00:00 PM,0.94,0.94
02-Jul-20,12:30:00 PM,0.99,0.99
02-Jul-20,1:00:00 PM,0.66,0.66
02-Jul-20,1:30:00 PM,0.91,0.91
02-Jul-20,2:00:00 PM,1.04,1.04
02-Jul-20,2:30:00 PM,1.48,1.48
02-Jul-20,3:00:00 PM,1.93,1.93
02-Jul-20,3:30:00 PM,2.41,2.41
02-Jul-20,4:00:00 PM,2.98,2.98
02-Jul-20,4:30:00 PM,3.58,3.58
02-Jul-20,5:00:00 PM,4.02,4.02
02-Jul-20,5:30:00 PM,4.41,4.41
02-Jul-20,6:00:00 PM,4.59,4.59
02-Jul-20,6:30:00 PM,4.63,4.63
02-Jul-20,7:00:00 PM,4.40,4.40
02-Jul-20,7:30:00 PM,4.26,4.27
02-Jul-20,8:00:00 PM,4.25,4.25
02-Jul-20,8:30:00 PM,4.00,4.00
02-Jul-20,9:00:00 PM,3.74,3.74
02-Jul-20,9:30:00 PM,3.44,3.44
02-Jul-20,10:00:00 PM,3.30,3.30
02-Jul-20,10:30:00 PM,3.20,3.20
02-Jul-20,11:00:00 PM,3.11,3.11
02-Jul-20,11:30:00 PM,2.75,2.75
03-Jul-20,12:00:00 AM,2.36,2.36
03-Jul-20,12:30:00 AM,2.20,2.20
03-Jul-20,1:00:00 AM,2.05,2.05
03-Jul-20,1:30:00 AM,1.95,1.95
03-Jul-20,2:00:00 AM,1.95,1.95
03-Jul-20,2:30:00 AM,1.94,1.94
03-Jul-20,3:00:00 AM,1.93,1.93
03-Jul-20,3:30:00 AM,1.94,1.94
03-Jul-20,4:00:00 AM,1.97,1.97
03-Jul-20,4:30:00 AM,2.04,2.04
03-Jul-20,5:00:00 AM,2.15,2.15
03-Jul-20,5:30:00 AM,2.39,2.39
03-Jul-20,6:00:00 AM,2.70,2.70
03-Jul-20,6:30:00 AM,2.89,2.89
03-Jul-20,7:00:00 AM,2.98,2.98
03-Jul-20,7:30:00 AM,2.15,2.16
03-Jul-20,8:00:00 AM,2.86,2.87
03-Jul-20,8:30:00 AM,2.69,2.69
03-Jul-20,9:00:00 AM,2.16,2.16
03-Jul-20,9:30:00 AM,1.53,1.53
03-Jul-20,10:00:00 AM,1.03,1.03
03-Jul-20,10:30:00 AM,0.72,0.73
03-Jul-20,11:00:00 AM,0.42,0.43
03-Jul-20,11:30:00 AM,0.25,0.26
03-Jul-20,12:00:00 PM,0.23,0.25
03-Jul-20,12:30:00 PM,0.23,0.25
03-Jul-20,1:00:00 PM,0.38,0.39
03-Jul-20,1:30:00 PM,0.57,0.57
03-Jul-20,2:00:00 PM,0.67,0.67
03-Jul-20,2:30:00 PM,1.40,1.40
03-Jul-20,3:00:00 PM,1.83,1.83
03-Jul-20,3:30:00 PM,2.35,2.35
03-Jul-20,4:00:00 PM,2.80,2.80
03-Jul-20,4:30:00 PM,3.25,3.25
03-Jul-20,5:00:00 PM,3.85,3.85
03-Jul-20,5:30:00 PM,4.29,4.29
