Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,3.36,3.39
01-Jul-20,12:30:00 AM,3.16,3.19
01-Jul-20,1:00:00 AM,3.07,3.09
01-Jul-20,1:30:00 AM,2.94,2.97
01-Jul-20,2:00:00 AM,2.83,2.86
01-Jul-20,2:30:00 AM,2.90,2.93
01-Jul-20,3:00:00 AM,2.83,2.86
01-Jul-20,3:30:00 AM,2.84,2.87
01-Jul-20,4:00:00 AM,2.97,3.00
01-Jul-20,4:30:00 AM,3.18,3.20
01-Jul-20,5:00:00 AM,3.69,3.71
01-Jul-20,5:30:00 AM,4.12,4.13
01-Jul-20,6:00:00 AM,5.24,5.24
01-Jul-20,6:30:00 AM,5.98,5.98
01-Jul-20,7:00:00 AM,6.83,6.86
01-Jul-20,7:30:00 AM,6.81,6.83
01-Jul-20,8:00:00 AM,6.65,6.68
01-Jul-20,8:30:00 AM,6.06,6.11
01-Jul-20,9:00:00 AM,5.43,5.50
01-Jul-20,9:30:00 AM,5.06,5.13
01-Jul-20,10:00:00 AM,4.63,4.71
01-Jul-20,10:30:00 AM,4.35,4.44
01-Jul-20,11:00:00 AM,4.20,4.32
01-Jul-20,11:30:00 AM,4.14,4.26
01-Jul-20,12:00:00 PM,3.97,4.07
01-Jul-20,12:30:00 PM,3.99,4.10
01-Jul-20,1:00:00 PM,4.08,4.18
01-Jul-20,1:30:00 PM,4.32,4.41
01-Jul-20,2:00:00 PM,4.04,4.13
01-Jul-20,2:30:00 PM,4.81,4.86
01-Jul-20,3:00:00 PM,4.03,4.07
01-Jul-20,3:30:00 PM,4.38,4.40
01-Jul-20,4:00:00 PM,4.59,4.59
01-Jul-20,4:30:00 PM,5.02,5.02
01-Jul-20,5:00:00 PM,5.24,5.24
01-Jul-20,5:30:00 PM,5.38,5.38
01-Jul-20,6:00:00 PM,5.42,5.42
01-Jul-20,6:30:00 PM,5.58,5.58
01-Jul-20,7:00:00 PM,5.55,5.55
01-Jul-20,7:30:00 PM,5.61,5.61
01-Jul-20,8:00:00 PM,5.87,5.87
01-Jul-20,8:30:00 PM,5.54,5.55
01-Jul-20,9:00:00 PM,5.18,5.19
01-Jul-20,9:30:00 PM,5.10,5.10
01-Jul-20,10:00:00 PM,4.96,4.97
01-Jul-20,10:30:00 PM,4.34,4.36
01-Jul-20,11:00:00 PM,3.94,3.96
01-Jul-20,11:30:00 PM,3.68,3.70
02-Jul-20,12:00:00 AM,3.38,3.41
02-Jul-20,12:30:00 AM,3.21,3.23
02-Jul-20,1:00:00 AM,3.05,3.07
02-Jul-20,1:30:00 AM,2.95,2.98
02-Jul-20,2:00:00 AM,2.84,2.88
02-Jul-20,2:30:00 AM,2.84,2.87
02-Jul-20,3:00:00 AM,2.81,2.84
02-Jul-20,3:30:00 AM,2.82,2.85
02-Jul-20,4:00:00 AM,3.00,3.02
02-Jul-20,4:30:00 AM,3.11,3.13
02-Jul-20,5:00:00 AM,3.56,3.57
02-Jul-20,5:30:00 AM,4.06,4.07
02-Jul-20,6:00:00 AM,5.15,5.15
02-Jul-20,6:30:00 AM,5.77,5.78
02-Jul-20,7:00:00 AM,6.36,6.38
02-Jul-20,7:30:00 AM,6.39,6.42
02-Jul-20,8:00:00 AM,6.54,6.59
02-Jul-20,8:30:00 AM,6.08,6.14
02-Jul-20,9:00:00 AM,5.98,6.05
02-Jul-20,9:30:00 AM,5.60,5.67
02-Jul-20,10:00:00 AM,4.70,4.77
02-Jul-20,10:30:00 AM,4.36,4.44
02-Jul-20,11:00:00 AM,4.34,4.47
02-Jul-20,11:30:00 AM,3.85,3.99
02-Jul-20,12:00:00 PM,4.10,4.20
02-Jul-20,12:30:00 PM,4.27,4.37
02-Jul-20,1:00:00 PM,4.14,4.26
02-Jul-20,1:30:00 PM,4.41,4.50
02-Jul-20,2:00:00 PM,4.02,4.10
02-Jul-20,2:30:00 PM,4.14,4.19
02-Jul-20,3:00:00 PM,4.28,4.31
02-Jul-20,3:30:00 PM,4.40,4.41
02-Jul-20,4:00:00 PM,4.58,4.58
02-Jul-20,4:30:00 PM,4.88,4.88
02-Jul-20,5:00:00 PM,5.00,5.00
02-Jul-20,5:30:00 PM,5.18,5.18
02-Jul-20,6:00:00 PM,5.24,5.24
02-Jul-20,6:30:00 PM,5.49,5.49
02-Jul-20,7:00:00 PM,5.45,5.45
02-Jul-20,7:30:00 PM,5.30,5.30
02-Jul-20,8:00:00 PM,5.53,5.53
02-Jul-20,8:30:00 PM,5.26,5.26
02-Jul-20,9:00:00 PM,4.98,4.98
02-Jul-20,9:30:00 PM,4.84,4.84
02-Jul-20,10:00:00 PM,4.63,4.64
02-Jul-20,10:30:00 PM,4.18,4.19
02-Jul-20,11:00:00 PM,3.79,3.80
02-Jul-20,11:30:00 PM,3.54,3.56
03-Jul-20,12:00:00 AM,3.29,3.32
03-Jul-20,12:30:00 AM,3.13,3.15
03-Jul-20,1:00:00 AM,3.01,3.03
03-Jul-20,1:30:00 AM,2.95,2.97
03-Jul-20,2:00:00 AM,2.80,2.83
03-Jul-20,2:30:00 AM,2.82,2.84
03-Jul-20,3:00:00 AM,2.82,2.84
03-Jul-20,3:30:00 AM,2.79,2.81
03-Jul-20,4:00:00 AM,2.94,2.96
03-Jul-20,4:30:00 AM,3.07,3.09
03-Jul-20,5:00:00 AM,3.58,3.60
03-Jul-20,5:30:00 AM,4.11,4.12
03-Jul-20,6:00:00 AM,4.79,4.79
03-Jul-20,6:30:00 AM,5.29,5.29
03-Jul-20,7:00:00 AM,6.02,6.03
03-Jul-20,7:30:00 AM,6.06,6.07
03-Jul-20,8:00:00 AM,6.20,6.24
03-Jul-20,8:30:00 AM,5.81,5.85
03-Jul-20,9:00:00 AM,5.14,5.19
03-Jul-20,9:30:00 AM,4.45,4.51
03-Jul-20,10:00:00 AM,4.13,4.19
03-Jul-20,10:30:00 AM,3.84,3.92
03-Jul-20,11:00:00 AM,3.59,3.70
03-Jul-20,11:30:00 AM,3.51,3.62
03-Jul-20,12:00:00 PM,3.29,3.38
03-Jul-20,12:30:00 PM,3.21,3.30
03-Jul-20,1:00:00 PM,3.24,3.32
03-Jul-20,1:30:00 PM,3.39,3.46
03-Jul-20,2:00:00 PM,3.32,3.36
03-Jul-20,2:30:00 PM,3.43,3.47
03-Jul-20,3:00:00 PM,3.63,3.64
03-Jul-20,3:30:00 PM,3.85,3.85
03-Jul-20,4:00:00 PM,4.17,4.17
03-Jul-20,4:30:00 PM,4.37,4.37
03-Jul-20,5:00:00 PM,4.52,4.53
03-Jul-20,5:30:00 PM,4.58,4.58
03-Jul-20,6:00:00 PM,4.71,4.71
03-Jul-20,6:30:00 PM,4.84,4.84
