Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.22,8.25
01-Jul-20,12:30:00 AM,7.59,7.62
01-Jul-20,1:00:00 AM,7.33,7.35
01-Jul-20,1:30:00 AM,7.06,7.12
01-Jul-20,2:00:00 AM,6.83,6.86
01-Jul-20,2:30:00 AM,6.60,6.64
01-Jul-20,3:00:00 AM,6.47,6.51
01-Jul-20,3:30:00 AM,6.63,6.70
01-Jul-20,4:00:00 AM,6.87,6.91
01-Jul-20,4:30:00 AM,7.16,7.19
01-Jul-20,5:00:00 AM,7.94,7.96
01-Jul-20,5:30:00 AM,8.98,8.99
01-Jul-20,6:00:00 AM,10.14,10.14
01-Jul-20,6:30:00 AM,11.94,11.94
01-Jul-20,7:00:00 AM,13.56,13.56
01-Jul-20,7:30:00 AM,13.76,13.76
01-Jul-20,8:00:00 AM,12.74,12.74
01-Jul-20,8:30:00 AM,11.72,11.72
01-Jul-20,9:00:00 AM,10.14,10.14
01-Jul-20,9:30:00 AM,8.67,8.67
01-Jul-20,10:00:00 AM,7.36,7.36
01-Jul-20,10:30:00 AM,6.44,6.44
01-Jul-20,11:00:00 AM,5.33,5.33
01-Jul-20,11:30:00 AM,4.81,4.82
01-Jul-20,12:00:00 PM,4.69,4.71
01-Jul-20,12:30:00 PM,4.77,4.79
01-Jul-20,1:00:00 PM,5.25,5.26
01-Jul-20,1:30:00 PM,5.77,5.79
01-Jul-20,2:00:00 PM,5.88,5.89
01-Jul-20,2:30:00 PM,7.47,7.48
01-Jul-20,3:00:00 PM,7.78,7.78
01-Jul-20,3:30:00 PM,8.49,8.49
01-Jul-20,4:00:00 PM,9.62,9.62
01-Jul-20,4:30:00 PM,10.91,10.92
01-Jul-20,5:00:00 PM,12.80,12.80
01-Jul-20,5:30:00 PM,14.09,14.09
01-Jul-20,6:00:00 PM,14.82,14.82
01-Jul-20,6:30:00 PM,15.16,15.16
01-Jul-20,7:00:00 PM,14.91,14.91
01-Jul-20,7:30:00 PM,14.68,14.68
01-Jul-20,8:00:00 PM,14.92,14.92
01-Jul-20,8:30:00 PM,13.85,13.85
01-Jul-20,9:00:00 PM,13.20,13.20
01-Jul-20,9:30:00 PM,12.66,12.67
01-Jul-20,10:00:00 PM,11.87,11.87
01-Jul-20,10:30:00 PM,10.80,10.81
01-Jul-20,11:00:00 PM,9.65,9.67
01-Jul-20,11:30:00 PM,8.62,8.64
02-Jul-20,12:00:00 AM,8.25,8.28
02-Jul-20,12:30:00 AM,7.81,7.85
02-Jul-20,1:00:00 AM,7.38,7.41
02-Jul-20,1:30:00 AM,6.85,6.89
02-Jul-20,2:00:00 AM,6.76,6.79
02-Jul-20,2:30:00 AM,6.72,6.77
02-Jul-20,3:00:00 AM,6.78,6.84
02-Jul-20,3:30:00 AM,6.67,6.71
02-Jul-20,4:00:00 AM,7.01,7.05
02-Jul-20,4:30:00 AM,7.19,7.23
02-Jul-20,5:00:00 AM,7.95,7.98
02-Jul-20,5:30:00 AM,8.94,8.96
02-Jul-20,6:00:00 AM,10.37,10.37
02-Jul-20,6:30:00 AM,11.62,11.62
02-Jul-20,7:00:00 AM,12.70,12.70
02-Jul-20,7:30:00 AM,12.59,12.59
02-Jul-20,8:00:00 AM,12.80,12.80
02-Jul-20,8:30:00 AM,11.51,11.51
02-Jul-20,9:00:00 AM,11.64,11.64
02-Jul-20,9:30:00 AM,10.24,10.24
02-Jul-20,10:00:00 AM,7.79,7.79
02-Jul-20,10:30:00 AM,6.76,6.76
02-Jul-20,11:00:00 AM,5.96,5.96
02-Jul-20,11:30:00 AM,4.88,4.90
02-Jul-20,12:00:00 PM,5.24,5.26
02-Jul-20,12:30:00 PM,5.41,5.43
02-Jul-20,1:00:00 PM,5.31,5.33
02-Jul-20,1:30:00 PM,6.62,6.63
02-Jul-20,2:00:00 PM,6.57,6.59
02-Jul-20,2:30:00 PM,7.73,7.73
02-Jul-20,3:00:00 PM,7.63,7.64
02-Jul-20,3:30:00 PM,8.28,8.29
02-Jul-20,4:00:00 PM,9.63,9.64
02-Jul-20,4:30:00 PM,10.94,10.95
02-Jul-20,5:00:00 PM,12.26,12.26
02-Jul-20,5:30:00 PM,13.62,13.62
02-Jul-20,6:00:00 PM,14.17,14.17
02-Jul-20,6:30:00 PM,14.41,14.41
02-Jul-20,7:00:00 PM,14.19,14.19
02-Jul-20,7:30:00 PM,14.03,14.03
02-Jul-20,8:00:00 PM,13.91,13.91
