Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.24,7.28
01-Jul-20,12:30:00 AM,6.91,6.91
01-Jul-20,1:00:00 AM,7.04,7.04
01-Jul-20,1:30:00 AM,6.98,7.01
01-Jul-20,2:00:00 AM,7.08,7.12
01-Jul-20,2:30:00 AM,7.08,7.08
01-Jul-20,3:00:00 AM,6.98,6.98
01-Jul-20,3:30:00 AM,7.01,7.02
01-Jul-20,4:00:00 AM,7.06,7.08
01-Jul-20,4:30:00 AM,7.22,7.23
01-Jul-20,5:00:00 AM,8.20,8.21
01-Jul-20,5:30:00 AM,9.01,9.02
01-Jul-20,6:00:00 AM,10.31,10.36
01-Jul-20,6:30:00 AM,11.38,11.47
01-Jul-20,7:00:00 AM,12.57,12.73
01-Jul-20,7:30:00 AM,12.89,13.07
01-Jul-20,8:00:00 AM,13.75,14.08
01-Jul-20,8:30:00 AM,13.86,14.13
01-Jul-20,9:00:00 AM,13.08,13.50
01-Jul-20,9:30:00 AM,13.01,13.45
01-Jul-20,10:00:00 AM,12.99,13.38
01-Jul-20,10:30:00 AM,12.79,13.19
01-Jul-20,11:00:00 AM,12.93,13.64
01-Jul-20,11:30:00 AM,13.61,14.12
01-Jul-20,12:00:00 PM,13.37,13.94
01-Jul-20,12:30:00 PM,13.15,13.62
01-Jul-20,1:00:00 PM,13.19,13.94
01-Jul-20,1:30:00 PM,13.89,14.52
01-Jul-20,2:00:00 PM,14.24,14.70
01-Jul-20,2:30:00 PM,13.78,14.30
01-Jul-20,3:00:00 PM,13.35,13.59
01-Jul-20,3:30:00 PM,13.06,13.54
01-Jul-20,4:00:00 PM,12.32,12.58
01-Jul-20,4:30:00 PM,11.89,12.24
01-Jul-20,5:00:00 PM,11.23,11.35
01-Jul-20,5:30:00 PM,10.55,10.56
01-Jul-20,6:00:00 PM,9.99,10.03
01-Jul-20,6:30:00 PM,9.60,9.63
01-Jul-20,7:00:00 PM,9.20,9.21
01-Jul-20,7:30:00 PM,9.28,9.29
01-Jul-20,8:00:00 PM,8.90,8.90
01-Jul-20,8:30:00 PM,8.24,8.24
01-Jul-20,9:00:00 PM,7.99,8.01
01-Jul-20,9:30:00 PM,7.93,7.93
01-Jul-20,10:00:00 PM,7.87,7.88
01-Jul-20,10:30:00 PM,7.66,7.66
01-Jul-20,11:00:00 PM,7.61,7.61
01-Jul-20,11:30:00 PM,7.31,7.31
02-Jul-20,12:00:00 AM,7.19,7.20
02-Jul-20,12:30:00 AM,7.03,7.04
02-Jul-20,1:00:00 AM,6.95,6.95
02-Jul-20,1:30:00 AM,6.73,6.74
02-Jul-20,2:00:00 AM,6.67,6.67
02-Jul-20,2:30:00 AM,6.84,6.93
02-Jul-20,3:00:00 AM,7.07,7.11
02-Jul-20,3:30:00 AM,6.93,6.94
02-Jul-20,4:00:00 AM,7.15,7.16
02-Jul-20,4:30:00 AM,7.44,7.45
02-Jul-20,5:00:00 AM,8.33,8.35
02-Jul-20,5:30:00 AM,8.94,9.08
02-Jul-20,6:00:00 AM,10.66,10.89
02-Jul-20,6:30:00 AM,11.85,12.08
02-Jul-20,7:00:00 AM,12.77,13.00
02-Jul-20,7:30:00 AM,13.13,13.40
02-Jul-20,8:00:00 AM,12.85,13.16
02-Jul-20,8:30:00 AM,13.51,13.90
02-Jul-20,9:00:00 AM,13.59,14.11
02-Jul-20,9:30:00 AM,13.49,14.07
02-Jul-20,10:00:00 AM,13.11,13.55
02-Jul-20,10:30:00 AM,13.21,13.54
02-Jul-20,11:00:00 AM,13.11,13.88
02-Jul-20,11:30:00 AM,14.14,14.80
02-Jul-20,12:00:00 PM,14.15,14.70
02-Jul-20,12:30:00 PM,13.84,14.42
02-Jul-20,1:00:00 PM,14.35,14.71
02-Jul-20,1:30:00 PM,13.62,14.34
02-Jul-20,2:00:00 PM,13.73,14.21
02-Jul-20,2:30:00 PM,13.68,14.29
02-Jul-20,3:00:00 PM,13.23,13.71
02-Jul-20,3:30:00 PM,12.84,13.45
02-Jul-20,4:00:00 PM,12.35,12.69
02-Jul-20,4:30:00 PM,11.79,11.88
02-Jul-20,5:00:00 PM,11.16,11.38
02-Jul-20,5:30:00 PM,11.12,11.33
02-Jul-20,6:00:00 PM,10.73,10.85
02-Jul-20,6:30:00 PM,9.94,9.98
02-Jul-20,7:00:00 PM,9.93,9.98
02-Jul-20,7:30:00 PM,9.74,9.75
02-Jul-20,8:00:00 PM,9.31,9.33
02-Jul-20,8:30:00 PM,9.15,9.20
02-Jul-20,9:00:00 PM,8.67,8.78
02-Jul-20,9:30:00 PM,8.32,8.34
02-Jul-20,10:00:00 PM,8.18,8.18
02-Jul-20,10:30:00 PM,7.92,7.95
02-Jul-20,11:00:00 PM,7.92,7.92
02-Jul-20,11:30:00 PM,7.70,7.72
03-Jul-20,12:00:00 AM,7.40,7.44
03-Jul-20,12:30:00 AM,7.33,7.38
03-Jul-20,1:00:00 AM,7.28,7.31
03-Jul-20,1:30:00 AM,7.20,7.20
03-Jul-20,2:00:00 AM,7.37,7.38
03-Jul-20,2:30:00 AM,7.44,7.46
03-Jul-20,3:00:00 AM,7.35,7.36
03-Jul-20,3:30:00 AM,7.32,7.36
03-Jul-20,4:00:00 AM,7.46,7.46
03-Jul-20,4:30:00 AM,7.70,7.76
03-Jul-20,5:00:00 AM,8.58,8.60
03-Jul-20,5:30:00 AM,9.17,9.20
03-Jul-20,6:00:00 AM,10.52,10.61
03-Jul-20,6:30:00 AM,11.84,12.25
03-Jul-20,7:00:00 AM,12.42,12.63
03-Jul-20,7:30:00 AM,13.17,13.56
03-Jul-20,8:00:00 AM,13.51,13.90
03-Jul-20,8:30:00 AM,13.98,14.43
03-Jul-20,9:00:00 AM,13.29,13.62
03-Jul-20,9:30:00 AM,13.16,13.46
03-Jul-20,10:00:00 AM,13.44,13.66
03-Jul-20,10:30:00 AM,13.56,14.08
03-Jul-20,11:00:00 AM,13.48,13.95
03-Jul-20,11:30:00 AM,13.38,13.89
