Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,12.74,12.90
01-Jul-20,12:30:00 AM,11.51,11.71
01-Jul-20,1:00:00 AM,10.67,10.89
01-Jul-20,1:30:00 AM,9.91,10.14
01-Jul-20,2:00:00 AM,9.78,10.00
01-Jul-20,2:30:00 AM,9.38,9.61
01-Jul-20,3:00:00 AM,9.12,9.38
01-Jul-20,3:30:00 AM,9.37,9.60
01-Jul-20,4:00:00 AM,9.62,9.83
01-Jul-20,4:30:00 AM,10.32,10.49
01-Jul-20,5:00:00 AM,11.63,11.73
01-Jul-20,5:30:00 AM,12.99,13.05
01-Jul-20,6:00:00 AM,15.34,15.36
01-Jul-20,6:30:00 AM,17.46,17.47
01-Jul-20,7:00:00 AM,19.94,19.94
01-Jul-20,7:30:00 AM,20.15,20.16
01-Jul-20,8:00:00 AM,18.94,18.95
01-Jul-20,8:30:00 AM,16.93,16.95
01-Jul-20,9:00:00 AM,15.21,15.23
01-Jul-20,9:30:00 AM,13.08,13.11
01-Jul-20,10:00:00 AM,11.80,11.82
01-Jul-20,10:30:00 AM,10.67,10.72
01-Jul-20,11:00:00 AM,9.92,9.97
01-Jul-20,11:30:00 AM,9.06,9.11
01-Jul-20,12:00:00 PM,8.61,8.66
01-Jul-20,12:30:00 PM,8.66,8.71
01-Jul-20,1:00:00 PM,9.32,9.37
01-Jul-20,1:30:00 PM,9.98,10.02
01-Jul-20,2:00:00 PM,10.55,10.57
01-Jul-20,2:30:00 PM,13.76,13.77
01-Jul-20,3:00:00 PM,13.18,13.18
01-Jul-20,3:30:00 PM,13.63,13.63
01-Jul-20,4:00:00 PM,15.10,15.10
01-Jul-20,4:30:00 PM,16.39,16.41
01-Jul-20,5:00:00 PM,16.91,16.94
01-Jul-20,5:30:00 PM,17.76,17.78
01-Jul-20,6:00:00 PM,17.99,18.01
01-Jul-20,6:30:00 PM,18.73,18.75
01-Jul-20,7:00:00 PM,18.05,18.08
01-Jul-20,7:30:00 PM,18.00,18.05
01-Jul-20,8:00:00 PM,18.31,18.36
01-Jul-20,8:30:00 PM,17.20,17.25
01-Jul-20,9:00:00 PM,16.22,16.30
01-Jul-20,9:30:00 PM,16.48,16.56
01-Jul-20,10:00:00 PM,17.16,17.25
01-Jul-20,10:30:00 PM,16.23,16.33
01-Jul-20,11:00:00 PM,15.81,15.91
01-Jul-20,11:30:00 PM,14.46,14.59
02-Jul-20,12:00:00 AM,12.72,12.88
02-Jul-20,12:30:00 AM,11.41,11.59
02-Jul-20,1:00:00 AM,10.51,10.71
02-Jul-20,1:30:00 AM,9.82,10.04
02-Jul-20,2:00:00 AM,9.33,9.56
02-Jul-20,2:30:00 AM,9.20,9.43
02-Jul-20,3:00:00 AM,9.12,9.36
02-Jul-20,3:30:00 AM,9.14,9.40
02-Jul-20,4:00:00 AM,9.49,9.72
02-Jul-20,4:30:00 AM,10.08,10.27
02-Jul-20,5:00:00 AM,11.28,11.41
02-Jul-20,5:30:00 AM,12.69,12.77
02-Jul-20,6:00:00 AM,15.17,15.19
02-Jul-20,6:30:00 AM,17.24,17.24
02-Jul-20,7:00:00 AM,18.14,18.14
02-Jul-20,7:30:00 AM,18.49,18.49
02-Jul-20,8:00:00 AM,19.22,19.23
02-Jul-20,8:30:00 AM,18.08,18.09
02-Jul-20,9:00:00 AM,17.66,17.67
02-Jul-20,9:30:00 AM,15.70,15.71
02-Jul-20,10:00:00 AM,12.36,12.40
02-Jul-20,10:30:00 AM,10.24,10.28
02-Jul-20,11:00:00 AM,9.77,9.81
02-Jul-20,11:30:00 AM,9.22,9.26
02-Jul-20,12:00:00 PM,10.46,10.48
02-Jul-20,12:30:00 PM,10.06,10.08
02-Jul-20,1:00:00 PM,9.08,9.10
02-Jul-20,1:30:00 PM,10.98,11.00
02-Jul-20,2:00:00 PM,13.03,13.04
02-Jul-20,2:30:00 PM,12.18,12.18
02-Jul-20,3:00:00 PM,13.49,13.49
02-Jul-20,3:30:00 PM,13.61,13.61
02-Jul-20,4:00:00 PM,14.76,14.77
02-Jul-20,4:30:00 PM,16.08,16.09
02-Jul-20,5:00:00 PM,16.91,16.93
02-Jul-20,5:30:00 PM,17.60,17.61
02-Jul-20,6:00:00 PM,17.83,17.85
02-Jul-20,6:30:00 PM,18.25,18.28
02-Jul-20,7:00:00 PM,18.04,18.07
02-Jul-20,7:30:00 PM,17.84,17.87
02-Jul-20,8:00:00 PM,18.23,18.27
02-Jul-20,8:30:00 PM,16.99,17.04
02-Jul-20,9:00:00 PM,16.10,16.16
02-Jul-20,9:30:00 PM,16.14,16.22
02-Jul-20,10:00:00 PM,16.82,16.91
02-Jul-20,10:30:00 PM,15.61,15.71
02-Jul-20,11:00:00 PM,15.41,15.52
02-Jul-20,11:30:00 PM,13.97,14.10
03-Jul-20,12:00:00 AM,12.19,12.36
03-Jul-20,12:30:00 AM,11.12,11.29
03-Jul-20,1:00:00 AM,10.22,10.40
03-Jul-20,1:30:00 AM,9.65,9.85
03-Jul-20,2:00:00 AM,9.09,9.32
03-Jul-20,2:30:00 AM,8.86,9.10
03-Jul-20,3:00:00 AM,8.85,9.10
03-Jul-20,3:30:00 AM,8.81,9.04
03-Jul-20,4:00:00 AM,8.99,9.25
03-Jul-20,4:30:00 AM,9.67,9.88
03-Jul-20,5:00:00 AM,10.55,10.70
03-Jul-20,5:30:00 AM,11.72,11.81
03-Jul-20,6:00:00 AM,14.18,14.21
03-Jul-20,6:30:00 AM,16.35,16.36
03-Jul-20,7:00:00 AM,17.87,17.87
03-Jul-20,7:30:00 AM,18.33,18.33
03-Jul-20,8:00:00 AM,18.98,18.98
03-Jul-20,8:30:00 AM,18.72,18.73
03-Jul-20,9:00:00 AM,17.82,17.82
03-Jul-20,9:30:00 AM,15.09,15.10
03-Jul-20,10:00:00 AM,11.72,11.74
03-Jul-20,10:30:00 AM,10.12,10.15
03-Jul-20,11:00:00 AM,9.08,9.11
03-Jul-20,11:30:00 AM,8.28,8.31
03-Jul-20,12:00:00 PM,7.92,7.94
03-Jul-20,12:30:00 PM,8.01,8.04
03-Jul-20,1:00:00 PM,8.46,8.47
03-Jul-20,1:30:00 PM,9.01,9.03
03-Jul-20,2:00:00 PM,9.72,9.72
03-Jul-20,2:30:00 PM,10.45,10.46
03-Jul-20,3:00:00 PM,11.47,11.47
03-Jul-20,3:30:00 PM,12.81,12.81
03-Jul-20,4:00:00 PM,14.03,14.05
03-Jul-20,4:30:00 PM,15.37,15.40
03-Jul-20,5:00:00 PM,15.51,15.55
03-Jul-20,5:30:00 PM,15.78,15.82
03-Jul-20,6:00:00 PM,15.63,15.68
03-Jul-20,6:30:00 PM,16.07,16.13
03-Jul-20,7:00:00 PM,16.01,16.08
