Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,13.00,13.01
01-Jul-20,12:30:00 AM,13.12,13.13
01-Jul-20,1:00:00 AM,13.19,13.19
01-Jul-20,1:30:00 AM,12.57,12.58
01-Jul-20,2:00:00 AM,12.15,12.15
01-Jul-20,2:30:00 AM,11.81,11.81
01-Jul-20,3:00:00 AM,11.59,11.59
01-Jul-20,3:30:00 AM,11.45,11.45
01-Jul-20,4:00:00 AM,11.52,11.52
01-Jul-20,4:30:00 AM,11.86,11.86
01-Jul-20,5:00:00 AM,12.06,12.07
01-Jul-20,5:30:00 AM,12.75,12.76
01-Jul-20,6:00:00 AM,13.86,13.88
01-Jul-20,6:30:00 AM,14.48,14.51
01-Jul-20,7:00:00 AM,16.52,16.56
01-Jul-20,7:30:00 AM,16.92,16.97
01-Jul-20,8:00:00 AM,17.16,17.23
01-Jul-20,8:30:00 AM,16.47,16.57
01-Jul-20,9:00:00 AM,16.02,16.15
01-Jul-20,9:30:00 AM,15.03,15.15
01-Jul-20,10:00:00 AM,14.60,14.75
01-Jul-20,10:30:00 AM,14.12,14.29
01-Jul-20,11:00:00 AM,13.98,14.18
01-Jul-20,11:30:00 AM,13.84,14.06
01-Jul-20,12:00:00 PM,14.09,14.33
01-Jul-20,12:30:00 PM,13.84,14.08
01-Jul-20,1:00:00 PM,14.28,14.49
01-Jul-20,1:30:00 PM,14.26,14.48
01-Jul-20,2:00:00 PM,14.95,15.13
01-Jul-20,2:30:00 PM,15.85,16.02
01-Jul-20,3:00:00 PM,15.69,15.82
01-Jul-20,3:30:00 PM,15.34,15.49
01-Jul-20,4:00:00 PM,16.19,16.31
01-Jul-20,4:30:00 PM,16.88,16.97
01-Jul-20,5:00:00 PM,17.01,17.11
01-Jul-20,5:30:00 PM,17.35,17.44
01-Jul-20,6:00:00 PM,16.69,16.76
01-Jul-20,6:30:00 PM,16.33,16.39
01-Jul-20,7:00:00 PM,15.81,15.85
01-Jul-20,7:30:00 PM,15.69,15.74
01-Jul-20,8:00:00 PM,16.62,16.66
01-Jul-20,8:30:00 PM,16.97,17.01
01-Jul-20,9:00:00 PM,16.00,16.02
01-Jul-20,9:30:00 PM,16.40,16.42
01-Jul-20,10:00:00 PM,15.78,15.80
01-Jul-20,10:30:00 PM,14.86,14.87
01-Jul-20,11:00:00 PM,13.88,13.89
01-Jul-20,11:30:00 PM,13.27,13.27
02-Jul-20,12:00:00 AM,13.26,13.26
02-Jul-20,12:30:00 AM,13.12,13.13
02-Jul-20,1:00:00 AM,12.88,12.88
02-Jul-20,1:30:00 AM,12.49,12.50
02-Jul-20,2:00:00 AM,12.06,12.07
02-Jul-20,2:30:00 AM,11.73,11.73
02-Jul-20,3:00:00 AM,11.53,11.53
02-Jul-20,3:30:00 AM,11.31,11.31
02-Jul-20,4:00:00 AM,11.32,11.32
02-Jul-20,4:30:00 AM,11.47,11.47
02-Jul-20,5:00:00 AM,11.90,11.91
02-Jul-20,5:30:00 AM,12.57,12.58
02-Jul-20,6:00:00 AM,13.81,13.83
02-Jul-20,6:30:00 AM,14.44,14.46
02-Jul-20,7:00:00 AM,16.13,16.17
02-Jul-20,7:30:00 AM,16.10,16.15
02-Jul-20,8:00:00 AM,16.95,17.01
02-Jul-20,8:30:00 AM,16.61,16.70
02-Jul-20,9:00:00 AM,16.92,17.03
02-Jul-20,9:30:00 AM,16.57,16.71
02-Jul-20,10:00:00 AM,15.52,15.69
02-Jul-20,10:30:00 AM,14.26,14.44
02-Jul-20,11:00:00 AM,14.46,14.68
02-Jul-20,11:30:00 AM,14.28,14.51
02-Jul-20,12:00:00 PM,14.65,14.88
02-Jul-20,12:30:00 PM,14.71,14.92
02-Jul-20,1:00:00 PM,14.51,14.77
02-Jul-20,1:30:00 PM,15.20,15.42
02-Jul-20,2:00:00 PM,14.65,14.91
02-Jul-20,2:30:00 PM,14.94,15.16
02-Jul-20,3:00:00 PM,15.29,15.48
02-Jul-20,3:30:00 PM,15.64,15.79
02-Jul-20,4:00:00 PM,16.34,16.48
02-Jul-20,4:30:00 PM,17.16,17.29
02-Jul-20,5:00:00 PM,17.37,17.49
02-Jul-20,5:30:00 PM,17.67,17.78
02-Jul-20,6:00:00 PM,17.40,17.50
02-Jul-20,6:30:00 PM,17.13,17.22
02-Jul-20,7:00:00 PM,16.70,16.78
02-Jul-20,7:30:00 PM,16.40,16.48
02-Jul-20,8:00:00 PM,17.07,17.13
02-Jul-20,8:30:00 PM,17.43,17.48
02-Jul-20,9:00:00 PM,16.30,16.33
02-Jul-20,9:30:00 PM,16.75,16.77
02-Jul-20,10:00:00 PM,15.88,15.90
02-Jul-20,10:30:00 PM,14.88,14.89
02-Jul-20,11:00:00 PM,14.02,14.03
02-Jul-20,11:30:00 PM,13.53,13.53
03-Jul-20,12:00:00 AM,13.24,13.24
03-Jul-20,12:30:00 AM,13.14,13.15
03-Jul-20,1:00:00 AM,12.90,12.90
03-Jul-20,1:30:00 AM,12.60,12.60
03-Jul-20,2:00:00 AM,12.19,12.19
03-Jul-20,2:30:00 AM,11.73,11.74
03-Jul-20,3:00:00 AM,11.67,11.67
03-Jul-20,3:30:00 AM,11.50,11.50
03-Jul-20,4:00:00 AM,11.48,11.48
