Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,6.65,6.75
01-Jul-20,12:30:00 AM,5.92,6.03
01-Jul-20,1:00:00 AM,5.34,5.47
01-Jul-20,1:30:00 AM,4.95,5.08
01-Jul-20,2:00:00 AM,4.67,4.81
01-Jul-20,2:30:00 AM,4.66,4.80
01-Jul-20,3:00:00 AM,4.49,4.64
01-Jul-20,3:30:00 AM,4.54,4.67
01-Jul-20,4:00:00 AM,4.64,4.77
01-Jul-20,4:30:00 AM,4.80,4.93
01-Jul-20,5:00:00 AM,5.23,5.34
01-Jul-20,5:30:00 AM,5.97,6.05
01-Jul-20,6:00:00 AM,6.70,6.78
01-Jul-20,6:30:00 AM,7.98,8.05
01-Jul-20,7:00:00 AM,9.07,9.13
01-Jul-20,7:30:00 AM,9.15,9.20
01-Jul-20,8:00:00 AM,8.84,8.88
01-Jul-20,8:30:00 AM,7.85,7.89
01-Jul-20,9:00:00 AM,6.84,6.88
01-Jul-20,9:30:00 AM,5.65,5.70
01-Jul-20,10:00:00 AM,4.49,4.55
01-Jul-20,10:30:00 AM,4.03,4.08
01-Jul-20,11:00:00 AM,3.57,3.63
01-Jul-20,11:30:00 AM,2.94,3.02
01-Jul-20,12:00:00 PM,2.81,2.90
01-Jul-20,12:30:00 PM,3.15,3.22
01-Jul-20,1:00:00 PM,3.85,3.93
01-Jul-20,1:30:00 PM,4.35,4.41
01-Jul-20,2:00:00 PM,5.13,5.19
01-Jul-20,2:30:00 PM,5.62,5.68
01-Jul-20,3:00:00 PM,6.20,6.26
01-Jul-20,3:30:00 PM,6.76,6.82
01-Jul-20,4:00:00 PM,7.23,7.28
01-Jul-20,4:30:00 PM,8.22,8.26
01-Jul-20,5:00:00 PM,9.26,9.29
01-Jul-20,5:30:00 PM,10.23,10.24
01-Jul-20,6:00:00 PM,10.70,10.71
01-Jul-20,6:30:00 PM,11.21,11.22
01-Jul-20,7:00:00 PM,11.38,11.40
01-Jul-20,7:30:00 PM,10.76,10.78
01-Jul-20,8:00:00 PM,11.30,11.32
01-Jul-20,8:30:00 PM,10.74,10.77
01-Jul-20,9:00:00 PM,10.13,10.16
01-Jul-20,9:30:00 PM,9.91,9.95
01-Jul-20,10:00:00 PM,9.85,9.89
01-Jul-20,10:30:00 PM,8.88,8.94
01-Jul-20,11:00:00 PM,8.38,8.44
01-Jul-20,11:30:00 PM,7.70,7.77
02-Jul-20,12:00:00 AM,6.71,6.80
02-Jul-20,12:30:00 AM,5.96,6.06
02-Jul-20,1:00:00 AM,5.39,5.50
02-Jul-20,1:30:00 AM,5.06,5.19
02-Jul-20,2:00:00 AM,4.86,4.98
02-Jul-20,2:30:00 AM,4.69,4.83
02-Jul-20,3:00:00 AM,4.69,4.82
02-Jul-20,3:30:00 AM,4.64,4.77
02-Jul-20,4:00:00 AM,4.72,4.84
02-Jul-20,4:30:00 AM,4.85,4.97
02-Jul-20,5:00:00 AM,5.24,5.34
02-Jul-20,5:30:00 AM,6.02,6.10
02-Jul-20,6:00:00 AM,6.86,6.93
02-Jul-20,6:30:00 AM,8.09,8.15
02-Jul-20,7:00:00 AM,9.00,9.06
02-Jul-20,7:30:00 AM,9.03,9.07
02-Jul-20,8:00:00 AM,8.09,8.13
02-Jul-20,8:30:00 AM,7.44,7.47
02-Jul-20,9:00:00 AM,7.26,7.30
02-Jul-20,9:30:00 AM,6.02,6.06
02-Jul-20,10:00:00 AM,5.67,5.71
02-Jul-20,10:30:00 AM,4.57,4.62
02-Jul-20,11:00:00 AM,4.11,4.16
02-Jul-20,11:30:00 AM,2.96,3.02
02-Jul-20,12:00:00 PM,3.25,3.31
02-Jul-20,12:30:00 PM,4.02,4.09
02-Jul-20,1:00:00 PM,4.08,4.14
02-Jul-20,1:30:00 PM,4.36,4.41
02-Jul-20,2:00:00 PM,4.19,4.25
02-Jul-20,2:30:00 PM,4.57,4.63
02-Jul-20,3:00:00 PM,5.30,5.36
02-Jul-20,3:30:00 PM,6.14,6.20
02-Jul-20,4:00:00 PM,6.90,6.96
02-Jul-20,4:30:00 PM,7.82,7.87
02-Jul-20,5:00:00 PM,8.81,8.83
02-Jul-20,5:30:00 PM,9.40,9.42
02-Jul-20,6:00:00 PM,9.85,9.87
02-Jul-20,6:30:00 PM,10.53,10.55
02-Jul-20,7:00:00 PM,10.43,10.46
02-Jul-20,7:30:00 PM,10.05,10.07
02-Jul-20,8:00:00 PM,10.66,10.68
02-Jul-20,8:30:00 PM,10.04,10.07
02-Jul-20,9:00:00 PM,9.35,9.39
02-Jul-20,9:30:00 PM,9.23,9.27
02-Jul-20,10:00:00 PM,9.26,9.31
02-Jul-20,10:30:00 PM,8.49,8.55
02-Jul-20,11:00:00 PM,7.91,7.97
02-Jul-20,11:30:00 PM,7.32,7.40
03-Jul-20,12:00:00 AM,6.41,6.51
03-Jul-20,12:30:00 AM,5.60,5.72
03-Jul-20,1:00:00 AM,5.10,5.22
03-Jul-20,1:30:00 AM,4.78,4.91
03-Jul-20,2:00:00 AM,4.59,4.73
03-Jul-20,2:30:00 AM,4.54,4.68
03-Jul-20,3:00:00 AM,4.52,4.65
03-Jul-20,3:30:00 AM,4.40,4.55
03-Jul-20,4:00:00 AM,4.47,4.61
03-Jul-20,4:30:00 AM,4.63,4.77
03-Jul-20,5:00:00 AM,5.03,5.15
03-Jul-20,5:30:00 AM,5.59,5.69
03-Jul-20,6:00:00 AM,6.27,6.35
03-Jul-20,6:30:00 AM,7.32,7.39
03-Jul-20,7:00:00 AM,8.45,8.51
03-Jul-20,7:30:00 AM,8.54,8.59
03-Jul-20,8:00:00 AM,8.36,8.40
03-Jul-20,8:30:00 AM,7.53,7.57
03-Jul-20,9:00:00 AM,6.61,6.65
03-Jul-20,9:30:00 AM,5.61,5.66
03-Jul-20,10:00:00 AM,4.71,4.76
