Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,3.47,3.51
01-Jul-20,12:30:00 AM,3.25,3.29
01-Jul-20,1:00:00 AM,3.11,3.15
01-Jul-20,1:30:00 AM,2.94,2.98
01-Jul-20,2:00:00 AM,2.75,2.80
01-Jul-20,2:30:00 AM,2.65,2.70
01-Jul-20,3:00:00 AM,2.71,2.76
01-Jul-20,3:30:00 AM,2.69,2.74
01-Jul-20,4:00:00 AM,2.89,2.93
01-Jul-20,4:30:00 AM,3.04,3.08
01-Jul-20,5:00:00 AM,3.49,3.52
01-Jul-20,5:30:00 AM,3.89,3.91
01-Jul-20,6:00:00 AM,4.25,4.27
01-Jul-20,6:30:00 AM,4.46,4.48
01-Jul-20,7:00:00 AM,4.70,4.72
01-Jul-20,7:30:00 AM,4.21,4.22
01-Jul-20,8:00:00 AM,3.70,3.71
01-Jul-20,8:30:00 AM,3.01,3.02
01-Jul-20,9:00:00 AM,2.33,2.35
01-Jul-20,9:30:00 AM,1.84,1.86
01-Jul-20,10:00:00 AM,1.32,1.36
01-Jul-20,10:30:00 AM,1.00,1.03
01-Jul-20,11:00:00 AM,0.64,0.67
01-Jul-20,11:30:00 AM,0.46,0.52
01-Jul-20,12:00:00 PM,0.55,0.60
01-Jul-20,12:30:00 PM,0.44,0.51
01-Jul-20,1:00:00 PM,0.60,0.64
01-Jul-20,1:30:00 PM,0.82,0.86
01-Jul-20,2:00:00 PM,1.16,1.19
01-Jul-20,2:30:00 PM,1.61,1.64
01-Jul-20,3:00:00 PM,2.17,2.19
01-Jul-20,3:30:00 PM,2.70,2.73
01-Jul-20,4:00:00 PM,3.36,3.39
01-Jul-20,4:30:00 PM,4.07,4.10
01-Jul-20,5:00:00 PM,4.82,4.83
01-Jul-20,5:30:00 PM,5.40,5.40
01-Jul-20,6:00:00 PM,5.55,5.55
01-Jul-20,6:30:00 PM,5.56,5.57
01-Jul-20,7:00:00 PM,5.29,5.30
01-Jul-20,7:30:00 PM,5.19,5.20
01-Jul-20,8:00:00 PM,5.20,5.21
01-Jul-20,8:30:00 PM,5.10,5.11
01-Jul-20,9:00:00 PM,4.93,4.94
01-Jul-20,9:30:00 PM,4.62,4.63
01-Jul-20,10:00:00 PM,4.54,4.56
01-Jul-20,10:30:00 PM,4.76,4.78
01-Jul-20,11:00:00 PM,4.50,4.51
01-Jul-20,11:30:00 PM,3.96,3.99
02-Jul-20,12:00:00 AM,3.47,3.51
02-Jul-20,12:30:00 AM,3.23,3.27
02-Jul-20,1:00:00 AM,3.03,3.07
02-Jul-20,1:30:00 AM,2.82,2.87
02-Jul-20,2:00:00 AM,2.68,2.73
02-Jul-20,2:30:00 AM,2.62,2.66
02-Jul-20,3:00:00 AM,2.70,2.75
02-Jul-20,3:30:00 AM,2.67,2.72
02-Jul-20,4:00:00 AM,2.85,2.89
02-Jul-20,4:30:00 AM,3.04,3.08
02-Jul-20,5:00:00 AM,3.32,3.35
02-Jul-20,5:30:00 AM,3.71,3.74
02-Jul-20,6:00:00 AM,4.06,4.08
02-Jul-20,6:30:00 AM,4.35,4.37
02-Jul-20,7:00:00 AM,4.30,4.32
02-Jul-20,7:30:00 AM,4.11,4.13
02-Jul-20,8:00:00 AM,4.12,4.13
02-Jul-20,8:30:00 AM,3.81,3.82
02-Jul-20,9:00:00 AM,2.98,3.00
02-Jul-20,9:30:00 AM,2.38,2.40
02-Jul-20,10:00:00 AM,1.49,1.51
02-Jul-20,10:30:00 AM,1.03,1.07
02-Jul-20,11:00:00 AM,1.71,1.73
02-Jul-20,11:30:00 AM,0.85,0.88
02-Jul-20,12:00:00 PM,0.76,0.80
02-Jul-20,12:30:00 PM,0.38,0.43
02-Jul-20,1:00:00 PM,0.68,0.72
02-Jul-20,1:30:00 PM,1.19,1.21
02-Jul-20,2:00:00 PM,1.29,1.31
02-Jul-20,2:30:00 PM,1.60,1.62
02-Jul-20,3:00:00 PM,2.22,2.24
02-Jul-20,3:30:00 PM,2.75,2.77
02-Jul-20,4:00:00 PM,3.41,3.43
02-Jul-20,4:30:00 PM,3.92,3.94
02-Jul-20,5:00:00 PM,4.52,4.54
02-Jul-20,5:30:00 PM,5.19,5.20
