Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,3.09,3.12
01-Jul-20,12:30:00 AM,2.95,2.98
01-Jul-20,1:00:00 AM,2.74,2.78
01-Jul-20,1:30:00 AM,2.68,2.73
01-Jul-20,2:00:00 AM,2.67,2.71
01-Jul-20,2:30:00 AM,2.61,2.65
01-Jul-20,3:00:00 AM,2.73,2.76
01-Jul-20,3:30:00 AM,2.67,2.70
01-Jul-20,4:00:00 AM,3.04,3.07
01-Jul-20,4:30:00 AM,3.06,3.08
01-Jul-20,5:00:00 AM,3.43,3.44
01-Jul-20,5:30:00 AM,3.98,3.99
01-Jul-20,6:00:00 AM,4.65,4.65
01-Jul-20,6:30:00 AM,4.90,4.91
01-Jul-20,7:00:00 AM,5.54,5.54
01-Jul-20,7:30:00 AM,6.56,6.57
01-Jul-20,8:00:00 AM,7.10,7.12
01-Jul-20,8:30:00 AM,7.12,7.13
01-Jul-20,9:00:00 AM,6.68,6.69
01-Jul-20,9:30:00 AM,6.45,6.47
01-Jul-20,10:00:00 AM,5.97,5.98
01-Jul-20,10:30:00 AM,5.74,5.76
01-Jul-20,11:00:00 AM,5.62,5.64
01-Jul-20,11:30:00 AM,5.50,5.53
01-Jul-20,12:00:00 PM,5.62,5.65
01-Jul-20,12:30:00 PM,5.88,5.92
01-Jul-20,1:00:00 PM,6.12,6.16
01-Jul-20,1:30:00 PM,6.33,6.37
01-Jul-20,2:00:00 PM,5.85,5.88
01-Jul-20,2:30:00 PM,6.02,6.04
01-Jul-20,3:00:00 PM,6.43,6.45
01-Jul-20,3:30:00 PM,6.29,6.30
01-Jul-20,4:00:00 PM,6.33,6.33
01-Jul-20,4:30:00 PM,6.51,6.52
01-Jul-20,5:00:00 PM,6.49,6.49
01-Jul-20,5:30:00 PM,6.42,6.43
01-Jul-20,6:00:00 PM,5.90,5.90
01-Jul-20,6:30:00 PM,6.13,6.14
01-Jul-20,7:00:00 PM,5.76,5.76
01-Jul-20,7:30:00 PM,5.61,5.61
01-Jul-20,8:00:00 PM,5.67,5.67
01-Jul-20,8:30:00 PM,5.23,5.23
01-Jul-20,9:00:00 PM,5.01,5.01
01-Jul-20,9:30:00 PM,4.52,4.53
01-Jul-20,10:00:00 PM,4.17,4.18
01-Jul-20,10:30:00 PM,4.21,4.22
01-Jul-20,11:00:00 PM,3.81,3.83
01-Jul-20,11:30:00 PM,3.51,3.53
02-Jul-20,12:00:00 AM,3.05,3.08
02-Jul-20,12:30:00 AM,2.89,2.93
02-Jul-20,1:00:00 AM,2.80,2.83
02-Jul-20,1:30:00 AM,2.89,2.91
02-Jul-20,2:00:00 AM,2.74,2.78
02-Jul-20,2:30:00 AM,2.72,2.76
02-Jul-20,3:00:00 AM,2.65,2.69
02-Jul-20,3:30:00 AM,2.74,2.78
02-Jul-20,4:00:00 AM,3.17,3.19
02-Jul-20,4:30:00 AM,3.24,3.26
02-Jul-20,5:00:00 AM,3.44,3.45
02-Jul-20,5:30:00 AM,3.69,3.70
02-Jul-20,6:00:00 AM,4.35,4.35
02-Jul-20,6:30:00 AM,5.03,5.03
02-Jul-20,7:00:00 AM,5.35,5.35
02-Jul-20,7:30:00 AM,6.25,6.26
02-Jul-20,8:00:00 AM,6.92,6.93
02-Jul-20,8:30:00 AM,6.39,6.40
02-Jul-20,9:00:00 AM,6.54,6.55
02-Jul-20,9:30:00 AM,6.69,6.71
02-Jul-20,10:00:00 AM,6.05,6.07
02-Jul-20,10:30:00 AM,5.77,5.79
02-Jul-20,11:00:00 AM,6.23,6.25
02-Jul-20,11:30:00 AM,6.01,6.03
02-Jul-20,12:00:00 PM,5.54,5.57
02-Jul-20,12:30:00 PM,5.67,5.70
02-Jul-20,1:00:00 PM,5.75,5.78
02-Jul-20,1:30:00 PM,5.63,5.66
02-Jul-20,2:00:00 PM,6.01,6.05
02-Jul-20,2:30:00 PM,5.85,5.87
02-Jul-20,3:00:00 PM,6.06,6.08
02-Jul-20,3:30:00 PM,6.17,6.19
02-Jul-20,4:00:00 PM,6.43,6.45
02-Jul-20,4:30:00 PM,6.43,6.44
02-Jul-20,5:00:00 PM,6.57,6.58
02-Jul-20,5:30:00 PM,6.43,6.44
02-Jul-20,6:00:00 PM,5.81,5.81
02-Jul-20,6:30:00 PM,5.69,5.69
02-Jul-20,7:00:00 PM,5.27,5.27
02-Jul-20,7:30:00 PM,5.44,5.44
02-Jul-20,8:00:00 PM,5.37,5.37
02-Jul-20,8:30:00 PM,5.23,5.23
02-Jul-20,9:00:00 PM,4.69,4.69
02-Jul-20,9:30:00 PM,4.36,4.37
02-Jul-20,10:00:00 PM,4.18,4.20
02-Jul-20,10:30:00 PM,4.03,4.04
02-Jul-20,11:00:00 PM,3.83,3.85
02-Jul-20,11:30:00 PM,3.65,3.67
03-Jul-20,12:00:00 AM,3.35,3.37
03-Jul-20,12:30:00 AM,3.08,3.11
03-Jul-20,1:00:00 AM,2.73,2.77
03-Jul-20,1:30:00 AM,2.77,2.80
03-Jul-20,2:00:00 AM,2.67,2.71
03-Jul-20,2:30:00 AM,2.67,2.71
03-Jul-20,3:00:00 AM,2.65,2.69
03-Jul-20,3:30:00 AM,2.74,2.78
03-Jul-20,4:00:00 AM,3.16,3.18
03-Jul-20,4:30:00 AM,3.36,3.37
03-Jul-20,5:00:00 AM,3.30,3.32
03-Jul-20,5:30:00 AM,3.53,3.54
03-Jul-20,6:00:00 AM,4.06,4.06
03-Jul-20,6:30:00 AM,4.59,4.59
03-Jul-20,7:00:00 AM,5.13,5.13
03-Jul-20,7:30:00 AM,6.31,6.32
03-Jul-20,8:00:00 AM,6.96,6.98
