Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.47,7.55
01-Jul-20,12:30:00 AM,6.77,6.86
01-Jul-20,1:00:00 AM,6.32,6.43
01-Jul-20,1:30:00 AM,6.02,6.14
01-Jul-20,2:00:00 AM,5.69,5.83
01-Jul-20,2:30:00 AM,5.74,5.87
01-Jul-20,3:00:00 AM,5.74,5.88
01-Jul-20,3:30:00 AM,5.86,6.00
01-Jul-20,4:00:00 AM,6.14,6.27
01-Jul-20,4:30:00 AM,6.45,6.55
01-Jul-20,5:00:00 AM,7.19,7.26
01-Jul-20,5:30:00 AM,7.85,7.92
01-Jul-20,6:00:00 AM,8.55,8.62
01-Jul-20,6:30:00 AM,9.64,9.72
01-Jul-20,7:00:00 AM,9.98,10.06
01-Jul-20,7:30:00 AM,9.01,9.07
01-Jul-20,8:00:00 AM,7.54,7.63
01-Jul-20,8:30:00 AM,6.01,6.09
01-Jul-20,9:00:00 AM,4.69,4.78
01-Jul-20,9:30:00 AM,3.13,3.19
01-Jul-20,10:00:00 AM,1.97,2.08
01-Jul-20,10:30:00 AM,1.19,1.32
01-Jul-20,11:00:00 AM,1.37,1.43
01-Jul-20,11:30:00 AM,2.43,2.46
01-Jul-20,12:00:00 PM,0.48,0.48
01-Jul-20,12:30:00 PM,0.12,0.25
01-Jul-20,1:00:00 PM,0.63,0.68
01-Jul-20,1:30:00 PM,2.74,2.80
01-Jul-20,2:00:00 PM,3.56,3.62
01-Jul-20,2:30:00 PM,5.99,6.05
01-Jul-20,3:00:00 PM,6.31,6.39
01-Jul-20,3:30:00 PM,6.40,6.47
01-Jul-20,4:00:00 PM,7.68,7.77
01-Jul-20,4:30:00 PM,9.74,9.83
01-Jul-20,5:00:00 PM,11.24,11.29
01-Jul-20,5:30:00 PM,12.70,12.72
01-Jul-20,6:00:00 PM,12.96,12.97
01-Jul-20,6:30:00 PM,13.19,13.21
01-Jul-20,7:00:00 PM,12.84,12.86
01-Jul-20,7:30:00 PM,12.30,12.33
01-Jul-20,8:00:00 PM,12.53,12.56
01-Jul-20,8:30:00 PM,11.93,11.96
01-Jul-20,9:00:00 PM,11.25,11.29
01-Jul-20,9:30:00 PM,10.70,10.75
01-Jul-20,10:00:00 PM,10.15,10.21
01-Jul-20,10:30:00 PM,10.77,10.80
01-Jul-20,11:00:00 PM,10.00,10.05
01-Jul-20,11:30:00 PM,8.75,8.82
02-Jul-20,12:00:00 AM,7.68,7.76
02-Jul-20,12:30:00 AM,6.92,7.01
02-Jul-20,1:00:00 AM,6.39,6.49
02-Jul-20,1:30:00 AM,6.16,6.26
02-Jul-20,2:00:00 AM,5.87,5.99
02-Jul-20,2:30:00 AM,5.76,5.87
02-Jul-20,3:00:00 AM,5.84,5.95
02-Jul-20,3:30:00 AM,5.77,5.90
02-Jul-20,4:00:00 AM,6.12,6.24
02-Jul-20,4:30:00 AM,6.45,6.55
02-Jul-20,5:00:00 AM,7.08,7.16
02-Jul-20,5:30:00 AM,7.98,8.05
02-Jul-20,6:00:00 AM,8.70,8.74
02-Jul-20,6:30:00 AM,9.75,9.80
02-Jul-20,7:00:00 AM,10.09,10.14
02-Jul-20,7:30:00 AM,8.91,8.96
02-Jul-20,8:00:00 AM,7.53,7.62
02-Jul-20,8:30:00 AM,5.88,5.94
02-Jul-20,9:00:00 AM,4.13,4.20
02-Jul-20,9:30:00 AM,5.23,5.28
02-Jul-20,10:00:00 AM,4.25,4.32
02-Jul-20,10:30:00 AM,2.51,2.55
02-Jul-20,11:00:00 AM,0.95,1.06
02-Jul-20,11:30:00 AM,0.74,0.81
02-Jul-20,12:00:00 PM,2.75,2.76
02-Jul-20,12:30:00 PM,2.02,2.04
02-Jul-20,1:00:00 PM,4.02,4.06
02-Jul-20,1:30:00 PM,1.83,1.88
02-Jul-20,2:00:00 PM,4.22,4.30
02-Jul-20,2:30:00 PM,3.34,3.39
02-Jul-20,3:00:00 PM,4.50,4.56
02-Jul-20,3:30:00 PM,6.22,6.28
02-Jul-20,4:00:00 PM,7.77,7.86
02-Jul-20,4:30:00 PM,9.54,9.66
02-Jul-20,5:00:00 PM,11.03,11.11
02-Jul-20,5:30:00 PM,12.54,12.57
02-Jul-20,6:00:00 PM,12.66,12.68
02-Jul-20,6:30:00 PM,12.74,12.76
02-Jul-20,7:00:00 PM,12.44,12.47
02-Jul-20,7:30:00 PM,12.14,12.18
02-Jul-20,8:00:00 PM,12.25,12.27
02-Jul-20,8:30:00 PM,11.55,11.60
02-Jul-20,9:00:00 PM,11.06,11.11
02-Jul-20,9:30:00 PM,10.49,10.54
02-Jul-20,10:00:00 PM,10.07,10.11
02-Jul-20,10:30:00 PM,10.52,10.59
02-Jul-20,11:00:00 PM,9.86,9.94
02-Jul-20,11:30:00 PM,8.68,8.76
03-Jul-20,12:00:00 AM,7.53,7.63
03-Jul-20,12:30:00 AM,6.93,7.04
03-Jul-20,1:00:00 AM,6.38,6.50
03-Jul-20,1:30:00 AM,6.03,6.18
03-Jul-20,2:00:00 AM,5.86,6.01
03-Jul-20,2:30:00 AM,5.77,5.90
03-Jul-20,3:00:00 AM,5.74,5.92
03-Jul-20,3:30:00 AM,5.90,6.06
03-Jul-20,4:00:00 AM,6.11,6.25
03-Jul-20,4:30:00 AM,6.49,6.61
03-Jul-20,5:00:00 AM,7.00,7.11
03-Jul-20,5:30:00 AM,7.84,7.93
03-Jul-20,6:00:00 AM,8.43,8.49
03-Jul-20,6:30:00 AM,9.22,9.29
03-Jul-20,7:00:00 AM,9.75,9.81
03-Jul-20,7:30:00 AM,8.75,8.82
03-Jul-20,8:00:00 AM,7.46,7.52
03-Jul-20,8:30:00 AM,5.89,5.95
03-Jul-20,9:00:00 AM,4.26,4.34
03-Jul-20,9:30:00 AM,2.96,3.02
03-Jul-20,10:00:00 AM,1.69,1.81
03-Jul-20,10:30:00 AM,1.06,1.13
03-Jul-20,11:00:00 AM,0.47,0.58
03-Jul-20,11:30:00 AM,-0.06,0.22
03-Jul-20,12:00:00 PM,-0.05,0.23
03-Jul-20,12:30:00 PM,-0.03,0.23
03-Jul-20,1:00:00 PM,0.31,0.45
03-Jul-20,1:30:00 PM,0.88,0.96
03-Jul-20,2:00:00 PM,1.72,1.84
03-Jul-20,2:30:00 PM,3.29,3.37
03-Jul-20,3:00:00 PM,4.70,4.76
03-Jul-20,3:30:00 PM,5.84,5.88
03-Jul-20,4:00:00 PM,7.77,7.83
03-Jul-20,4:30:00 PM,9.33,9.40
03-Jul-20,5:00:00 PM,10.32,10.37
03-Jul-20,5:30:00 PM,11.33,11.35
03-Jul-20,6:00:00 PM,11.35,11.39
03-Jul-20,6:30:00 PM,11.52,11.54
03-Jul-20,7:00:00 PM,11.22,11.25
03-Jul-20,7:30:00 PM,10.82,10.86
03-Jul-20,8:00:00 PM,10.85,10.91
03-Jul-20,8:30:00 PM,10.53,10.58
03-Jul-20,9:00:00 PM,10.07,10.11
03-Jul-20,9:30:00 PM,9.67,9.72
03-Jul-20,10:00:00 PM,9.23,9.29
03-Jul-20,10:30:00 PM,9.90,9.96
03-Jul-20,11:00:00 PM,9.25,9.33
03-Jul-20,11:30:00 PM,7.97,8.05
04-Jul-20,12:00:00 AM,7.07,7.16
04-Jul-20,12:30:00 AM,6.47,6.58
04-Jul-20,1:00:00 AM,5.98,6.11
04-Jul-20,1:30:00 AM,5.60,5.72
04-Jul-20,2:00:00 AM,5.33,5.44
04-Jul-20,2:30:00 AM,5.21,5.32
04-Jul-20,3:00:00 AM,5.22,5.37
04-Jul-20,3:30:00 AM,5.38,5.54
04-Jul-20,4:00:00 AM,5.46,5.61
04-Jul-20,4:30:00 AM,5.50,5.65
04-Jul-20,5:00:00 AM,5.63,5.78
04-Jul-20,5:30:00 AM,6.03,6.15
04-Jul-20,6:00:00 AM,6.44,6.56
04-Jul-20,6:30:00 AM,7.04,7.21
04-Jul-20,7:00:00 AM,7.33,7.49
04-Jul-20,7:30:00 AM,6.65,6.77
04-Jul-20,8:00:00 AM,5.78,5.95
04-Jul-20,8:30:00 AM,4.59,4.78
04-Jul-20,9:00:00 AM,3.52,3.68
04-Jul-20,9:30:00 AM,2.59,2.74
04-Jul-20,10:00:00 AM,1.38,1.60
04-Jul-20,10:30:00 AM,0.58,0.83
04-Jul-20,11:00:00 AM,0.05,0.45
04-Jul-20,11:30:00 AM,-0.46,0.68
04-Jul-20,12:00:00 PM,-0.68,0.87
04-Jul-20,12:30:00 PM,-0.60,0.85
04-Jul-20,1:00:00 PM,-0.24,0.67
04-Jul-20,1:30:00 PM,0.27,0.63
04-Jul-20,2:00:00 PM,1.21,1.48
04-Jul-20,2:30:00 PM,2.45,2.61
04-Jul-20,3:00:00 PM,3.84,3.99
04-Jul-20,3:30:00 PM,5.35,5.48
04-Jul-20,4:00:00 PM,7.43,7.55
04-Jul-20,4:30:00 PM,9.44,9.55
04-Jul-20,5:00:00 PM,10.88,10.95
04-Jul-20,5:30:00 PM,12.02,12.05
04-Jul-20,6:00:00 PM,12.34,12.36
04-Jul-20,6:30:00 PM,12.35,12.37
04-Jul-20,7:00:00 PM,12.06,12.09
04-Jul-20,7:30:00 PM,11.72,11.75
04-Jul-20,8:00:00 PM,11.74,11.78
04-Jul-20,8:30:00 PM,11.36,11.40
04-Jul-20,9:00:00 PM,10.88,10.93
04-Jul-20,9:30:00 PM,10.56,10.60
04-Jul-20,10:00:00 PM,10.04,10.08
04-Jul-20,10:30:00 PM,10.68,10.72
04-Jul-20,11:00:00 PM,10.06,10.11
04-Jul-20,11:30:00 PM,8.94,9.00
05-Jul-20,12:00:00 AM,8.01,8.09
05-Jul-20,12:30:00 AM,7.22,7.31
05-Jul-20,1:00:00 AM,6.72,6.84
05-Jul-20,1:30:00 AM,6.27,6.40
05-Jul-20,2:00:00 AM,5.98,6.12
05-Jul-20,2:30:00 AM,5.90,6.04
05-Jul-20,3:00:00 AM,5.81,5.95
05-Jul-20,3:30:00 AM,5.83,5.98
05-Jul-20,4:00:00 AM,6.00,6.13
05-Jul-20,4:30:00 AM,6.22,6.36
05-Jul-20,5:00:00 AM,6.57,6.70
05-Jul-20,5:30:00 AM,6.91,7.02
05-Jul-20,6:00:00 AM,7.36,7.47
05-Jul-20,6:30:00 AM,8.17,8.34
05-Jul-20,7:00:00 AM,9.26,9.41
05-Jul-20,7:30:00 AM,8.76,8.88
05-Jul-20,8:00:00 AM,7.96,8.08
05-Jul-20,8:30:00 AM,6.45,6.58
05-Jul-20,9:00:00 AM,5.06,5.22
05-Jul-20,9:30:00 AM,3.61,3.77
05-Jul-20,10:00:00 AM,2.27,2.42
05-Jul-20,10:30:00 AM,1.28,1.50
05-Jul-20,11:00:00 AM,0.42,0.73
