Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,16.96,17.38
01-Jul-20,12:30:00 AM,15.89,16.34
01-Jul-20,1:00:00 AM,15.09,15.57
01-Jul-20,1:30:00 AM,14.46,14.98
01-Jul-20,2:00:00 AM,14.15,14.70
01-Jul-20,2:30:00 AM,14.03,14.57
01-Jul-20,3:00:00 AM,14.11,14.66
01-Jul-20,3:30:00 AM,14.41,14.92
01-Jul-20,4:00:00 AM,15.07,15.55
01-Jul-20,4:30:00 AM,15.82,16.27
01-Jul-20,5:00:00 AM,17.22,17.61
01-Jul-20,5:30:00 AM,18.89,19.19
01-Jul-20,6:00:00 AM,21.28,21.51
01-Jul-20,6:30:00 AM,23.19,23.44
01-Jul-20,7:00:00 AM,25.93,26.11
01-Jul-20,7:30:00 AM,26.30,26.44
01-Jul-20,8:00:00 AM,25.23,25.36
01-Jul-20,8:30:00 AM,21.95,22.06
01-Jul-20,9:00:00 AM,18.92,19.01
01-Jul-20,9:30:00 AM,15.75,15.83
01-Jul-20,10:00:00 AM,12.01,12.09
01-Jul-20,10:30:00 AM,10.49,10.54
01-Jul-20,11:00:00 AM,12.23,12.29
01-Jul-20,11:30:00 AM,11.66,11.73
01-Jul-20,12:00:00 PM,11.67,11.74
01-Jul-20,12:30:00 PM,14.34,14.42
01-Jul-20,1:00:00 PM,14.01,14.08
01-Jul-20,1:30:00 PM,13.94,14.04
01-Jul-20,2:00:00 PM,17.46,17.55
01-Jul-20,2:30:00 PM,20.40,20.50
01-Jul-20,3:00:00 PM,19.78,19.89
01-Jul-20,3:30:00 PM,22.64,22.74
01-Jul-20,4:00:00 PM,25.62,25.74
01-Jul-20,4:30:00 PM,28.55,28.67
01-Jul-20,5:00:00 PM,32.07,32.15
01-Jul-20,5:30:00 PM,34.06,34.12
01-Jul-20,6:00:00 PM,34.18,34.24
01-Jul-20,6:30:00 PM,33.98,34.04
01-Jul-20,7:00:00 PM,32.93,33.01
01-Jul-20,7:30:00 PM,32.33,32.42
01-Jul-20,8:00:00 PM,32.34,32.44
01-Jul-20,8:30:00 PM,30.25,30.37
01-Jul-20,9:00:00 PM,28.27,28.42
01-Jul-20,9:30:00 PM,26.70,26.88
01-Jul-20,10:00:00 PM,25.44,25.66
01-Jul-20,10:30:00 PM,26.38,26.60
01-Jul-20,11:00:00 PM,24.22,24.47
01-Jul-20,11:30:00 PM,21.17,21.49
