Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,18.88,19.01
01-Jul-20,12:30:00 AM,17.40,17.58
01-Jul-20,1:00:00 AM,16.20,16.39
01-Jul-20,1:30:00 AM,15.30,15.51
01-Jul-20,2:00:00 AM,15.08,15.32
01-Jul-20,2:30:00 AM,15.00,15.24
01-Jul-20,3:00:00 AM,14.92,15.18
01-Jul-20,3:30:00 AM,15.36,15.59
01-Jul-20,4:00:00 AM,16.03,16.22
01-Jul-20,4:30:00 AM,17.00,17.16
01-Jul-20,5:00:00 AM,18.60,18.73
01-Jul-20,5:30:00 AM,20.62,20.71
01-Jul-20,6:00:00 AM,23.62,23.65
01-Jul-20,6:30:00 AM,26.32,26.35
01-Jul-20,7:00:00 AM,29.04,29.05
01-Jul-20,7:30:00 AM,27.29,27.29
01-Jul-20,8:00:00 AM,26.77,26.77
01-Jul-20,8:30:00 AM,24.45,24.45
01-Jul-20,9:00:00 AM,21.21,21.22
01-Jul-20,9:30:00 AM,19.20,19.22
01-Jul-20,10:00:00 AM,17.22,17.24
01-Jul-20,10:30:00 AM,14.35,14.38
01-Jul-20,11:00:00 AM,12.83,12.86
01-Jul-20,11:30:00 AM,13.08,13.10
01-Jul-20,12:00:00 PM,13.36,13.37
01-Jul-20,12:30:00 PM,11.42,11.45
01-Jul-20,1:00:00 PM,13.38,13.39
01-Jul-20,1:30:00 PM,15.19,15.20
01-Jul-20,2:00:00 PM,14.89,14.90
01-Jul-20,2:30:00 PM,16.78,16.78
01-Jul-20,3:00:00 PM,19.23,19.24
01-Jul-20,3:30:00 PM,23.40,23.42
01-Jul-20,4:00:00 PM,24.79,24.82
01-Jul-20,4:30:00 PM,29.07,29.11
01-Jul-20,5:00:00 PM,33.39,33.40
01-Jul-20,5:30:00 PM,36.66,36.66
01-Jul-20,6:00:00 PM,37.29,37.29
01-Jul-20,6:30:00 PM,37.13,37.13
01-Jul-20,7:00:00 PM,35.60,35.61
01-Jul-20,7:30:00 PM,34.47,34.48
01-Jul-20,8:00:00 PM,33.78,33.80
01-Jul-20,8:30:00 PM,31.63,31.66
01-Jul-20,9:00:00 PM,29.71,29.75
01-Jul-20,9:30:00 PM,27.56,27.61
01-Jul-20,10:00:00 PM,26.40,26.46
01-Jul-20,10:30:00 PM,26.90,26.96
01-Jul-20,11:00:00 PM,24.66,24.73
01-Jul-20,11:30:00 PM,21.72,21.84
02-Jul-20,12:00:00 AM,19.14,19.27
02-Jul-20,12:30:00 AM,17.51,17.68
02-Jul-20,1:00:00 AM,16.56,16.73
02-Jul-20,1:30:00 AM,15.91,16.09
02-Jul-20,2:00:00 AM,15.44,15.63
02-Jul-20,2:30:00 AM,15.09,15.31
02-Jul-20,3:00:00 AM,15.33,15.56
02-Jul-20,3:30:00 AM,15.39,15.63
02-Jul-20,4:00:00 AM,16.15,16.35
02-Jul-20,4:30:00 AM,17.12,17.28
02-Jul-20,5:00:00 AM,18.91,19.03
02-Jul-20,5:30:00 AM,21.00,21.10
02-Jul-20,6:00:00 AM,23.79,23.83
02-Jul-20,6:30:00 AM,26.65,26.70
