Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,6.99,7.00
01-Jul-20,12:30:00 AM,6.26,6.27
01-Jul-20,1:00:00 AM,5.73,5.73
01-Jul-20,1:30:00 AM,5.32,5.33
01-Jul-20,2:00:00 AM,4.90,4.92
01-Jul-20,2:30:00 AM,4.84,4.85
01-Jul-20,3:00:00 AM,4.80,4.81
01-Jul-20,3:30:00 AM,4.80,4.81
01-Jul-20,4:00:00 AM,5.05,5.05
01-Jul-20,4:30:00 AM,5.28,5.29
01-Jul-20,5:00:00 AM,5.87,5.87
01-Jul-20,5:30:00 AM,6.44,6.44
01-Jul-20,6:00:00 AM,7.48,7.48
01-Jul-20,6:30:00 AM,8.08,8.09
01-Jul-20,7:00:00 AM,8.99,9.00
01-Jul-20,7:30:00 AM,9.41,9.42
01-Jul-20,8:00:00 AM,9.05,9.07
01-Jul-20,8:30:00 AM,8.05,8.07
01-Jul-20,9:00:00 AM,6.88,6.91
01-Jul-20,9:30:00 AM,5.44,5.48
01-Jul-20,10:00:00 AM,4.58,4.63
01-Jul-20,10:30:00 AM,4.06,4.15
01-Jul-20,11:00:00 AM,3.84,3.95
01-Jul-20,11:30:00 AM,4.29,4.39
01-Jul-20,12:00:00 PM,5.03,5.10
01-Jul-20,12:30:00 PM,4.90,4.95
01-Jul-20,1:00:00 PM,5.66,5.71
01-Jul-20,1:30:00 PM,5.79,5.87
01-Jul-20,2:00:00 PM,4.51,4.63
01-Jul-20,2:30:00 PM,4.96,5.05
01-Jul-20,3:00:00 PM,7.42,7.44
01-Jul-20,3:30:00 PM,7.60,7.62
01-Jul-20,4:00:00 PM,8.34,8.35
01-Jul-20,4:30:00 PM,9.12,9.12
01-Jul-20,5:00:00 PM,10.01,10.02
01-Jul-20,5:30:00 PM,10.44,10.44
01-Jul-20,6:00:00 PM,10.28,10.28
01-Jul-20,6:30:00 PM,10.18,10.18
01-Jul-20,7:00:00 PM,10.05,10.05
01-Jul-20,7:30:00 PM,10.18,10.18
01-Jul-20,8:00:00 PM,10.61,10.61
01-Jul-20,8:30:00 PM,10.31,10.31
01-Jul-20,9:00:00 PM,9.62,9.62
01-Jul-20,9:30:00 PM,9.28,9.28
01-Jul-20,10:00:00 PM,8.28,8.28
01-Jul-20,10:30:00 PM,9.62,9.62
01-Jul-20,11:00:00 PM,9.52,9.52
01-Jul-20,11:30:00 PM,8.20,8.20
02-Jul-20,12:00:00 AM,7.04,7.05
02-Jul-20,12:30:00 AM,6.25,6.26
02-Jul-20,1:00:00 AM,5.80,5.81
02-Jul-20,1:30:00 AM,5.35,5.36
02-Jul-20,2:00:00 AM,5.11,5.12
02-Jul-20,2:30:00 AM,4.94,4.96
02-Jul-20,3:00:00 AM,4.90,4.91
02-Jul-20,3:30:00 AM,4.94,4.95
02-Jul-20,4:00:00 AM,5.05,5.06
02-Jul-20,4:30:00 AM,5.33,5.35
02-Jul-20,5:00:00 AM,6.02,6.03
02-Jul-20,5:30:00 AM,6.75,6.76
02-Jul-20,6:00:00 AM,7.82,7.82
02-Jul-20,6:30:00 AM,8.66,8.66
02-Jul-20,7:00:00 AM,9.36,9.36
02-Jul-20,7:30:00 AM,9.08,9.09
02-Jul-20,8:00:00 AM,9.20,9.21
02-Jul-20,8:30:00 AM,8.44,8.46
02-Jul-20,9:00:00 AM,7.54,7.56
02-Jul-20,9:30:00 AM,7.61,7.64
02-Jul-20,10:00:00 AM,5.85,5.90
02-Jul-20,10:30:00 AM,4.43,4.50
02-Jul-20,11:00:00 AM,4.26,4.36
02-Jul-20,11:30:00 AM,3.34,3.47
02-Jul-20,12:00:00 PM,4.48,4.56
02-Jul-20,12:30:00 PM,4.24,4.32
02-Jul-20,1:00:00 PM,4.20,4.30
02-Jul-20,1:30:00 PM,4.70,4.80
02-Jul-20,2:00:00 PM,4.91,5.02
02-Jul-20,2:30:00 PM,5.57,5.63
02-Jul-20,3:00:00 PM,6.56,6.59
02-Jul-20,3:30:00 PM,7.33,7.35
02-Jul-20,4:00:00 PM,8.28,8.29
02-Jul-20,4:30:00 PM,9.25,9.25
02-Jul-20,5:00:00 PM,9.84,9.84
02-Jul-20,5:30:00 PM,10.27,10.28
02-Jul-20,6:00:00 PM,10.34,10.34
02-Jul-20,6:30:00 PM,10.15,10.15
02-Jul-20,7:00:00 PM,10.17,10.17
02-Jul-20,7:30:00 PM,9.94,9.94
02-Jul-20,8:00:00 PM,10.36,10.36
02-Jul-20,8:30:00 PM,10.57,10.57
02-Jul-20,9:00:00 PM,10.00,10.00
02-Jul-20,9:30:00 PM,9.52,9.52
02-Jul-20,10:00:00 PM,8.35,8.35
02-Jul-20,10:30:00 PM,9.51,9.51
02-Jul-20,11:00:00 PM,9.12,9.13
02-Jul-20,11:30:00 PM,7.73,7.73
03-Jul-20,12:00:00 AM,6.81,6.82
03-Jul-20,12:30:00 AM,6.05,6.05
03-Jul-20,1:00:00 AM,5.54,5.55
03-Jul-20,1:30:00 AM,5.26,5.27
03-Jul-20,2:00:00 AM,5.05,5.06
03-Jul-20,2:30:00 AM,4.93,4.94
03-Jul-20,3:00:00 AM,4.92,4.93
03-Jul-20,3:30:00 AM,4.95,4.96
03-Jul-20,4:00:00 AM,5.05,5.06
03-Jul-20,4:30:00 AM,5.29,5.30
03-Jul-20,5:00:00 AM,5.82,5.83
03-Jul-20,5:30:00 AM,6.49,6.49
03-Jul-20,6:00:00 AM,7.48,7.48
03-Jul-20,6:30:00 AM,8.22,8.22
03-Jul-20,7:00:00 AM,9.15,9.15
03-Jul-20,7:30:00 AM,9.18,9.18
03-Jul-20,8:00:00 AM,8.52,8.54
03-Jul-20,8:30:00 AM,7.55,7.58
03-Jul-20,9:00:00 AM,6.56,6.59
03-Jul-20,9:30:00 AM,5.47,5.52
03-Jul-20,10:00:00 AM,4.67,4.74
03-Jul-20,10:30:00 AM,4.05,4.15
03-Jul-20,11:00:00 AM,3.58,3.73
03-Jul-20,11:30:00 AM,3.36,3.51
03-Jul-20,12:00:00 PM,3.31,3.49
03-Jul-20,12:30:00 PM,3.24,3.41
03-Jul-20,1:00:00 PM,3.38,3.54
03-Jul-20,1:30:00 PM,3.74,3.84
03-Jul-20,2:00:00 PM,4.25,4.33
03-Jul-20,2:30:00 PM,4.94,5.00
03-Jul-20,3:00:00 PM,5.88,5.90
03-Jul-20,3:30:00 PM,6.68,6.69
03-Jul-20,4:00:00 PM,7.54,7.54
03-Jul-20,4:30:00 PM,8.57,8.57
03-Jul-20,5:00:00 PM,9.12,9.13
03-Jul-20,5:30:00 PM,9.37,9.37
03-Jul-20,6:00:00 PM,9.25,9.25
03-Jul-20,6:30:00 PM,9.18,9.18
03-Jul-20,7:00:00 PM,9.16,9.16
03-Jul-20,7:30:00 PM,8.95,8.95
03-Jul-20,8:00:00 PM,9.25,9.26
03-Jul-20,8:30:00 PM,9.11,9.11
03-Jul-20,9:00:00 PM,8.66,8.66
03-Jul-20,9:30:00 PM,8.33,8.33
03-Jul-20,10:00:00 PM,7.52,7.52
03-Jul-20,10:30:00 PM,8.90,8.90
03-Jul-20,11:00:00 PM,8.75,8.75
03-Jul-20,11:30:00 PM,7.72,7.73
04-Jul-20,12:00:00 AM,6.66,6.67
04-Jul-20,12:30:00 AM,5.90,5.90
04-Jul-20,1:00:00 AM,5.41,5.42
04-Jul-20,1:30:00 AM,5.08,5.08
04-Jul-20,2:00:00 AM,4.76,4.78
04-Jul-20,2:30:00 AM,4.64,4.66
04-Jul-20,3:00:00 AM,4.50,4.52
04-Jul-20,3:30:00 AM,4.53,4.55
04-Jul-20,4:00:00 AM,4.55,4.57
04-Jul-20,4:30:00 AM,4.59,4.61
04-Jul-20,5:00:00 AM,4.77,4.79
04-Jul-20,5:30:00 AM,5.05,5.07
04-Jul-20,6:00:00 AM,5.45,5.46
04-Jul-20,6:30:00 AM,5.99,6.02
04-Jul-20,7:00:00 AM,6.43,6.45
04-Jul-20,7:30:00 AM,6.47,6.48
04-Jul-20,8:00:00 AM,6.22,6.23
04-Jul-20,8:30:00 AM,5.66,5.67
04-Jul-20,9:00:00 AM,5.01,5.01
04-Jul-20,9:30:00 AM,4.18,4.18
04-Jul-20,10:00:00 AM,3.27,3.27
04-Jul-20,10:30:00 AM,2.64,2.65
04-Jul-20,11:00:00 AM,2.07,2.08
04-Jul-20,11:30:00 AM,1.57,1.57
04-Jul-20,12:00:00 PM,1.34,1.34
04-Jul-20,12:30:00 PM,1.39,1.39
04-Jul-20,1:00:00 PM,1.63,1.63
04-Jul-20,1:30:00 PM,2.07,2.07
04-Jul-20,2:00:00 PM,2.67,2.68
04-Jul-20,2:30:00 PM,3.45,3.45
04-Jul-20,3:00:00 PM,4.46,4.47
04-Jul-20,3:30:00 PM,5.48,5.49
04-Jul-20,4:00:00 PM,6.75,6.76
04-Jul-20,4:30:00 PM,8.04,8.04
04-Jul-20,5:00:00 PM,8.82,8.82
04-Jul-20,5:30:00 PM,9.17,9.17
04-Jul-20,6:00:00 PM,9.12,9.12
04-Jul-20,6:30:00 PM,9.30,9.30
04-Jul-20,7:00:00 PM,9.19,9.19
04-Jul-20,7:30:00 PM,9.19,9.19
04-Jul-20,8:00:00 PM,9.53,9.53
04-Jul-20,8:30:00 PM,9.36,9.36
04-Jul-20,9:00:00 PM,8.87,8.87
04-Jul-20,9:30:00 PM,8.78,8.78
04-Jul-20,10:00:00 PM,8.13,8.14
04-Jul-20,10:30:00 PM,9.65,9.65
04-Jul-20,11:00:00 PM,9.63,9.63
04-Jul-20,11:30:00 PM,8.36,8.37
05-Jul-20,12:00:00 AM,7.30,7.31
05-Jul-20,12:30:00 AM,6.54,6.56
05-Jul-20,1:00:00 AM,5.97,5.99
05-Jul-20,1:30:00 AM,5.41,5.44
05-Jul-20,2:00:00 AM,5.17,5.19
05-Jul-20,2:30:00 AM,4.93,4.96
05-Jul-20,3:00:00 AM,4.75,4.78
05-Jul-20,3:30:00 AM,4.82,4.85
05-Jul-20,4:00:00 AM,4.85,4.88
05-Jul-20,4:30:00 AM,4.90,4.94
05-Jul-20,5:00:00 AM,5.10,5.13
