Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,4.97,4.97
01-Jul-20,12:30:00 AM,4.66,4.67
01-Jul-20,1:00:00 AM,4.41,4.41
01-Jul-20,1:30:00 AM,4.37,4.38
01-Jul-20,2:00:00 AM,4.26,4.26
01-Jul-20,2:30:00 AM,4.32,4.32
01-Jul-20,3:00:00 AM,4.34,4.35
01-Jul-20,3:30:00 AM,4.26,4.27
01-Jul-20,4:00:00 AM,4.45,4.45
01-Jul-20,4:30:00 AM,4.65,4.65
01-Jul-20,5:00:00 AM,5.28,5.28
01-Jul-20,5:30:00 AM,5.73,5.74
01-Jul-20,6:00:00 AM,6.47,6.49
01-Jul-20,6:30:00 AM,7.00,7.02
01-Jul-20,7:00:00 AM,7.59,7.61
01-Jul-20,7:30:00 AM,7.96,7.98
01-Jul-20,8:00:00 AM,8.22,8.25
01-Jul-20,8:30:00 AM,8.33,8.37
01-Jul-20,9:00:00 AM,7.91,7.96
01-Jul-20,9:30:00 AM,7.47,7.53
01-Jul-20,10:00:00 AM,7.28,7.35
01-Jul-20,10:30:00 AM,7.07,7.18
01-Jul-20,11:00:00 AM,7.04,7.16
01-Jul-20,11:30:00 AM,7.30,7.43
01-Jul-20,12:00:00 PM,7.66,7.77
01-Jul-20,12:30:00 PM,7.63,7.75
01-Jul-20,1:00:00 PM,7.25,7.40
01-Jul-20,1:30:00 PM,7.36,7.51
01-Jul-20,2:00:00 PM,7.69,7.82
01-Jul-20,2:30:00 PM,7.94,8.05
01-Jul-20,3:00:00 PM,8.48,8.56
01-Jul-20,3:30:00 PM,8.63,8.71
01-Jul-20,4:00:00 PM,9.00,9.07
01-Jul-20,4:30:00 PM,9.29,9.36
01-Jul-20,5:00:00 PM,9.18,9.25
01-Jul-20,5:30:00 PM,9.21,9.27
01-Jul-20,6:00:00 PM,8.96,9.02
01-Jul-20,6:30:00 PM,8.76,8.81
01-Jul-20,7:00:00 PM,8.63,8.67
01-Jul-20,7:30:00 PM,8.65,8.69
01-Jul-20,8:00:00 PM,8.62,8.65
01-Jul-20,8:30:00 PM,8.19,8.21
01-Jul-20,9:00:00 PM,7.51,7.53
01-Jul-20,9:30:00 PM,7.08,7.10
01-Jul-20,10:00:00 PM,6.56,6.57
01-Jul-20,10:30:00 PM,6.44,6.45
01-Jul-20,11:00:00 PM,5.89,5.90
01-Jul-20,11:30:00 PM,5.51,5.52
02-Jul-20,12:00:00 AM,5.02,5.03
02-Jul-20,12:30:00 AM,4.76,4.77
02-Jul-20,1:00:00 AM,4.52,4.52
02-Jul-20,1:30:00 AM,4.51,4.51
02-Jul-20,2:00:00 AM,4.33,4.33
02-Jul-20,2:30:00 AM,4.31,4.31
02-Jul-20,3:00:00 AM,4.41,4.41
02-Jul-20,3:30:00 AM,4.47,4.47
02-Jul-20,4:00:00 AM,4.50,4.50
02-Jul-20,4:30:00 AM,4.76,4.76
02-Jul-20,5:00:00 AM,5.49,5.50
02-Jul-20,5:30:00 AM,5.87,5.88
02-Jul-20,6:00:00 AM,6.68,6.70
02-Jul-20,6:30:00 AM,7.20,7.22
02-Jul-20,7:00:00 AM,7.69,7.71
02-Jul-20,7:30:00 AM,7.88,7.91
02-Jul-20,8:00:00 AM,8.47,8.50
02-Jul-20,8:30:00 AM,8.33,8.38
02-Jul-20,9:00:00 AM,8.35,8.40
02-Jul-20,9:30:00 AM,8.29,8.34
02-Jul-20,10:00:00 AM,7.94,8.02
02-Jul-20,10:30:00 AM,7.61,7.70
02-Jul-20,11:00:00 AM,7.33,7.44
02-Jul-20,11:30:00 AM,6.83,6.95
02-Jul-20,12:00:00 PM,7.78,7.89
02-Jul-20,12:30:00 PM,7.56,7.67
02-Jul-20,1:00:00 PM,7.55,7.68
02-Jul-20,1:30:00 PM,7.79,7.90
02-Jul-20,2:00:00 PM,7.71,7.82
02-Jul-20,2:30:00 PM,8.04,8.14
02-Jul-20,3:00:00 PM,8.28,8.38
02-Jul-20,3:30:00 PM,8.47,8.54
02-Jul-20,4:00:00 PM,8.69,8.75
02-Jul-20,4:30:00 PM,9.21,9.27
02-Jul-20,5:00:00 PM,9.39,9.45
02-Jul-20,5:30:00 PM,9.64,9.71
02-Jul-20,6:00:00 PM,9.58,9.65
02-Jul-20,6:30:00 PM,9.45,9.50
02-Jul-20,7:00:00 PM,9.34,9.39
02-Jul-20,7:30:00 PM,9.18,9.23
02-Jul-20,8:00:00 PM,9.08,9.12
02-Jul-20,8:30:00 PM,8.72,8.76
02-Jul-20,9:00:00 PM,7.73,7.76
02-Jul-20,9:30:00 PM,7.27,7.29
02-Jul-20,10:00:00 PM,6.54,6.54
02-Jul-20,10:30:00 PM,6.49,6.50
02-Jul-20,11:00:00 PM,6.05,6.06
02-Jul-20,11:30:00 PM,5.59,5.60
03-Jul-20,12:00:00 AM,4.97,4.97
03-Jul-20,12:30:00 AM,4.69,4.69
03-Jul-20,1:00:00 AM,4.54,4.55
03-Jul-20,1:30:00 AM,4.46,4.46
03-Jul-20,2:00:00 AM,4.36,4.36
03-Jul-20,2:30:00 AM,4.36,4.36
03-Jul-20,3:00:00 AM,4.33,4.33
03-Jul-20,3:30:00 AM,4.44,4.44
03-Jul-20,4:00:00 AM,4.63,4.64
03-Jul-20,4:30:00 AM,4.74,4.75
03-Jul-20,5:00:00 AM,5.35,5.36
03-Jul-20,5:30:00 AM,5.76,5.77
03-Jul-20,6:00:00 AM,6.46,6.48
03-Jul-20,6:30:00 AM,6.90,6.92
03-Jul-20,7:00:00 AM,7.54,7.56
03-Jul-20,7:30:00 AM,7.83,7.86
03-Jul-20,8:00:00 AM,8.11,8.14
03-Jul-20,8:30:00 AM,8.07,8.12
03-Jul-20,9:00:00 AM,7.83,7.89
03-Jul-20,9:30:00 AM,7.51,7.56
03-Jul-20,10:00:00 AM,7.18,7.25
03-Jul-20,10:30:00 AM,7.06,7.14
03-Jul-20,11:00:00 AM,6.86,6.96
03-Jul-20,11:30:00 AM,7.15,7.28
03-Jul-20,12:00:00 PM,7.23,7.36
03-Jul-20,12:30:00 PM,7.32,7.45
03-Jul-20,1:00:00 PM,7.61,7.76
03-Jul-20,1:30:00 PM,7.77,7.90
03-Jul-20,2:00:00 PM,7.94,8.07
03-Jul-20,2:30:00 PM,8.34,8.49
03-Jul-20,3:00:00 PM,8.70,8.83
03-Jul-20,3:30:00 PM,8.92,9.01
03-Jul-20,4:00:00 PM,9.17,9.26
03-Jul-20,4:30:00 PM,9.24,9.30
03-Jul-20,5:00:00 PM,9.08,9.13
03-Jul-20,5:30:00 PM,9.06,9.13
03-Jul-20,6:00:00 PM,8.54,8.61
03-Jul-20,6:30:00 PM,8.39,8.44
03-Jul-20,7:00:00 PM,8.26,8.30
03-Jul-20,7:30:00 PM,8.13,8.16
03-Jul-20,8:00:00 PM,8.23,8.27
03-Jul-20,8:30:00 PM,7.84,7.87
03-Jul-20,9:00:00 PM,7.18,7.20
03-Jul-20,9:30:00 PM,6.79,6.81
03-Jul-20,10:00:00 PM,6.47,6.49
