Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,12.27,12.71
01-Jul-20,12:30:00 AM,12.19,12.63
01-Jul-20,1:00:00 AM,12.20,12.64
01-Jul-20,1:30:00 AM,11.93,12.36
01-Jul-20,2:00:00 AM,11.52,11.93
01-Jul-20,2:30:00 AM,11.21,11.64
01-Jul-20,3:00:00 AM,10.88,11.28
01-Jul-20,3:30:00 AM,10.97,11.39
01-Jul-20,4:00:00 AM,11.18,11.61
01-Jul-20,4:30:00 AM,11.77,12.22
01-Jul-20,5:00:00 AM,13.40,13.93
01-Jul-20,5:30:00 AM,13.96,14.54
01-Jul-20,6:00:00 AM,13.88,14.40
01-Jul-20,6:30:00 AM,14.65,15.14
01-Jul-20,7:00:00 AM,15.23,15.72
01-Jul-20,7:30:00 AM,15.43,15.95
01-Jul-20,8:00:00 AM,15.30,15.85
01-Jul-20,8:30:00 AM,14.63,15.24
01-Jul-20,9:00:00 AM,14.03,14.69
01-Jul-20,9:30:00 AM,13.16,13.85
01-Jul-20,10:00:00 AM,12.81,13.48
01-Jul-20,10:30:00 AM,12.44,13.13
01-Jul-20,11:00:00 AM,11.96,12.67
01-Jul-20,11:30:00 AM,11.41,12.13
01-Jul-20,12:00:00 PM,12.10,12.86
01-Jul-20,12:30:00 PM,12.11,12.90
01-Jul-20,1:00:00 PM,12.17,12.95
01-Jul-20,1:30:00 PM,12.38,13.16
01-Jul-20,2:00:00 PM,13.22,14.05
01-Jul-20,2:30:00 PM,13.09,13.76
01-Jul-20,3:00:00 PM,14.15,14.90
01-Jul-20,3:30:00 PM,14.64,15.35
01-Jul-20,4:00:00 PM,15.28,15.96
01-Jul-20,4:30:00 PM,15.69,16.33
01-Jul-20,5:00:00 PM,16.31,16.94
01-Jul-20,5:30:00 PM,16.75,17.35
01-Jul-20,6:00:00 PM,16.80,17.39
01-Jul-20,6:30:00 PM,16.51,17.09
01-Jul-20,7:00:00 PM,15.97,16.59
01-Jul-20,7:30:00 PM,15.81,16.44
01-Jul-20,8:00:00 PM,15.36,15.95
01-Jul-20,8:30:00 PM,15.71,16.31
01-Jul-20,9:00:00 PM,15.04,15.61
01-Jul-20,9:30:00 PM,14.94,15.51
01-Jul-20,10:00:00 PM,14.19,14.72
01-Jul-20,10:30:00 PM,13.76,14.30
01-Jul-20,11:00:00 PM,13.27,13.77
01-Jul-20,11:30:00 PM,12.72,13.20
02-Jul-20,12:00:00 AM,12.29,12.76
02-Jul-20,12:30:00 AM,12.45,12.92
02-Jul-20,1:00:00 AM,12.45,12.97
02-Jul-20,1:30:00 AM,12.12,12.61
02-Jul-20,2:00:00 AM,11.68,12.15
02-Jul-20,2:30:00 AM,11.12,11.57
02-Jul-20,3:00:00 AM,11.31,11.79
02-Jul-20,3:30:00 AM,11.66,12.14
02-Jul-20,4:00:00 AM,11.93,12.41
02-Jul-20,4:30:00 AM,12.04,12.54
02-Jul-20,5:00:00 AM,13.65,14.25
02-Jul-20,5:30:00 AM,14.39,14.96
02-Jul-20,6:00:00 AM,15.38,15.98
02-Jul-20,6:30:00 AM,15.29,15.84
02-Jul-20,7:00:00 AM,16.15,16.78
02-Jul-20,7:30:00 AM,16.79,17.45
02-Jul-20,8:00:00 AM,16.42,17.07
02-Jul-20,8:30:00 AM,15.73,16.39
02-Jul-20,9:00:00 AM,15.33,16.00
02-Jul-20,9:30:00 AM,14.61,15.33
02-Jul-20,10:00:00 AM,12.94,13.64
02-Jul-20,10:30:00 AM,13.07,13.80
02-Jul-20,11:00:00 AM,13.32,14.14
02-Jul-20,11:30:00 AM,13.13,13.95
02-Jul-20,12:00:00 PM,13.37,14.25
02-Jul-20,12:30:00 PM,12.82,13.71
02-Jul-20,1:00:00 PM,13.17,14.11
02-Jul-20,1:30:00 PM,13.21,14.12
02-Jul-20,2:00:00 PM,13.75,14.74
02-Jul-20,2:30:00 PM,13.49,14.40
02-Jul-20,3:00:00 PM,13.55,14.41
02-Jul-20,3:30:00 PM,14.27,15.05
02-Jul-20,4:00:00 PM,14.19,14.82
02-Jul-20,4:30:00 PM,14.73,15.36
02-Jul-20,5:00:00 PM,15.58,16.30
02-Jul-20,5:30:00 PM,15.60,16.25
02-Jul-20,6:00:00 PM,15.33,15.93
02-Jul-20,6:30:00 PM,14.74,15.36
02-Jul-20,7:00:00 PM,14.64,15.26
02-Jul-20,7:30:00 PM,13.90,14.44
02-Jul-20,8:00:00 PM,14.41,14.97
02-Jul-20,8:30:00 PM,14.26,14.79
02-Jul-20,9:00:00 PM,13.93,14.45
02-Jul-20,9:30:00 PM,13.90,14.39
02-Jul-20,10:00:00 PM,13.49,13.99
02-Jul-20,10:30:00 PM,12.93,13.41
02-Jul-20,11:00:00 PM,12.81,13.28
02-Jul-20,11:30:00 PM,12.42,12.87
03-Jul-20,12:00:00 AM,10.78,11.17
03-Jul-20,12:30:00 AM,11.15,11.55
03-Jul-20,1:00:00 AM,11.86,12.31
03-Jul-20,1:30:00 AM,11.86,12.34
03-Jul-20,2:00:00 AM,11.54,12.03
03-Jul-20,2:30:00 AM,10.56,11.00
03-Jul-20,3:00:00 AM,10.98,11.45
03-Jul-20,3:30:00 AM,10.71,11.21
03-Jul-20,4:00:00 AM,11.23,11.72
03-Jul-20,4:30:00 AM,11.62,12.14
03-Jul-20,5:00:00 AM,13.14,13.75
03-Jul-20,5:30:00 AM,13.61,14.23
03-Jul-20,6:00:00 AM,14.64,15.36
03-Jul-20,6:30:00 AM,14.80,15.44
03-Jul-20,7:00:00 AM,14.89,15.46
03-Jul-20,7:30:00 AM,15.01,15.65
03-Jul-20,8:00:00 AM,15.01,15.63
03-Jul-20,8:30:00 AM,14.48,15.10
03-Jul-20,9:00:00 AM,13.95,14.63
03-Jul-20,9:30:00 AM,13.39,14.14
03-Jul-20,10:00:00 AM,13.15,14.03
03-Jul-20,10:30:00 AM,12.36,13.25
03-Jul-20,11:00:00 AM,11.89,12.75
03-Jul-20,11:30:00 AM,12.05,12.95
03-Jul-20,12:00:00 PM,12.04,12.91
03-Jul-20,12:30:00 PM,12.10,12.90
03-Jul-20,1:00:00 PM,12.20,13.01
03-Jul-20,1:30:00 PM,12.24,13.02
03-Jul-20,2:00:00 PM,12.24,12.98
03-Jul-20,2:30:00 PM,12.41,13.11
03-Jul-20,3:00:00 PM,12.89,13.58
03-Jul-20,3:30:00 PM,13.61,14.27
03-Jul-20,4:00:00 PM,13.75,14.42
03-Jul-20,4:30:00 PM,14.00,14.61
03-Jul-20,5:00:00 PM,14.31,14.95
03-Jul-20,5:30:00 PM,14.76,15.38
03-Jul-20,6:00:00 PM,14.27,14.87
03-Jul-20,6:30:00 PM,14.14,14.73
03-Jul-20,7:00:00 PM,13.95,14.52
03-Jul-20,7:30:00 PM,13.29,13.83
03-Jul-20,8:00:00 PM,13.41,13.96
03-Jul-20,8:30:00 PM,12.66,13.11
03-Jul-20,9:00:00 PM,12.68,13.11
03-Jul-20,9:30:00 PM,13.02,13.46
03-Jul-20,10:00:00 PM,13.08,13.58
03-Jul-20,10:30:00 PM,11.93,12.39
03-Jul-20,11:00:00 PM,12.09,12.52
03-Jul-20,11:30:00 PM,11.17,11.58
04-Jul-20,12:00:00 AM,10.64,11.05
04-Jul-20,12:30:00 AM,10.56,10.98
04-Jul-20,1:00:00 AM,10.60,10.95
04-Jul-20,1:30:00 AM,10.56,10.96
04-Jul-20,2:00:00 AM,10.58,10.98
04-Jul-20,2:30:00 AM,10.37,10.76
04-Jul-20,3:00:00 AM,10.16,10.61
04-Jul-20,3:30:00 AM,10.29,10.75
04-Jul-20,4:00:00 AM,10.61,11.09
04-Jul-20,4:30:00 AM,10.51,10.97
04-Jul-20,5:00:00 AM,10.83,11.26
04-Jul-20,5:30:00 AM,12.09,12.60
04-Jul-20,6:00:00 AM,12.02,12.59
04-Jul-20,6:30:00 AM,11.91,12.36
04-Jul-20,7:00:00 AM,12.60,13.09
04-Jul-20,7:30:00 AM,12.32,12.80
04-Jul-20,8:00:00 AM,12.52,13.07
04-Jul-20,8:30:00 AM,12.27,12.83
04-Jul-20,9:00:00 AM,11.05,11.62
04-Jul-20,9:30:00 AM,11.07,11.69
04-Jul-20,10:00:00 AM,10.68,11.36
04-Jul-20,10:30:00 AM,10.39,11.10
04-Jul-20,11:00:00 AM,9.70,10.38
04-Jul-20,11:30:00 AM,9.26,9.89
04-Jul-20,12:00:00 PM,8.66,9.25
04-Jul-20,12:30:00 PM,8.80,9.40
04-Jul-20,1:00:00 PM,9.15,9.81
04-Jul-20,1:30:00 PM,9.22,9.80
04-Jul-20,2:00:00 PM,8.68,9.19
04-Jul-20,2:30:00 PM,9.04,9.51
04-Jul-20,3:00:00 PM,10.22,10.66
04-Jul-20,3:30:00 PM,11.07,11.57
04-Jul-20,4:00:00 PM,11.92,12.44
04-Jul-20,4:30:00 PM,12.23,12.70
04-Jul-20,5:00:00 PM,12.80,13.31
04-Jul-20,5:30:00 PM,12.86,13.28
04-Jul-20,6:00:00 PM,12.57,13.01
04-Jul-20,6:30:00 PM,12.62,13.05
04-Jul-20,7:00:00 PM,12.20,12.63
04-Jul-20,7:30:00 PM,12.01,12.45
04-Jul-20,8:00:00 PM,12.77,13.18
04-Jul-20,8:30:00 PM,13.05,13.46
04-Jul-20,9:00:00 PM,12.96,13.35
04-Jul-20,9:30:00 PM,13.00,13.40
04-Jul-20,10:00:00 PM,12.57,12.96
04-Jul-20,10:30:00 PM,11.40,11.76
04-Jul-20,11:00:00 PM,11.42,11.80
04-Jul-20,11:30:00 PM,11.35,11.72
05-Jul-20,12:00:00 AM,10.63,11.00
05-Jul-20,12:30:00 AM,10.80,11.17
05-Jul-20,1:00:00 AM,10.35,10.69
05-Jul-20,1:30:00 AM,10.60,10.97
05-Jul-20,2:00:00 AM,10.52,10.90
05-Jul-20,2:30:00 AM,10.40,10.80
05-Jul-20,3:00:00 AM,10.16,10.53
05-Jul-20,3:30:00 AM,10.09,10.47
05-Jul-20,4:00:00 AM,10.16,10.54
05-Jul-20,4:30:00 AM,10.28,10.66
05-Jul-20,5:00:00 AM,10.21,10.57
05-Jul-20,5:30:00 AM,10.07,10.40
05-Jul-20,6:00:00 AM,10.12,10.45
05-Jul-20,6:30:00 AM,10.35,10.64
05-Jul-20,7:00:00 AM,10.80,11.12
05-Jul-20,7:30:00 AM,10.96,11.30
05-Jul-20,8:00:00 AM,10.62,10.95
05-Jul-20,8:30:00 AM,10.43,10.76
05-Jul-20,9:00:00 AM,9.97,10.32
05-Jul-20,9:30:00 AM,9.53,9.92
05-Jul-20,10:00:00 AM,8.88,9.27
05-Jul-20,10:30:00 AM,8.46,8.88
05-Jul-20,11:00:00 AM,8.00,8.42
05-Jul-20,11:30:00 AM,7.87,8.30
05-Jul-20,12:00:00 PM,8.51,8.93
05-Jul-20,12:30:00 PM,8.68,9.13
05-Jul-20,1:00:00 PM,8.18,8.60
05-Jul-20,1:30:00 PM,7.63,7.96
