Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,0.68,0.68
01-Jul-20,12:30:00 AM,0.67,0.68
01-Jul-20,1:00:00 AM,0.68,0.69
01-Jul-20,1:30:00 AM,0.65,0.65
01-Jul-20,2:00:00 AM,0.59,0.60
01-Jul-20,2:30:00 AM,0.58,0.59
01-Jul-20,3:00:00 AM,0.58,0.59
01-Jul-20,3:30:00 AM,0.58,0.59
01-Jul-20,4:00:00 AM,0.60,0.60
01-Jul-20,4:30:00 AM,0.60,0.61
01-Jul-20,5:00:00 AM,0.63,0.64
01-Jul-20,5:30:00 AM,0.69,0.70
01-Jul-20,6:00:00 AM,0.75,0.76
01-Jul-20,6:30:00 AM,0.92,0.94
01-Jul-20,7:00:00 AM,0.45,0.45
01-Jul-20,7:30:00 AM,0.06,0.07
01-Jul-20,8:00:00 AM,0.00,0.00
01-Jul-20,8:30:00 AM,0.00,0.00
01-Jul-20,9:00:00 AM,0.00,0.00
01-Jul-20,9:30:00 AM,-0.60,0.85
01-Jul-20,10:00:00 AM,0.00,0.00
01-Jul-20,10:30:00 AM,0.00,0.00
01-Jul-20,11:00:00 AM,0.00,0.00
01-Jul-20,11:30:00 AM,0.00,0.00
01-Jul-20,12:00:00 PM,0.00,0.00
01-Jul-20,12:30:00 PM,0.00,0.00
01-Jul-20,1:00:00 PM,0.00,0.00
01-Jul-20,1:30:00 PM,0.01,0.02
01-Jul-20,2:00:00 PM,0.00,0.00
01-Jul-20,2:30:00 PM,0.00,0.00
01-Jul-20,3:00:00 PM,-0.10,0.14
01-Jul-20,3:30:00 PM,0.00,0.00
01-Jul-20,4:00:00 PM,0.00,0.00
01-Jul-20,4:30:00 PM,0.00,0.00
01-Jul-20,5:00:00 PM,0.00,0.00
01-Jul-20,5:30:00 PM,0.00,0.00
01-Jul-20,6:00:00 PM,0.00,0.00
01-Jul-20,6:30:00 PM,0.00,0.00
01-Jul-20,7:00:00 PM,0.00,0.00
01-Jul-20,7:30:00 PM,0.00,0.00
01-Jul-20,8:00:00 PM,0.00,0.00
01-Jul-20,8:30:00 PM,0.00,0.00
01-Jul-20,9:00:00 PM,0.00,0.00
01-Jul-20,9:30:00 PM,0.00,0.00
01-Jul-20,10:00:00 PM,0.00,0.00
01-Jul-20,10:30:00 PM,0.00,0.00
01-Jul-20,11:00:00 PM,0.00,0.00
01-Jul-20,11:30:00 PM,0.00,0.00
02-Jul-20,12:00:00 AM,0.00,0.00
02-Jul-20,12:30:00 AM,0.00,0.00
02-Jul-20,1:00:00 AM,0.00,0.00
02-Jul-20,1:30:00 AM,0.00,0.00
02-Jul-20,2:00:00 AM,0.00,0.00
02-Jul-20,2:30:00 AM,0.00,0.00
02-Jul-20,3:00:00 AM,0.00,0.00
02-Jul-20,3:30:00 AM,0.00,0.00
02-Jul-20,4:00:00 AM,0.00,0.00
02-Jul-20,4:30:00 AM,0.00,0.00
02-Jul-20,5:00:00 AM,0.00,0.00
02-Jul-20,5:30:00 AM,0.00,0.00
02-Jul-20,6:00:00 AM,0.00,0.00
02-Jul-20,6:30:00 AM,0.00,0.00
02-Jul-20,7:00:00 AM,0.00,0.00
02-Jul-20,7:30:00 AM,0.00,0.00
02-Jul-20,8:00:00 AM,0.00,0.00
02-Jul-20,8:30:00 AM,0.00,0.00
02-Jul-20,9:00:00 AM,0.00,0.00
02-Jul-20,9:30:00 AM,0.00,0.00
02-Jul-20,10:00:00 AM,0.00,0.00
02-Jul-20,10:30:00 AM,0.00,0.00
02-Jul-20,11:00:00 AM,0.00,0.00
02-Jul-20,11:30:00 AM,0.01,0.09
02-Jul-20,12:00:00 PM,-2.63,3.82
02-Jul-20,12:30:00 PM,-0.18,0.31
02-Jul-20,1:00:00 PM,-2.67,3.96
02-Jul-20,1:30:00 PM,0.75,0.75
02-Jul-20,2:00:00 PM,0.00,0.00
02-Jul-20,2:30:00 PM,0.00,0.00
02-Jul-20,3:00:00 PM,0.13,0.14
02-Jul-20,3:30:00 PM,0.20,0.20
02-Jul-20,4:00:00 PM,0.68,0.71
02-Jul-20,4:30:00 PM,0.82,0.85
02-Jul-20,5:00:00 PM,0.91,0.93
02-Jul-20,5:30:00 PM,0.99,1.01
02-Jul-20,6:00:00 PM,1.05,1.06
02-Jul-20,6:30:00 PM,1.00,1.02
02-Jul-20,7:00:00 PM,0.99,1.01
