Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,12.96,12.98
01-Jul-20,12:30:00 AM,12.31,12.34
01-Jul-20,1:00:00 AM,12.16,12.18
01-Jul-20,1:30:00 AM,11.99,12.02
01-Jul-20,2:00:00 AM,11.82,11.85
01-Jul-20,2:30:00 AM,11.68,11.71
01-Jul-20,3:00:00 AM,11.74,11.78
01-Jul-20,3:30:00 AM,11.77,11.80
01-Jul-20,4:00:00 AM,12.02,12.05
01-Jul-20,4:30:00 AM,12.35,12.37
01-Jul-20,5:00:00 AM,13.36,13.38
01-Jul-20,5:30:00 AM,14.22,14.23
01-Jul-20,6:00:00 AM,15.67,15.68
01-Jul-20,6:30:00 AM,16.83,16.83
01-Jul-20,7:00:00 AM,18.23,18.23
01-Jul-20,7:30:00 AM,19.00,19.00
01-Jul-20,8:00:00 AM,18.96,18.96
01-Jul-20,8:30:00 AM,19.24,19.24
01-Jul-20,9:00:00 AM,19.61,19.63
01-Jul-20,9:30:00 AM,19.63,19.67
01-Jul-20,10:00:00 AM,19.33,19.37
01-Jul-20,10:30:00 AM,19.12,19.19
01-Jul-20,11:00:00 AM,19.01,19.09
01-Jul-20,11:30:00 AM,19.17,19.24
01-Jul-20,12:00:00 PM,20.17,20.24
01-Jul-20,12:30:00 PM,20.51,20.58
01-Jul-20,1:00:00 PM,21.06,21.14
01-Jul-20,1:30:00 PM,19.56,19.63
01-Jul-20,2:00:00 PM,20.65,20.71
01-Jul-20,2:30:00 PM,21.16,21.22
01-Jul-20,3:00:00 PM,21.01,21.07
01-Jul-20,3:30:00 PM,20.84,20.89
01-Jul-20,4:00:00 PM,21.01,21.05
01-Jul-20,4:30:00 PM,21.98,22.01
01-Jul-20,5:00:00 PM,22.14,22.16
01-Jul-20,5:30:00 PM,21.70,21.70
01-Jul-20,6:00:00 PM,21.75,21.76
01-Jul-20,6:30:00 PM,21.78,21.78
01-Jul-20,7:00:00 PM,21.29,21.29
01-Jul-20,7:30:00 PM,20.35,20.35
01-Jul-20,8:00:00 PM,20.47,20.47
01-Jul-20,8:30:00 PM,19.50,19.50
01-Jul-20,9:00:00 PM,18.20,18.20
01-Jul-20,9:30:00 PM,17.17,17.18
01-Jul-20,10:00:00 PM,16.25,16.26
01-Jul-20,10:30:00 PM,15.04,15.05
01-Jul-20,11:00:00 PM,14.28,14.30
01-Jul-20,11:30:00 PM,13.78,13.80
02-Jul-20,12:00:00 AM,13.13,13.16
02-Jul-20,12:30:00 AM,12.49,12.51
02-Jul-20,1:00:00 AM,12.41,12.44
02-Jul-20,1:30:00 AM,12.25,12.28
02-Jul-20,2:00:00 AM,12.01,12.04
02-Jul-20,2:30:00 AM,11.93,11.95
02-Jul-20,3:00:00 AM,11.91,11.94
02-Jul-20,3:30:00 AM,12.07,12.10
02-Jul-20,4:00:00 AM,12.31,12.33
02-Jul-20,4:30:00 AM,12.66,12.68
02-Jul-20,5:00:00 AM,13.50,13.51
02-Jul-20,5:30:00 AM,14.37,14.39
02-Jul-20,6:00:00 AM,15.87,15.87
02-Jul-20,6:30:00 AM,17.25,17.25
02-Jul-20,7:00:00 AM,18.77,18.77
02-Jul-20,7:30:00 AM,19.07,19.07
02-Jul-20,8:00:00 AM,19.23,19.24
02-Jul-20,8:30:00 AM,19.60,19.61
02-Jul-20,9:00:00 AM,19.77,19.79
02-Jul-20,9:30:00 AM,19.75,19.77
02-Jul-20,10:00:00 AM,19.57,19.62
02-Jul-20,10:30:00 AM,19.85,19.90
02-Jul-20,11:00:00 AM,19.49,19.58
02-Jul-20,11:30:00 AM,19.14,19.23
02-Jul-20,12:00:00 PM,20.21,20.29
02-Jul-20,12:30:00 PM,20.63,20.72
02-Jul-20,1:00:00 PM,21.01,21.11
02-Jul-20,1:30:00 PM,19.38,19.51
02-Jul-20,2:00:00 PM,19.90,20.01
02-Jul-20,2:30:00 PM,20.87,20.98
02-Jul-20,3:00:00 PM,21.05,21.15
02-Jul-20,3:30:00 PM,21.59,21.67
02-Jul-20,4:00:00 PM,22.22,22.30
02-Jul-20,4:30:00 PM,22.45,22.51
02-Jul-20,5:00:00 PM,23.72,23.78
02-Jul-20,5:30:00 PM,24.54,24.60
02-Jul-20,6:00:00 PM,24.08,24.13
02-Jul-20,6:30:00 PM,24.46,24.51
02-Jul-20,7:00:00 PM,24.18,24.22
02-Jul-20,7:30:00 PM,22.95,22.96
02-Jul-20,8:00:00 PM,22.21,22.22
02-Jul-20,8:30:00 PM,20.79,20.79
02-Jul-20,9:00:00 PM,19.06,19.06
02-Jul-20,9:30:00 PM,17.77,17.77
02-Jul-20,10:00:00 PM,16.36,16.37
02-Jul-20,10:30:00 PM,15.06,15.08
02-Jul-20,11:00:00 PM,14.16,14.18
02-Jul-20,11:30:00 PM,13.62,13.65
03-Jul-20,12:00:00 AM,12.86,12.88
03-Jul-20,12:30:00 AM,12.33,12.35
03-Jul-20,1:00:00 AM,12.18,12.20
03-Jul-20,1:30:00 AM,11.92,11.95
03-Jul-20,2:00:00 AM,11.84,11.87
03-Jul-20,2:30:00 AM,11.58,11.60
03-Jul-20,3:00:00 AM,11.73,11.76
03-Jul-20,3:30:00 AM,11.76,11.79
03-Jul-20,4:00:00 AM,12.12,12.15
03-Jul-20,4:30:00 AM,12.47,12.49
03-Jul-20,5:00:00 AM,13.28,13.29
03-Jul-20,5:30:00 AM,14.17,14.18
03-Jul-20,6:00:00 AM,15.81,15.81
03-Jul-20,6:30:00 AM,17.04,17.04
03-Jul-20,7:00:00 AM,18.48,18.48
03-Jul-20,7:30:00 AM,19.16,19.16
03-Jul-20,8:00:00 AM,19.77,19.78
03-Jul-20,8:30:00 AM,19.76,19.77
03-Jul-20,9:00:00 AM,19.55,19.57
03-Jul-20,9:30:00 AM,19.42,19.46
03-Jul-20,10:00:00 AM,19.23,19.29
03-Jul-20,10:30:00 AM,19.16,19.22
03-Jul-20,11:00:00 AM,19.31,19.40
03-Jul-20,11:30:00 AM,19.72,19.84
03-Jul-20,12:00:00 PM,19.88,20.05
03-Jul-20,12:30:00 PM,19.91,20.07
03-Jul-20,1:00:00 PM,20.43,20.60
03-Jul-20,1:30:00 PM,20.45,20.61
03-Jul-20,2:00:00 PM,20.74,20.89
03-Jul-20,2:30:00 PM,20.82,20.98
03-Jul-20,3:00:00 PM,21.50,21.64
03-Jul-20,3:30:00 PM,21.95,22.08
03-Jul-20,4:00:00 PM,21.63,21.71
03-Jul-20,4:30:00 PM,22.19,22.24
03-Jul-20,5:00:00 PM,21.84,21.88
03-Jul-20,5:30:00 PM,20.95,20.97
03-Jul-20,6:00:00 PM,20.64,20.66
03-Jul-20,6:30:00 PM,20.10,20.11
03-Jul-20,7:00:00 PM,19.87,19.88
03-Jul-20,7:30:00 PM,18.74,18.74
03-Jul-20,8:00:00 PM,18.79,18.79
03-Jul-20,8:30:00 PM,17.96,17.96
03-Jul-20,9:00:00 PM,16.77,16.77
03-Jul-20,9:30:00 PM,16.06,16.06
03-Jul-20,10:00:00 PM,15.34,15.35
03-Jul-20,10:30:00 PM,14.50,14.51
03-Jul-20,11:00:00 PM,13.87,13.88
03-Jul-20,11:30:00 PM,13.25,13.26
04-Jul-20,12:00:00 AM,12.40,12.42
04-Jul-20,12:30:00 AM,11.90,11.92
04-Jul-20,1:00:00 AM,11.71,11.73
04-Jul-20,1:30:00 AM,11.54,11.56
04-Jul-20,2:00:00 AM,11.23,11.26
04-Jul-20,2:30:00 AM,11.11,11.13
04-Jul-20,3:00:00 AM,11.04,11.07
04-Jul-20,3:30:00 AM,11.17,11.19
04-Jul-20,4:00:00 AM,11.47,11.49
04-Jul-20,4:30:00 AM,11.67,11.69
04-Jul-20,5:00:00 AM,11.94,11.96
04-Jul-20,5:30:00 AM,12.42,12.44
04-Jul-20,6:00:00 AM,13.46,13.48
04-Jul-20,6:30:00 AM,14.34,14.36
04-Jul-20,7:00:00 AM,15.13,15.14
04-Jul-20,7:30:00 AM,15.83,15.84
04-Jul-20,8:00:00 AM,17.00,17.00
04-Jul-20,8:30:00 AM,17.83,17.83
04-Jul-20,9:00:00 AM,18.13,18.13
04-Jul-20,9:30:00 AM,17.97,17.98
04-Jul-20,10:00:00 AM,17.95,17.97
04-Jul-20,10:30:00 AM,17.76,17.79
04-Jul-20,11:00:00 AM,17.11,17.14
04-Jul-20,11:30:00 AM,17.03,17.05
04-Jul-20,12:00:00 PM,17.25,17.29
04-Jul-20,12:30:00 PM,17.08,17.11
04-Jul-20,1:00:00 PM,18.04,18.09
