Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.26,9.33
01-Jul-20,12:30:00 AM,8.47,8.56
01-Jul-20,1:00:00 AM,7.86,7.96
01-Jul-20,1:30:00 AM,7.44,7.54
01-Jul-20,2:00:00 AM,7.26,7.38
01-Jul-20,2:30:00 AM,7.19,7.30
01-Jul-20,3:00:00 AM,7.04,7.16
01-Jul-20,3:30:00 AM,7.23,7.34
01-Jul-20,4:00:00 AM,7.41,7.51
01-Jul-20,4:30:00 AM,7.83,7.93
01-Jul-20,5:00:00 AM,8.71,8.78
01-Jul-20,5:30:00 AM,9.65,9.70
01-Jul-20,6:00:00 AM,11.08,11.11
01-Jul-20,6:30:00 AM,12.65,12.67
01-Jul-20,7:00:00 AM,14.30,14.31
01-Jul-20,7:30:00 AM,13.74,13.74
01-Jul-20,8:00:00 AM,13.33,13.33
01-Jul-20,8:30:00 AM,12.20,12.20
01-Jul-20,9:00:00 AM,10.65,10.65
01-Jul-20,9:30:00 AM,9.18,9.18
01-Jul-20,10:00:00 AM,7.88,7.89
01-Jul-20,10:30:00 AM,6.77,6.78
01-Jul-20,11:00:00 AM,6.20,6.20
01-Jul-20,11:30:00 AM,6.89,6.89
01-Jul-20,12:00:00 PM,6.29,6.29
01-Jul-20,12:30:00 PM,6.84,6.84
01-Jul-20,1:00:00 PM,6.76,6.76
01-Jul-20,1:30:00 PM,7.41,7.41
01-Jul-20,2:00:00 PM,7.82,7.82
01-Jul-20,2:30:00 PM,8.34,8.34
01-Jul-20,3:00:00 PM,9.28,9.29
01-Jul-20,3:30:00 PM,10.62,10.63
01-Jul-20,4:00:00 PM,12.19,12.21
01-Jul-20,4:30:00 PM,14.43,14.44
01-Jul-20,5:00:00 PM,16.54,16.54
01-Jul-20,5:30:00 PM,18.69,18.69
01-Jul-20,6:00:00 PM,19.24,19.25
01-Jul-20,6:30:00 PM,19.03,19.03
01-Jul-20,7:00:00 PM,18.22,18.22
01-Jul-20,7:30:00 PM,17.85,17.85
01-Jul-20,8:00:00 PM,17.63,17.63
01-Jul-20,8:30:00 PM,16.28,16.28
01-Jul-20,9:00:00 PM,15.11,15.12
01-Jul-20,9:30:00 PM,13.68,13.70
01-Jul-20,10:00:00 PM,13.48,13.51
01-Jul-20,10:30:00 PM,13.51,13.55
01-Jul-20,11:00:00 PM,11.98,12.03
01-Jul-20,11:30:00 PM,10.56,10.63
02-Jul-20,12:00:00 AM,9.16,9.25
02-Jul-20,12:30:00 AM,8.45,8.56
02-Jul-20,1:00:00 AM,7.88,7.99
02-Jul-20,1:30:00 AM,7.40,7.53
02-Jul-20,2:00:00 AM,7.29,7.41
02-Jul-20,2:30:00 AM,7.29,7.41
02-Jul-20,3:00:00 AM,7.25,7.37
02-Jul-20,3:30:00 AM,7.35,7.46
02-Jul-20,4:00:00 AM,7.49,7.60
02-Jul-20,4:30:00 AM,7.94,8.03
02-Jul-20,5:00:00 AM,8.77,8.85
02-Jul-20,5:30:00 AM,9.93,9.98
02-Jul-20,6:00:00 AM,11.39,11.42
02-Jul-20,6:30:00 AM,13.03,13.05
02-Jul-20,7:00:00 AM,14.56,14.57
02-Jul-20,7:30:00 AM,14.62,14.62
02-Jul-20,8:00:00 AM,13.92,13.92
02-Jul-20,8:30:00 AM,12.35,12.35
02-Jul-20,9:00:00 AM,10.83,10.83
02-Jul-20,9:30:00 AM,9.72,9.72
02-Jul-20,10:00:00 AM,8.45,8.45
02-Jul-20,10:30:00 AM,6.70,6.70
02-Jul-20,11:00:00 AM,7.65,7.65
02-Jul-20,11:30:00 AM,5.71,5.71
02-Jul-20,12:00:00 PM,5.43,5.43
02-Jul-20,12:30:00 PM,6.54,6.54
02-Jul-20,1:00:00 PM,6.79,6.79
02-Jul-20,1:30:00 PM,7.76,7.76
02-Jul-20,2:00:00 PM,8.67,8.67
02-Jul-20,2:30:00 PM,8.45,8.45
02-Jul-20,3:00:00 PM,9.30,9.31
