Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,11.05,11.49
01-Jul-20,12:30:00 AM,10.37,10.85
01-Jul-20,1:00:00 AM,9.91,10.40
01-Jul-20,1:30:00 AM,9.57,10.07
01-Jul-20,2:00:00 AM,9.22,9.73
01-Jul-20,2:30:00 AM,9.07,9.58
01-Jul-20,3:00:00 AM,9.19,9.70
01-Jul-20,3:30:00 AM,9.26,9.76
01-Jul-20,4:00:00 AM,9.67,10.13
01-Jul-20,4:30:00 AM,10.53,10.93
01-Jul-20,5:00:00 AM,12.03,12.34
01-Jul-20,5:30:00 AM,13.60,13.81
01-Jul-20,6:00:00 AM,15.08,15.23
01-Jul-20,6:30:00 AM,16.17,16.32
01-Jul-20,7:00:00 AM,17.19,17.34
01-Jul-20,7:30:00 AM,17.44,17.55
01-Jul-20,8:00:00 AM,16.63,16.75
01-Jul-20,8:30:00 AM,15.04,15.15
01-Jul-20,9:00:00 AM,13.38,13.49
01-Jul-20,9:30:00 AM,10.98,11.09
01-Jul-20,10:00:00 AM,9.75,9.85
01-Jul-20,10:30:00 AM,9.08,9.17
01-Jul-20,11:00:00 AM,9.78,9.89
01-Jul-20,11:30:00 AM,10.45,10.55
01-Jul-20,12:00:00 PM,12.73,12.85
01-Jul-20,12:30:00 PM,13.51,13.63
01-Jul-20,1:00:00 PM,13.33,13.45
01-Jul-20,1:30:00 PM,12.54,12.66
01-Jul-20,2:00:00 PM,11.95,12.08
01-Jul-20,2:30:00 PM,12.11,12.29
01-Jul-20,3:00:00 PM,12.87,13.07
01-Jul-20,3:30:00 PM,14.23,14.45
01-Jul-20,4:00:00 PM,15.87,16.12
01-Jul-20,4:30:00 PM,17.58,17.82
01-Jul-20,5:00:00 PM,19.57,19.74
01-Jul-20,5:30:00 PM,21.08,21.20
01-Jul-20,6:00:00 PM,21.22,21.34
01-Jul-20,6:30:00 PM,21.43,21.55
01-Jul-20,7:00:00 PM,20.64,20.78
01-Jul-20,7:30:00 PM,19.98,20.13
01-Jul-20,8:00:00 PM,20.16,20.32
01-Jul-20,8:30:00 PM,19.12,19.30
01-Jul-20,9:00:00 PM,17.77,17.98
01-Jul-20,9:30:00 PM,16.25,16.51
01-Jul-20,10:00:00 PM,15.12,15.41
01-Jul-20,10:30:00 PM,15.10,15.39
01-Jul-20,11:00:00 PM,13.71,14.04
01-Jul-20,11:30:00 PM,12.34,12.72
02-Jul-20,12:00:00 AM,11.23,11.65
02-Jul-20,12:30:00 AM,10.60,11.04
02-Jul-20,1:00:00 AM,10.25,10.71
02-Jul-20,1:30:00 AM,9.80,10.29
02-Jul-20,2:00:00 AM,9.42,9.93
02-Jul-20,2:30:00 AM,9.27,9.80
02-Jul-20,3:00:00 AM,9.40,9.91
02-Jul-20,3:30:00 AM,9.79,10.25
02-Jul-20,4:00:00 AM,10.32,10.75
02-Jul-20,4:30:00 AM,11.28,11.63
02-Jul-20,5:00:00 AM,12.84,13.11
02-Jul-20,5:30:00 AM,14.56,14.74
02-Jul-20,6:00:00 AM,15.96,16.11
02-Jul-20,6:30:00 AM,17.07,17.23
02-Jul-20,7:00:00 AM,17.65,17.78
02-Jul-20,7:30:00 AM,17.63,17.73
02-Jul-20,8:00:00 AM,16.68,16.78
02-Jul-20,8:30:00 AM,17.17,17.27
02-Jul-20,9:00:00 AM,12.21,12.35
02-Jul-20,9:30:00 AM,11.29,11.42
02-Jul-20,10:00:00 AM,10.72,10.86
02-Jul-20,10:30:00 AM,8.60,8.74
02-Jul-20,11:00:00 AM,11.32,11.44
02-Jul-20,11:30:00 AM,9.43,9.56
02-Jul-20,12:00:00 PM,7.88,8.03
02-Jul-20,12:30:00 PM,8.43,8.57
02-Jul-20,1:00:00 PM,8.16,8.30
02-Jul-20,1:30:00 PM,11.13,11.25
02-Jul-20,2:00:00 PM,10.73,10.87
02-Jul-20,2:30:00 PM,10.83,11.03
02-Jul-20,3:00:00 PM,12.18,12.38
02-Jul-20,3:30:00 PM,13.73,13.95
02-Jul-20,4:00:00 PM,15.51,15.75
02-Jul-20,4:30:00 PM,17.45,17.69
02-Jul-20,5:00:00 PM,19.28,19.46
02-Jul-20,5:30:00 PM,20.89,21.01
02-Jul-20,6:00:00 PM,21.12,21.25
02-Jul-20,6:30:00 PM,20.79,20.93
02-Jul-20,7:00:00 PM,20.44,20.59
02-Jul-20,7:30:00 PM,20.13,20.29
02-Jul-20,8:00:00 PM,19.95,20.13
02-Jul-20,8:30:00 PM,18.91,19.10
02-Jul-20,9:00:00 PM,17.64,17.86
02-Jul-20,9:30:00 PM,16.62,16.87
02-Jul-20,10:00:00 PM,15.50,15.77
02-Jul-20,10:30:00 PM,15.56,15.83
02-Jul-20,11:00:00 PM,14.29,14.60
02-Jul-20,11:30:00 PM,12.80,13.15
03-Jul-20,12:00:00 AM,11.66,12.05
03-Jul-20,12:30:00 AM,10.80,11.22
03-Jul-20,1:00:00 AM,10.43,10.87
03-Jul-20,1:30:00 AM,10.04,10.50
03-Jul-20,2:00:00 AM,9.90,10.36
03-Jul-20,2:30:00 AM,9.68,10.14
03-Jul-20,3:00:00 AM,9.68,10.14
03-Jul-20,3:30:00 AM,10.65,11.01
03-Jul-20,4:00:00 AM,11.34,11.65
03-Jul-20,4:30:00 AM,12.07,12.35
03-Jul-20,5:00:00 AM,13.57,13.77
03-Jul-20,5:30:00 AM,14.98,15.12
03-Jul-20,6:00:00 AM,16.64,16.75
03-Jul-20,6:30:00 AM,17.82,17.93
03-Jul-20,7:00:00 AM,18.76,18.86
03-Jul-20,7:30:00 AM,18.52,18.60
03-Jul-20,8:00:00 AM,16.54,16.62
03-Jul-20,8:30:00 AM,15.37,15.44
03-Jul-20,9:00:00 AM,13.81,13.88
03-Jul-20,9:30:00 AM,12.06,12.15
03-Jul-20,10:00:00 AM,10.50,10.60
03-Jul-20,10:30:00 AM,9.58,9.69
03-Jul-20,11:00:00 AM,8.37,8.50
03-Jul-20,11:30:00 AM,7.59,7.74
03-Jul-20,12:00:00 PM,6.98,7.17
03-Jul-20,12:30:00 PM,7.08,7.28
03-Jul-20,1:00:00 PM,7.52,7.72
03-Jul-20,1:30:00 PM,8.17,8.37
03-Jul-20,2:00:00 PM,9.14,9.37
03-Jul-20,2:30:00 PM,10.15,10.39
03-Jul-20,3:00:00 PM,11.40,11.65
03-Jul-20,3:30:00 PM,13.52,13.77
