Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,6.98,7.01
01-Jul-20,12:30:00 AM,6.71,6.74
01-Jul-20,1:00:00 AM,6.59,6.64
01-Jul-20,1:30:00 AM,6.46,6.49
01-Jul-20,2:00:00 AM,6.53,6.57
01-Jul-20,2:30:00 AM,6.56,6.61
01-Jul-20,3:00:00 AM,6.52,6.56
01-Jul-20,3:30:00 AM,6.47,6.51
01-Jul-20,4:00:00 AM,6.38,6.40
01-Jul-20,4:30:00 AM,6.97,7.01
01-Jul-20,5:00:00 AM,7.56,7.60
01-Jul-20,5:30:00 AM,8.50,8.58
01-Jul-20,6:00:00 AM,9.99,10.15
01-Jul-20,6:30:00 AM,11.01,11.27
01-Jul-20,7:00:00 AM,13.00,13.53
01-Jul-20,7:30:00 AM,14.06,14.70
01-Jul-20,8:00:00 AM,14.27,14.96
01-Jul-20,8:30:00 AM,13.97,14.71
01-Jul-20,9:00:00 AM,13.42,14.21
01-Jul-20,9:30:00 AM,13.08,13.96
01-Jul-20,10:00:00 AM,12.38,13.23
01-Jul-20,10:30:00 AM,12.21,13.12
01-Jul-20,11:00:00 AM,10.84,11.64
01-Jul-20,11:30:00 AM,12.25,13.22
01-Jul-20,12:00:00 PM,12.27,13.23
01-Jul-20,12:30:00 PM,12.39,13.44
01-Jul-20,1:00:00 PM,11.93,12.91
01-Jul-20,1:30:00 PM,11.95,12.88
01-Jul-20,2:00:00 PM,12.29,13.16
01-Jul-20,2:30:00 PM,12.52,13.37
01-Jul-20,3:00:00 PM,12.44,13.17
01-Jul-20,3:30:00 PM,11.46,12.06
01-Jul-20,4:00:00 PM,9.93,10.21
01-Jul-20,4:30:00 PM,9.94,10.16
01-Jul-20,5:00:00 PM,9.96,10.10
01-Jul-20,5:30:00 PM,10.56,10.72
01-Jul-20,6:00:00 PM,10.28,10.41
01-Jul-20,6:30:00 PM,9.83,9.94
01-Jul-20,7:00:00 PM,9.51,9.63
01-Jul-20,7:30:00 PM,9.40,9.50
01-Jul-20,8:00:00 PM,9.49,9.58
01-Jul-20,8:30:00 PM,9.39,9.48
01-Jul-20,9:00:00 PM,8.60,8.66
01-Jul-20,9:30:00 PM,7.76,7.80
01-Jul-20,10:00:00 PM,7.37,7.40
01-Jul-20,10:30:00 PM,7.54,7.59
01-Jul-20,11:00:00 PM,7.29,7.33
01-Jul-20,11:30:00 PM,7.13,7.16
02-Jul-20,12:00:00 AM,7.10,7.16
02-Jul-20,12:30:00 AM,6.80,6.85
02-Jul-20,1:00:00 AM,6.73,6.78
02-Jul-20,1:30:00 AM,6.50,6.54
02-Jul-20,2:00:00 AM,6.34,6.38
02-Jul-20,2:30:00 AM,6.46,6.49
02-Jul-20,3:00:00 AM,6.55,6.58
02-Jul-20,3:30:00 AM,6.37,6.38
02-Jul-20,4:00:00 AM,6.45,6.48
02-Jul-20,4:30:00 AM,6.84,6.88
02-Jul-20,5:00:00 AM,7.69,7.74
02-Jul-20,5:30:00 AM,8.67,8.75
02-Jul-20,6:00:00 AM,10.31,10.50
02-Jul-20,6:30:00 AM,11.11,11.38
02-Jul-20,7:00:00 AM,12.42,12.90
02-Jul-20,7:30:00 AM,13.33,13.87
02-Jul-20,8:00:00 AM,13.74,14.33
02-Jul-20,8:30:00 AM,13.53,14.23
02-Jul-20,9:00:00 AM,13.37,14.07
02-Jul-20,9:30:00 AM,13.05,13.79
02-Jul-20,10:00:00 AM,12.17,12.91
02-Jul-20,10:30:00 AM,11.18,11.94
02-Jul-20,11:00:00 AM,9.78,10.39
02-Jul-20,11:30:00 AM,11.01,11.78
02-Jul-20,12:00:00 PM,10.78,11.48
02-Jul-20,12:30:00 PM,11.32,12.08
02-Jul-20,1:00:00 PM,11.34,12.15
02-Jul-20,1:30:00 PM,11.68,12.57
02-Jul-20,2:00:00 PM,12.02,12.93
02-Jul-20,2:30:00 PM,12.13,12.93
02-Jul-20,3:00:00 PM,12.02,12.71
02-Jul-20,3:30:00 PM,11.70,12.25
02-Jul-20,4:00:00 PM,10.00,10.29
02-Jul-20,4:30:00 PM,9.73,9.94
02-Jul-20,5:00:00 PM,9.60,9.72
02-Jul-20,5:30:00 PM,10.12,10.27
02-Jul-20,6:00:00 PM,10.11,10.24
02-Jul-20,6:30:00 PM,9.98,10.12
02-Jul-20,7:00:00 PM,9.47,9.57
02-Jul-20,7:30:00 PM,9.34,9.42
02-Jul-20,8:00:00 PM,9.43,9.52
02-Jul-20,8:30:00 PM,9.00,9.09
02-Jul-20,9:00:00 PM,8.53,8.60
02-Jul-20,9:30:00 PM,7.93,7.99
02-Jul-20,10:00:00 PM,7.44,7.48
02-Jul-20,10:30:00 PM,7.17,7.21
02-Jul-20,11:00:00 PM,6.97,7.00
02-Jul-20,11:30:00 PM,6.77,6.80
03-Jul-20,12:00:00 AM,6.68,6.71
03-Jul-20,12:30:00 AM,6.66,6.70
03-Jul-20,1:00:00 AM,6.47,6.52
03-Jul-20,1:30:00 AM,6.57,6.62
03-Jul-20,2:00:00 AM,6.59,6.66
03-Jul-20,2:30:00 AM,6.39,6.43
03-Jul-20,3:00:00 AM,6.32,6.36
03-Jul-20,3:30:00 AM,6.16,6.18
03-Jul-20,4:00:00 AM,6.28,6.31
03-Jul-20,4:30:00 AM,6.89,6.93
03-Jul-20,5:00:00 AM,7.46,7.50
03-Jul-20,5:30:00 AM,8.54,8.65
03-Jul-20,6:00:00 AM,9.59,9.76
03-Jul-20,6:30:00 AM,10.46,10.68
03-Jul-20,7:00:00 AM,12.08,12.55
03-Jul-20,7:30:00 AM,13.55,14.13
03-Jul-20,8:00:00 AM,14.08,14.76
03-Jul-20,8:30:00 AM,13.95,14.66
03-Jul-20,9:00:00 AM,13.09,13.85
03-Jul-20,9:30:00 AM,12.36,13.14
03-Jul-20,10:00:00 AM,11.90,12.66
03-Jul-20,10:30:00 AM,11.72,12.55
03-Jul-20,11:00:00 AM,10.53,11.29
03-Jul-20,11:30:00 AM,12.01,12.96
03-Jul-20,12:00:00 PM,11.86,12.75
03-Jul-20,12:30:00 PM,11.57,12.50
03-Jul-20,1:00:00 PM,10.87,11.79
03-Jul-20,1:30:00 PM,11.48,12.40
03-Jul-20,2:00:00 PM,11.22,12.04
03-Jul-20,2:30:00 PM,11.08,11.80
03-Jul-20,3:00:00 PM,11.54,12.19
03-Jul-20,3:30:00 PM,10.90,11.39
03-Jul-20,4:00:00 PM,9.52,9.77
03-Jul-20,4:30:00 PM,9.51,9.70
03-Jul-20,5:00:00 PM,9.43,9.56
03-Jul-20,5:30:00 PM,9.84,9.99
03-Jul-20,6:00:00 PM,9.44,9.58
03-Jul-20,6:30:00 PM,9.35,9.47
03-Jul-20,7:00:00 PM,8.81,8.89
03-Jul-20,7:30:00 PM,8.90,8.99
03-Jul-20,8:00:00 PM,8.62,8.72
03-Jul-20,8:30:00 PM,8.43,8.51
03-Jul-20,9:00:00 PM,8.03,8.10
03-Jul-20,9:30:00 PM,7.43,7.49
03-Jul-20,10:00:00 PM,7.06,7.10
03-Jul-20,10:30:00 PM,6.87,6.90
03-Jul-20,11:00:00 PM,6.53,6.55
03-Jul-20,11:30:00 PM,6.46,6.50
04-Jul-20,12:00:00 AM,6.40,6.44
04-Jul-20,12:30:00 AM,6.31,6.36
04-Jul-20,1:00:00 AM,6.10,6.15
04-Jul-20,1:30:00 AM,5.98,6.03
04-Jul-20,2:00:00 AM,5.91,5.95
04-Jul-20,2:30:00 AM,5.74,5.77
04-Jul-20,3:00:00 AM,5.76,5.78
04-Jul-20,3:30:00 AM,5.69,5.71
04-Jul-20,4:00:00 AM,5.83,5.85
04-Jul-20,4:30:00 AM,5.94,5.97
04-Jul-20,5:00:00 AM,5.94,5.96
04-Jul-20,5:30:00 AM,6.09,6.11
04-Jul-20,6:00:00 AM,6.40,6.42
04-Jul-20,6:30:00 AM,6.43,6.46
