Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,2.53,2.56
01-Jul-20,12:30:00 AM,2.25,2.28
01-Jul-20,1:00:00 AM,2.10,2.13
01-Jul-20,1:30:00 AM,1.98,2.02
01-Jul-20,2:00:00 AM,1.90,1.94
01-Jul-20,2:30:00 AM,1.92,1.96
01-Jul-20,3:00:00 AM,1.91,1.95
01-Jul-20,3:30:00 AM,1.96,1.99
01-Jul-20,4:00:00 AM,2.02,2.06
01-Jul-20,4:30:00 AM,2.12,2.15
01-Jul-20,5:00:00 AM,2.33,2.35
01-Jul-20,5:30:00 AM,2.57,2.59
01-Jul-20,6:00:00 AM,2.92,2.94
01-Jul-20,6:30:00 AM,3.43,3.44
01-Jul-20,7:00:00 AM,3.67,3.67
01-Jul-20,7:30:00 AM,3.51,3.51
01-Jul-20,8:00:00 AM,3.06,3.06
01-Jul-20,8:30:00 AM,2.48,2.48
01-Jul-20,9:00:00 AM,1.88,1.88
01-Jul-20,9:30:00 AM,1.27,1.27
01-Jul-20,10:00:00 AM,0.76,0.76
01-Jul-20,10:30:00 AM,0.52,0.53
01-Jul-20,11:00:00 AM,0.31,0.31
01-Jul-20,11:30:00 AM,0.44,0.44
01-Jul-20,12:00:00 PM,0.46,0.46
01-Jul-20,12:30:00 PM,0.58,0.58
01-Jul-20,1:00:00 PM,0.43,0.43
01-Jul-20,1:30:00 PM,0.69,0.69
01-Jul-20,2:00:00 PM,0.94,0.94
01-Jul-20,2:30:00 PM,1.36,1.36
01-Jul-20,3:00:00 PM,1.80,1.80
01-Jul-20,3:30:00 PM,2.31,2.31
01-Jul-20,4:00:00 PM,2.85,2.86
01-Jul-20,4:30:00 PM,3.35,3.36
01-Jul-20,5:00:00 PM,3.97,3.97
01-Jul-20,5:30:00 PM,4.49,4.49
01-Jul-20,6:00:00 PM,4.54,4.54
01-Jul-20,6:30:00 PM,4.68,4.68
01-Jul-20,7:00:00 PM,4.54,4.54
01-Jul-20,7:30:00 PM,4.35,4.36
01-Jul-20,8:00:00 PM,4.36,4.36
