Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,2.49,2.54
01-Jul-20,12:30:00 AM,2.17,2.22
01-Jul-20,1:00:00 AM,1.99,2.05
01-Jul-20,1:30:00 AM,1.97,2.03
01-Jul-20,2:00:00 AM,1.87,1.93
01-Jul-20,2:30:00 AM,1.86,1.92
01-Jul-20,3:00:00 AM,1.84,1.91
01-Jul-20,3:30:00 AM,1.86,1.92
01-Jul-20,4:00:00 AM,1.89,1.95
01-Jul-20,4:30:00 AM,2.01,2.07
01-Jul-20,5:00:00 AM,2.15,2.20
01-Jul-20,5:30:00 AM,2.42,2.46
01-Jul-20,6:00:00 AM,2.85,2.87
01-Jul-20,6:30:00 AM,3.26,3.28
01-Jul-20,7:00:00 AM,3.65,3.66
01-Jul-20,7:30:00 AM,3.49,3.50
01-Jul-20,8:00:00 AM,3.12,3.12
01-Jul-20,8:30:00 AM,2.60,2.61
01-Jul-20,9:00:00 AM,2.00,2.00
01-Jul-20,9:30:00 AM,1.47,1.47
01-Jul-20,10:00:00 AM,0.98,0.98
01-Jul-20,10:30:00 AM,0.93,0.93
01-Jul-20,11:00:00 AM,0.62,0.62
01-Jul-20,11:30:00 AM,0.56,0.56
01-Jul-20,12:00:00 PM,0.70,0.70
01-Jul-20,12:30:00 PM,0.78,0.78
01-Jul-20,1:00:00 PM,0.80,0.80
01-Jul-20,1:30:00 PM,0.77,0.77
01-Jul-20,2:00:00 PM,1.02,1.02
01-Jul-20,2:30:00 PM,1.48,1.48
01-Jul-20,3:00:00 PM,1.95,1.95
01-Jul-20,3:30:00 PM,2.28,2.29
01-Jul-20,4:00:00 PM,2.91,2.93
01-Jul-20,4:30:00 PM,3.49,3.50
01-Jul-20,5:00:00 PM,4.02,4.03
01-Jul-20,5:30:00 PM,4.62,4.62
01-Jul-20,6:00:00 PM,4.77,4.78
01-Jul-20,6:30:00 PM,4.82,4.83
01-Jul-20,7:00:00 PM,4.58,4.58
01-Jul-20,7:30:00 PM,4.48,4.48
01-Jul-20,8:00:00 PM,4.35,4.36
01-Jul-20,8:30:00 PM,4.17,4.18
01-Jul-20,9:00:00 PM,3.89,3.90
01-Jul-20,9:30:00 PM,3.67,3.68
01-Jul-20,10:00:00 PM,3.70,3.71
01-Jul-20,10:30:00 PM,3.91,3.92
01-Jul-20,11:00:00 PM,3.54,3.55
01-Jul-20,11:30:00 PM,3.13,3.14
02-Jul-20,12:00:00 AM,2.61,2.64
02-Jul-20,12:30:00 AM,2.35,2.38
02-Jul-20,1:00:00 AM,2.24,2.28
02-Jul-20,1:30:00 AM,2.12,2.16
02-Jul-20,2:00:00 AM,2.04,2.08
02-Jul-20,2:30:00 AM,1.93,1.99
02-Jul-20,3:00:00 AM,1.85,1.92
02-Jul-20,3:30:00 AM,1.86,1.93
02-Jul-20,4:00:00 AM,1.92,1.98
02-Jul-20,4:30:00 AM,2.01,2.07
02-Jul-20,5:00:00 AM,2.17,2.22
02-Jul-20,5:30:00 AM,2.53,2.57
02-Jul-20,6:00:00 AM,2.86,2.88
02-Jul-20,6:30:00 AM,3.16,3.18
02-Jul-20,7:00:00 AM,3.64,3.65
02-Jul-20,7:30:00 AM,3.67,3.68
02-Jul-20,8:00:00 AM,3.34,3.34
02-Jul-20,8:30:00 AM,2.78,2.79
02-Jul-20,9:00:00 AM,2.11,2.11
02-Jul-20,9:30:00 AM,1.66,1.66
02-Jul-20,10:00:00 AM,1.12,1.12
02-Jul-20,10:30:00 AM,0.67,0.67
02-Jul-20,11:00:00 AM,1.03,1.04
02-Jul-20,11:30:00 AM,0.71,0.71
02-Jul-20,12:00:00 PM,0.88,0.88
02-Jul-20,12:30:00 PM,1.00,1.00
02-Jul-20,1:00:00 PM,0.48,0.49
02-Jul-20,1:30:00 PM,0.69,0.69
02-Jul-20,2:00:00 PM,1.13,1.13
02-Jul-20,2:30:00 PM,1.40,1.40
02-Jul-20,3:00:00 PM,1.78,1.78
02-Jul-20,3:30:00 PM,2.24,2.25
02-Jul-20,4:00:00 PM,2.84,2.85
02-Jul-20,4:30:00 PM,3.37,3.38
02-Jul-20,5:00:00 PM,3.75,3.76
02-Jul-20,5:30:00 PM,4.25,4.26
02-Jul-20,6:00:00 PM,4.45,4.46
02-Jul-20,6:30:00 PM,4.43,4.44
02-Jul-20,7:00:00 PM,4.24,4.25
02-Jul-20,7:30:00 PM,4.24,4.24
02-Jul-20,8:00:00 PM,4.30,4.30
02-Jul-20,8:30:00 PM,4.08,4.09
02-Jul-20,9:00:00 PM,3.78,3.80
02-Jul-20,9:30:00 PM,3.46,3.48
02-Jul-20,10:00:00 PM,3.56,3.58
02-Jul-20,10:30:00 PM,3.71,3.73
02-Jul-20,11:00:00 PM,3.37,3.39
02-Jul-20,11:30:00 PM,2.86,2.89
03-Jul-20,12:00:00 AM,2.54,2.57
03-Jul-20,12:30:00 AM,2.20,2.24
03-Jul-20,1:00:00 AM,2.01,2.07
03-Jul-20,1:30:00 AM,1.89,1.95
