Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,4.30,4.36
01-Jul-20,12:30:00 AM,3.87,3.93
01-Jul-20,1:00:00 AM,3.52,3.60
01-Jul-20,1:30:00 AM,3.22,3.31
01-Jul-20,2:00:00 AM,3.00,3.11
01-Jul-20,2:30:00 AM,2.93,3.03
01-Jul-20,3:00:00 AM,2.89,3.00
01-Jul-20,3:30:00 AM,2.96,3.07
01-Jul-20,4:00:00 AM,3.06,3.16
01-Jul-20,4:30:00 AM,3.29,3.38
01-Jul-20,5:00:00 AM,3.72,3.79
01-Jul-20,5:30:00 AM,4.28,4.33
01-Jul-20,6:00:00 AM,4.71,4.75
01-Jul-20,6:30:00 AM,5.24,5.29
01-Jul-20,7:00:00 AM,5.66,5.72
01-Jul-20,7:30:00 AM,5.54,5.59
01-Jul-20,8:00:00 AM,4.92,4.98
01-Jul-20,8:30:00 AM,4.46,4.52
01-Jul-20,9:00:00 AM,3.13,3.21
01-Jul-20,9:30:00 AM,2.28,2.38
01-Jul-20,10:00:00 AM,1.73,1.83
01-Jul-20,10:30:00 AM,1.22,1.34
01-Jul-20,11:00:00 AM,0.88,1.02
01-Jul-20,11:30:00 AM,0.96,1.13
01-Jul-20,12:00:00 PM,1.74,1.84
01-Jul-20,12:30:00 PM,1.44,1.55
01-Jul-20,1:00:00 PM,1.34,1.45
01-Jul-20,1:30:00 PM,1.56,1.66
01-Jul-20,2:00:00 PM,2.50,2.57
01-Jul-20,2:30:00 PM,3.24,3.30
01-Jul-20,3:00:00 PM,3.94,4.00
01-Jul-20,3:30:00 PM,4.07,4.14
01-Jul-20,4:00:00 PM,4.67,4.73
01-Jul-20,4:30:00 PM,5.46,5.51
01-Jul-20,5:00:00 PM,6.22,6.24
01-Jul-20,5:30:00 PM,7.13,7.14
01-Jul-20,6:00:00 PM,7.36,7.37
01-Jul-20,6:30:00 PM,7.42,7.44
01-Jul-20,7:00:00 PM,7.33,7.35
01-Jul-20,7:30:00 PM,7.15,7.17
01-Jul-20,8:00:00 PM,7.13,7.14
01-Jul-20,8:30:00 PM,6.69,6.70
01-Jul-20,9:00:00 PM,6.41,6.43
01-Jul-20,9:30:00 PM,6.15,6.18
01-Jul-20,10:00:00 PM,6.16,6.19
01-Jul-20,10:30:00 PM,6.65,6.68
01-Jul-20,11:00:00 PM,5.94,5.98
01-Jul-20,11:30:00 PM,5.23,5.27
02-Jul-20,12:00:00 AM,4.51,4.56
02-Jul-20,12:30:00 AM,3.96,4.03
02-Jul-20,1:00:00 AM,3.54,3.62
02-Jul-20,1:30:00 AM,3.25,3.34
02-Jul-20,2:00:00 AM,3.14,3.23
02-Jul-20,2:30:00 AM,2.98,3.08
02-Jul-20,3:00:00 AM,3.03,3.14
02-Jul-20,3:30:00 AM,3.10,3.20
02-Jul-20,4:00:00 AM,3.14,3.23
02-Jul-20,4:30:00 AM,3.42,3.50
02-Jul-20,5:00:00 AM,3.86,3.93
02-Jul-20,5:30:00 AM,4.46,4.52
02-Jul-20,6:00:00 AM,5.02,5.05
02-Jul-20,6:30:00 AM,5.45,5.50
02-Jul-20,7:00:00 AM,5.77,5.81
02-Jul-20,7:30:00 AM,5.37,5.42
02-Jul-20,8:00:00 AM,5.30,5.35
02-Jul-20,8:30:00 AM,4.57,4.63
02-Jul-20,9:00:00 AM,4.14,4.20
02-Jul-20,9:30:00 AM,3.01,3.08
02-Jul-20,10:00:00 AM,2.52,2.59
02-Jul-20,10:30:00 AM,2.04,2.14
02-Jul-20,11:00:00 AM,1.17,1.29
02-Jul-20,11:30:00 AM,0.97,1.13
02-Jul-20,12:00:00 PM,1.66,1.77
02-Jul-20,12:30:00 PM,1.23,1.36
02-Jul-20,1:00:00 PM,0.70,0.88
02-Jul-20,1:30:00 PM,1.68,1.78
02-Jul-20,2:00:00 PM,1.86,1.96
02-Jul-20,2:30:00 PM,2.50,2.59
02-Jul-20,3:00:00 PM,3.24,3.32
02-Jul-20,3:30:00 PM,3.93,4.00
02-Jul-20,4:00:00 PM,4.65,4.71
02-Jul-20,4:30:00 PM,5.39,5.44
02-Jul-20,5:00:00 PM,6.12,6.15
02-Jul-20,5:30:00 PM,6.98,6.99
02-Jul-20,6:00:00 PM,7.28,7.29
02-Jul-20,6:30:00 PM,7.35,7.35
02-Jul-20,7:00:00 PM,7.24,7.26
02-Jul-20,7:30:00 PM,7.05,7.06
02-Jul-20,8:00:00 PM,6.95,6.97
02-Jul-20,8:30:00 PM,6.55,6.57
02-Jul-20,9:00:00 PM,6.24,6.26
02-Jul-20,9:30:00 PM,5.89,5.92
02-Jul-20,10:00:00 PM,5.93,5.96
02-Jul-20,10:30:00 PM,6.44,6.47
02-Jul-20,11:00:00 PM,5.76,5.79
02-Jul-20,11:30:00 PM,5.04,5.08
03-Jul-20,12:00:00 AM,4.26,4.32
03-Jul-20,12:30:00 AM,3.70,3.78
03-Jul-20,1:00:00 AM,3.43,3.51
03-Jul-20,1:30:00 AM,3.16,3.25
03-Jul-20,2:00:00 AM,2.97,3.07
03-Jul-20,2:30:00 AM,2.90,3.01
03-Jul-20,3:00:00 AM,3.01,3.11
03-Jul-20,3:30:00 AM,2.94,3.04
03-Jul-20,4:00:00 AM,3.01,3.11
03-Jul-20,4:30:00 AM,3.21,3.31
03-Jul-20,5:00:00 AM,3.61,3.69
03-Jul-20,5:30:00 AM,4.14,4.20
03-Jul-20,6:00:00 AM,4.59,4.63
03-Jul-20,6:30:00 AM,5.23,5.28
03-Jul-20,7:00:00 AM,5.51,5.57
03-Jul-20,7:30:00 AM,5.43,5.49
03-Jul-20,8:00:00 AM,4.85,4.91
03-Jul-20,8:30:00 AM,4.23,4.30
03-Jul-20,9:00:00 AM,3.12,3.19
03-Jul-20,9:30:00 AM,2.44,2.51
03-Jul-20,10:00:00 AM,1.74,1.84
03-Jul-20,10:30:00 AM,1.33,1.44
03-Jul-20,11:00:00 AM,1.01,1.12
03-Jul-20,11:30:00 AM,0.87,1.01
03-Jul-20,12:00:00 PM,0.70,0.86
03-Jul-20,12:30:00 PM,0.83,0.97
03-Jul-20,1:00:00 PM,0.84,1.00
03-Jul-20,1:30:00 PM,1.15,1.30
03-Jul-20,2:00:00 PM,1.93,2.03
03-Jul-20,2:30:00 PM,2.61,2.70
03-Jul-20,3:00:00 PM,3.07,3.15
03-Jul-20,3:30:00 PM,3.75,3.83
03-Jul-20,4:00:00 PM,4.39,4.46
03-Jul-20,4:30:00 PM,5.19,5.24
03-Jul-20,5:00:00 PM,5.93,5.95
03-Jul-20,5:30:00 PM,6.48,6.50
03-Jul-20,6:00:00 PM,6.48,6.49
03-Jul-20,6:30:00 PM,6.65,6.66
03-Jul-20,7:00:00 PM,6.49,6.51
03-Jul-20,7:30:00 PM,6.38,6.40
03-Jul-20,8:00:00 PM,6.19,6.21
03-Jul-20,8:30:00 PM,5.84,5.87
03-Jul-20,9:00:00 PM,5.67,5.70
03-Jul-20,9:30:00 PM,5.59,5.62
03-Jul-20,10:00:00 PM,5.67,5.70
03-Jul-20,10:30:00 PM,6.22,6.26
03-Jul-20,11:00:00 PM,5.72,5.76
03-Jul-20,11:30:00 PM,4.87,4.92
04-Jul-20,12:00:00 AM,4.28,4.34
