Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,10.16,10.16
01-Jul-20,12:30:00 AM,9.44,9.44
01-Jul-20,1:00:00 AM,8.78,8.78
01-Jul-20,1:30:00 AM,8.30,8.30
01-Jul-20,2:00:00 AM,8.02,8.02
01-Jul-20,2:30:00 AM,7.66,7.67
01-Jul-20,3:00:00 AM,7.67,7.67
01-Jul-20,3:30:00 AM,7.95,7.95
01-Jul-20,4:00:00 AM,8.57,8.57
01-Jul-20,4:30:00 AM,9.01,9.01
01-Jul-20,5:00:00 AM,10.19,10.19
01-Jul-20,5:30:00 AM,11.01,11.02
01-Jul-20,6:00:00 AM,12.39,12.42
01-Jul-20,6:30:00 AM,13.45,13.48
01-Jul-20,7:00:00 AM,14.57,14.63
01-Jul-20,7:30:00 AM,14.94,15.02
01-Jul-20,8:00:00 AM,13.86,13.96
01-Jul-20,8:30:00 AM,12.00,12.10
01-Jul-20,9:00:00 AM,10.94,11.04
01-Jul-20,9:30:00 AM,10.46,10.58
01-Jul-20,10:00:00 AM,9.56,9.67
01-Jul-20,10:30:00 AM,8.95,9.10
01-Jul-20,11:00:00 AM,8.59,8.77
01-Jul-20,11:30:00 AM,8.21,8.38
01-Jul-20,12:00:00 PM,8.10,8.26
01-Jul-20,12:30:00 PM,8.66,8.83
01-Jul-20,1:00:00 PM,9.09,9.27
01-Jul-20,1:30:00 PM,10.73,10.87
01-Jul-20,2:00:00 PM,10.71,10.85
01-Jul-20,2:30:00 PM,11.09,11.22
01-Jul-20,3:00:00 PM,12.15,12.24
01-Jul-20,3:30:00 PM,12.84,12.88
01-Jul-20,4:00:00 PM,12.52,12.53
01-Jul-20,4:30:00 PM,13.59,13.60
01-Jul-20,5:00:00 PM,15.23,15.25
01-Jul-20,5:30:00 PM,16.04,16.07
01-Jul-20,6:00:00 PM,16.08,16.11
01-Jul-20,6:30:00 PM,16.01,16.04
01-Jul-20,7:00:00 PM,15.57,15.59
01-Jul-20,7:30:00 PM,15.26,15.27
01-Jul-20,8:00:00 PM,15.88,15.90
01-Jul-20,8:30:00 PM,15.55,15.57
01-Jul-20,9:00:00 PM,14.95,14.96
01-Jul-20,9:30:00 PM,14.38,14.38
01-Jul-20,10:00:00 PM,13.62,13.62
01-Jul-20,10:30:00 PM,13.81,13.81
01-Jul-20,11:00:00 PM,13.03,13.03
01-Jul-20,11:30:00 PM,11.66,11.66
02-Jul-20,12:00:00 AM,10.51,10.51
02-Jul-20,12:30:00 AM,9.83,9.83
02-Jul-20,1:00:00 AM,9.00,9.00
02-Jul-20,1:30:00 AM,8.52,8.52
02-Jul-20,2:00:00 AM,8.22,8.22
02-Jul-20,2:30:00 AM,7.96,7.96
02-Jul-20,3:00:00 AM,7.79,7.79
02-Jul-20,3:30:00 AM,8.12,8.12
02-Jul-20,4:00:00 AM,8.67,8.67
02-Jul-20,4:30:00 AM,9.07,9.07
02-Jul-20,5:00:00 AM,10.31,10.31
02-Jul-20,5:30:00 AM,11.32,11.34
02-Jul-20,6:00:00 AM,12.58,12.62
02-Jul-20,6:30:00 AM,13.55,13.58
