Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.96,7.97
01-Jul-20,12:30:00 AM,7.61,7.61
01-Jul-20,1:00:00 AM,7.42,7.43
01-Jul-20,1:30:00 AM,7.45,7.46
01-Jul-20,2:00:00 AM,7.44,7.45
01-Jul-20,2:30:00 AM,7.20,7.20
01-Jul-20,3:00:00 AM,7.22,7.22
01-Jul-20,3:30:00 AM,7.40,7.41
01-Jul-20,4:00:00 AM,7.79,7.80
01-Jul-20,4:30:00 AM,8.11,8.12
01-Jul-20,5:00:00 AM,9.35,9.38
01-Jul-20,5:30:00 AM,10.36,10.41
01-Jul-20,6:00:00 AM,12.07,12.18
01-Jul-20,6:30:00 AM,13.36,13.53
01-Jul-20,7:00:00 AM,14.36,14.61
01-Jul-20,7:30:00 AM,14.26,14.55
01-Jul-20,8:00:00 AM,13.90,14.23
01-Jul-20,8:30:00 AM,12.94,13.31
01-Jul-20,9:00:00 AM,12.36,12.76
01-Jul-20,9:30:00 AM,11.72,12.12
01-Jul-20,10:00:00 AM,11.11,11.54
01-Jul-20,10:30:00 AM,10.87,11.33
01-Jul-20,11:00:00 AM,10.75,11.24
01-Jul-20,11:30:00 AM,10.65,11.15
01-Jul-20,12:00:00 PM,10.53,11.01
01-Jul-20,12:30:00 PM,10.81,11.35
01-Jul-20,1:00:00 PM,11.02,11.53
01-Jul-20,1:30:00 PM,11.19,11.71
01-Jul-20,2:00:00 PM,11.26,11.71
01-Jul-20,2:30:00 PM,11.39,11.86
01-Jul-20,3:00:00 PM,11.10,11.45
01-Jul-20,3:30:00 PM,11.25,11.51
01-Jul-20,4:00:00 PM,11.68,11.85
01-Jul-20,4:30:00 PM,11.69,11.81
01-Jul-20,5:00:00 PM,11.90,11.99
01-Jul-20,5:30:00 PM,11.83,11.91
01-Jul-20,6:00:00 PM,11.45,11.52
01-Jul-20,6:30:00 PM,11.39,11.46
01-Jul-20,7:00:00 PM,11.22,11.29
01-Jul-20,7:30:00 PM,10.84,10.89
01-Jul-20,8:00:00 PM,10.70,10.75
01-Jul-20,8:30:00 PM,10.58,10.64
01-Jul-20,9:00:00 PM,10.28,10.33
01-Jul-20,9:30:00 PM,9.68,9.71
01-Jul-20,10:00:00 PM,9.21,9.23
01-Jul-20,10:30:00 PM,8.77,8.78
01-Jul-20,11:00:00 PM,8.38,8.40
01-Jul-20,11:30:00 PM,8.14,8.15
02-Jul-20,12:00:00 AM,7.95,7.96
02-Jul-20,12:30:00 AM,7.70,7.70
02-Jul-20,1:00:00 AM,7.51,7.51
02-Jul-20,1:30:00 AM,7.19,7.19
02-Jul-20,2:00:00 AM,7.30,7.30
02-Jul-20,2:30:00 AM,7.37,7.37
02-Jul-20,3:00:00 AM,7.28,7.29
02-Jul-20,3:30:00 AM,7.08,7.09
02-Jul-20,4:00:00 AM,7.38,7.39
02-Jul-20,4:30:00 AM,8.01,8.02
02-Jul-20,5:00:00 AM,9.23,9.24
02-Jul-20,5:30:00 AM,10.64,10.69
02-Jul-20,6:00:00 AM,12.12,12.24
02-Jul-20,6:30:00 AM,13.12,13.30
02-Jul-20,7:00:00 AM,13.72,13.94
02-Jul-20,7:30:00 AM,14.02,14.34
02-Jul-20,8:00:00 AM,14.31,14.68
02-Jul-20,8:30:00 AM,13.65,14.06
02-Jul-20,9:00:00 AM,13.53,13.93
02-Jul-20,9:30:00 AM,12.81,13.24
02-Jul-20,10:00:00 AM,11.88,12.33
02-Jul-20,10:30:00 AM,11.06,11.51
02-Jul-20,11:00:00 AM,11.23,11.71
02-Jul-20,11:30:00 AM,11.19,11.71
02-Jul-20,12:00:00 PM,11.37,11.84
02-Jul-20,12:30:00 PM,11.00,11.50
02-Jul-20,1:00:00 PM,11.33,11.86
02-Jul-20,1:30:00 PM,11.17,11.65
02-Jul-20,2:00:00 PM,11.42,11.88
02-Jul-20,2:30:00 PM,11.38,11.79
02-Jul-20,3:00:00 PM,11.42,11.76
02-Jul-20,3:30:00 PM,11.53,11.77
02-Jul-20,4:00:00 PM,11.94,12.12
02-Jul-20,4:30:00 PM,12.01,12.14
02-Jul-20,5:00:00 PM,11.83,11.94
02-Jul-20,5:30:00 PM,11.78,11.87
02-Jul-20,6:00:00 PM,11.49,11.56
02-Jul-20,6:30:00 PM,11.23,11.31
02-Jul-20,7:00:00 PM,10.71,10.77
02-Jul-20,7:30:00 PM,10.39,10.45
02-Jul-20,8:00:00 PM,9.92,9.96
02-Jul-20,8:30:00 PM,10.12,10.16
02-Jul-20,9:00:00 PM,9.82,9.86
02-Jul-20,9:30:00 PM,9.44,9.47
02-Jul-20,10:00:00 PM,8.75,8.77
02-Jul-20,10:30:00 PM,8.57,8.58
02-Jul-20,11:00:00 PM,8.09,8.09
02-Jul-20,11:30:00 PM,7.78,7.78
03-Jul-20,12:00:00 AM,7.60,7.61
03-Jul-20,12:30:00 AM,7.18,7.18
03-Jul-20,1:00:00 AM,7.10,7.10
03-Jul-20,1:30:00 AM,6.90,6.90
03-Jul-20,2:00:00 AM,7.04,7.04
03-Jul-20,2:30:00 AM,6.91,6.91
03-Jul-20,3:00:00 AM,6.95,6.95
03-Jul-20,3:30:00 AM,7.08,7.08
03-Jul-20,4:00:00 AM,7.61,7.62
03-Jul-20,4:30:00 AM,8.40,8.42
03-Jul-20,5:00:00 AM,9.32,9.34
03-Jul-20,5:30:00 AM,10.60,10.66
03-Jul-20,6:00:00 AM,12.15,12.29
03-Jul-20,6:30:00 AM,12.95,13.14
03-Jul-20,7:00:00 AM,13.66,13.90
03-Jul-20,7:30:00 AM,13.81,14.07
03-Jul-20,8:00:00 AM,13.86,14.14
03-Jul-20,8:30:00 AM,13.45,13.79
03-Jul-20,9:00:00 AM,12.35,12.70
03-Jul-20,9:30:00 AM,11.50,11.86
03-Jul-20,10:00:00 AM,11.10,11.50
03-Jul-20,10:30:00 AM,10.92,11.35
03-Jul-20,11:00:00 AM,10.86,11.31
03-Jul-20,11:30:00 AM,10.79,11.26
03-Jul-20,12:00:00 PM,10.69,11.15
03-Jul-20,12:30:00 PM,10.41,10.88
03-Jul-20,1:00:00 PM,10.52,10.97
03-Jul-20,1:30:00 PM,10.52,10.93
03-Jul-20,2:00:00 PM,10.27,10.62
