Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.70,8.71
01-Jul-20,12:30:00 AM,8.24,8.26
01-Jul-20,1:00:00 AM,7.75,7.76
01-Jul-20,1:30:00 AM,7.48,7.50
01-Jul-20,2:00:00 AM,7.31,7.34
01-Jul-20,2:30:00 AM,7.09,7.11
01-Jul-20,3:00:00 AM,7.15,7.17
01-Jul-20,3:30:00 AM,7.28,7.30
01-Jul-20,4:00:00 AM,7.50,7.52
01-Jul-20,4:30:00 AM,8.04,8.05
01-Jul-20,5:00:00 AM,8.91,8.91
01-Jul-20,5:30:00 AM,9.99,10.00
01-Jul-20,6:00:00 AM,11.49,11.49
01-Jul-20,6:30:00 AM,12.45,12.45
01-Jul-20,7:00:00 AM,12.98,12.98
01-Jul-20,7:30:00 AM,13.40,13.41
01-Jul-20,8:00:00 AM,12.93,12.95
01-Jul-20,8:30:00 AM,12.06,12.09
01-Jul-20,9:00:00 AM,10.42,10.46
01-Jul-20,9:30:00 AM,10.03,10.07
01-Jul-20,10:00:00 AM,9.49,9.53
01-Jul-20,10:30:00 AM,7.85,7.92
01-Jul-20,11:00:00 AM,7.16,7.25
01-Jul-20,11:30:00 AM,7.12,7.21
01-Jul-20,12:00:00 PM,7.72,7.78
01-Jul-20,12:30:00 PM,6.48,6.56
01-Jul-20,1:00:00 PM,6.67,6.75
01-Jul-20,1:30:00 PM,8.00,8.06
01-Jul-20,2:00:00 PM,7.80,7.85
01-Jul-20,2:30:00 PM,10.59,10.61
01-Jul-20,3:00:00 PM,10.33,10.34
01-Jul-20,3:30:00 PM,10.95,10.96
01-Jul-20,4:00:00 PM,11.92,11.92
01-Jul-20,4:30:00 PM,13.48,13.48
01-Jul-20,5:00:00 PM,14.82,14.82
01-Jul-20,5:30:00 PM,15.99,15.99
01-Jul-20,6:00:00 PM,16.00,16.00
01-Jul-20,6:30:00 PM,16.53,16.54
01-Jul-20,7:00:00 PM,15.59,15.59
01-Jul-20,7:30:00 PM,15.72,15.72
01-Jul-20,8:00:00 PM,15.72,15.72
01-Jul-20,8:30:00 PM,15.69,15.69
01-Jul-20,9:00:00 PM,14.47,14.47
01-Jul-20,9:30:00 PM,13.25,13.25
01-Jul-20,10:00:00 PM,11.71,11.72
01-Jul-20,10:30:00 PM,11.34,11.35
01-Jul-20,11:00:00 PM,10.56,10.57
01-Jul-20,11:30:00 PM,9.59,9.60
