Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,5.71,5.72
01-Jul-20,12:30:00 AM,5.61,5.62
01-Jul-20,1:00:00 AM,5.45,5.46
01-Jul-20,1:30:00 AM,5.42,5.43
01-Jul-20,2:00:00 AM,5.19,5.20
01-Jul-20,2:30:00 AM,5.16,5.17
01-Jul-20,3:00:00 AM,5.09,5.09
01-Jul-20,3:30:00 AM,4.92,4.92
01-Jul-20,4:00:00 AM,4.99,5.00
01-Jul-20,4:30:00 AM,5.03,5.03
01-Jul-20,5:00:00 AM,5.29,5.30
01-Jul-20,5:30:00 AM,5.40,5.41
01-Jul-20,6:00:00 AM,5.59,5.62
01-Jul-20,6:30:00 AM,5.26,5.28
01-Jul-20,7:00:00 AM,4.82,4.84
01-Jul-20,7:30:00 AM,5.20,5.26
01-Jul-20,8:00:00 AM,5.26,5.34
01-Jul-20,8:30:00 AM,5.51,5.59
01-Jul-20,9:00:00 AM,5.46,5.55
01-Jul-20,9:30:00 AM,5.50,5.56
01-Jul-20,10:00:00 AM,5.54,5.64
01-Jul-20,10:30:00 AM,5.42,5.51
01-Jul-20,11:00:00 AM,5.16,5.25
01-Jul-20,11:30:00 AM,5.53,5.65
01-Jul-20,12:00:00 PM,5.81,5.92
01-Jul-20,12:30:00 PM,5.69,5.78
01-Jul-20,1:00:00 PM,5.82,5.92
01-Jul-20,1:30:00 PM,5.80,5.93
01-Jul-20,2:00:00 PM,5.87,5.99
01-Jul-20,2:30:00 PM,5.67,5.77
01-Jul-20,3:00:00 PM,5.45,5.52
01-Jul-20,3:30:00 PM,5.83,5.89
01-Jul-20,4:00:00 PM,5.89,5.94
01-Jul-20,4:30:00 PM,6.00,6.05
01-Jul-20,5:00:00 PM,6.64,6.68
01-Jul-20,5:30:00 PM,7.05,7.11
01-Jul-20,6:00:00 PM,7.06,7.13
01-Jul-20,6:30:00 PM,6.81,6.87
01-Jul-20,7:00:00 PM,6.32,6.35
01-Jul-20,7:30:00 PM,6.53,6.57
01-Jul-20,8:00:00 PM,6.79,6.84
01-Jul-20,8:30:00 PM,6.76,6.82
01-Jul-20,9:00:00 PM,6.79,6.85
01-Jul-20,9:30:00 PM,6.72,6.76
01-Jul-20,10:00:00 PM,6.65,6.68
01-Jul-20,10:30:00 PM,6.25,6.28
01-Jul-20,11:00:00 PM,5.97,6.00
01-Jul-20,11:30:00 PM,6.47,6.50
02-Jul-20,12:00:00 AM,6.45,6.49
02-Jul-20,12:30:00 AM,6.31,6.33
02-Jul-20,1:00:00 AM,6.32,6.34
02-Jul-20,1:30:00 AM,6.18,6.20
02-Jul-20,2:00:00 AM,6.21,6.24
02-Jul-20,2:30:00 AM,5.63,5.64
02-Jul-20,3:00:00 AM,5.31,5.33
02-Jul-20,3:30:00 AM,5.65,5.67
02-Jul-20,4:00:00 AM,6.11,6.12
02-Jul-20,4:30:00 AM,5.88,5.90
02-Jul-20,5:00:00 AM,6.01,6.03
02-Jul-20,5:30:00 AM,5.97,5.99
02-Jul-20,6:00:00 AM,6.24,6.26
02-Jul-20,6:30:00 AM,5.37,5.39
02-Jul-20,7:00:00 AM,4.83,4.87
02-Jul-20,7:30:00 AM,5.46,5.55
02-Jul-20,8:00:00 AM,5.57,5.68
02-Jul-20,8:30:00 AM,5.69,5.81
02-Jul-20,9:00:00 AM,5.94,6.08
02-Jul-20,9:30:00 AM,5.82,5.91
02-Jul-20,10:00:00 AM,6.14,6.28
02-Jul-20,10:30:00 AM,5.77,5.86
02-Jul-20,11:00:00 AM,5.51,5.64
02-Jul-20,11:30:00 AM,5.48,5.61
02-Jul-20,12:00:00 PM,5.60,5.72
02-Jul-20,12:30:00 PM,5.68,5.79
02-Jul-20,1:00:00 PM,5.49,5.57
02-Jul-20,1:30:00 PM,5.72,5.85
02-Jul-20,2:00:00 PM,5.81,5.94
02-Jul-20,2:30:00 PM,5.61,5.75
02-Jul-20,3:00:00 PM,5.58,5.68
02-Jul-20,3:30:00 PM,5.94,6.04
02-Jul-20,4:00:00 PM,5.87,5.96
02-Jul-20,4:30:00 PM,5.83,5.94
02-Jul-20,5:00:00 PM,6.22,6.34
02-Jul-20,5:30:00 PM,6.51,6.61
02-Jul-20,6:00:00 PM,6.42,6.51
02-Jul-20,6:30:00 PM,6.00,6.06
02-Jul-20,7:00:00 PM,5.72,5.78
02-Jul-20,7:30:00 PM,6.10,6.16
02-Jul-20,8:00:00 PM,6.18,6.27
02-Jul-20,8:30:00 PM,6.02,6.08
02-Jul-20,9:00:00 PM,6.10,6.16
02-Jul-20,9:30:00 PM,5.93,5.97
02-Jul-20,10:00:00 PM,5.65,5.67
02-Jul-20,10:30:00 PM,5.41,5.42
02-Jul-20,11:00:00 PM,5.28,5.29
02-Jul-20,11:30:00 PM,5.74,5.78
03-Jul-20,12:00:00 AM,5.96,5.99
03-Jul-20,12:30:00 AM,5.74,5.77
03-Jul-20,1:00:00 AM,5.65,5.68
03-Jul-20,1:30:00 AM,5.52,5.55
03-Jul-20,2:00:00 AM,5.54,5.56
03-Jul-20,2:30:00 AM,5.16,5.17
03-Jul-20,3:00:00 AM,4.87,4.88
03-Jul-20,3:30:00 AM,5.12,5.14
03-Jul-20,4:00:00 AM,5.56,5.58
03-Jul-20,4:30:00 AM,5.64,5.67
03-Jul-20,5:00:00 AM,5.72,5.74
03-Jul-20,5:30:00 AM,5.90,5.95
03-Jul-20,6:00:00 AM,6.00,6.06
03-Jul-20,6:30:00 AM,4.89,4.94
03-Jul-20,7:00:00 AM,4.63,4.69
03-Jul-20,7:30:00 AM,4.93,4.98
03-Jul-20,8:00:00 AM,5.19,5.27
03-Jul-20,8:30:00 AM,5.36,5.47
03-Jul-20,9:00:00 AM,5.17,5.31
03-Jul-20,9:30:00 AM,4.93,5.00
03-Jul-20,10:00:00 AM,4.85,4.89
03-Jul-20,10:30:00 AM,4.71,4.73
03-Jul-20,11:00:00 AM,4.47,4.49
