Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,13.57,13.58
01-Jul-20,12:30:00 AM,13.23,13.23
01-Jul-20,1:00:00 AM,12.90,12.90
01-Jul-20,1:30:00 AM,12.62,12.62
01-Jul-20,2:00:00 AM,11.94,11.95
01-Jul-20,2:30:00 AM,11.68,11.68
01-Jul-20,3:00:00 AM,11.71,11.71
01-Jul-20,3:30:00 AM,12.34,12.34
01-Jul-20,4:00:00 AM,13.05,13.05
01-Jul-20,4:30:00 AM,14.22,14.23
01-Jul-20,5:00:00 AM,14.93,14.96
01-Jul-20,5:30:00 AM,15.85,15.89
01-Jul-20,6:00:00 AM,18.74,18.85
01-Jul-20,6:30:00 AM,20.66,20.82
01-Jul-20,7:00:00 AM,21.76,21.97
01-Jul-20,7:30:00 AM,21.92,22.21
01-Jul-20,8:00:00 AM,21.81,22.11
01-Jul-20,8:30:00 AM,21.80,22.19
01-Jul-20,9:00:00 AM,20.21,20.59
01-Jul-20,9:30:00 AM,19.86,20.27
01-Jul-20,10:00:00 AM,19.66,20.10
01-Jul-20,10:30:00 AM,19.68,20.18
01-Jul-20,11:00:00 AM,19.57,20.09
01-Jul-20,11:30:00 AM,19.64,20.12
01-Jul-20,12:00:00 PM,20.41,20.94
01-Jul-20,12:30:00 PM,19.72,20.32
01-Jul-20,1:00:00 PM,20.06,20.63
01-Jul-20,1:30:00 PM,20.07,20.65
01-Jul-20,2:00:00 PM,20.54,20.96
01-Jul-20,2:30:00 PM,21.04,21.36
01-Jul-20,3:00:00 PM,20.74,21.00
01-Jul-20,3:30:00 PM,20.10,20.31
01-Jul-20,4:00:00 PM,19.88,20.05
01-Jul-20,4:30:00 PM,19.50,19.63
01-Jul-20,5:00:00 PM,19.60,19.70
01-Jul-20,5:30:00 PM,18.98,19.02
01-Jul-20,6:00:00 PM,18.22,18.25
01-Jul-20,6:30:00 PM,18.76,18.79
01-Jul-20,7:00:00 PM,18.49,18.52
01-Jul-20,7:30:00 PM,18.10,18.11
01-Jul-20,8:00:00 PM,17.92,17.94
01-Jul-20,8:30:00 PM,17.93,17.95
01-Jul-20,9:00:00 PM,17.28,17.30
01-Jul-20,9:30:00 PM,16.36,16.37
01-Jul-20,10:00:00 PM,16.13,16.13
01-Jul-20,10:30:00 PM,14.72,14.72
01-Jul-20,11:00:00 PM,13.79,13.79
01-Jul-20,11:30:00 PM,13.56,13.56
02-Jul-20,12:00:00 AM,13.44,13.44
02-Jul-20,12:30:00 AM,13.14,13.14
02-Jul-20,1:00:00 AM,13.21,13.21
02-Jul-20,1:30:00 AM,13.05,13.05
02-Jul-20,2:00:00 AM,12.95,12.95
02-Jul-20,2:30:00 AM,12.66,12.66
02-Jul-20,3:00:00 AM,12.47,12.47
02-Jul-20,3:30:00 AM,12.64,12.64
02-Jul-20,4:00:00 AM,13.33,13.33
02-Jul-20,4:30:00 AM,14.49,14.50
02-Jul-20,5:00:00 AM,15.63,15.65
02-Jul-20,5:30:00 AM,17.25,17.29
02-Jul-20,6:00:00 AM,20.07,20.20
02-Jul-20,6:30:00 AM,21.82,22.00
02-Jul-20,7:00:00 AM,22.66,22.88
02-Jul-20,7:30:00 AM,22.44,22.69
02-Jul-20,8:00:00 AM,21.03,21.28
02-Jul-20,8:30:00 AM,21.40,21.72
02-Jul-20,9:00:00 AM,20.76,21.15
02-Jul-20,9:30:00 AM,21.17,21.57
02-Jul-20,10:00:00 AM,20.73,21.18
02-Jul-20,10:30:00 AM,21.02,21.49
02-Jul-20,11:00:00 AM,20.08,20.66
02-Jul-20,11:30:00 AM,20.70,21.25
02-Jul-20,12:00:00 PM,20.94,21.48
02-Jul-20,12:30:00 PM,21.54,22.09
02-Jul-20,1:00:00 PM,21.59,22.12
02-Jul-20,1:30:00 PM,19.79,20.38
02-Jul-20,2:00:00 PM,19.62,20.13
02-Jul-20,2:30:00 PM,19.70,20.10
02-Jul-20,3:00:00 PM,19.73,20.08
02-Jul-20,3:30:00 PM,19.47,19.72
02-Jul-20,4:00:00 PM,18.88,19.06
02-Jul-20,4:30:00 PM,19.58,19.74
02-Jul-20,5:00:00 PM,19.53,19.64
02-Jul-20,5:30:00 PM,19.20,19.28
02-Jul-20,6:00:00 PM,18.37,18.42
02-Jul-20,6:30:00 PM,18.41,18.45
02-Jul-20,7:00:00 PM,17.94,17.97
02-Jul-20,7:30:00 PM,17.61,17.63
02-Jul-20,8:00:00 PM,16.84,16.86
02-Jul-20,8:30:00 PM,16.66,16.67
02-Jul-20,9:00:00 PM,15.57,15.57
02-Jul-20,9:30:00 PM,15.58,15.59
02-Jul-20,10:00:00 PM,15.34,15.34
02-Jul-20,10:30:00 PM,14.06,14.06
02-Jul-20,11:00:00 PM,13.02,13.02
02-Jul-20,11:30:00 PM,12.91,12.91
03-Jul-20,12:00:00 AM,12.15,12.15
03-Jul-20,12:30:00 AM,11.90,11.90
03-Jul-20,1:00:00 AM,11.64,11.64
03-Jul-20,1:30:00 AM,11.91,11.91
03-Jul-20,2:00:00 AM,11.50,11.50
03-Jul-20,2:30:00 AM,10.95,10.96
03-Jul-20,3:00:00 AM,10.92,10.93
03-Jul-20,3:30:00 AM,11.54,11.54
03-Jul-20,4:00:00 AM,12.33,12.33
03-Jul-20,4:30:00 AM,12.81,12.81
03-Jul-20,5:00:00 AM,14.16,14.17
03-Jul-20,5:30:00 AM,15.39,15.42
03-Jul-20,6:00:00 AM,17.87,17.96
03-Jul-20,6:30:00 AM,19.53,19.67
03-Jul-20,7:00:00 AM,20.61,20.82
03-Jul-20,7:30:00 AM,20.79,21.00
03-Jul-20,8:00:00 AM,20.86,21.15
03-Jul-20,8:30:00 AM,20.24,20.62
03-Jul-20,9:00:00 AM,19.04,19.36
03-Jul-20,9:30:00 AM,18.44,18.79
03-Jul-20,10:00:00 AM,17.84,18.20
03-Jul-20,10:30:00 AM,18.39,18.82
03-Jul-20,11:00:00 AM,18.27,18.76
03-Jul-20,11:30:00 AM,18.10,18.66
03-Jul-20,12:00:00 PM,17.42,17.90
03-Jul-20,12:30:00 PM,17.30,17.71
03-Jul-20,1:00:00 PM,17.28,17.68
03-Jul-20,1:30:00 PM,17.39,17.76
03-Jul-20,2:00:00 PM,17.59,17.93
03-Jul-20,2:30:00 PM,17.88,18.18
03-Jul-20,3:00:00 PM,17.91,18.16
03-Jul-20,3:30:00 PM,17.79,18.01
03-Jul-20,4:00:00 PM,17.60,17.75
03-Jul-20,4:30:00 PM,17.18,17.28
03-Jul-20,5:00:00 PM,16.74,16.80
03-Jul-20,5:30:00 PM,16.65,16.69
03-Jul-20,6:00:00 PM,15.60,15.63
03-Jul-20,6:30:00 PM,15.77,15.79
03-Jul-20,7:00:00 PM,15.14,15.15
03-Jul-20,7:30:00 PM,14.49,14.50
03-Jul-20,8:00:00 PM,14.33,14.34
03-Jul-20,8:30:00 PM,13.89,13.89
03-Jul-20,9:00:00 PM,13.39,13.40
03-Jul-20,9:30:00 PM,12.91,12.91
03-Jul-20,10:00:00 PM,12.61,12.61
03-Jul-20,10:30:00 PM,12.09,12.09
03-Jul-20,11:00:00 PM,11.61,11.61
03-Jul-20,11:30:00 PM,11.03,11.03
04-Jul-20,12:00:00 AM,10.77,10.78
04-Jul-20,12:30:00 AM,10.47,10.47
04-Jul-20,1:00:00 AM,10.43,10.43
04-Jul-20,1:30:00 AM,10.41,10.41
04-Jul-20,2:00:00 AM,10.24,10.24
