Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,5.72,5.82
01-Jul-20,12:30:00 AM,5.51,5.62
01-Jul-20,1:00:00 AM,5.46,5.57
01-Jul-20,1:30:00 AM,5.24,5.36
01-Jul-20,2:00:00 AM,4.94,5.07
01-Jul-20,2:30:00 AM,4.70,4.84
01-Jul-20,3:00:00 AM,4.48,4.62
01-Jul-20,3:30:00 AM,4.51,4.64
01-Jul-20,4:00:00 AM,4.63,4.76
01-Jul-20,4:30:00 AM,4.84,4.96
01-Jul-20,5:00:00 AM,5.22,5.32
01-Jul-20,5:30:00 AM,5.76,5.85
01-Jul-20,6:00:00 AM,6.23,6.31
01-Jul-20,6:30:00 AM,6.84,6.93
01-Jul-20,7:00:00 AM,7.18,7.27
01-Jul-20,7:30:00 AM,7.51,7.60
01-Jul-20,8:00:00 AM,7.05,7.12
01-Jul-20,8:30:00 AM,5.16,5.27
01-Jul-20,9:00:00 AM,4.38,4.49
01-Jul-20,9:30:00 AM,3.40,3.54
01-Jul-20,10:00:00 AM,2.56,2.75
01-Jul-20,10:30:00 AM,1.88,2.12
01-Jul-20,11:00:00 AM,1.33,1.65
01-Jul-20,11:30:00 AM,1.41,1.72
01-Jul-20,12:00:00 PM,1.33,1.66
01-Jul-20,12:30:00 PM,1.16,1.51
01-Jul-20,1:00:00 PM,1.19,1.55
01-Jul-20,1:30:00 PM,1.32,1.67
01-Jul-20,2:00:00 PM,1.75,2.03
01-Jul-20,2:30:00 PM,2.30,2.54
01-Jul-20,3:00:00 PM,3.20,3.38
01-Jul-20,3:30:00 PM,4.03,4.18
01-Jul-20,4:00:00 PM,5.20,5.33
01-Jul-20,4:30:00 PM,6.62,6.72
01-Jul-20,5:00:00 PM,7.21,7.28
01-Jul-20,5:30:00 PM,8.20,8.24
01-Jul-20,6:00:00 PM,8.45,8.49
01-Jul-20,6:30:00 PM,8.34,8.38
01-Jul-20,7:00:00 PM,8.01,8.06
01-Jul-20,7:30:00 PM,7.81,7.86
01-Jul-20,8:00:00 PM,8.63,8.68
01-Jul-20,8:30:00 PM,8.82,8.86
01-Jul-20,9:00:00 PM,8.22,8.27
01-Jul-20,9:30:00 PM,8.27,8.32
01-Jul-20,10:00:00 PM,7.58,7.64
01-Jul-20,10:30:00 PM,6.51,6.59
01-Jul-20,11:00:00 PM,6.56,6.64
01-Jul-20,11:30:00 PM,6.30,6.39
02-Jul-20,12:00:00 AM,5.67,5.77
02-Jul-20,12:30:00 AM,5.40,5.51
02-Jul-20,1:00:00 AM,5.41,5.52
02-Jul-20,1:30:00 AM,5.14,5.26
02-Jul-20,2:00:00 AM,4.91,5.03
02-Jul-20,2:30:00 AM,4.60,4.73
02-Jul-20,3:00:00 AM,4.38,4.51
02-Jul-20,3:30:00 AM,4.30,4.44
02-Jul-20,4:00:00 AM,4.44,4.57
02-Jul-20,4:30:00 AM,4.72,4.84
02-Jul-20,5:00:00 AM,5.03,5.14
02-Jul-20,5:30:00 AM,5.54,5.63
02-Jul-20,6:00:00 AM,6.09,6.17
02-Jul-20,6:30:00 AM,6.48,6.57
02-Jul-20,7:00:00 AM,6.57,6.67
02-Jul-20,7:30:00 AM,6.75,6.85
02-Jul-20,8:00:00 AM,6.47,6.57
02-Jul-20,8:30:00 AM,6.13,6.23
02-Jul-20,9:00:00 AM,5.54,5.65
02-Jul-20,9:30:00 AM,4.12,4.27
02-Jul-20,10:00:00 AM,2.56,2.76
02-Jul-20,10:30:00 AM,2.43,2.65
02-Jul-20,11:00:00 AM,2.31,2.55
02-Jul-20,11:30:00 AM,2.02,2.29
02-Jul-20,12:00:00 PM,1.59,1.90
02-Jul-20,12:30:00 PM,1.18,1.55
02-Jul-20,1:00:00 PM,1.15,1.51
02-Jul-20,1:30:00 PM,1.24,1.58
02-Jul-20,2:00:00 PM,2.02,2.28
02-Jul-20,2:30:00 PM,2.34,2.58
02-Jul-20,3:00:00 PM,3.21,3.39
02-Jul-20,3:30:00 PM,4.12,4.28
02-Jul-20,4:00:00 PM,5.18,5.31
02-Jul-20,4:30:00 PM,6.23,6.35
