Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,1.10,1.13
01-Jul-20,12:30:00 AM,1.01,1.04
01-Jul-20,1:00:00 AM,0.94,0.96
01-Jul-20,1:30:00 AM,0.91,0.94
01-Jul-20,2:00:00 AM,0.86,0.90
01-Jul-20,2:30:00 AM,0.85,0.89
01-Jul-20,3:00:00 AM,0.92,0.95
01-Jul-20,3:30:00 AM,0.92,0.95
01-Jul-20,4:00:00 AM,0.97,0.99
01-Jul-20,4:30:00 AM,0.96,0.99
01-Jul-20,5:00:00 AM,1.03,1.05
01-Jul-20,5:30:00 AM,1.09,1.11
01-Jul-20,6:00:00 AM,1.16,1.17
01-Jul-20,6:30:00 AM,1.34,1.35
01-Jul-20,7:00:00 AM,1.40,1.41
01-Jul-20,7:30:00 AM,1.24,1.25
01-Jul-20,8:00:00 AM,1.03,1.05
01-Jul-20,8:30:00 AM,0.79,0.80
01-Jul-20,9:00:00 AM,0.64,0.64
01-Jul-20,9:30:00 AM,0.46,0.46
01-Jul-20,10:00:00 AM,0.33,0.33
01-Jul-20,10:30:00 AM,0.27,0.27
01-Jul-20,11:00:00 AM,0.20,0.20
01-Jul-20,11:30:00 AM,0.19,0.19
01-Jul-20,12:00:00 PM,0.20,0.20
01-Jul-20,12:30:00 PM,0.19,0.19
01-Jul-20,1:00:00 PM,0.26,0.26
01-Jul-20,1:30:00 PM,0.33,0.34
01-Jul-20,2:00:00 PM,0.50,0.51
01-Jul-20,2:30:00 PM,0.65,0.65
01-Jul-20,3:00:00 PM,0.83,0.83
01-Jul-20,3:30:00 PM,0.96,0.97
01-Jul-20,4:00:00 PM,1.20,1.20
01-Jul-20,4:30:00 PM,1.46,1.47
01-Jul-20,5:00:00 PM,1.58,1.59
01-Jul-20,5:30:00 PM,1.81,1.81
01-Jul-20,6:00:00 PM,1.87,1.87
01-Jul-20,6:30:00 PM,1.92,1.93
01-Jul-20,7:00:00 PM,1.89,1.89
01-Jul-20,7:30:00 PM,1.78,1.79
01-Jul-20,8:00:00 PM,1.80,1.81
01-Jul-20,8:30:00 PM,1.70,1.71
01-Jul-20,9:00:00 PM,1.67,1.68
01-Jul-20,9:30:00 PM,1.55,1.56
01-Jul-20,10:00:00 PM,1.53,1.54
01-Jul-20,10:30:00 PM,1.63,1.65
01-Jul-20,11:00:00 PM,1.54,1.55
01-Jul-20,11:30:00 PM,1.32,1.34
02-Jul-20,12:00:00 AM,1.16,1.18
02-Jul-20,12:30:00 AM,1.08,1.11
02-Jul-20,1:00:00 AM,1.00,1.03
02-Jul-20,1:30:00 AM,0.94,0.97
02-Jul-20,2:00:00 AM,0.91,0.94
02-Jul-20,2:30:00 AM,0.88,0.91
02-Jul-20,3:00:00 AM,0.89,0.92
02-Jul-20,3:30:00 AM,0.92,0.95
02-Jul-20,4:00:00 AM,0.93,0.96
02-Jul-20,4:30:00 AM,0.98,1.01
02-Jul-20,5:00:00 AM,1.06,1.09
02-Jul-20,5:30:00 AM,1.14,1.16
02-Jul-20,6:00:00 AM,1.23,1.25
