Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,4.75,4.86
01-Jul-20,12:30:00 AM,4.77,4.88
01-Jul-20,1:00:00 AM,4.60,4.70
01-Jul-20,1:30:00 AM,4.54,4.63
01-Jul-20,2:00:00 AM,4.59,4.68
01-Jul-20,2:30:00 AM,4.60,4.70
01-Jul-20,3:00:00 AM,4.48,4.58
01-Jul-20,3:30:00 AM,4.55,4.65
01-Jul-20,4:00:00 AM,4.44,4.54
01-Jul-20,4:30:00 AM,4.55,4.65
01-Jul-20,5:00:00 AM,4.83,4.94
01-Jul-20,5:30:00 AM,5.07,5.18
01-Jul-20,6:00:00 AM,5.47,5.60
01-Jul-20,6:30:00 AM,5.83,5.96
01-Jul-20,7:00:00 AM,5.95,6.11
01-Jul-20,7:30:00 AM,5.97,6.14
01-Jul-20,8:00:00 AM,5.62,5.81
01-Jul-20,8:30:00 AM,5.22,5.46
01-Jul-20,9:00:00 AM,4.96,5.19
01-Jul-20,9:30:00 AM,4.75,5.00
01-Jul-20,10:00:00 AM,4.64,4.92
01-Jul-20,10:30:00 AM,4.47,4.77
01-Jul-20,11:00:00 AM,4.62,4.93
01-Jul-20,11:30:00 AM,4.40,4.71
01-Jul-20,12:00:00 PM,4.44,4.71
01-Jul-20,12:30:00 PM,4.22,4.45
01-Jul-20,1:00:00 PM,4.39,4.70
01-Jul-20,1:30:00 PM,4.76,5.06
01-Jul-20,2:00:00 PM,5.09,5.40
01-Jul-20,2:30:00 PM,5.63,5.85
01-Jul-20,3:00:00 PM,5.69,5.89
01-Jul-20,3:30:00 PM,5.67,5.84
01-Jul-20,4:00:00 PM,5.73,5.89
01-Jul-20,4:30:00 PM,6.15,6.32
01-Jul-20,5:00:00 PM,6.27,6.44
01-Jul-20,5:30:00 PM,6.47,6.65
01-Jul-20,6:00:00 PM,6.59,6.74
01-Jul-20,6:30:00 PM,6.51,6.64
01-Jul-20,7:00:00 PM,6.43,6.57
01-Jul-20,7:30:00 PM,6.24,6.35
01-Jul-20,8:00:00 PM,6.17,6.26
01-Jul-20,8:30:00 PM,6.14,6.25
