Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.81,9.81
01-Jul-20,12:30:00 AM,9.08,9.08
01-Jul-20,1:00:00 AM,8.68,8.68
01-Jul-20,1:30:00 AM,8.12,8.12
01-Jul-20,2:00:00 AM,8.04,8.05
01-Jul-20,2:30:00 AM,7.80,7.81
01-Jul-20,3:00:00 AM,7.87,7.87
01-Jul-20,3:30:00 AM,7.82,7.83
01-Jul-20,4:00:00 AM,8.06,8.06
01-Jul-20,4:30:00 AM,8.33,8.33
01-Jul-20,5:00:00 AM,8.97,8.97
01-Jul-20,5:30:00 AM,9.67,9.67
01-Jul-20,6:00:00 AM,10.55,10.55
01-Jul-20,6:30:00 AM,11.53,11.53
01-Jul-20,7:00:00 AM,12.62,12.62
01-Jul-20,7:30:00 AM,13.11,13.12
01-Jul-20,8:00:00 AM,12.93,12.95
01-Jul-20,8:30:00 AM,10.34,10.37
01-Jul-20,9:00:00 AM,8.22,8.27
01-Jul-20,9:30:00 AM,7.07,7.13
01-Jul-20,10:00:00 AM,6.18,6.26
01-Jul-20,10:30:00 AM,5.19,5.29
01-Jul-20,11:00:00 AM,5.10,5.21
01-Jul-20,11:30:00 AM,5.17,5.27
01-Jul-20,12:00:00 PM,5.83,5.92
01-Jul-20,12:30:00 PM,4.95,5.07
01-Jul-20,1:00:00 PM,6.07,6.15
01-Jul-20,1:30:00 PM,7.09,7.15
01-Jul-20,2:00:00 PM,7.83,7.88
01-Jul-20,2:30:00 PM,10.27,10.30
01-Jul-20,3:00:00 PM,10.62,10.64
01-Jul-20,3:30:00 PM,11.05,11.06
01-Jul-20,4:00:00 PM,11.36,11.37
01-Jul-20,4:30:00 PM,12.71,12.72
01-Jul-20,5:00:00 PM,13.94,13.95
01-Jul-20,5:30:00 PM,14.71,14.73
01-Jul-20,6:00:00 PM,14.95,14.97
01-Jul-20,6:30:00 PM,15.16,15.17
01-Jul-20,7:00:00 PM,14.58,14.59
01-Jul-20,7:30:00 PM,14.78,14.79
01-Jul-20,8:00:00 PM,14.80,14.80
01-Jul-20,8:30:00 PM,14.44,14.45
01-Jul-20,9:00:00 PM,13.98,13.98
01-Jul-20,9:30:00 PM,13.06,13.06
01-Jul-20,10:00:00 PM,13.24,13.24
01-Jul-20,10:30:00 PM,13.43,13.43
01-Jul-20,11:00:00 PM,12.31,12.31
01-Jul-20,11:30:00 PM,10.92,10.92
02-Jul-20,12:00:00 AM,9.86,9.86
02-Jul-20,12:30:00 AM,9.03,9.04
02-Jul-20,1:00:00 AM,8.55,8.55
02-Jul-20,1:30:00 AM,8.16,8.16
02-Jul-20,2:00:00 AM,7.98,7.98
02-Jul-20,2:30:00 AM,7.80,7.81
02-Jul-20,3:00:00 AM,7.84,7.85
02-Jul-20,3:30:00 AM,7.86,7.87
02-Jul-20,4:00:00 AM,8.15,8.16
02-Jul-20,4:30:00 AM,8.53,8.54
02-Jul-20,5:00:00 AM,9.30,9.30
02-Jul-20,5:30:00 AM,9.73,9.73
02-Jul-20,6:00:00 AM,10.79,10.79
02-Jul-20,6:30:00 AM,11.86,11.86
02-Jul-20,7:00:00 AM,13.20,13.21
02-Jul-20,7:30:00 AM,13.38,13.39
02-Jul-20,8:00:00 AM,12.92,12.93
02-Jul-20,8:30:00 AM,11.49,11.52
02-Jul-20,9:00:00 AM,9.33,9.36
02-Jul-20,9:30:00 AM,7.85,7.89
02-Jul-20,10:00:00 AM,6.42,6.50
02-Jul-20,10:30:00 AM,5.66,5.75
02-Jul-20,11:00:00 AM,5.20,5.33
02-Jul-20,11:30:00 AM,5.30,5.41
