Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,15.55,15.55
01-Jul-20,12:30:00 AM,15.13,15.13
01-Jul-20,1:00:00 AM,14.48,14.49
01-Jul-20,1:30:00 AM,14.07,14.07
01-Jul-20,2:00:00 AM,12.93,12.94
01-Jul-20,2:30:00 AM,13.42,13.42
01-Jul-20,3:00:00 AM,13.66,13.66
01-Jul-20,3:30:00 AM,13.56,13.56
01-Jul-20,4:00:00 AM,13.87,13.87
01-Jul-20,4:30:00 AM,14.53,14.53
01-Jul-20,5:00:00 AM,15.63,15.64
01-Jul-20,5:30:00 AM,16.66,16.67
01-Jul-20,6:00:00 AM,17.85,17.87
01-Jul-20,6:30:00 AM,18.61,18.63
01-Jul-20,7:00:00 AM,18.99,19.00
01-Jul-20,7:30:00 AM,19.15,19.17
01-Jul-20,8:00:00 AM,17.81,17.83
01-Jul-20,8:30:00 AM,15.55,15.58
01-Jul-20,9:00:00 AM,14.16,14.18
01-Jul-20,9:30:00 AM,12.89,12.92
01-Jul-20,10:00:00 AM,12.09,12.11
01-Jul-20,10:30:00 AM,11.53,11.57
01-Jul-20,11:00:00 AM,11.23,11.28
01-Jul-20,11:30:00 AM,10.45,10.48
01-Jul-20,12:00:00 PM,10.28,10.30
01-Jul-20,12:30:00 PM,11.18,11.20
01-Jul-20,1:00:00 PM,10.87,10.89
01-Jul-20,1:30:00 PM,11.24,11.26
01-Jul-20,2:00:00 PM,12.12,12.14
01-Jul-20,2:30:00 PM,13.12,13.14
01-Jul-20,3:00:00 PM,13.97,13.98
01-Jul-20,3:30:00 PM,15.85,15.87
01-Jul-20,4:00:00 PM,16.76,16.77
01-Jul-20,4:30:00 PM,17.88,17.88
01-Jul-20,5:00:00 PM,19.00,19.01
01-Jul-20,5:30:00 PM,18.76,18.76
01-Jul-20,6:00:00 PM,18.79,18.79
01-Jul-20,6:30:00 PM,19.29,19.29
01-Jul-20,7:00:00 PM,19.15,19.16
01-Jul-20,7:30:00 PM,18.64,18.65
01-Jul-20,8:00:00 PM,18.63,18.63
01-Jul-20,8:30:00 PM,18.36,18.36
01-Jul-20,9:00:00 PM,17.77,17.77
01-Jul-20,9:30:00 PM,17.59,17.60
01-Jul-20,10:00:00 PM,17.76,17.76
01-Jul-20,10:30:00 PM,17.02,17.02
01-Jul-20,11:00:00 PM,16.22,16.22
01-Jul-20,11:30:00 PM,15.68,15.68
02-Jul-20,12:00:00 AM,14.98,14.98
02-Jul-20,12:30:00 AM,14.40,14.40
02-Jul-20,1:00:00 AM,13.60,13.60
02-Jul-20,1:30:00 AM,13.48,13.48
02-Jul-20,2:00:00 AM,13.33,13.33
02-Jul-20,2:30:00 AM,13.34,13.34
