Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,3.51,3.51
01-Jul-20,12:30:00 AM,3.74,3.74
01-Jul-20,1:00:00 AM,3.53,3.53
01-Jul-20,1:30:00 AM,3.76,3.76
01-Jul-20,2:00:00 AM,4.08,4.08
01-Jul-20,2:30:00 AM,4.05,4.05
01-Jul-20,3:00:00 AM,4.04,4.04
01-Jul-20,3:30:00 AM,3.94,3.94
01-Jul-20,4:00:00 AM,4.16,4.16
01-Jul-20,4:30:00 AM,3.98,3.98
01-Jul-20,5:00:00 AM,4.20,4.20
01-Jul-20,5:30:00 AM,4.62,4.62
01-Jul-20,6:00:00 AM,4.99,5.00
01-Jul-20,6:30:00 AM,5.26,5.27
01-Jul-20,7:00:00 AM,5.75,5.78
01-Jul-20,7:30:00 AM,5.56,5.58
01-Jul-20,8:00:00 AM,5.31,5.34
01-Jul-20,8:30:00 AM,4.85,4.88
01-Jul-20,9:00:00 AM,4.65,4.68
01-Jul-20,9:30:00 AM,4.51,4.55
01-Jul-20,10:00:00 AM,4.30,4.34
01-Jul-20,10:30:00 AM,4.44,4.48
01-Jul-20,11:00:00 AM,4.44,4.48
01-Jul-20,11:30:00 AM,4.92,4.98
01-Jul-20,12:00:00 PM,4.76,4.81
01-Jul-20,12:30:00 PM,4.60,4.66
01-Jul-20,1:00:00 PM,4.56,4.61
01-Jul-20,1:30:00 PM,4.64,4.69
01-Jul-20,2:00:00 PM,4.94,4.98
01-Jul-20,2:30:00 PM,5.07,5.11
01-Jul-20,3:00:00 PM,4.86,4.88
01-Jul-20,3:30:00 PM,4.97,5.00
01-Jul-20,4:00:00 PM,5.16,5.18
01-Jul-20,4:30:00 PM,5.22,5.24
01-Jul-20,5:00:00 PM,5.08,5.09
01-Jul-20,5:30:00 PM,4.84,4.85
01-Jul-20,6:00:00 PM,4.93,4.93
01-Jul-20,6:30:00 PM,4.97,4.97
01-Jul-20,7:00:00 PM,5.00,5.00
01-Jul-20,7:30:00 PM,4.96,4.96
01-Jul-20,8:00:00 PM,4.83,4.83
01-Jul-20,8:30:00 PM,4.53,4.53
01-Jul-20,9:00:00 PM,4.44,4.44
01-Jul-20,9:30:00 PM,4.35,4.35
01-Jul-20,10:00:00 PM,4.30,4.30
01-Jul-20,10:30:00 PM,4.18,4.18
01-Jul-20,11:00:00 PM,3.90,3.90
01-Jul-20,11:30:00 PM,3.71,3.71
02-Jul-20,12:00:00 AM,3.59,3.60
02-Jul-20,12:30:00 AM,3.44,3.44
02-Jul-20,1:00:00 AM,3.52,3.52
02-Jul-20,1:30:00 AM,3.59,3.59
02-Jul-20,2:00:00 AM,4.19,4.19
02-Jul-20,2:30:00 AM,4.50,4.51
02-Jul-20,3:00:00 AM,4.49,4.49
02-Jul-20,3:30:00 AM,4.27,4.28
02-Jul-20,4:00:00 AM,4.45,4.45
02-Jul-20,4:30:00 AM,4.38,4.38
02-Jul-20,5:00:00 AM,4.55,4.55
02-Jul-20,5:30:00 AM,4.68,4.68
02-Jul-20,6:00:00 AM,5.02,5.03
02-Jul-20,6:30:00 AM,5.26,5.28
02-Jul-20,7:00:00 AM,5.38,5.40
02-Jul-20,7:30:00 AM,5.25,5.28
02-Jul-20,8:00:00 AM,5.44,5.46
02-Jul-20,8:30:00 AM,5.48,5.51
02-Jul-20,9:00:00 AM,5.23,5.27
02-Jul-20,9:30:00 AM,5.05,5.08
02-Jul-20,10:00:00 AM,5.07,5.10
02-Jul-20,10:30:00 AM,4.90,4.93
02-Jul-20,11:00:00 AM,4.75,4.79
02-Jul-20,11:30:00 AM,4.80,4.85
02-Jul-20,12:00:00 PM,4.85,4.88
02-Jul-20,12:30:00 PM,4.95,4.99
02-Jul-20,1:00:00 PM,5.10,5.15
02-Jul-20,1:30:00 PM,4.92,4.97
02-Jul-20,2:00:00 PM,4.99,5.03
02-Jul-20,2:30:00 PM,5.04,5.09
02-Jul-20,3:00:00 PM,5.23,5.27
02-Jul-20,3:30:00 PM,5.09,5.11
02-Jul-20,4:00:00 PM,5.18,5.20
