Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,4.90,4.95
01-Jul-20,12:30:00 AM,4.58,4.64
01-Jul-20,1:00:00 AM,4.42,4.48
01-Jul-20,1:30:00 AM,4.22,4.29
01-Jul-20,2:00:00 AM,4.25,4.32
01-Jul-20,2:30:00 AM,4.25,4.33
01-Jul-20,3:00:00 AM,4.34,4.41
01-Jul-20,3:30:00 AM,4.34,4.41
01-Jul-20,4:00:00 AM,4.56,4.61
01-Jul-20,4:30:00 AM,4.91,4.95
01-Jul-20,5:00:00 AM,5.23,5.27
01-Jul-20,5:30:00 AM,5.81,5.83
01-Jul-20,6:00:00 AM,6.63,6.64
01-Jul-20,6:30:00 AM,7.59,7.60
01-Jul-20,7:00:00 AM,8.30,8.31
01-Jul-20,7:30:00 AM,8.55,8.56
01-Jul-20,8:00:00 AM,8.32,8.32
01-Jul-20,8:30:00 AM,7.97,7.97
01-Jul-20,9:00:00 AM,7.49,7.49
01-Jul-20,9:30:00 AM,6.97,6.97
01-Jul-20,10:00:00 AM,6.72,6.72
01-Jul-20,10:30:00 AM,6.45,6.45
01-Jul-20,11:00:00 AM,6.08,6.08
01-Jul-20,11:30:00 AM,6.07,6.07
01-Jul-20,12:00:00 PM,6.20,6.20
01-Jul-20,12:30:00 PM,6.00,6.00
01-Jul-20,1:00:00 PM,6.46,6.46
01-Jul-20,1:30:00 PM,6.19,6.19
01-Jul-20,2:00:00 PM,6.98,6.98
01-Jul-20,2:30:00 PM,7.42,7.42
01-Jul-20,3:00:00 PM,7.36,7.36
01-Jul-20,3:30:00 PM,7.14,7.14
01-Jul-20,4:00:00 PM,7.65,7.66
01-Jul-20,4:30:00 PM,8.06,8.07
01-Jul-20,5:00:00 PM,8.56,8.56
01-Jul-20,5:30:00 PM,9.20,9.20
01-Jul-20,6:00:00 PM,9.43,9.43
01-Jul-20,6:30:00 PM,9.58,9.59
01-Jul-20,7:00:00 PM,9.42,9.42
01-Jul-20,7:30:00 PM,9.19,9.20
01-Jul-20,8:00:00 PM,9.15,9.16
01-Jul-20,8:30:00 PM,8.74,8.75
01-Jul-20,9:00:00 PM,8.10,8.11
01-Jul-20,9:30:00 PM,7.50,7.52
01-Jul-20,10:00:00 PM,6.92,6.95
01-Jul-20,10:30:00 PM,6.22,6.26
01-Jul-20,11:00:00 PM,5.64,5.69
01-Jul-20,11:30:00 PM,5.24,5.30
