Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,6.84,6.84
01-Jul-20,12:30:00 AM,6.27,6.28
01-Jul-20,1:00:00 AM,5.89,5.91
01-Jul-20,1:30:00 AM,5.48,5.52
01-Jul-20,2:00:00 AM,5.28,5.33
01-Jul-20,2:30:00 AM,5.16,5.21
01-Jul-20,3:00:00 AM,5.11,5.18
01-Jul-20,3:30:00 AM,5.10,5.14
01-Jul-20,4:00:00 AM,5.27,5.32
01-Jul-20,4:30:00 AM,5.55,5.59
01-Jul-20,5:00:00 AM,6.26,6.28
01-Jul-20,5:30:00 AM,7.07,7.08
01-Jul-20,6:00:00 AM,8.18,8.18
01-Jul-20,6:30:00 AM,9.29,9.29
01-Jul-20,7:00:00 AM,10.24,10.25
01-Jul-20,7:30:00 AM,10.39,10.40
01-Jul-20,8:00:00 AM,9.94,9.94
01-Jul-20,8:30:00 AM,8.92,8.92
01-Jul-20,9:00:00 AM,7.67,7.68
01-Jul-20,9:30:00 AM,6.69,6.69
01-Jul-20,10:00:00 AM,5.78,5.78
01-Jul-20,10:30:00 AM,5.15,5.15
01-Jul-20,11:00:00 AM,4.73,4.73
01-Jul-20,11:30:00 AM,4.53,4.54
01-Jul-20,12:00:00 PM,4.89,4.89
01-Jul-20,12:30:00 PM,5.49,5.49
01-Jul-20,1:00:00 PM,6.24,6.25
01-Jul-20,1:30:00 PM,7.22,7.22
01-Jul-20,2:00:00 PM,6.52,6.53
01-Jul-20,2:30:00 PM,6.60,6.61
01-Jul-20,3:00:00 PM,6.22,6.23
01-Jul-20,3:30:00 PM,7.62,7.62
01-Jul-20,4:00:00 PM,8.17,8.17
01-Jul-20,4:30:00 PM,9.42,9.42
01-Jul-20,5:00:00 PM,10.44,10.45
01-Jul-20,5:30:00 PM,11.36,11.37
01-Jul-20,6:00:00 PM,11.83,11.84
01-Jul-20,6:30:00 PM,12.33,12.34
01-Jul-20,7:00:00 PM,12.24,12.26
01-Jul-20,7:30:00 PM,12.14,12.15
01-Jul-20,8:00:00 PM,12.38,12.39
01-Jul-20,8:30:00 PM,11.58,11.59
01-Jul-20,9:00:00 PM,10.88,10.89
01-Jul-20,9:30:00 PM,10.49,10.49
01-Jul-20,10:00:00 PM,9.97,9.97
