Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.87,10.03
01-Jul-20,12:30:00 AM,9.37,9.55
01-Jul-20,1:00:00 AM,8.91,9.11
01-Jul-20,1:30:00 AM,8.55,8.74
01-Jul-20,2:00:00 AM,8.38,8.58
01-Jul-20,2:30:00 AM,8.26,8.46
01-Jul-20,3:00:00 AM,8.36,8.57
01-Jul-20,3:30:00 AM,8.45,8.66
01-Jul-20,4:00:00 AM,8.69,8.89
01-Jul-20,4:30:00 AM,9.04,9.23
01-Jul-20,5:00:00 AM,10.01,10.15
01-Jul-20,5:30:00 AM,10.86,10.99
01-Jul-20,6:00:00 AM,12.09,12.20
01-Jul-20,6:30:00 AM,13.52,13.62
01-Jul-20,7:00:00 AM,15.25,15.34
01-Jul-20,7:30:00 AM,16.02,16.09
01-Jul-20,8:00:00 AM,16.25,16.31
01-Jul-20,8:30:00 AM,13.41,13.46
01-Jul-20,9:00:00 AM,12.37,12.42
01-Jul-20,9:30:00 AM,12.31,12.37
01-Jul-20,10:00:00 AM,9.24,9.29
01-Jul-20,10:30:00 AM,8.04,8.09
01-Jul-20,11:00:00 AM,7.03,7.08
01-Jul-20,11:30:00 AM,6.49,6.56
01-Jul-20,12:00:00 PM,6.17,6.26
01-Jul-20,12:30:00 PM,6.66,6.76
01-Jul-20,1:00:00 PM,8.45,8.53
01-Jul-20,1:30:00 PM,10.13,10.20
01-Jul-20,2:00:00 PM,9.63,9.70
01-Jul-20,2:30:00 PM,9.44,9.51
01-Jul-20,3:00:00 PM,11.90,11.96
01-Jul-20,3:30:00 PM,12.74,12.80
01-Jul-20,4:00:00 PM,14.46,14.53
01-Jul-20,4:30:00 PM,17.17,17.22
01-Jul-20,5:00:00 PM,19.53,19.56
01-Jul-20,5:30:00 PM,21.27,21.28
01-Jul-20,6:00:00 PM,21.07,21.08
01-Jul-20,6:30:00 PM,21.21,21.22
01-Jul-20,7:00:00 PM,20.30,20.32
01-Jul-20,7:30:00 PM,19.96,19.99
01-Jul-20,8:00:00 PM,19.45,19.49
01-Jul-20,8:30:00 PM,18.13,18.17
01-Jul-20,9:00:00 PM,16.74,16.79
01-Jul-20,9:30:00 PM,15.46,15.54
01-Jul-20,10:00:00 PM,15.34,15.43
01-Jul-20,10:30:00 PM,14.98,15.08
01-Jul-20,11:00:00 PM,13.45,13.56
01-Jul-20,11:30:00 PM,11.62,11.77
02-Jul-20,12:00:00 AM,10.35,10.51
02-Jul-20,12:30:00 AM,9.56,9.75
02-Jul-20,1:00:00 AM,9.03,9.22
02-Jul-20,1:30:00 AM,8.60,8.82
02-Jul-20,2:00:00 AM,8.48,8.69
02-Jul-20,2:30:00 AM,8.28,8.49
02-Jul-20,3:00:00 AM,8.43,8.64
02-Jul-20,3:30:00 AM,8.54,8.75
02-Jul-20,4:00:00 AM,8.87,9.07
02-Jul-20,4:30:00 AM,9.30,9.48
02-Jul-20,5:00:00 AM,10.19,10.34
02-Jul-20,5:30:00 AM,11.16,11.30
02-Jul-20,6:00:00 AM,12.52,12.62
02-Jul-20,6:30:00 AM,14.31,14.43
02-Jul-20,7:00:00 AM,15.52,15.60
02-Jul-20,7:30:00 AM,15.46,15.54
02-Jul-20,8:00:00 AM,15.45,15.50
02-Jul-20,8:30:00 AM,15.44,15.48
02-Jul-20,9:00:00 AM,12.51,12.56
02-Jul-20,9:30:00 AM,11.65,11.69
02-Jul-20,10:00:00 AM,10.67,10.73
02-Jul-20,10:30:00 AM,8.13,8.19
02-Jul-20,11:00:00 AM,9.89,9.97
02-Jul-20,11:30:00 AM,8.16,8.24
02-Jul-20,12:00:00 PM,6.27,6.35
02-Jul-20,12:30:00 PM,6.26,6.36
02-Jul-20,1:00:00 PM,7.80,7.88
02-Jul-20,1:30:00 PM,9.13,9.22
02-Jul-20,2:00:00 PM,9.24,9.34
02-Jul-20,2:30:00 PM,9.57,9.67
02-Jul-20,3:00:00 PM,10.87,10.93
02-Jul-20,3:30:00 PM,12.33,12.40
02-Jul-20,4:00:00 PM,14.44,14.51
02-Jul-20,4:30:00 PM,16.86,16.90
02-Jul-20,5:00:00 PM,19.29,19.31
02-Jul-20,5:30:00 PM,20.85,20.86
02-Jul-20,6:00:00 PM,21.04,21.05
02-Jul-20,6:30:00 PM,20.88,20.89
02-Jul-20,7:00:00 PM,20.22,20.24
02-Jul-20,7:30:00 PM,19.92,19.94
02-Jul-20,8:00:00 PM,19.42,19.45
02-Jul-20,8:30:00 PM,18.21,18.25
02-Jul-20,9:00:00 PM,16.63,16.68
02-Jul-20,9:30:00 PM,15.44,15.51
02-Jul-20,10:00:00 PM,15.24,15.32
02-Jul-20,10:30:00 PM,14.98,15.07
