Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.11,9.42
01-Jul-20,12:30:00 AM,8.38,8.72
01-Jul-20,1:00:00 AM,7.82,8.19
01-Jul-20,1:30:00 AM,7.56,7.94
01-Jul-20,2:00:00 AM,7.37,7.74
01-Jul-20,2:30:00 AM,7.31,7.71
01-Jul-20,3:00:00 AM,7.41,7.81
01-Jul-20,3:30:00 AM,7.39,7.77
01-Jul-20,4:00:00 AM,7.47,7.84
01-Jul-20,4:30:00 AM,7.75,8.10
01-Jul-20,5:00:00 AM,8.33,8.62
01-Jul-20,5:30:00 AM,9.13,9.38
01-Jul-20,6:00:00 AM,10.31,10.49
01-Jul-20,6:30:00 AM,11.52,11.69
01-Jul-20,7:00:00 AM,12.82,12.96
01-Jul-20,7:30:00 AM,12.97,13.08
01-Jul-20,8:00:00 AM,12.54,12.64
01-Jul-20,8:30:00 AM,9.23,9.36
01-Jul-20,9:00:00 AM,9.80,9.93
01-Jul-20,9:30:00 AM,8.79,8.92
01-Jul-20,10:00:00 AM,5.91,6.08
01-Jul-20,10:30:00 AM,4.71,4.90
01-Jul-20,11:00:00 AM,3.87,4.11
01-Jul-20,11:30:00 AM,2.95,3.23
01-Jul-20,12:00:00 PM,3.41,3.67
01-Jul-20,12:30:00 PM,4.25,4.50
01-Jul-20,1:00:00 PM,8.07,8.25
01-Jul-20,1:30:00 PM,7.10,7.30
01-Jul-20,2:00:00 PM,5.41,5.65
01-Jul-20,2:30:00 PM,6.43,6.63
01-Jul-20,3:00:00 PM,8.26,8.46
01-Jul-20,3:30:00 PM,9.45,9.64
01-Jul-20,4:00:00 PM,11.15,11.34
01-Jul-20,4:30:00 PM,13.32,13.49
01-Jul-20,5:00:00 PM,15.79,15.89
01-Jul-20,5:30:00 PM,17.20,17.26
01-Jul-20,6:00:00 PM,17.42,17.47
01-Jul-20,6:30:00 PM,17.39,17.45
01-Jul-20,7:00:00 PM,16.81,16.87
01-Jul-20,7:30:00 PM,16.43,16.50
01-Jul-20,8:00:00 PM,15.93,16.01
01-Jul-20,8:30:00 PM,15.11,15.20
01-Jul-20,9:00:00 PM,14.30,14.41
01-Jul-20,9:30:00 PM,13.10,13.23
01-Jul-20,10:00:00 PM,12.36,12.55
01-Jul-20,10:30:00 PM,12.46,12.66
01-Jul-20,11:00:00 PM,11.35,11.58
01-Jul-20,11:30:00 PM,10.14,10.41
02-Jul-20,12:00:00 AM,9.25,9.56
02-Jul-20,12:30:00 AM,8.65,8.97
02-Jul-20,1:00:00 AM,8.12,8.47
02-Jul-20,1:30:00 AM,7.78,8.15
02-Jul-20,2:00:00 AM,7.58,7.97
02-Jul-20,2:30:00 AM,7.43,7.82
