Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,0.16,0.18
01-Jul-20,12:30:00 AM,0.15,0.18
01-Jul-20,1:00:00 AM,0.13,0.15
01-Jul-20,1:30:00 AM,0.13,0.16
01-Jul-20,2:00:00 AM,0.12,0.16
01-Jul-20,2:30:00 AM,0.11,0.14
01-Jul-20,3:00:00 AM,0.12,0.15
01-Jul-20,3:30:00 AM,0.10,0.14
01-Jul-20,4:00:00 AM,0.12,0.15
01-Jul-20,4:30:00 AM,0.12,0.15
01-Jul-20,5:00:00 AM,0.14,0.17
01-Jul-20,5:30:00 AM,0.17,0.20
01-Jul-20,6:00:00 AM,0.18,0.21
01-Jul-20,6:30:00 AM,0.19,0.21
01-Jul-20,7:00:00 AM,0.20,0.23
01-Jul-20,7:30:00 AM,0.18,0.21
01-Jul-20,8:00:00 AM,0.14,0.17
01-Jul-20,8:30:00 AM,0.07,0.11
01-Jul-20,9:00:00 AM,0.03,0.09
01-Jul-20,9:30:00 AM,0.01,0.09
01-Jul-20,10:00:00 AM,0.00,0.08
01-Jul-20,10:30:00 AM,-0.03,0.08
01-Jul-20,11:00:00 AM,-0.03,0.08
01-Jul-20,11:30:00 AM,-0.05,0.09
01-Jul-20,12:00:00 PM,-0.05,0.09
01-Jul-20,12:30:00 PM,0.02,0.09
01-Jul-20,1:00:00 PM,-0.05,0.09
01-Jul-20,1:30:00 PM,-0.05,0.10
01-Jul-20,2:00:00 PM,0.03,0.09
01-Jul-20,2:30:00 PM,0.02,0.07
01-Jul-20,3:00:00 PM,0.09,0.13
01-Jul-20,3:30:00 PM,0.09,0.13
01-Jul-20,4:00:00 PM,0.13,0.16
01-Jul-20,4:30:00 PM,0.16,0.19
01-Jul-20,5:00:00 PM,0.21,0.23
01-Jul-20,5:30:00 PM,0.25,0.26
01-Jul-20,6:00:00 PM,0.25,0.27
01-Jul-20,6:30:00 PM,0.26,0.28
01-Jul-20,7:00:00 PM,0.24,0.26
01-Jul-20,7:30:00 PM,0.25,0.26
01-Jul-20,8:00:00 PM,0.26,0.27
01-Jul-20,8:30:00 PM,0.21,0.23
01-Jul-20,9:00:00 PM,0.24,0.26
01-Jul-20,9:30:00 PM,0.22,0.25
01-Jul-20,10:00:00 PM,0.20,0.22
01-Jul-20,10:30:00 PM,0.20,0.22
01-Jul-20,11:00:00 PM,0.21,0.24
01-Jul-20,11:30:00 PM,0.21,0.23
02-Jul-20,12:00:00 AM,0.15,0.18
02-Jul-20,12:30:00 AM,0.14,0.17
02-Jul-20,1:00:00 AM,0.11,0.15
02-Jul-20,1:30:00 AM,0.10,0.14
02-Jul-20,2:00:00 AM,0.10,0.14
02-Jul-20,2:30:00 AM,0.10,0.14
02-Jul-20,3:00:00 AM,0.11,0.15
02-Jul-20,3:30:00 AM,0.11,0.15
02-Jul-20,4:00:00 AM,0.10,0.14
02-Jul-20,4:30:00 AM,0.13,0.16
02-Jul-20,5:00:00 AM,0.14,0.17
02-Jul-20,5:30:00 AM,0.14,0.17
02-Jul-20,6:00:00 AM,0.18,0.20
02-Jul-20,6:30:00 AM,0.17,0.20
02-Jul-20,7:00:00 AM,0.16,0.19
02-Jul-20,7:30:00 AM,0.15,0.18
02-Jul-20,8:00:00 AM,0.14,0.17
02-Jul-20,8:30:00 AM,0.15,0.18
02-Jul-20,9:00:00 AM,0.15,0.18
02-Jul-20,9:30:00 AM,0.09,0.12
02-Jul-20,10:00:00 AM,0.07,0.11
02-Jul-20,10:30:00 AM,0.02,0.09
02-Jul-20,11:00:00 AM,-0.02,0.09
02-Jul-20,11:30:00 AM,-0.02,0.09
02-Jul-20,12:00:00 PM,-0.01,0.08
02-Jul-20,12:30:00 PM,0.00,0.08
02-Jul-20,1:00:00 PM,-0.05,0.10
02-Jul-20,1:30:00 PM,0.00,0.09
02-Jul-20,2:00:00 PM,-0.01,0.07
02-Jul-20,2:30:00 PM,0.02,0.07
02-Jul-20,3:00:00 PM,0.07,0.10
02-Jul-20,3:30:00 PM,0.12,0.15
02-Jul-20,4:00:00 PM,0.14,0.17
02-Jul-20,4:30:00 PM,0.18,0.20
02-Jul-20,5:00:00 PM,0.20,0.23
02-Jul-20,5:30:00 PM,0.25,0.27
02-Jul-20,6:00:00 PM,0.27,0.29
02-Jul-20,6:30:00 PM,0.30,0.31
02-Jul-20,7:00:00 PM,0.28,0.29
02-Jul-20,7:30:00 PM,0.26,0.27
02-Jul-20,8:00:00 PM,0.26,0.28
02-Jul-20,8:30:00 PM,0.26,0.27
02-Jul-20,9:00:00 PM,0.25,0.27
02-Jul-20,9:30:00 PM,0.22,0.24
02-Jul-20,10:00:00 PM,0.21,0.23
02-Jul-20,10:30:00 PM,0.21,0.23
02-Jul-20,11:00:00 PM,0.22,0.24
02-Jul-20,11:30:00 PM,0.22,0.24
03-Jul-20,12:00:00 AM,0.19,0.21
03-Jul-20,12:30:00 AM,0.15,0.18
03-Jul-20,1:00:00 AM,0.11,0.15
03-Jul-20,1:30:00 AM,0.10,0.14
03-Jul-20,2:00:00 AM,0.12,0.15
03-Jul-20,2:30:00 AM,0.11,0.14
03-Jul-20,3:00:00 AM,0.11,0.15
03-Jul-20,3:30:00 AM,0.12,0.15
03-Jul-20,4:00:00 AM,0.12,0.15
03-Jul-20,4:30:00 AM,0.13,0.16
03-Jul-20,5:00:00 AM,0.13,0.16
03-Jul-20,5:30:00 AM,0.15,0.17
03-Jul-20,6:00:00 AM,0.17,0.19
03-Jul-20,6:30:00 AM,0.20,0.22
03-Jul-20,7:00:00 AM,0.17,0.20
03-Jul-20,7:30:00 AM,1.46,1.46
03-Jul-20,8:00:00 AM,0.00,0.12
03-Jul-20,8:30:00 AM,0.00,0.12
03-Jul-20,9:00:00 AM,0.00,0.11
03-Jul-20,9:30:00 AM,0.00,0.10
03-Jul-20,10:00:00 AM,0.00,0.10
03-Jul-20,10:30:00 AM,0.00,0.10
03-Jul-20,11:00:00 AM,0.00,0.10
03-Jul-20,11:30:00 AM,0.00,0.10
03-Jul-20,12:00:00 PM,0.00,0.10
03-Jul-20,12:30:00 PM,0.00,0.10
03-Jul-20,1:00:00 PM,0.00,0.11
03-Jul-20,1:30:00 PM,0.13,0.16
03-Jul-20,2:00:00 PM,0.50,0.50
03-Jul-20,2:30:00 PM,0.02,0.08
03-Jul-20,3:00:00 PM,0.04,0.09
03-Jul-20,3:30:00 PM,0.08,0.12
03-Jul-20,4:00:00 PM,0.15,0.17
03-Jul-20,4:30:00 PM,0.16,0.19
03-Jul-20,5:00:00 PM,0.19,0.21
03-Jul-20,5:30:00 PM,0.22,0.23
03-Jul-20,6:00:00 PM,0.23,0.24
03-Jul-20,6:30:00 PM,0.25,0.26
03-Jul-20,7:00:00 PM,0.25,0.27
03-Jul-20,7:30:00 PM,0.24,0.25
03-Jul-20,8:00:00 PM,0.24,0.25
03-Jul-20,8:30:00 PM,0.21,0.23
03-Jul-20,9:00:00 PM,0.19,0.22
03-Jul-20,9:30:00 PM,0.21,0.23
03-Jul-20,10:00:00 PM,0.19,0.21
03-Jul-20,10:30:00 PM,0.18,0.20
03-Jul-20,11:00:00 PM,0.18,0.21
03-Jul-20,11:30:00 PM,0.18,0.21
04-Jul-20,12:00:00 AM,0.15,0.18
04-Jul-20,12:30:00 AM,0.13,0.16
04-Jul-20,1:00:00 AM,0.12,0.16
04-Jul-20,1:30:00 AM,0.11,0.15
04-Jul-20,2:00:00 AM,0.11,0.15
04-Jul-20,2:30:00 AM,0.12,0.16
04-Jul-20,3:00:00 AM,0.10,0.14
04-Jul-20,3:30:00 AM,0.10,0.14
04-Jul-20,4:00:00 AM,0.10,0.14
04-Jul-20,4:30:00 AM,0.12,0.15
04-Jul-20,5:00:00 AM,0.13,0.16
04-Jul-20,5:30:00 AM,0.14,0.17
04-Jul-20,6:00:00 AM,0.14,0.17
04-Jul-20,6:30:00 AM,0.15,0.18
04-Jul-20,7:00:00 AM,0.18,0.21
04-Jul-20,7:30:00 AM,0.17,0.20
04-Jul-20,8:00:00 AM,0.14,0.17
04-Jul-20,8:30:00 AM,0.12,0.14
04-Jul-20,9:00:00 AM,0.09,0.13
04-Jul-20,9:30:00 AM,0.05,0.10
04-Jul-20,10:00:00 AM,0.05,0.10
04-Jul-20,10:30:00 AM,0.01,0.08
04-Jul-20,11:00:00 AM,-0.03,0.08
04-Jul-20,11:30:00 AM,-0.03,0.08
04-Jul-20,12:00:00 PM,-0.01,0.08
04-Jul-20,12:30:00 PM,-0.04,0.09
04-Jul-20,1:00:00 PM,-0.04,0.10
04-Jul-20,1:30:00 PM,-0.04,0.08
04-Jul-20,2:00:00 PM,0.00,0.08
04-Jul-20,2:30:00 PM,0.04,0.09
04-Jul-20,3:00:00 PM,0.07,0.11
04-Jul-20,3:30:00 PM,0.12,0.15
04-Jul-20,4:00:00 PM,0.14,0.17
04-Jul-20,4:30:00 PM,0.21,0.24
04-Jul-20,5:00:00 PM,0.24,0.26
04-Jul-20,5:30:00 PM,0.24,0.26
04-Jul-20,6:00:00 PM,0.26,0.28
04-Jul-20,6:30:00 PM,0.27,0.28
04-Jul-20,7:00:00 PM,0.27,0.28
04-Jul-20,7:30:00 PM,0.26,0.27
04-Jul-20,8:00:00 PM,0.27,0.28
04-Jul-20,8:30:00 PM,0.27,0.28
04-Jul-20,9:00:00 PM,0.25,0.27
