Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,0.69,0.70
01-Jul-20,12:30:00 AM,0.65,0.66
01-Jul-20,1:00:00 AM,0.63,0.63
01-Jul-20,1:30:00 AM,0.59,0.60
01-Jul-20,2:00:00 AM,0.60,0.61
01-Jul-20,2:30:00 AM,0.58,0.59
01-Jul-20,3:00:00 AM,0.59,0.60
01-Jul-20,3:30:00 AM,0.61,0.62
01-Jul-20,4:00:00 AM,0.66,0.66
01-Jul-20,4:30:00 AM,0.84,0.87
01-Jul-20,5:00:00 AM,1.17,1.27
01-Jul-20,5:30:00 AM,1.33,1.48
01-Jul-20,6:00:00 AM,1.43,1.59
01-Jul-20,6:30:00 AM,1.48,1.63
01-Jul-20,7:00:00 AM,1.61,1.84
01-Jul-20,7:30:00 AM,1.54,1.80
01-Jul-20,8:00:00 AM,1.53,1.80
01-Jul-20,8:30:00 AM,1.41,1.74
01-Jul-20,9:00:00 AM,1.19,1.48
01-Jul-20,9:30:00 AM,1.15,1.52
01-Jul-20,10:00:00 AM,1.00,1.30
01-Jul-20,10:30:00 AM,1.01,1.42
01-Jul-20,11:00:00 AM,1.03,1.46
01-Jul-20,11:30:00 AM,1.04,1.47
01-Jul-20,12:00:00 PM,0.88,1.20
01-Jul-20,12:30:00 PM,0.94,1.32
01-Jul-20,1:00:00 PM,1.05,1.45
01-Jul-20,1:30:00 PM,0.99,1.28
01-Jul-20,2:00:00 PM,1.33,1.65
01-Jul-20,2:30:00 PM,1.40,1.71
01-Jul-20,3:00:00 PM,1.21,1.41
01-Jul-20,3:30:00 PM,0.99,1.09
01-Jul-20,4:00:00 PM,1.05,1.14
01-Jul-20,4:30:00 PM,1.01,1.04
01-Jul-20,5:00:00 PM,1.10,1.14
01-Jul-20,5:30:00 PM,1.18,1.21
01-Jul-20,6:00:00 PM,1.25,1.27
01-Jul-20,6:30:00 PM,1.20,1.22
01-Jul-20,7:00:00 PM,1.15,1.17
01-Jul-20,7:30:00 PM,1.13,1.15
01-Jul-20,8:00:00 PM,1.13,1.15
01-Jul-20,8:30:00 PM,1.14,1.15
01-Jul-20,9:00:00 PM,1.14,1.15
01-Jul-20,9:30:00 PM,1.07,1.08
01-Jul-20,10:00:00 PM,1.00,1.02
01-Jul-20,10:30:00 PM,0.96,0.97
01-Jul-20,11:00:00 PM,1.00,1.02
01-Jul-20,11:30:00 PM,0.91,0.93
02-Jul-20,12:00:00 AM,0.86,0.88
02-Jul-20,12:30:00 AM,0.82,0.84
02-Jul-20,1:00:00 AM,0.80,0.82
02-Jul-20,1:30:00 AM,0.75,0.77
02-Jul-20,2:00:00 AM,0.75,0.77
02-Jul-20,2:30:00 AM,0.75,0.77
02-Jul-20,3:00:00 AM,0.75,0.77
02-Jul-20,3:30:00 AM,0.75,0.77
02-Jul-20,4:00:00 AM,0.78,0.80
02-Jul-20,4:30:00 AM,0.97,1.01
02-Jul-20,5:00:00 AM,1.26,1.38
02-Jul-20,5:30:00 AM,1.52,1.72
02-Jul-20,6:00:00 AM,1.57,1.76
02-Jul-20,6:30:00 AM,1.62,1.79
02-Jul-20,7:00:00 AM,1.84,2.11
02-Jul-20,7:30:00 AM,1.89,2.16
02-Jul-20,8:00:00 AM,1.82,2.11
02-Jul-20,8:30:00 AM,1.63,1.93
02-Jul-20,9:00:00 AM,1.37,1.64
02-Jul-20,9:30:00 AM,1.24,1.56
02-Jul-20,10:00:00 AM,1.10,1.41
02-Jul-20,10:30:00 AM,1.17,1.63
02-Jul-20,11:00:00 AM,1.24,1.68
02-Jul-20,11:30:00 AM,1.17,1.65
02-Jul-20,12:00:00 PM,0.98,1.32
02-Jul-20,12:30:00 PM,0.97,1.34
02-Jul-20,1:00:00 PM,1.18,1.53
02-Jul-20,1:30:00 PM,1.12,1.37
02-Jul-20,2:00:00 PM,1.21,1.52
02-Jul-20,2:30:00 PM,1.14,1.43
02-Jul-20,3:00:00 PM,0.94,1.10
02-Jul-20,3:30:00 PM,0.84,0.89
02-Jul-20,4:00:00 PM,0.96,1.02
02-Jul-20,4:30:00 PM,0.89,0.91
02-Jul-20,5:00:00 PM,0.99,1.02
02-Jul-20,5:30:00 PM,1.07,1.09
02-Jul-20,6:00:00 PM,1.06,1.08
02-Jul-20,6:30:00 PM,1.11,1.12
02-Jul-20,7:00:00 PM,1.14,1.15
02-Jul-20,7:30:00 PM,1.11,1.13
02-Jul-20,8:00:00 PM,1.12,1.13
02-Jul-20,8:30:00 PM,1.14,1.15
02-Jul-20,9:00:00 PM,1.25,1.26
02-Jul-20,9:30:00 PM,1.14,1.16
02-Jul-20,10:00:00 PM,1.07,1.09
02-Jul-20,10:30:00 PM,1.05,1.07
02-Jul-20,11:00:00 PM,1.05,1.08
02-Jul-20,11:30:00 PM,0.97,0.99
03-Jul-20,12:00:00 AM,0.94,0.97
03-Jul-20,12:30:00 AM,0.88,0.90
03-Jul-20,1:00:00 AM,0.84,0.86
03-Jul-20,1:30:00 AM,0.82,0.84
03-Jul-20,2:00:00 AM,0.81,0.83
03-Jul-20,2:30:00 AM,0.80,0.81
03-Jul-20,3:00:00 AM,0.80,0.81
03-Jul-20,3:30:00 AM,0.80,0.81
03-Jul-20,4:00:00 AM,0.83,0.84
03-Jul-20,4:30:00 AM,0.91,0.93
03-Jul-20,5:00:00 AM,1.08,1.13
03-Jul-20,5:30:00 AM,1.18,1.24
03-Jul-20,6:00:00 AM,1.19,1.26
03-Jul-20,6:30:00 AM,1.26,1.32
03-Jul-20,7:00:00 AM,1.24,1.28
03-Jul-20,7:30:00 AM,1.14,1.19
03-Jul-20,8:00:00 AM,1.08,1.13
03-Jul-20,8:30:00 AM,0.94,0.99
03-Jul-20,9:00:00 AM,0.80,0.86
03-Jul-20,9:30:00 AM,0.69,0.78
03-Jul-20,10:00:00 AM,0.59,0.67
03-Jul-20,10:30:00 AM,0.53,0.64
03-Jul-20,11:00:00 AM,0.47,0.60
03-Jul-20,11:30:00 AM,0.45,0.59
03-Jul-20,12:00:00 PM,0.42,0.57
03-Jul-20,12:30:00 PM,0.47,0.61
03-Jul-20,1:00:00 PM,0.52,0.65
03-Jul-20,1:30:00 PM,0.55,0.69
03-Jul-20,2:00:00 PM,0.62,0.72
03-Jul-20,2:30:00 PM,0.60,0.64
03-Jul-20,3:00:00 PM,0.69,0.72
03-Jul-20,3:30:00 PM,0.68,0.71
03-Jul-20,4:00:00 PM,0.74,0.76
03-Jul-20,4:30:00 PM,0.83,0.85
03-Jul-20,5:00:00 PM,0.92,0.94
03-Jul-20,5:30:00 PM,1.01,1.03
03-Jul-20,6:00:00 PM,1.00,1.01
03-Jul-20,6:30:00 PM,1.04,1.06
03-Jul-20,7:00:00 PM,1.04,1.06
03-Jul-20,7:30:00 PM,1.09,1.11
03-Jul-20,8:00:00 PM,1.09,1.11
03-Jul-20,8:30:00 PM,1.10,1.12
03-Jul-20,9:00:00 PM,1.17,1.19
03-Jul-20,9:30:00 PM,1.14,1.16
03-Jul-20,10:00:00 PM,1.05,1.07
03-Jul-20,10:30:00 PM,1.03,1.06
03-Jul-20,11:00:00 PM,1.04,1.07
03-Jul-20,11:30:00 PM,0.98,1.01
04-Jul-20,12:00:00 AM,0.91,0.94
04-Jul-20,12:30:00 AM,0.88,0.91
04-Jul-20,1:00:00 AM,0.81,0.83
04-Jul-20,1:30:00 AM,0.79,0.81
04-Jul-20,2:00:00 AM,0.76,0.78
