Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,2.58,2.66
01-Jul-20,12:30:00 AM,2.51,2.60
01-Jul-20,1:00:00 AM,2.44,2.53
01-Jul-20,1:30:00 AM,2.25,2.32
01-Jul-20,2:00:00 AM,2.09,2.14
01-Jul-20,2:30:00 AM,2.09,2.15
01-Jul-20,3:00:00 AM,2.08,2.13
01-Jul-20,3:30:00 AM,2.08,2.12
01-Jul-20,4:00:00 AM,2.13,2.18
01-Jul-20,4:30:00 AM,2.28,2.34
01-Jul-20,5:00:00 AM,2.45,2.52
01-Jul-20,5:30:00 AM,2.50,2.57
01-Jul-20,6:00:00 AM,2.57,2.63
01-Jul-20,6:30:00 AM,2.77,2.83
01-Jul-20,7:00:00 AM,2.85,2.90
01-Jul-20,7:30:00 AM,2.79,2.86
01-Jul-20,8:00:00 AM,2.61,2.69
01-Jul-20,8:30:00 AM,2.35,2.46
01-Jul-20,9:00:00 AM,1.96,2.07
01-Jul-20,9:30:00 AM,1.75,1.90
01-Jul-20,10:00:00 AM,1.69,1.87
01-Jul-20,10:30:00 AM,1.57,1.77
01-Jul-20,11:00:00 AM,1.44,1.67
01-Jul-20,11:30:00 AM,1.44,1.66
01-Jul-20,12:00:00 PM,1.37,1.59
01-Jul-20,12:30:00 PM,1.57,1.76
01-Jul-20,1:00:00 PM,1.73,1.89
01-Jul-20,1:30:00 PM,1.69,1.84
01-Jul-20,2:00:00 PM,1.81,1.95
01-Jul-20,2:30:00 PM,1.88,1.99
01-Jul-20,3:00:00 PM,2.03,2.15
01-Jul-20,3:30:00 PM,2.36,2.49
01-Jul-20,4:00:00 PM,2.78,2.92
01-Jul-20,4:30:00 PM,3.18,3.31
01-Jul-20,5:00:00 PM,3.58,3.73
01-Jul-20,5:30:00 PM,3.76,3.91
01-Jul-20,6:00:00 PM,3.79,3.93
01-Jul-20,6:30:00 PM,3.74,3.87
01-Jul-20,7:00:00 PM,3.77,3.90
01-Jul-20,7:30:00 PM,3.70,3.82
01-Jul-20,8:00:00 PM,3.60,3.70
01-Jul-20,8:30:00 PM,3.50,3.60
01-Jul-20,9:00:00 PM,3.39,3.50
01-Jul-20,9:30:00 PM,3.22,3.33
01-Jul-20,10:00:00 PM,3.17,3.26
01-Jul-20,10:30:00 PM,3.09,3.19
01-Jul-20,11:00:00 PM,2.91,3.02
01-Jul-20,11:30:00 PM,2.83,2.93
02-Jul-20,12:00:00 AM,2.68,2.78
02-Jul-20,12:30:00 AM,2.66,2.77
02-Jul-20,1:00:00 AM,2.58,2.67
02-Jul-20,1:30:00 AM,2.48,2.57
02-Jul-20,2:00:00 AM,2.45,2.55
02-Jul-20,2:30:00 AM,2.42,2.51
02-Jul-20,3:00:00 AM,2.45,2.54
02-Jul-20,3:30:00 AM,2.42,2.49
02-Jul-20,4:00:00 AM,2.52,2.61
02-Jul-20,4:30:00 AM,2.62,2.72
02-Jul-20,5:00:00 AM,2.66,2.75
02-Jul-20,5:30:00 AM,2.64,2.73
02-Jul-20,6:00:00 AM,2.80,2.89
02-Jul-20,6:30:00 AM,2.92,2.99
02-Jul-20,7:00:00 AM,2.85,2.92
02-Jul-20,7:30:00 AM,2.77,2.83
02-Jul-20,8:00:00 AM,2.66,2.73
02-Jul-20,8:30:00 AM,2.62,2.71
02-Jul-20,9:00:00 AM,2.46,2.56
02-Jul-20,9:30:00 AM,2.14,2.26
02-Jul-20,10:00:00 AM,1.78,1.92
02-Jul-20,10:30:00 AM,1.55,1.68
02-Jul-20,11:00:00 AM,1.46,1.58
02-Jul-20,11:30:00 AM,1.37,1.50
02-Jul-20,12:00:00 PM,1.42,1.55
02-Jul-20,12:30:00 PM,1.25,1.39
02-Jul-20,1:00:00 PM,1.33,1.47
02-Jul-20,1:30:00 PM,1.28,1.42
02-Jul-20,2:00:00 PM,1.59,1.75
02-Jul-20,2:30:00 PM,1.81,1.97
02-Jul-20,3:00:00 PM,2.03,2.18
02-Jul-20,3:30:00 PM,2.31,2.47
02-Jul-20,4:00:00 PM,2.62,2.76
02-Jul-20,4:30:00 PM,2.93,3.06
02-Jul-20,5:00:00 PM,3.22,3.35
02-Jul-20,5:30:00 PM,3.35,3.48
02-Jul-20,6:00:00 PM,3.43,3.55
02-Jul-20,6:30:00 PM,3.45,3.55
02-Jul-20,7:00:00 PM,3.41,3.51
02-Jul-20,7:30:00 PM,3.39,3.49
02-Jul-20,8:00:00 PM,3.44,3.52
02-Jul-20,8:30:00 PM,3.32,3.41
02-Jul-20,9:00:00 PM,3.18,3.26
02-Jul-20,9:30:00 PM,2.92,3.01
02-Jul-20,10:00:00 PM,2.78,2.85
02-Jul-20,10:30:00 PM,2.69,2.77
02-Jul-20,11:00:00 PM,2.58,2.66
02-Jul-20,11:30:00 PM,2.51,2.59
03-Jul-20,12:00:00 AM,2.40,2.48
03-Jul-20,12:30:00 AM,2.36,2.44
03-Jul-20,1:00:00 AM,2.31,2.40
03-Jul-20,1:30:00 AM,2.24,2.33
03-Jul-20,2:00:00 AM,2.19,2.26
03-Jul-20,2:30:00 AM,2.17,2.25
03-Jul-20,3:00:00 AM,2.19,2.26
03-Jul-20,3:30:00 AM,2.19,2.25
03-Jul-20,4:00:00 AM,2.23,2.31
03-Jul-20,4:30:00 AM,2.28,2.37
03-Jul-20,5:00:00 AM,2.40,2.48
03-Jul-20,5:30:00 AM,2.43,2.52
03-Jul-20,6:00:00 AM,2.54,2.62
03-Jul-20,6:30:00 AM,2.69,2.76
03-Jul-20,7:00:00 AM,2.76,2.82
03-Jul-20,7:30:00 AM,2.73,2.79
03-Jul-20,8:00:00 AM,2.57,2.66
03-Jul-20,8:30:00 AM,2.35,2.46
03-Jul-20,9:00:00 AM,2.02,2.15
03-Jul-20,9:30:00 AM,1.75,1.91
03-Jul-20,10:00:00 AM,1.76,1.95
03-Jul-20,10:30:00 AM,1.49,1.70
03-Jul-20,11:00:00 AM,1.40,1.63
03-Jul-20,11:30:00 AM,1.37,1.61
03-Jul-20,12:00:00 PM,1.41,1.64
03-Jul-20,12:30:00 PM,1.37,1.60
03-Jul-20,1:00:00 PM,1.36,1.57
03-Jul-20,1:30:00 PM,1.42,1.60
03-Jul-20,2:00:00 PM,1.58,1.74
03-Jul-20,2:30:00 PM,1.89,2.06
03-Jul-20,3:00:00 PM,2.01,2.18
03-Jul-20,3:30:00 PM,2.37,2.53
03-Jul-20,4:00:00 PM,2.67,2.81
03-Jul-20,4:30:00 PM,3.12,3.27
03-Jul-20,5:00:00 PM,3.24,3.37
03-Jul-20,5:30:00 PM,3.43,3.57
03-Jul-20,6:00:00 PM,3.44,3.58
03-Jul-20,6:30:00 PM,3.47,3.60
03-Jul-20,7:00:00 PM,3.49,3.62
03-Jul-20,7:30:00 PM,3.43,3.55
03-Jul-20,8:00:00 PM,3.41,3.53
03-Jul-20,8:30:00 PM,3.35,3.46
03-Jul-20,9:00:00 PM,3.23,3.35
03-Jul-20,9:30:00 PM,3.12,3.24
03-Jul-20,10:00:00 PM,3.05,3.18
03-Jul-20,10:30:00 PM,2.96,3.08
03-Jul-20,11:00:00 PM,2.84,2.97
03-Jul-20,11:30:00 PM,2.69,2.81
04-Jul-20,12:00:00 AM,2.57,2.69
04-Jul-20,12:30:00 AM,2.44,2.55
04-Jul-20,1:00:00 AM,2.40,2.51
