Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.17,7.20
01-Jul-20,12:30:00 AM,6.62,6.66
01-Jul-20,1:00:00 AM,6.23,6.26
01-Jul-20,1:30:00 AM,5.88,5.92
01-Jul-20,2:00:00 AM,5.66,5.72
01-Jul-20,2:30:00 AM,5.58,5.64
01-Jul-20,3:00:00 AM,5.52,5.57
01-Jul-20,3:30:00 AM,5.68,5.73
01-Jul-20,4:00:00 AM,5.94,5.99
01-Jul-20,4:30:00 AM,6.19,6.23
01-Jul-20,5:00:00 AM,6.88,6.91
01-Jul-20,5:30:00 AM,7.54,7.57
01-Jul-20,6:00:00 AM,8.25,8.27
01-Jul-20,6:30:00 AM,8.92,8.96
01-Jul-20,7:00:00 AM,9.58,9.61
01-Jul-20,7:30:00 AM,9.24,9.27
01-Jul-20,8:00:00 AM,8.20,8.23
01-Jul-20,8:30:00 AM,6.89,6.91
01-Jul-20,9:00:00 AM,5.55,5.56
01-Jul-20,9:30:00 AM,4.45,4.46
01-Jul-20,10:00:00 AM,3.53,3.54
01-Jul-20,10:30:00 AM,2.73,2.74
01-Jul-20,11:00:00 AM,2.10,2.10
01-Jul-20,11:30:00 AM,1.82,1.82
01-Jul-20,12:00:00 PM,1.60,1.61
01-Jul-20,12:30:00 PM,1.53,1.53
01-Jul-20,1:00:00 PM,1.63,1.64
01-Jul-20,1:30:00 PM,2.12,2.13
01-Jul-20,2:00:00 PM,2.63,2.65
01-Jul-20,2:30:00 PM,3.36,3.37
01-Jul-20,3:00:00 PM,4.23,4.24
01-Jul-20,3:30:00 PM,5.24,5.27
01-Jul-20,4:00:00 PM,6.45,6.49
01-Jul-20,4:30:00 PM,8.06,8.07
01-Jul-20,5:00:00 PM,9.44,9.45
01-Jul-20,5:30:00 PM,10.41,10.42
01-Jul-20,6:00:00 PM,10.61,10.61
01-Jul-20,6:30:00 PM,10.80,10.80
01-Jul-20,7:00:00 PM,10.55,10.56
01-Jul-20,7:30:00 PM,10.70,10.70
01-Jul-20,8:00:00 PM,11.18,11.19
01-Jul-20,8:30:00 PM,10.72,10.72
01-Jul-20,9:00:00 PM,10.24,10.25
01-Jul-20,9:30:00 PM,9.66,9.67
01-Jul-20,10:00:00 PM,9.44,9.45
01-Jul-20,10:30:00 PM,9.43,9.44
01-Jul-20,11:00:00 PM,8.77,8.78
01-Jul-20,11:30:00 PM,7.96,7.98
02-Jul-20,12:00:00 AM,6.93,6.95
02-Jul-20,12:30:00 AM,6.44,6.48
02-Jul-20,1:00:00 AM,6.09,6.13
02-Jul-20,1:30:00 AM,5.76,5.80
02-Jul-20,2:00:00 AM,5.58,5.63
02-Jul-20,2:30:00 AM,5.50,5.55
02-Jul-20,3:00:00 AM,5.38,5.44
02-Jul-20,3:30:00 AM,5.56,5.62
02-Jul-20,4:00:00 AM,5.76,5.81
02-Jul-20,4:30:00 AM,6.14,6.20
02-Jul-20,5:00:00 AM,6.74,6.78
02-Jul-20,5:30:00 AM,7.39,7.40
02-Jul-20,6:00:00 AM,8.09,8.10
02-Jul-20,6:30:00 AM,8.79,8.81
02-Jul-20,7:00:00 AM,8.92,8.95
02-Jul-20,7:30:00 AM,8.80,8.82
02-Jul-20,8:00:00 AM,8.64,8.65
02-Jul-20,8:30:00 AM,8.27,8.27
02-Jul-20,9:00:00 AM,6.95,6.96
02-Jul-20,9:30:00 AM,6.39,6.40
02-Jul-20,10:00:00 AM,4.07,4.08
02-Jul-20,10:30:00 AM,3.45,3.45
02-Jul-20,11:00:00 AM,3.83,3.83
02-Jul-20,11:30:00 AM,2.61,2.61
02-Jul-20,12:00:00 PM,2.61,2.61
02-Jul-20,12:30:00 PM,1.40,1.41
02-Jul-20,1:00:00 PM,1.30,1.31
02-Jul-20,1:30:00 PM,2.15,2.16
02-Jul-20,2:00:00 PM,2.79,2.81
02-Jul-20,2:30:00 PM,3.19,3.21
02-Jul-20,3:00:00 PM,4.11,4.13
02-Jul-20,3:30:00 PM,5.10,5.13
02-Jul-20,4:00:00 PM,6.31,6.35
02-Jul-20,4:30:00 PM,7.55,7.58
02-Jul-20,5:00:00 PM,8.83,8.86
02-Jul-20,5:30:00 PM,9.91,9.91
02-Jul-20,6:00:00 PM,10.11,10.11
02-Jul-20,6:30:00 PM,10.41,10.41
02-Jul-20,7:00:00 PM,10.16,10.17
02-Jul-20,7:30:00 PM,10.31,10.32
02-Jul-20,8:00:00 PM,10.66,10.66
02-Jul-20,8:30:00 PM,10.16,10.16
02-Jul-20,9:00:00 PM,9.66,9.67
02-Jul-20,9:30:00 PM,9.34,9.35
02-Jul-20,10:00:00 PM,9.30,9.31
02-Jul-20,10:30:00 PM,9.32,9.33
02-Jul-20,11:00:00 PM,8.70,8.72
02-Jul-20,11:30:00 PM,7.91,7.93
03-Jul-20,12:00:00 AM,7.06,7.08
03-Jul-20,12:30:00 AM,6.60,6.64
03-Jul-20,1:00:00 AM,6.14,6.18
03-Jul-20,1:30:00 AM,5.81,5.85
03-Jul-20,2:00:00 AM,5.57,5.61
03-Jul-20,2:30:00 AM,5.53,5.59
03-Jul-20,3:00:00 AM,5.47,5.52
03-Jul-20,3:30:00 AM,5.56,5.61
03-Jul-20,4:00:00 AM,5.81,5.86
03-Jul-20,4:30:00 AM,6.25,6.30
03-Jul-20,5:00:00 AM,6.55,6.59
03-Jul-20,5:30:00 AM,7.18,7.20
03-Jul-20,6:00:00 AM,7.63,7.64
03-Jul-20,6:30:00 AM,8.22,8.26
03-Jul-20,7:00:00 AM,8.83,8.86
03-Jul-20,7:30:00 AM,8.76,8.78
03-Jul-20,8:00:00 AM,8.15,8.17
03-Jul-20,8:30:00 AM,7.24,7.27
03-Jul-20,9:00:00 AM,6.27,6.29
03-Jul-20,9:30:00 AM,4.53,4.54
03-Jul-20,10:00:00 AM,3.49,3.52
03-Jul-20,10:30:00 AM,2.59,2.60
03-Jul-20,11:00:00 AM,1.96,1.96
03-Jul-20,11:30:00 AM,1.53,1.54
03-Jul-20,12:00:00 PM,1.33,1.35
03-Jul-20,12:30:00 PM,1.24,1.26
03-Jul-20,1:00:00 PM,1.52,1.56
03-Jul-20,1:30:00 PM,1.85,1.88
03-Jul-20,2:00:00 PM,2.42,2.47
03-Jul-20,2:30:00 PM,2.99,3.03
03-Jul-20,3:00:00 PM,3.78,3.82
03-Jul-20,3:30:00 PM,4.83,4.86
03-Jul-20,4:00:00 PM,6.03,6.06
03-Jul-20,4:30:00 PM,7.20,7.23
03-Jul-20,5:00:00 PM,8.22,8.25
03-Jul-20,5:30:00 PM,8.91,8.92
03-Jul-20,6:00:00 PM,9.14,9.15
03-Jul-20,6:30:00 PM,9.36,9.36
03-Jul-20,7:00:00 PM,9.19,9.20
03-Jul-20,7:30:00 PM,9.20,9.21
03-Jul-20,8:00:00 PM,9.55,9.55
03-Jul-20,8:30:00 PM,9.19,9.21
03-Jul-20,9:00:00 PM,8.84,8.85
03-Jul-20,9:30:00 PM,8.64,8.65
03-Jul-20,10:00:00 PM,8.72,8.73
03-Jul-20,10:30:00 PM,8.83,8.84
03-Jul-20,11:00:00 PM,8.25,8.27
03-Jul-20,11:30:00 PM,7.56,7.58
04-Jul-20,12:00:00 AM,6.69,6.71
04-Jul-20,12:30:00 AM,6.16,6.19
04-Jul-20,1:00:00 AM,5.87,5.90
04-Jul-20,1:30:00 AM,5.47,5.50
04-Jul-20,2:00:00 AM,5.27,5.32
04-Jul-20,2:30:00 AM,5.17,5.23
04-Jul-20,3:00:00 AM,5.03,5.09
04-Jul-20,3:30:00 AM,4.96,5.02
04-Jul-20,4:00:00 AM,5.13,5.18
04-Jul-20,4:30:00 AM,5.33,5.40
04-Jul-20,5:00:00 AM,5.51,5.58
04-Jul-20,5:30:00 AM,5.70,5.75
04-Jul-20,6:00:00 AM,6.11,6.16
04-Jul-20,6:30:00 AM,6.42,6.49
04-Jul-20,7:00:00 AM,6.84,6.90
04-Jul-20,7:30:00 AM,6.79,6.84
04-Jul-20,8:00:00 AM,6.16,6.21
04-Jul-20,8:30:00 AM,5.35,5.41
04-Jul-20,9:00:00 AM,4.30,4.36
04-Jul-20,9:30:00 AM,3.51,3.56
04-Jul-20,10:00:00 AM,2.73,2.81
04-Jul-20,10:30:00 AM,1.97,2.02
04-Jul-20,11:00:00 AM,1.31,1.35
04-Jul-20,11:30:00 AM,1.00,1.07
04-Jul-20,12:00:00 PM,0.91,0.98
04-Jul-20,12:30:00 PM,0.88,0.99
04-Jul-20,1:00:00 PM,0.89,1.03
04-Jul-20,1:30:00 PM,1.46,1.58
04-Jul-20,2:00:00 PM,2.08,2.16
04-Jul-20,2:30:00 PM,2.89,2.96
04-Jul-20,3:00:00 PM,4.00,4.09
04-Jul-20,3:30:00 PM,5.10,5.16
04-Jul-20,4:00:00 PM,6.49,6.54
04-Jul-20,4:30:00 PM,8.16,8.19
04-Jul-20,5:00:00 PM,9.48,9.50
04-Jul-20,5:30:00 PM,10.39,10.39
04-Jul-20,6:00:00 PM,10.67,10.67
04-Jul-20,6:30:00 PM,10.90,10.90
04-Jul-20,7:00:00 PM,10.95,10.95
04-Jul-20,7:30:00 PM,11.06,11.07
04-Jul-20,8:00:00 PM,11.39,11.39
04-Jul-20,8:30:00 PM,10.97,10.97
04-Jul-20,9:00:00 PM,10.83,10.83
04-Jul-20,9:30:00 PM,10.49,10.49
04-Jul-20,10:00:00 PM,10.48,10.49
04-Jul-20,10:30:00 PM,10.44,10.45
04-Jul-20,11:00:00 PM,9.83,9.85
04-Jul-20,11:30:00 PM,9.16,9.19
05-Jul-20,12:00:00 AM,8.27,8.29
05-Jul-20,12:30:00 AM,7.70,7.71
05-Jul-20,1:00:00 AM,7.12,7.15
05-Jul-20,1:30:00 AM,6.66,6.69
05-Jul-20,2:00:00 AM,6.49,6.52
05-Jul-20,2:30:00 AM,6.32,6.35
05-Jul-20,3:00:00 AM,6.12,6.15
05-Jul-20,3:30:00 AM,6.13,6.17
05-Jul-20,4:00:00 AM,6.25,6.29
05-Jul-20,4:30:00 AM,6.48,6.52
05-Jul-20,5:00:00 AM,6.70,6.73
05-Jul-20,5:30:00 AM,7.18,7.21
05-Jul-20,6:00:00 AM,7.57,7.59
05-Jul-20,6:30:00 AM,8.40,8.45
05-Jul-20,7:00:00 AM,9.14,9.16
05-Jul-20,7:30:00 AM,9.21,9.22
05-Jul-20,8:00:00 AM,8.66,8.68
05-Jul-20,8:30:00 AM,7.96,7.98
05-Jul-20,9:00:00 AM,6.78,6.80
05-Jul-20,9:30:00 AM,5.48,5.52
05-Jul-20,10:00:00 AM,4.27,4.31
05-Jul-20,10:30:00 AM,3.45,3.48
05-Jul-20,11:00:00 AM,2.58,2.60
05-Jul-20,11:30:00 AM,2.57,2.60
05-Jul-20,12:00:00 PM,4.31,4.35
05-Jul-20,12:30:00 PM,3.32,3.40
05-Jul-20,1:00:00 PM,2.25,2.32
05-Jul-20,1:30:00 PM,2.43,2.52
05-Jul-20,2:00:00 PM,4.00,4.06
05-Jul-20,2:30:00 PM,4.42,4.50
05-Jul-20,3:00:00 PM,5.95,6.03
