Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.77,8.89
01-Jul-20,12:30:00 AM,8.28,8.41
01-Jul-20,1:00:00 AM,7.93,8.05
01-Jul-20,1:30:00 AM,7.69,7.82
01-Jul-20,2:00:00 AM,7.41,7.57
01-Jul-20,2:30:00 AM,7.28,7.44
01-Jul-20,3:00:00 AM,7.32,7.50
01-Jul-20,3:30:00 AM,7.56,7.73
01-Jul-20,4:00:00 AM,8.01,8.14
01-Jul-20,4:30:00 AM,8.60,8.72
01-Jul-20,5:00:00 AM,9.51,9.60
01-Jul-20,5:30:00 AM,10.22,10.29
01-Jul-20,6:00:00 AM,11.19,11.24
01-Jul-20,6:30:00 AM,11.92,11.95
01-Jul-20,7:00:00 AM,12.64,12.67
01-Jul-20,7:30:00 AM,12.83,12.86
01-Jul-20,8:00:00 AM,12.87,12.89
01-Jul-20,8:30:00 AM,12.87,12.89
01-Jul-20,9:00:00 AM,12.87,12.89
01-Jul-20,9:30:00 AM,12.87,12.89
01-Jul-20,10:00:00 AM,12.87,12.89
01-Jul-20,10:30:00 AM,12.87,12.89
01-Jul-20,11:00:00 AM,12.87,12.89
01-Jul-20,11:30:00 AM,12.87,12.89
01-Jul-20,12:00:00 PM,12.87,12.89
01-Jul-20,12:30:00 PM,12.87,12.89
01-Jul-20,1:00:00 PM,12.71,12.73
01-Jul-20,1:30:00 PM,4.16,4.21
01-Jul-20,2:00:00 PM,-54.48,78.54
01-Jul-20,2:30:00 PM,-55.62,80.87
01-Jul-20,3:00:00 PM,1.52,4.83
01-Jul-20,3:30:00 PM,7.23,7.30
01-Jul-20,4:00:00 PM,9.32,9.38
01-Jul-20,4:30:00 PM,11.68,11.73
01-Jul-20,5:00:00 PM,13.74,13.75
01-Jul-20,5:30:00 PM,15.57,15.58
01-Jul-20,6:00:00 PM,16.04,16.05
01-Jul-20,6:30:00 PM,16.03,16.04
01-Jul-20,7:00:00 PM,15.34,15.35
01-Jul-20,7:30:00 PM,14.96,14.99
01-Jul-20,8:00:00 PM,14.60,14.63
01-Jul-20,8:30:00 PM,13.98,14.02
01-Jul-20,9:00:00 PM,13.39,13.43
01-Jul-20,9:30:00 PM,12.12,12.16
01-Jul-20,10:00:00 PM,11.61,11.65
01-Jul-20,10:30:00 PM,10.71,10.76
01-Jul-20,11:00:00 PM,10.03,10.09
01-Jul-20,11:30:00 PM,9.27,9.37
02-Jul-20,12:00:00 AM,8.60,8.72
02-Jul-20,12:30:00 AM,8.09,8.23
02-Jul-20,1:00:00 AM,7.76,7.91
02-Jul-20,1:30:00 AM,7.44,7.59
02-Jul-20,2:00:00 AM,7.33,7.50
02-Jul-20,2:30:00 AM,7.40,7.55
02-Jul-20,3:00:00 AM,7.35,7.51
02-Jul-20,3:30:00 AM,7.41,7.58
02-Jul-20,4:00:00 AM,7.94,8.09
02-Jul-20,4:30:00 AM,8.55,8.66
02-Jul-20,5:00:00 AM,9.21,9.30
02-Jul-20,5:30:00 AM,9.92,9.99
02-Jul-20,6:00:00 AM,10.95,11.01
02-Jul-20,6:30:00 AM,11.55,11.60
02-Jul-20,7:00:00 AM,10.83,10.88
02-Jul-20,7:30:00 AM,11.06,11.10
02-Jul-20,8:00:00 AM,11.04,11.08
02-Jul-20,8:30:00 AM,11.04,11.08
02-Jul-20,9:00:00 AM,11.04,11.08
02-Jul-20,9:30:00 AM,11.04,11.08
02-Jul-20,10:00:00 AM,11.04,11.08
02-Jul-20,10:30:00 AM,11.04,11.08
02-Jul-20,11:00:00 AM,11.04,11.08
02-Jul-20,11:30:00 AM,11.04,11.08
02-Jul-20,12:00:00 PM,11.04,11.08
02-Jul-20,12:30:00 PM,11.04,11.08
02-Jul-20,1:00:00 PM,11.04,11.08
02-Jul-20,1:30:00 PM,11.04,11.08
02-Jul-20,2:00:00 PM,11.04,11.08
02-Jul-20,2:30:00 PM,11.04,11.08
02-Jul-20,3:00:00 PM,11.04,11.08
02-Jul-20,3:30:00 PM,11.04,11.08
02-Jul-20,4:00:00 PM,11.04,11.08
02-Jul-20,4:30:00 PM,11.04,11.08
02-Jul-20,5:00:00 PM,11.04,11.08
02-Jul-20,5:30:00 PM,11.04,11.08
02-Jul-20,6:00:00 PM,11.04,11.08
02-Jul-20,6:30:00 PM,11.04,11.08
02-Jul-20,7:00:00 PM,11.04,11.08
02-Jul-20,7:30:00 PM,11.04,11.08
02-Jul-20,8:00:00 PM,11.04,11.08
02-Jul-20,8:30:00 PM,11.04,11.08
02-Jul-20,9:00:00 PM,11.04,11.08
02-Jul-20,9:30:00 PM,11.04,11.08
02-Jul-20,10:00:00 PM,11.04,11.08
02-Jul-20,10:30:00 PM,11.04,11.08
02-Jul-20,11:00:00 PM,11.04,11.08
02-Jul-20,11:30:00 PM,11.04,11.08
03-Jul-20,12:00:00 AM,11.04,11.08
03-Jul-20,12:30:00 AM,11.04,11.08
03-Jul-20,1:00:00 AM,11.04,11.08
03-Jul-20,1:30:00 AM,11.04,11.08
03-Jul-20,2:00:00 AM,11.04,11.08
03-Jul-20,2:30:00 AM,11.04,11.08
03-Jul-20,3:00:00 AM,11.04,11.08
03-Jul-20,3:30:00 AM,11.04,11.08
03-Jul-20,4:00:00 AM,11.04,11.08
03-Jul-20,4:30:00 AM,11.04,11.08
03-Jul-20,5:00:00 AM,11.04,11.08
03-Jul-20,5:30:00 AM,11.04,11.08
03-Jul-20,6:00:00 AM,11.04,11.08
03-Jul-20,6:30:00 AM,11.04,11.08
03-Jul-20,7:00:00 AM,11.04,11.08
03-Jul-20,7:30:00 AM,11.04,11.08
03-Jul-20,8:00:00 AM,11.04,11.08
03-Jul-20,8:30:00 AM,11.04,11.08
03-Jul-20,9:00:00 AM,11.04,11.08
03-Jul-20,9:30:00 AM,11.04,11.08
03-Jul-20,10:00:00 AM,11.04,11.08
03-Jul-20,10:30:00 AM,11.04,11.08
03-Jul-20,11:00:00 AM,11.04,11.08
03-Jul-20,11:30:00 AM,11.04,11.08
03-Jul-20,12:00:00 PM,11.04,11.08
03-Jul-20,12:30:00 PM,11.04,11.08
03-Jul-20,1:00:00 PM,11.04,11.08
03-Jul-20,1:30:00 PM,11.04,11.08
03-Jul-20,2:00:00 PM,11.04,11.08
03-Jul-20,2:30:00 PM,11.04,11.08
03-Jul-20,3:00:00 PM,11.04,11.08
03-Jul-20,3:30:00 PM,11.04,11.08
03-Jul-20,4:00:00 PM,11.04,11.08
03-Jul-20,4:30:00 PM,11.04,11.08
03-Jul-20,5:00:00 PM,11.04,11.08
03-Jul-20,5:30:00 PM,11.04,11.08
03-Jul-20,6:00:00 PM,11.04,11.08
03-Jul-20,6:30:00 PM,11.04,11.08
03-Jul-20,7:00:00 PM,11.04,11.08
03-Jul-20,7:30:00 PM,11.04,11.08
03-Jul-20,8:00:00 PM,11.04,11.08
03-Jul-20,8:30:00 PM,11.04,11.08
03-Jul-20,9:00:00 PM,11.04,11.08
03-Jul-20,9:30:00 PM,11.04,11.08
03-Jul-20,10:00:00 PM,11.04,11.08
03-Jul-20,10:30:00 PM,11.04,11.08
03-Jul-20,11:00:00 PM,11.04,11.08
03-Jul-20,11:30:00 PM,11.04,11.08
04-Jul-20,12:00:00 AM,11.04,11.08
04-Jul-20,12:30:00 AM,11.04,11.08
04-Jul-20,1:00:00 AM,11.04,11.08
04-Jul-20,1:30:00 AM,11.04,11.08
04-Jul-20,2:00:00 AM,11.04,11.08
04-Jul-20,2:30:00 AM,11.04,11.08
04-Jul-20,3:00:00 AM,11.04,11.08
04-Jul-20,3:30:00 AM,11.04,11.08
04-Jul-20,4:00:00 AM,11.04,11.08
04-Jul-20,4:30:00 AM,11.04,11.08
04-Jul-20,5:00:00 AM,11.04,11.08
04-Jul-20,5:30:00 AM,11.04,11.08
04-Jul-20,6:00:00 AM,11.04,11.08
04-Jul-20,6:30:00 AM,11.04,11.08
04-Jul-20,7:00:00 AM,11.04,11.08
04-Jul-20,7:30:00 AM,11.04,11.08
04-Jul-20,8:00:00 AM,11.04,11.08
04-Jul-20,8:30:00 AM,11.04,11.08
04-Jul-20,9:00:00 AM,11.04,11.08
04-Jul-20,9:30:00 AM,11.04,11.08
04-Jul-20,10:00:00 AM,11.04,11.08
04-Jul-20,10:30:00 AM,11.04,11.08
04-Jul-20,11:00:00 AM,11.04,11.08
04-Jul-20,11:30:00 AM,11.04,11.08
04-Jul-20,12:00:00 PM,11.04,11.08
04-Jul-20,12:30:00 PM,11.04,11.08
04-Jul-20,1:00:00 PM,11.04,11.08
04-Jul-20,1:30:00 PM,11.04,11.08
04-Jul-20,2:00:00 PM,11.04,11.08
04-Jul-20,2:30:00 PM,11.04,11.08
04-Jul-20,3:00:00 PM,11.04,11.08
04-Jul-20,3:30:00 PM,11.04,11.08
04-Jul-20,4:00:00 PM,11.04,11.08
04-Jul-20,4:30:00 PM,11.04,11.08
04-Jul-20,5:00:00 PM,11.04,11.08
04-Jul-20,5:30:00 PM,11.04,11.08
04-Jul-20,6:00:00 PM,11.04,11.08
04-Jul-20,6:30:00 PM,11.04,11.08
04-Jul-20,7:00:00 PM,11.04,11.08
04-Jul-20,7:30:00 PM,11.04,11.08
04-Jul-20,8:00:00 PM,11.04,11.08
04-Jul-20,8:30:00 PM,11.04,11.08
04-Jul-20,9:00:00 PM,11.04,11.08
04-Jul-20,9:30:00 PM,11.04,11.08
04-Jul-20,10:00:00 PM,11.04,11.08
04-Jul-20,10:30:00 PM,11.04,11.08
04-Jul-20,11:00:00 PM,11.04,11.08
