Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,4.35,4.43
01-Jul-20,12:30:00 AM,3.84,3.93
01-Jul-20,1:00:00 AM,3.62,3.71
01-Jul-20,1:30:00 AM,3.41,3.51
01-Jul-20,2:00:00 AM,3.39,3.49
01-Jul-20,2:30:00 AM,3.34,3.44
01-Jul-20,3:00:00 AM,3.29,3.40
01-Jul-20,3:30:00 AM,3.33,3.43
01-Jul-20,4:00:00 AM,3.42,3.52
01-Jul-20,4:30:00 AM,3.54,3.63
01-Jul-20,5:00:00 AM,3.89,3.96
01-Jul-20,5:30:00 AM,4.29,4.35
01-Jul-20,6:00:00 AM,4.82,4.86
01-Jul-20,6:30:00 AM,5.66,5.68
01-Jul-20,7:00:00 AM,6.39,6.41
01-Jul-20,7:30:00 AM,6.36,6.38
01-Jul-20,8:00:00 AM,6.16,6.17
01-Jul-20,8:30:00 AM,5.72,5.73
01-Jul-20,9:00:00 AM,5.29,5.30
01-Jul-20,9:30:00 AM,4.74,4.75
01-Jul-20,10:00:00 AM,4.21,4.22
01-Jul-20,10:30:00 AM,3.83,3.84
01-Jul-20,11:00:00 AM,3.49,3.50
01-Jul-20,11:30:00 AM,3.35,3.35
01-Jul-20,12:00:00 PM,3.13,3.14
01-Jul-20,12:30:00 PM,3.26,3.27
01-Jul-20,1:00:00 PM,3.48,3.49
01-Jul-20,1:30:00 PM,4.07,4.09
01-Jul-20,2:00:00 PM,3.65,3.67
01-Jul-20,2:30:00 PM,4.71,4.73
01-Jul-20,3:00:00 PM,4.78,4.79
01-Jul-20,3:30:00 PM,4.96,4.99
01-Jul-20,4:00:00 PM,5.45,5.48
01-Jul-20,4:30:00 PM,6.01,6.03
01-Jul-20,5:00:00 PM,6.36,6.38
01-Jul-20,5:30:00 PM,6.73,6.74
01-Jul-20,6:00:00 PM,6.77,6.79
01-Jul-20,6:30:00 PM,6.77,6.80
01-Jul-20,7:00:00 PM,6.71,6.73
01-Jul-20,7:30:00 PM,6.57,6.59
01-Jul-20,8:00:00 PM,6.76,6.78
01-Jul-20,8:30:00 PM,6.37,6.41
