Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.27,7.41
01-Jul-20,12:30:00 AM,6.32,6.39
01-Jul-20,1:00:00 AM,5.78,5.80
01-Jul-20,1:30:00 AM,5.67,5.69
01-Jul-20,2:00:00 AM,6.21,6.26
01-Jul-20,2:30:00 AM,6.40,6.48
01-Jul-20,3:00:00 AM,6.65,6.74
01-Jul-20,3:30:00 AM,6.86,6.96
01-Jul-20,4:00:00 AM,7.10,7.20
01-Jul-20,4:30:00 AM,6.82,6.92
01-Jul-20,5:00:00 AM,6.98,7.09
01-Jul-20,5:30:00 AM,7.50,7.64
01-Jul-20,6:00:00 AM,7.78,7.94
01-Jul-20,6:30:00 AM,7.36,7.52
01-Jul-20,7:00:00 AM,7.79,8.00
01-Jul-20,7:30:00 AM,7.58,7.79
01-Jul-20,8:00:00 AM,7.05,7.25
01-Jul-20,8:30:00 AM,7.09,7.34
01-Jul-20,9:00:00 AM,6.95,7.20
01-Jul-20,9:30:00 AM,6.81,7.11
01-Jul-20,10:00:00 AM,5.86,6.18
01-Jul-20,10:30:00 AM,5.58,5.97
01-Jul-20,11:00:00 AM,5.17,5.55
01-Jul-20,11:30:00 AM,5.28,5.67
01-Jul-20,12:00:00 PM,5.27,5.68
01-Jul-20,12:30:00 PM,5.47,5.86
01-Jul-20,1:00:00 PM,5.61,5.94
01-Jul-20,1:30:00 PM,5.74,6.08
01-Jul-20,2:00:00 PM,5.91,6.24
01-Jul-20,2:30:00 PM,6.24,6.54
01-Jul-20,3:00:00 PM,6.59,6.89
01-Jul-20,3:30:00 PM,6.42,6.63
01-Jul-20,4:00:00 PM,6.66,6.84
01-Jul-20,4:30:00 PM,7.25,7.42
01-Jul-20,5:00:00 PM,7.57,7.74
01-Jul-20,5:30:00 PM,2.46,2.51
01-Jul-20,6:00:00 PM,2.04,2.04
01-Jul-20,6:30:00 PM,4.83,4.84
01-Jul-20,7:00:00 PM,5.87,5.89
01-Jul-20,7:30:00 PM,7.45,7.52
01-Jul-20,8:00:00 PM,7.90,8.04
01-Jul-20,8:30:00 PM,7.66,7.81
01-Jul-20,9:00:00 PM,7.73,7.88
01-Jul-20,9:30:00 PM,7.68,7.84
01-Jul-20,10:00:00 PM,7.87,8.02
01-Jul-20,10:30:00 PM,7.15,7.29
01-Jul-20,11:00:00 PM,7.16,7.30
01-Jul-20,11:30:00 PM,6.90,7.06
02-Jul-20,12:00:00 AM,6.87,7.01
02-Jul-20,12:30:00 AM,6.02,6.12
02-Jul-20,1:00:00 AM,5.17,5.21
02-Jul-20,1:30:00 AM,5.05,5.09
02-Jul-20,2:00:00 AM,5.67,5.74
02-Jul-20,2:30:00 AM,5.85,5.94
02-Jul-20,3:00:00 AM,6.04,6.15
02-Jul-20,3:30:00 AM,6.45,6.55
02-Jul-20,4:00:00 AM,6.50,6.60
