Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,5.59,5.69
01-Jul-20,12:30:00 AM,5.08,5.20
01-Jul-20,1:00:00 AM,4.77,4.91
01-Jul-20,1:30:00 AM,4.50,4.64
01-Jul-20,2:00:00 AM,4.43,4.58
01-Jul-20,2:30:00 AM,4.34,4.49
01-Jul-20,3:00:00 AM,4.33,4.49
01-Jul-20,3:30:00 AM,4.31,4.47
01-Jul-20,4:00:00 AM,4.46,4.60
01-Jul-20,4:30:00 AM,4.68,4.82
01-Jul-20,5:00:00 AM,5.10,5.23
01-Jul-20,5:30:00 AM,5.56,5.66
01-Jul-20,6:00:00 AM,6.05,6.14
01-Jul-20,6:30:00 AM,6.71,6.79
01-Jul-20,7:00:00 AM,7.27,7.33
01-Jul-20,7:30:00 AM,6.97,7.02
01-Jul-20,8:00:00 AM,6.10,6.16
01-Jul-20,8:30:00 AM,5.39,5.46
01-Jul-20,9:00:00 AM,4.35,4.41
01-Jul-20,9:30:00 AM,3.15,3.23
01-Jul-20,10:00:00 AM,2.24,2.37
01-Jul-20,10:30:00 AM,1.67,1.83
01-Jul-20,11:00:00 AM,1.93,2.07
01-Jul-20,11:30:00 AM,1.99,2.12
01-Jul-20,12:00:00 PM,1.87,1.99
01-Jul-20,12:30:00 PM,2.10,2.22
01-Jul-20,1:00:00 PM,2.37,2.49
01-Jul-20,1:30:00 PM,2.95,3.06
01-Jul-20,2:00:00 PM,3.32,3.42
01-Jul-20,2:30:00 PM,4.10,4.20
01-Jul-20,3:00:00 PM,4.87,4.96
01-Jul-20,3:30:00 PM,5.19,5.27
01-Jul-20,4:00:00 PM,6.40,6.48
01-Jul-20,4:30:00 PM,7.46,7.53
01-Jul-20,5:00:00 PM,8.49,8.54
01-Jul-20,5:30:00 PM,9.40,9.42
01-Jul-20,6:00:00 PM,9.71,9.74
01-Jul-20,6:30:00 PM,9.78,9.81
01-Jul-20,7:00:00 PM,9.51,9.54
01-Jul-20,7:30:00 PM,9.33,9.37
01-Jul-20,8:00:00 PM,9.39,9.42
01-Jul-20,8:30:00 PM,8.96,8.99
01-Jul-20,9:00:00 PM,8.58,8.62
01-Jul-20,9:30:00 PM,7.92,7.97
01-Jul-20,10:00:00 PM,7.81,7.87
01-Jul-20,10:30:00 PM,7.76,7.83
01-Jul-20,11:00:00 PM,7.05,7.13
01-Jul-20,11:30:00 PM,6.32,6.43
02-Jul-20,12:00:00 AM,5.84,5.95
02-Jul-20,12:30:00 AM,5.42,5.56
02-Jul-20,1:00:00 AM,5.14,5.28
02-Jul-20,1:30:00 AM,4.92,5.06
02-Jul-20,2:00:00 AM,4.82,4.97
02-Jul-20,2:30:00 AM,4.78,4.92
02-Jul-20,3:00:00 AM,4.75,4.90
02-Jul-20,3:30:00 AM,4.80,4.95
02-Jul-20,4:00:00 AM,4.82,4.97
02-Jul-20,4:30:00 AM,4.99,5.12
02-Jul-20,5:00:00 AM,5.44,5.55
02-Jul-20,5:30:00 AM,5.94,6.03
02-Jul-20,6:00:00 AM,6.61,6.69
02-Jul-20,6:30:00 AM,7.18,7.25
02-Jul-20,7:00:00 AM,7.66,7.71
02-Jul-20,7:30:00 AM,7.33,7.37
02-Jul-20,8:00:00 AM,6.46,6.51
02-Jul-20,8:30:00 AM,5.37,5.42
02-Jul-20,9:00:00 AM,4.68,4.74
02-Jul-20,9:30:00 AM,3.76,3.82
02-Jul-20,10:00:00 AM,2.95,3.02
02-Jul-20,10:30:00 AM,3.49,3.57
02-Jul-20,11:00:00 AM,1.41,1.56
02-Jul-20,11:30:00 AM,0.99,1.19
02-Jul-20,12:00:00 PM,1.11,1.34
02-Jul-20,12:30:00 PM,1.45,1.63
02-Jul-20,1:00:00 PM,2.29,2.45
02-Jul-20,1:30:00 PM,1.41,1.62
02-Jul-20,2:00:00 PM,2.22,2.41
02-Jul-20,2:30:00 PM,3.41,3.52
02-Jul-20,3:00:00 PM,4.22,4.31
02-Jul-20,3:30:00 PM,5.01,5.10
02-Jul-20,4:00:00 PM,5.96,6.03
02-Jul-20,4:30:00 PM,6.77,6.83
02-Jul-20,5:00:00 PM,7.71,7.76
02-Jul-20,5:30:00 PM,8.62,8.65
02-Jul-20,6:00:00 PM,8.69,8.72
02-Jul-20,6:30:00 PM,8.85,8.88
02-Jul-20,7:00:00 PM,8.63,8.66
02-Jul-20,7:30:00 PM,8.35,8.39
02-Jul-20,8:00:00 PM,8.35,8.39
02-Jul-20,8:30:00 PM,7.97,8.02
02-Jul-20,9:00:00 PM,7.61,7.68
02-Jul-20,9:30:00 PM,7.13,7.20
02-Jul-20,10:00:00 PM,7.15,7.21
02-Jul-20,10:30:00 PM,7.15,7.23
02-Jul-20,11:00:00 PM,6.45,6.56
02-Jul-20,11:30:00 PM,5.85,5.96
03-Jul-20,12:00:00 AM,5.27,5.38
03-Jul-20,12:30:00 AM,4.94,5.07
03-Jul-20,1:00:00 AM,4.63,4.76
03-Jul-20,1:30:00 AM,4.48,4.63
03-Jul-20,2:00:00 AM,4.32,4.47
03-Jul-20,2:30:00 AM,4.24,4.39
03-Jul-20,3:00:00 AM,4.22,4.38
03-Jul-20,3:30:00 AM,4.37,4.52
03-Jul-20,4:00:00 AM,4.37,4.52
03-Jul-20,4:30:00 AM,4.61,4.75
03-Jul-20,5:00:00 AM,4.96,5.07
03-Jul-20,5:30:00 AM,5.43,5.52
03-Jul-20,6:00:00 AM,5.86,5.94
03-Jul-20,6:30:00 AM,6.35,6.44
03-Jul-20,7:00:00 AM,6.73,6.81
03-Jul-20,7:30:00 AM,6.56,6.62
03-Jul-20,8:00:00 AM,5.80,5.85
03-Jul-20,8:30:00 AM,4.82,4.90
03-Jul-20,9:00:00 AM,3.85,3.92
03-Jul-20,9:30:00 AM,2.77,2.87
03-Jul-20,10:00:00 AM,2.08,2.20
03-Jul-20,10:30:00 AM,1.54,1.67
03-Jul-20,11:00:00 AM,0.99,1.15
03-Jul-20,11:30:00 AM,0.77,0.99
03-Jul-20,12:00:00 PM,0.82,1.02
03-Jul-20,12:30:00 PM,0.77,1.00
03-Jul-20,1:00:00 PM,0.90,1.12
03-Jul-20,1:30:00 PM,1.48,1.65
03-Jul-20,2:00:00 PM,2.16,2.28
03-Jul-20,2:30:00 PM,3.00,3.10
03-Jul-20,3:00:00 PM,3.93,4.02
03-Jul-20,3:30:00 PM,4.65,4.75
03-Jul-20,4:00:00 PM,5.54,5.62
03-Jul-20,4:30:00 PM,6.45,6.51
03-Jul-20,5:00:00 PM,7.22,7.27
03-Jul-20,5:30:00 PM,7.78,7.82
03-Jul-20,6:00:00 PM,7.99,8.03
03-Jul-20,6:30:00 PM,8.10,8.14
03-Jul-20,7:00:00 PM,7.90,7.94
03-Jul-20,7:30:00 PM,7.85,7.89
03-Jul-20,8:00:00 PM,7.73,7.78
03-Jul-20,8:30:00 PM,7.44,7.50
03-Jul-20,9:00:00 PM,7.07,7.14
03-Jul-20,9:30:00 PM,6.99,7.05
03-Jul-20,10:00:00 PM,6.90,6.97
03-Jul-20,10:30:00 PM,6.98,7.06
03-Jul-20,11:00:00 PM,6.52,6.60
03-Jul-20,11:30:00 PM,5.69,5.79
