Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,5.19,5.40
01-Jul-20,12:30:00 AM,4.78,4.99
01-Jul-20,1:00:00 AM,4.46,4.70
01-Jul-20,1:30:00 AM,4.32,4.56
01-Jul-20,2:00:00 AM,4.24,4.48
01-Jul-20,2:30:00 AM,4.09,4.33
01-Jul-20,3:00:00 AM,4.07,4.32
01-Jul-20,3:30:00 AM,4.37,4.58
01-Jul-20,4:00:00 AM,4.53,4.75
01-Jul-20,4:30:00 AM,4.83,5.04
01-Jul-20,5:00:00 AM,5.43,5.64
01-Jul-20,5:30:00 AM,5.92,6.11
01-Jul-20,6:00:00 AM,6.39,6.58
01-Jul-20,6:30:00 AM,6.95,7.12
01-Jul-20,7:00:00 AM,7.50,7.66
01-Jul-20,7:30:00 AM,7.48,7.61
01-Jul-20,8:00:00 AM,6.90,7.00
01-Jul-20,8:30:00 AM,5.09,5.17
01-Jul-20,9:00:00 AM,3.59,3.68
01-Jul-20,9:30:00 AM,2.39,2.50
01-Jul-20,10:00:00 AM,1.45,1.64
01-Jul-20,10:30:00 AM,0.98,1.29
01-Jul-20,11:00:00 AM,0.23,0.89
01-Jul-20,11:30:00 AM,0.07,0.84
01-Jul-20,12:00:00 PM,-0.16,0.96
01-Jul-20,12:30:00 PM,-0.35,1.08
01-Jul-20,1:00:00 PM,0.02,1.02
01-Jul-20,1:30:00 PM,0.15,1.04
01-Jul-20,2:00:00 PM,0.81,1.36
01-Jul-20,2:30:00 PM,1.97,2.22
01-Jul-20,3:00:00 PM,3.46,3.60
01-Jul-20,3:30:00 PM,4.73,4.85
01-Jul-20,4:00:00 PM,5.66,5.77
01-Jul-20,4:30:00 PM,6.63,6.73
01-Jul-20,5:00:00 PM,8.06,8.15
01-Jul-20,5:30:00 PM,9.12,9.19
01-Jul-20,6:00:00 PM,9.68,9.74
01-Jul-20,6:30:00 PM,9.73,9.78
01-Jul-20,7:00:00 PM,9.70,9.77
01-Jul-20,7:30:00 PM,9.46,9.54
01-Jul-20,8:00:00 PM,9.51,9.60
01-Jul-20,8:30:00 PM,9.19,9.27
01-Jul-20,9:00:00 PM,8.63,8.71
01-Jul-20,9:30:00 PM,8.00,8.12
01-Jul-20,10:00:00 PM,7.26,7.39
01-Jul-20,10:30:00 PM,7.30,7.43
01-Jul-20,11:00:00 PM,6.83,6.97
01-Jul-20,11:30:00 PM,6.19,6.33
02-Jul-20,12:00:00 AM,5.64,5.78
02-Jul-20,12:30:00 AM,5.22,5.37
02-Jul-20,1:00:00 AM,4.91,5.08
02-Jul-20,1:30:00 AM,4.73,4.90
02-Jul-20,2:00:00 AM,4.62,4.80
02-Jul-20,2:30:00 AM,4.59,4.78
02-Jul-20,3:00:00 AM,4.56,4.75
02-Jul-20,3:30:00 AM,4.58,4.78
02-Jul-20,4:00:00 AM,4.67,4.85
02-Jul-20,4:30:00 AM,5.07,5.24
02-Jul-20,5:00:00 AM,5.56,5.73
02-Jul-20,5:30:00 AM,5.99,6.16
02-Jul-20,6:00:00 AM,6.48,6.64
02-Jul-20,6:30:00 AM,6.86,6.99
02-Jul-20,7:00:00 AM,6.67,6.78
02-Jul-20,7:30:00 AM,6.57,6.64
02-Jul-20,8:00:00 AM,5.95,6.02
02-Jul-20,8:30:00 AM,5.38,5.46
02-Jul-20,9:00:00 AM,3.28,3.39
02-Jul-20,9:30:00 AM,2.25,2.44
02-Jul-20,10:00:00 AM,1.48,1.70
02-Jul-20,10:30:00 AM,0.67,0.95
02-Jul-20,11:00:00 AM,1.77,1.94
02-Jul-20,11:30:00 AM,0.49,0.88
02-Jul-20,12:00:00 PM,0.47,0.92
02-Jul-20,12:30:00 PM,-0.08,0.89
02-Jul-20,1:00:00 PM,0.63,1.13
02-Jul-20,1:30:00 PM,0.93,1.27
02-Jul-20,2:00:00 PM,1.63,1.88
02-Jul-20,2:30:00 PM,2.10,2.32
02-Jul-20,3:00:00 PM,2.84,3.06
02-Jul-20,3:30:00 PM,4.02,4.19
02-Jul-20,4:00:00 PM,5.37,5.47
02-Jul-20,4:30:00 PM,6.77,6.87
02-Jul-20,5:00:00 PM,7.96,8.04
02-Jul-20,5:30:00 PM,8.97,9.03
02-Jul-20,6:00:00 PM,9.46,9.51
02-Jul-20,6:30:00 PM,9.84,9.89
02-Jul-20,7:00:00 PM,9.63,9.69
02-Jul-20,7:30:00 PM,9.46,9.51
02-Jul-20,8:00:00 PM,9.40,9.48
02-Jul-20,8:30:00 PM,9.10,9.21
02-Jul-20,9:00:00 PM,8.62,8.72
02-Jul-20,9:30:00 PM,8.08,8.20
02-Jul-20,10:00:00 PM,7.38,7.51
02-Jul-20,10:30:00 PM,7.43,7.54
02-Jul-20,11:00:00 PM,6.99,7.13
02-Jul-20,11:30:00 PM,6.17,6.33
03-Jul-20,12:00:00 AM,5.63,5.81
03-Jul-20,12:30:00 AM,5.29,5.45
03-Jul-20,1:00:00 AM,4.98,5.17
03-Jul-20,1:30:00 AM,4.79,4.98
03-Jul-20,2:00:00 AM,4.22,4.47
03-Jul-20,2:30:00 AM,4.43,4.66
03-Jul-20,3:00:00 AM,4.71,4.90
03-Jul-20,3:30:00 AM,5.43,5.56
03-Jul-20,4:00:00 AM,6.04,6.15
03-Jul-20,4:30:00 AM,6.32,6.42
03-Jul-20,5:00:00 AM,6.71,6.80
03-Jul-20,5:30:00 AM,7.10,7.18
03-Jul-20,6:00:00 AM,7.59,7.67
03-Jul-20,6:30:00 AM,8.26,8.33
03-Jul-20,7:00:00 AM,8.65,8.73
03-Jul-20,7:30:00 AM,8.57,8.64
03-Jul-20,8:00:00 AM,8.15,8.20
03-Jul-20,8:30:00 AM,7.45,7.50
03-Jul-20,9:00:00 AM,6.21,6.25
03-Jul-20,9:30:00 AM,4.19,4.25
03-Jul-20,10:00:00 AM,2.78,2.82
03-Jul-20,10:30:00 AM,1.80,1.85
03-Jul-20,11:00:00 AM,1.44,1.54
03-Jul-20,11:30:00 AM,0.29,0.81
03-Jul-20,12:00:00 PM,0.03,0.74
03-Jul-20,12:30:00 PM,0.07,0.71
03-Jul-20,1:00:00 PM,0.33,0.84
03-Jul-20,1:30:00 PM,0.35,1.06
03-Jul-20,2:00:00 PM,1.09,1.44
03-Jul-20,2:30:00 PM,1.79,2.08
03-Jul-20,3:00:00 PM,3.25,3.49
03-Jul-20,3:30:00 PM,3.92,4.07
03-Jul-20,4:00:00 PM,4.71,4.87
03-Jul-20,4:30:00 PM,5.91,6.05
03-Jul-20,5:00:00 PM,7.04,7.14
03-Jul-20,5:30:00 PM,8.02,8.10
03-Jul-20,6:00:00 PM,8.16,8.23
03-Jul-20,6:30:00 PM,8.21,8.29
03-Jul-20,7:00:00 PM,8.13,8.21
03-Jul-20,7:30:00 PM,8.01,8.11
03-Jul-20,8:00:00 PM,7.87,7.99
03-Jul-20,8:30:00 PM,7.47,7.59
03-Jul-20,9:00:00 PM,7.13,7.27
03-Jul-20,9:30:00 PM,6.87,7.03
03-Jul-20,10:00:00 PM,6.68,6.85
03-Jul-20,10:30:00 PM,6.83,6.99
03-Jul-20,11:00:00 PM,6.47,6.64
03-Jul-20,11:30:00 PM,5.81,5.98
04-Jul-20,12:00:00 AM,5.35,5.51
04-Jul-20,12:30:00 AM,4.83,5.00
04-Jul-20,1:00:00 AM,4.58,4.80
04-Jul-20,1:30:00 AM,4.39,4.62
04-Jul-20,2:00:00 AM,4.30,4.53
04-Jul-20,2:30:00 AM,4.18,4.42
04-Jul-20,3:00:00 AM,4.18,4.41
04-Jul-20,3:30:00 AM,4.20,4.45
04-Jul-20,4:00:00 AM,4.26,4.48
04-Jul-20,4:30:00 AM,4.35,4.57
04-Jul-20,5:00:00 AM,4.62,4.82
04-Jul-20,5:30:00 AM,4.85,5.04
04-Jul-20,6:00:00 AM,5.22,5.42
04-Jul-20,6:30:00 AM,5.61,5.79
04-Jul-20,7:00:00 AM,5.70,5.88
04-Jul-20,7:30:00 AM,5.32,5.48
04-Jul-20,8:00:00 AM,4.78,4.98
04-Jul-20,8:30:00 AM,4.22,4.39
04-Jul-20,9:00:00 AM,3.44,3.60
04-Jul-20,9:30:00 AM,2.27,2.48
04-Jul-20,10:00:00 AM,1.37,1.74
04-Jul-20,10:30:00 AM,0.60,1.21
04-Jul-20,11:00:00 AM,0.15,0.89
04-Jul-20,11:30:00 AM,-0.11,0.86
04-Jul-20,12:00:00 PM,-0.26,0.84
04-Jul-20,12:30:00 PM,-0.11,0.87
04-Jul-20,1:00:00 PM,0.00,0.97
04-Jul-20,1:30:00 PM,0.36,1.10
04-Jul-20,2:00:00 PM,1.15,1.64
04-Jul-20,2:30:00 PM,2.00,2.32
04-Jul-20,3:00:00 PM,3.17,3.37
04-Jul-20,3:30:00 PM,4.24,4.40
04-Jul-20,4:00:00 PM,5.48,5.63
04-Jul-20,4:30:00 PM,6.89,7.00
04-Jul-20,5:00:00 PM,8.22,8.34
04-Jul-20,5:30:00 PM,9.34,9.41
04-Jul-20,6:00:00 PM,9.72,9.80
04-Jul-20,6:30:00 PM,9.72,9.78
04-Jul-20,7:00:00 PM,9.67,9.75
04-Jul-20,7:30:00 PM,9.58,9.65
04-Jul-20,8:00:00 PM,9.68,9.77
04-Jul-20,8:30:00 PM,9.73,9.84
04-Jul-20,9:00:00 PM,9.44,9.55
04-Jul-20,9:30:00 PM,9.14,9.24
04-Jul-20,10:00:00 PM,8.50,8.62
04-Jul-20,10:30:00 PM,8.70,8.80
04-Jul-20,11:00:00 PM,8.19,8.31
04-Jul-20,11:30:00 PM,7.71,7.85
05-Jul-20,12:00:00 AM,7.08,7.26
05-Jul-20,12:30:00 AM,6.68,6.84
05-Jul-20,1:00:00 AM,6.24,6.39
05-Jul-20,1:30:00 AM,6.00,6.16
05-Jul-20,2:00:00 AM,5.87,6.02
05-Jul-20,2:30:00 AM,5.77,5.92
05-Jul-20,3:00:00 AM,5.76,5.91
05-Jul-20,3:30:00 AM,5.56,5.74
05-Jul-20,4:00:00 AM,5.36,5.57
05-Jul-20,4:30:00 AM,5.48,5.66
05-Jul-20,5:00:00 AM,5.65,5.83
05-Jul-20,5:30:00 AM,5.73,5.95
05-Jul-20,6:00:00 AM,6.31,6.47
05-Jul-20,6:30:00 AM,7.14,7.31
05-Jul-20,7:00:00 AM,7.79,7.93
05-Jul-20,7:30:00 AM,7.86,7.99
05-Jul-20,8:00:00 AM,7.49,7.59
05-Jul-20,8:30:00 AM,6.91,7.00
05-Jul-20,9:00:00 AM,5.92,6.01
05-Jul-20,9:30:00 AM,4.65,4.74
05-Jul-20,10:00:00 AM,3.32,3.42
05-Jul-20,10:30:00 AM,2.29,2.48
05-Jul-20,11:00:00 AM,1.45,1.72
05-Jul-20,11:30:00 AM,1.13,1.48
05-Jul-20,12:00:00 PM,1.84,2.13
05-Jul-20,12:30:00 PM,1.26,1.58
05-Jul-20,1:00:00 PM,1.37,1.64
05-Jul-20,1:30:00 PM,1.17,1.57
05-Jul-20,2:00:00 PM,2.91,3.13
05-Jul-20,2:30:00 PM,3.87,4.04
05-Jul-20,3:00:00 PM,4.82,4.97
05-Jul-20,3:30:00 PM,5.55,5.70
05-Jul-20,4:00:00 PM,6.56,6.68
05-Jul-20,4:30:00 PM,8.17,8.27
05-Jul-20,5:00:00 PM,9.92,9.99
05-Jul-20,5:30:00 PM,11.20,11.26
05-Jul-20,6:00:00 PM,11.70,11.75
05-Jul-20,6:30:00 PM,11.97,12.01
05-Jul-20,7:00:00 PM,11.93,11.97
05-Jul-20,7:30:00 PM,11.72,11.77
05-Jul-20,8:00:00 PM,11.54,11.58
05-Jul-20,8:30:00 PM,11.15,11.19
05-Jul-20,9:00:00 PM,10.67,10.72
05-Jul-20,9:30:00 PM,10.04,10.12
05-Jul-20,10:00:00 PM,9.32,9.41
05-Jul-20,10:30:00 PM,9.29,9.36
05-Jul-20,11:00:00 PM,8.82,8.90
05-Jul-20,11:30:00 PM,8.15,8.25
06-Jul-20,12:00:00 AM,7.33,7.44
06-Jul-20,12:30:00 AM,6.66,6.79
06-Jul-20,1:00:00 AM,6.24,6.40
06-Jul-20,1:30:00 AM,6.05,6.23
06-Jul-20,2:00:00 AM,5.90,6.06
06-Jul-20,2:30:00 AM,6.04,6.20
06-Jul-20,3:00:00 AM,5.79,5.95
06-Jul-20,3:30:00 AM,6.02,6.18
06-Jul-20,4:00:00 AM,6.37,6.53
06-Jul-20,4:30:00 AM,6.78,6.91
06-Jul-20,5:00:00 AM,7.42,7.54
06-Jul-20,5:30:00 AM,8.15,8.26
06-Jul-20,6:00:00 AM,9.04,9.13
06-Jul-20,6:30:00 AM,9.60,9.69
06-Jul-20,7:00:00 AM,9.65,9.70
06-Jul-20,7:30:00 AM,9.28,9.33
06-Jul-20,8:00:00 AM,8.50,8.56
06-Jul-20,8:30:00 AM,7.21,7.27
06-Jul-20,9:00:00 AM,5.70,5.76
06-Jul-20,9:30:00 AM,4.00,4.10
06-Jul-20,10:00:00 AM,2.52,2.66
06-Jul-20,10:30:00 AM,1.62,1.84
06-Jul-20,11:00:00 AM,1.02,1.30
06-Jul-20,11:30:00 AM,0.96,1.20
06-Jul-20,12:00:00 PM,0.76,1.10
06-Jul-20,12:30:00 PM,0.68,1.06
06-Jul-20,1:00:00 PM,1.12,1.52
06-Jul-20,1:30:00 PM,1.88,2.16
06-Jul-20,2:00:00 PM,1.87,2.15
06-Jul-20,2:30:00 PM,2.19,2.43
06-Jul-20,3:00:00 PM,3.17,3.39
06-Jul-20,3:30:00 PM,4.22,4.39
06-Jul-20,4:00:00 PM,5.49,5.64
06-Jul-20,4:30:00 PM,7.02,7.14
06-Jul-20,5:00:00 PM,8.80,8.86
06-Jul-20,5:30:00 PM,10.45,10.50
06-Jul-20,6:00:00 PM,11.08,11.13
06-Jul-20,6:30:00 PM,11.11,11.15
06-Jul-20,7:00:00 PM,11.10,11.16
06-Jul-20,7:30:00 PM,10.98,11.05
06-Jul-20,8:00:00 PM,10.74,10.82
06-Jul-20,8:30:00 PM,10.43,10.51
06-Jul-20,9:00:00 PM,9.60,9.68
06-Jul-20,9:30:00 PM,8.90,9.00
06-Jul-20,10:00:00 PM,8.14,8.28
06-Jul-20,10:30:00 PM,8.13,8.24
06-Jul-20,11:00:00 PM,7.75,7.87
06-Jul-20,11:30:00 PM,6.86,7.01
07-Jul-20,12:00:00 AM,6.25,6.43
07-Jul-20,12:30:00 AM,5.80,5.98
07-Jul-20,1:00:00 AM,5.54,5.70
07-Jul-20,1:30:00 AM,5.34,5.52
07-Jul-20,2:00:00 AM,5.18,5.37
07-Jul-20,2:30:00 AM,5.12,5.31
07-Jul-20,3:00:00 AM,5.17,5.35
07-Jul-20,3:30:00 AM,5.29,5.47
07-Jul-20,4:00:00 AM,5.57,5.74
07-Jul-20,4:30:00 AM,6.04,6.21
07-Jul-20,5:00:00 AM,6.93,7.09
07-Jul-20,5:30:00 AM,7.78,7.93
