Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.68,8.69
01-Jul-20,12:30:00 AM,8.19,8.20
01-Jul-20,1:00:00 AM,7.63,7.64
01-Jul-20,1:30:00 AM,7.25,7.27
01-Jul-20,2:00:00 AM,7.06,7.07
01-Jul-20,2:30:00 AM,7.03,7.05
01-Jul-20,3:00:00 AM,7.14,7.16
01-Jul-20,3:30:00 AM,7.15,7.17
01-Jul-20,4:00:00 AM,7.26,7.27
01-Jul-20,4:30:00 AM,7.70,7.71
01-Jul-20,5:00:00 AM,8.43,8.43
01-Jul-20,5:30:00 AM,8.82,8.83
01-Jul-20,6:00:00 AM,9.77,9.77
01-Jul-20,6:30:00 AM,10.73,10.73
01-Jul-20,7:00:00 AM,11.88,11.88
01-Jul-20,7:30:00 AM,12.27,12.27
01-Jul-20,8:00:00 AM,12.55,12.56
01-Jul-20,8:30:00 AM,12.40,12.41
01-Jul-20,9:00:00 AM,10.74,10.76
01-Jul-20,9:30:00 AM,9.88,9.91
01-Jul-20,10:00:00 AM,9.43,9.47
01-Jul-20,10:30:00 AM,8.91,8.96
01-Jul-20,11:00:00 AM,8.66,8.71
01-Jul-20,11:30:00 AM,8.48,8.54
01-Jul-20,12:00:00 PM,9.04,9.09
01-Jul-20,12:30:00 PM,9.64,9.69
01-Jul-20,1:00:00 PM,9.88,9.94
01-Jul-20,1:30:00 PM,9.48,9.53
01-Jul-20,2:00:00 PM,9.15,9.21
01-Jul-20,2:30:00 PM,10.21,10.24
01-Jul-20,3:00:00 PM,10.84,10.86
01-Jul-20,3:30:00 PM,11.27,11.28
01-Jul-20,4:00:00 PM,11.98,11.99
01-Jul-20,4:30:00 PM,12.70,12.70
01-Jul-20,5:00:00 PM,13.36,13.36
01-Jul-20,5:30:00 PM,13.26,13.26
01-Jul-20,6:00:00 PM,13.18,13.18
01-Jul-20,6:30:00 PM,13.26,13.26
01-Jul-20,7:00:00 PM,13.10,13.10
01-Jul-20,7:30:00 PM,13.06,13.06
01-Jul-20,8:00:00 PM,13.12,13.12
01-Jul-20,8:30:00 PM,12.42,12.42
01-Jul-20,9:00:00 PM,11.70,11.70
01-Jul-20,9:30:00 PM,11.15,11.16
01-Jul-20,10:00:00 PM,11.13,11.14
01-Jul-20,10:30:00 PM,11.21,11.21
01-Jul-20,11:00:00 PM,10.45,10.45
01-Jul-20,11:30:00 PM,9.60,9.60
02-Jul-20,12:00:00 AM,8.86,8.87
02-Jul-20,12:30:00 AM,8.20,8.21
02-Jul-20,1:00:00 AM,7.66,7.68
02-Jul-20,1:30:00 AM,7.42,7.43
02-Jul-20,2:00:00 AM,7.22,7.24
02-Jul-20,2:30:00 AM,7.25,7.26
02-Jul-20,3:00:00 AM,7.43,7.46
02-Jul-20,3:30:00 AM,7.30,7.32
02-Jul-20,4:00:00 AM,7.40,7.42
02-Jul-20,4:30:00 AM,7.68,7.69
02-Jul-20,5:00:00 AM,8.32,8.33
02-Jul-20,5:30:00 AM,8.94,8.94
02-Jul-20,6:00:00 AM,10.00,10.00
02-Jul-20,6:30:00 AM,10.80,10.80
02-Jul-20,7:00:00 AM,12.05,12.05
02-Jul-20,7:30:00 AM,11.84,11.85
02-Jul-20,8:00:00 AM,12.74,12.75
02-Jul-20,8:30:00 AM,12.69,12.71
02-Jul-20,9:00:00 AM,12.40,12.43
02-Jul-20,9:30:00 AM,10.92,10.95
02-Jul-20,10:00:00 AM,10.03,10.07
02-Jul-20,10:30:00 AM,9.78,9.81
02-Jul-20,11:00:00 AM,8.96,9.02
02-Jul-20,11:30:00 AM,9.58,9.62
02-Jul-20,12:00:00 PM,9.72,9.75
02-Jul-20,12:30:00 PM,9.40,9.43
02-Jul-20,1:00:00 PM,8.58,8.62
02-Jul-20,1:30:00 PM,9.51,9.57
02-Jul-20,2:00:00 PM,9.88,9.92
02-Jul-20,2:30:00 PM,10.40,10.43
02-Jul-20,3:00:00 PM,10.97,10.99
02-Jul-20,3:30:00 PM,11.53,11.54
02-Jul-20,4:00:00 PM,11.96,11.96
02-Jul-20,4:30:00 PM,12.49,12.49
02-Jul-20,5:00:00 PM,13.49,13.49
02-Jul-20,5:30:00 PM,14.03,14.03
02-Jul-20,6:00:00 PM,14.09,14.10
02-Jul-20,6:30:00 PM,14.00,14.00
02-Jul-20,7:00:00 PM,13.71,13.71
02-Jul-20,7:30:00 PM,13.85,13.85
02-Jul-20,8:00:00 PM,13.68,13.68
