Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,3.94,3.99
01-Jul-20,12:30:00 AM,3.72,3.77
01-Jul-20,1:00:00 AM,3.46,3.52
01-Jul-20,1:30:00 AM,3.29,3.34
01-Jul-20,2:00:00 AM,3.28,3.33
01-Jul-20,2:30:00 AM,3.19,3.24
01-Jul-20,3:00:00 AM,3.16,3.21
01-Jul-20,3:30:00 AM,3.18,3.22
01-Jul-20,4:00:00 AM,3.18,3.22
01-Jul-20,4:30:00 AM,3.39,3.43
01-Jul-20,5:00:00 AM,3.67,3.70
01-Jul-20,5:30:00 AM,4.16,4.18
01-Jul-20,6:00:00 AM,4.61,4.63
01-Jul-20,6:30:00 AM,5.25,5.26
01-Jul-20,7:00:00 AM,5.83,5.85
01-Jul-20,7:30:00 AM,5.65,5.67
01-Jul-20,8:00:00 AM,4.98,4.99
01-Jul-20,8:30:00 AM,3.99,3.99
01-Jul-20,9:00:00 AM,3.18,3.18
01-Jul-20,9:30:00 AM,2.42,2.43
01-Jul-20,10:00:00 AM,1.95,1.96
01-Jul-20,10:30:00 AM,1.61,1.63
01-Jul-20,11:00:00 AM,1.57,1.59
01-Jul-20,11:30:00 AM,1.75,1.76
01-Jul-20,12:00:00 PM,1.53,1.53
01-Jul-20,12:30:00 PM,1.51,1.51
01-Jul-20,1:00:00 PM,1.89,1.89
01-Jul-20,1:30:00 PM,3.11,3.11
01-Jul-20,2:00:00 PM,2.96,2.96
01-Jul-20,2:30:00 PM,3.61,3.61
01-Jul-20,3:00:00 PM,3.61,3.61
01-Jul-20,3:30:00 PM,3.83,3.83
01-Jul-20,4:00:00 PM,4.50,4.50
01-Jul-20,4:30:00 PM,5.28,5.28
01-Jul-20,5:00:00 PM,6.21,6.22
01-Jul-20,5:30:00 PM,6.80,6.81
01-Jul-20,6:00:00 PM,6.87,6.88
01-Jul-20,6:30:00 PM,6.89,6.90
01-Jul-20,7:00:00 PM,6.72,6.73
01-Jul-20,7:30:00 PM,6.39,6.40
01-Jul-20,8:00:00 PM,6.37,6.38
01-Jul-20,8:30:00 PM,6.15,6.18
01-Jul-20,9:00:00 PM,5.70,5.73
01-Jul-20,9:30:00 PM,5.26,5.30
01-Jul-20,10:00:00 PM,5.16,5.19
01-Jul-20,10:30:00 PM,5.09,5.13
01-Jul-20,11:00:00 PM,4.55,4.59
01-Jul-20,11:30:00 PM,3.91,3.95
