Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,1.47,1.49
01-Jul-20,12:30:00 AM,1.38,1.39
01-Jul-20,1:00:00 AM,1.28,1.29
01-Jul-20,1:30:00 AM,1.30,1.32
01-Jul-20,2:00:00 AM,1.29,1.30
01-Jul-20,2:30:00 AM,1.31,1.33
01-Jul-20,3:00:00 AM,1.30,1.32
01-Jul-20,3:30:00 AM,1.33,1.34
01-Jul-20,4:00:00 AM,1.35,1.36
01-Jul-20,4:30:00 AM,1.42,1.43
01-Jul-20,5:00:00 AM,1.51,1.52
01-Jul-20,5:30:00 AM,1.62,1.63
01-Jul-20,6:00:00 AM,1.80,1.81
01-Jul-20,6:30:00 AM,1.95,1.96
01-Jul-20,7:00:00 AM,2.00,2.00
01-Jul-20,7:30:00 AM,1.75,1.76
01-Jul-20,8:00:00 AM,1.52,1.52
01-Jul-20,8:30:00 AM,1.10,1.11
01-Jul-20,9:00:00 AM,0.80,0.80
01-Jul-20,9:30:00 AM,0.51,0.51
01-Jul-20,10:00:00 AM,0.47,0.48
01-Jul-20,10:30:00 AM,0.73,0.74
01-Jul-20,11:00:00 AM,0.70,0.72
01-Jul-20,11:30:00 AM,0.68,0.70
01-Jul-20,12:00:00 PM,-0.10,0.13
01-Jul-20,12:30:00 PM,0.24,0.26
01-Jul-20,1:00:00 PM,0.85,0.87
01-Jul-20,1:30:00 PM,1.14,1.15
01-Jul-20,2:00:00 PM,1.29,1.29
01-Jul-20,2:30:00 PM,1.23,1.24
01-Jul-20,3:00:00 PM,1.37,1.37
01-Jul-20,3:30:00 PM,1.62,1.62
01-Jul-20,4:00:00 PM,1.40,1.41
01-Jul-20,4:30:00 PM,1.66,1.67
01-Jul-20,5:00:00 PM,1.97,1.98
01-Jul-20,5:30:00 PM,2.31,2.31
01-Jul-20,6:00:00 PM,2.45,2.45
01-Jul-20,6:30:00 PM,2.48,2.48
01-Jul-20,7:00:00 PM,2.47,2.47
01-Jul-20,7:30:00 PM,2.41,2.41
01-Jul-20,8:00:00 PM,2.42,2.43
01-Jul-20,8:30:00 PM,2.36,2.37
01-Jul-20,9:00:00 PM,2.23,2.24
01-Jul-20,9:30:00 PM,2.15,2.16
01-Jul-20,10:00:00 PM,2.01,2.03
01-Jul-20,10:30:00 PM,1.98,1.99
01-Jul-20,11:00:00 PM,1.76,1.77
01-Jul-20,11:30:00 PM,1.60,1.62
02-Jul-20,12:00:00 AM,1.45,1.46
02-Jul-20,12:30:00 AM,1.37,1.38
02-Jul-20,1:00:00 AM,1.27,1.28
02-Jul-20,1:30:00 AM,1.26,1.28
02-Jul-20,2:00:00 AM,1.22,1.24
02-Jul-20,2:30:00 AM,1.25,1.27
02-Jul-20,3:00:00 AM,1.27,1.29
02-Jul-20,3:30:00 AM,1.29,1.30
02-Jul-20,4:00:00 AM,1.30,1.32
02-Jul-20,4:30:00 AM,1.39,1.41
02-Jul-20,5:00:00 AM,1.47,1.48
02-Jul-20,5:30:00 AM,1.59,1.60
02-Jul-20,6:00:00 AM,1.80,1.81
02-Jul-20,6:30:00 AM,1.94,1.95
02-Jul-20,7:00:00 AM,1.96,1.96
02-Jul-20,7:30:00 AM,1.81,1.82
02-Jul-20,8:00:00 AM,1.69,1.70
02-Jul-20,8:30:00 AM,1.53,1.53
02-Jul-20,9:00:00 AM,1.19,1.20
02-Jul-20,9:30:00 AM,0.80,0.80
02-Jul-20,10:00:00 AM,0.43,0.43
02-Jul-20,10:30:00 AM,0.00,0.04
02-Jul-20,11:00:00 AM,0.03,0.06
02-Jul-20,11:30:00 AM,-0.08,0.09
02-Jul-20,12:00:00 PM,-0.06,0.09
02-Jul-20,12:30:00 PM,-0.23,0.23
02-Jul-20,1:00:00 PM,-0.02,0.06
02-Jul-20,1:30:00 PM,0.16,0.17
02-Jul-20,2:00:00 PM,0.22,0.24
02-Jul-20,2:30:00 PM,0.40,0.40
02-Jul-20,3:00:00 PM,0.67,0.67
02-Jul-20,3:30:00 PM,0.92,0.93
02-Jul-20,4:00:00 PM,1.30,1.30
02-Jul-20,4:30:00 PM,1.63,1.63
02-Jul-20,5:00:00 PM,1.96,1.96
02-Jul-20,5:30:00 PM,2.24,2.24
02-Jul-20,6:00:00 PM,2.34,2.34
02-Jul-20,6:30:00 PM,2.40,2.40
02-Jul-20,7:00:00 PM,2.41,2.41
02-Jul-20,7:30:00 PM,2.36,2.37
02-Jul-20,8:00:00 PM,2.43,2.44
02-Jul-20,8:30:00 PM,2.32,2.32
02-Jul-20,9:00:00 PM,2.30,2.30
02-Jul-20,9:30:00 PM,2.09,2.09
02-Jul-20,10:00:00 PM,1.94,1.95
02-Jul-20,10:30:00 PM,1.86,1.87
02-Jul-20,11:00:00 PM,1.77,1.78
02-Jul-20,11:30:00 PM,1.56,1.57
03-Jul-20,12:00:00 AM,1.46,1.47
03-Jul-20,12:30:00 AM,1.43,1.44
03-Jul-20,1:00:00 AM,1.32,1.33
03-Jul-20,1:30:00 AM,1.30,1.31
03-Jul-20,2:00:00 AM,1.30,1.31
03-Jul-20,2:30:00 AM,1.29,1.30
03-Jul-20,3:00:00 AM,1.28,1.29
03-Jul-20,3:30:00 AM,1.32,1.33
03-Jul-20,4:00:00 AM,1.34,1.35
03-Jul-20,4:30:00 AM,1.42,1.42
03-Jul-20,5:00:00 AM,1.47,1.48
03-Jul-20,5:30:00 AM,1.55,1.56
03-Jul-20,6:00:00 AM,1.75,1.75
03-Jul-20,6:30:00 AM,1.85,1.86
03-Jul-20,7:00:00 AM,1.85,1.86
03-Jul-20,7:30:00 AM,1.71,1.72
03-Jul-20,8:00:00 AM,1.48,1.48
03-Jul-20,8:30:00 AM,1.07,1.08
03-Jul-20,9:00:00 AM,0.74,0.74
03-Jul-20,9:30:00 AM,0.47,0.47
03-Jul-20,10:00:00 AM,0.15,0.16
03-Jul-20,10:30:00 AM,0.01,0.04
03-Jul-20,11:00:00 AM,-0.11,0.11
03-Jul-20,11:30:00 AM,-0.29,0.29
03-Jul-20,12:00:00 PM,-0.31,0.31
03-Jul-20,12:30:00 PM,-0.24,0.26
03-Jul-20,1:00:00 PM,-0.16,0.19
03-Jul-20,1:30:00 PM,-0.05,0.08
03-Jul-20,2:00:00 PM,0.17,0.19
03-Jul-20,2:30:00 PM,0.43,0.43
03-Jul-20,3:00:00 PM,0.69,0.70
03-Jul-20,3:30:00 PM,0.91,0.91
03-Jul-20,4:00:00 PM,1.40,1.40
03-Jul-20,4:30:00 PM,1.62,1.62
03-Jul-20,5:00:00 PM,1.82,1.82
03-Jul-20,5:30:00 PM,2.05,2.05
03-Jul-20,6:00:00 PM,2.15,2.15
03-Jul-20,6:30:00 PM,2.18,2.18
03-Jul-20,7:00:00 PM,2.16,2.16
03-Jul-20,7:30:00 PM,2.18,2.18
03-Jul-20,8:00:00 PM,2.23,2.23
03-Jul-20,8:30:00 PM,2.09,2.09
03-Jul-20,9:00:00 PM,2.00,2.00
03-Jul-20,9:30:00 PM,1.98,1.98
03-Jul-20,10:00:00 PM,1.86,1.87
03-Jul-20,10:30:00 PM,1.81,1.81
03-Jul-20,11:00:00 PM,1.66,1.66
03-Jul-20,11:30:00 PM,1.49,1.50
04-Jul-20,12:00:00 AM,1.36,1.38
04-Jul-20,12:30:00 AM,1.29,1.30
04-Jul-20,1:00:00 AM,1.22,1.23
04-Jul-20,1:30:00 AM,1.18,1.19
04-Jul-20,2:00:00 AM,1.18,1.20
04-Jul-20,2:30:00 AM,1.22,1.23
04-Jul-20,3:00:00 AM,1.19,1.20
04-Jul-20,3:30:00 AM,1.18,1.19
04-Jul-20,4:00:00 AM,1.17,1.17
04-Jul-20,4:30:00 AM,1.17,1.19
04-Jul-20,5:00:00 AM,1.25,1.26
04-Jul-20,5:30:00 AM,1.30,1.31
04-Jul-20,6:00:00 AM,1.40,1.41
04-Jul-20,6:30:00 AM,1.53,1.54
04-Jul-20,7:00:00 AM,1.59,1.60
04-Jul-20,7:30:00 AM,1.45,1.46
04-Jul-20,8:00:00 AM,1.23,1.24
04-Jul-20,8:30:00 AM,0.96,0.96
04-Jul-20,9:00:00 AM,0.62,0.63
04-Jul-20,9:30:00 AM,0.35,0.35
04-Jul-20,10:00:00 AM,0.16,0.17
04-Jul-20,10:30:00 AM,-0.06,0.09
04-Jul-20,11:00:00 AM,-0.21,0.22
04-Jul-20,11:30:00 AM,-0.27,0.28
04-Jul-20,12:00:00 PM,-0.23,0.24
04-Jul-20,12:30:00 PM,-0.17,0.19
04-Jul-20,1:00:00 PM,-0.08,0.13
04-Jul-20,1:30:00 PM,0.01,0.11
04-Jul-20,2:00:00 PM,0.14,0.17
04-Jul-20,2:30:00 PM,0.34,0.37
04-Jul-20,3:00:00 PM,0.70,0.71
04-Jul-20,3:30:00 PM,0.99,1.00
04-Jul-20,4:00:00 PM,1.46,1.46
04-Jul-20,4:30:00 PM,1.81,1.82
04-Jul-20,5:00:00 PM,2.13,2.13
04-Jul-20,5:30:00 PM,2.53,2.53
04-Jul-20,6:00:00 PM,2.63,2.63
04-Jul-20,6:30:00 PM,2.63,2.63
04-Jul-20,7:00:00 PM,2.58,2.58
04-Jul-20,7:30:00 PM,2.62,2.63
04-Jul-20,8:00:00 PM,2.58,2.58
04-Jul-20,8:30:00 PM,2.49,2.49
04-Jul-20,9:00:00 PM,2.36,2.36
04-Jul-20,9:30:00 PM,2.24,2.24
04-Jul-20,10:00:00 PM,2.17,2.18
04-Jul-20,10:30:00 PM,2.09,2.10
04-Jul-20,11:00:00 PM,1.97,1.98
04-Jul-20,11:30:00 PM,1.78,1.79
