Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,15.27,15.33
01-Jul-20,12:30:00 AM,14.93,14.99
01-Jul-20,1:00:00 AM,14.49,14.55
01-Jul-20,1:30:00 AM,14.14,14.21
01-Jul-20,2:00:00 AM,13.95,14.01
01-Jul-20,2:30:00 AM,13.94,14.01
01-Jul-20,3:00:00 AM,13.76,13.83
01-Jul-20,3:30:00 AM,13.76,13.83
01-Jul-20,4:00:00 AM,14.01,14.08
01-Jul-20,4:30:00 AM,14.34,14.40
01-Jul-20,5:00:00 AM,14.70,14.77
01-Jul-20,5:30:00 AM,15.63,15.68
01-Jul-20,6:00:00 AM,17.12,17.15
01-Jul-20,6:30:00 AM,18.77,18.79
01-Jul-20,7:00:00 AM,21.30,21.31
01-Jul-20,7:30:00 AM,22.76,22.76
01-Jul-20,8:00:00 AM,23.27,23.27
01-Jul-20,8:30:00 AM,23.69,23.69
01-Jul-20,9:00:00 AM,23.61,23.61
01-Jul-20,9:30:00 AM,23.30,23.30
01-Jul-20,10:00:00 AM,23.13,23.13
01-Jul-20,10:30:00 AM,22.93,22.93
01-Jul-20,11:00:00 AM,22.81,22.82
01-Jul-20,11:30:00 AM,22.81,22.82
01-Jul-20,12:00:00 PM,22.98,22.99
01-Jul-20,12:30:00 PM,22.97,22.98
01-Jul-20,1:00:00 PM,23.21,23.22
01-Jul-20,1:30:00 PM,23.06,23.07
01-Jul-20,2:00:00 PM,23.00,23.00
01-Jul-20,2:30:00 PM,22.99,23.00
01-Jul-20,3:00:00 PM,22.92,22.92
01-Jul-20,3:30:00 PM,22.74,22.75
01-Jul-20,4:00:00 PM,22.84,22.84
01-Jul-20,4:30:00 PM,23.33,23.33
01-Jul-20,5:00:00 PM,23.97,23.97
01-Jul-20,5:30:00 PM,24.43,24.44
01-Jul-20,6:00:00 PM,23.83,23.83
01-Jul-20,6:30:00 PM,23.79,23.79
01-Jul-20,7:00:00 PM,23.27,23.27
01-Jul-20,7:30:00 PM,22.66,22.67
