Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,5.80,6.01
01-Jul-20,12:30:00 AM,5.13,5.37
01-Jul-20,1:00:00 AM,4.82,5.08
01-Jul-20,1:30:00 AM,4.47,4.74
01-Jul-20,2:00:00 AM,4.31,4.61
01-Jul-20,2:30:00 AM,4.10,4.41
01-Jul-20,3:00:00 AM,4.10,4.42
01-Jul-20,3:30:00 AM,4.13,4.44
01-Jul-20,4:00:00 AM,4.27,4.56
01-Jul-20,4:30:00 AM,4.53,4.78
01-Jul-20,5:00:00 AM,5.04,5.25
01-Jul-20,5:30:00 AM,5.65,5.83
01-Jul-20,6:00:00 AM,6.57,6.71
01-Jul-20,6:30:00 AM,7.84,7.96
01-Jul-20,7:00:00 AM,9.08,9.17
01-Jul-20,7:30:00 AM,9.07,9.15
01-Jul-20,8:00:00 AM,8.25,8.32
01-Jul-20,8:30:00 AM,6.74,6.83
01-Jul-20,9:00:00 AM,5.29,5.41
01-Jul-20,9:30:00 AM,3.83,4.00
01-Jul-20,10:00:00 AM,2.67,2.90
01-Jul-20,10:30:00 AM,1.84,2.14
01-Jul-20,11:00:00 AM,1.19,1.62
01-Jul-20,11:30:00 AM,0.89,1.39
01-Jul-20,12:00:00 PM,0.71,1.29
01-Jul-20,12:30:00 PM,0.81,1.38
01-Jul-20,1:00:00 PM,1.51,1.91
01-Jul-20,1:30:00 PM,1.45,1.84
01-Jul-20,2:00:00 PM,2.03,2.37
01-Jul-20,2:30:00 PM,3.52,3.78
01-Jul-20,3:00:00 PM,3.63,3.89
01-Jul-20,3:30:00 PM,4.66,4.87
01-Jul-20,4:00:00 PM,5.58,5.78
01-Jul-20,4:30:00 PM,6.84,7.02
01-Jul-20,5:00:00 PM,7.97,8.09
01-Jul-20,5:30:00 PM,9.18,9.26
01-Jul-20,6:00:00 PM,9.49,9.56
01-Jul-20,6:30:00 PM,9.77,9.84
01-Jul-20,7:00:00 PM,9.64,9.70
01-Jul-20,7:30:00 PM,9.42,9.49
01-Jul-20,8:00:00 PM,9.51,9.58
01-Jul-20,8:30:00 PM,8.91,8.99
01-Jul-20,9:00:00 PM,8.64,8.73
01-Jul-20,9:30:00 PM,8.31,8.42
01-Jul-20,10:00:00 PM,8.35,8.46
01-Jul-20,10:30:00 PM,7.47,7.61
01-Jul-20,11:00:00 PM,7.00,7.16
01-Jul-20,11:30:00 PM,6.49,6.66
02-Jul-20,12:00:00 AM,5.73,5.93
02-Jul-20,12:30:00 AM,5.10,5.33
02-Jul-20,1:00:00 AM,4.76,5.00
02-Jul-20,1:30:00 AM,4.41,4.68
02-Jul-20,2:00:00 AM,4.17,4.46
02-Jul-20,2:30:00 AM,4.12,4.41
02-Jul-20,3:00:00 AM,4.07,4.37
02-Jul-20,3:30:00 AM,4.09,4.39
02-Jul-20,4:00:00 AM,4.21,4.50
02-Jul-20,4:30:00 AM,4.47,4.72
02-Jul-20,5:00:00 AM,4.98,5.21
02-Jul-20,5:30:00 AM,5.69,5.87
02-Jul-20,6:00:00 AM,6.61,6.75
02-Jul-20,6:30:00 AM,7.76,7.88
02-Jul-20,7:00:00 AM,8.26,8.36
02-Jul-20,7:30:00 AM,8.38,8.48
02-Jul-20,8:00:00 AM,8.42,8.50
02-Jul-20,8:30:00 AM,7.43,7.52
02-Jul-20,9:00:00 AM,7.07,7.17
02-Jul-20,9:30:00 AM,5.28,5.41
02-Jul-20,10:00:00 AM,3.15,3.34
02-Jul-20,10:30:00 AM,1.81,2.11
02-Jul-20,11:00:00 AM,1.39,1.78
02-Jul-20,11:30:00 AM,1.41,1.78
02-Jul-20,12:00:00 PM,1.85,2.18
02-Jul-20,12:30:00 PM,1.30,1.73
02-Jul-20,1:00:00 PM,1.57,1.95
02-Jul-20,1:30:00 PM,1.72,2.10
02-Jul-20,2:00:00 PM,2.37,2.67
02-Jul-20,2:30:00 PM,3.07,3.34
02-Jul-20,3:00:00 PM,3.61,3.87
02-Jul-20,3:30:00 PM,4.60,4.82
