Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,11.48,11.48
01-Jul-20,12:30:00 AM,10.38,10.39
01-Jul-20,1:00:00 AM,9.71,9.72
01-Jul-20,1:30:00 AM,9.22,9.23
01-Jul-20,2:00:00 AM,8.72,8.74
01-Jul-20,2:30:00 AM,8.56,8.59
01-Jul-20,3:00:00 AM,8.49,8.52
01-Jul-20,3:30:00 AM,8.49,8.53
01-Jul-20,4:00:00 AM,8.63,8.67
01-Jul-20,4:30:00 AM,9.11,9.13
01-Jul-20,5:00:00 AM,9.87,9.88
01-Jul-20,5:30:00 AM,10.73,10.73
01-Jul-20,6:00:00 AM,12.24,12.24
01-Jul-20,6:30:00 AM,13.57,13.57
01-Jul-20,7:00:00 AM,15.18,15.18
01-Jul-20,7:30:00 AM,15.79,15.79
01-Jul-20,8:00:00 AM,15.08,15.08
01-Jul-20,8:30:00 AM,14.02,14.03
01-Jul-20,9:00:00 AM,11.75,11.76
01-Jul-20,9:30:00 AM,10.30,10.31
01-Jul-20,10:00:00 AM,9.40,9.41
01-Jul-20,10:30:00 AM,8.73,8.74
01-Jul-20,11:00:00 AM,7.97,7.97
01-Jul-20,11:30:00 AM,7.53,7.54
01-Jul-20,12:00:00 PM,7.75,7.76
01-Jul-20,12:30:00 PM,8.31,8.31
01-Jul-20,1:00:00 PM,9.15,9.15
01-Jul-20,1:30:00 PM,9.00,9.00
01-Jul-20,2:00:00 PM,9.23,9.23
01-Jul-20,2:30:00 PM,10.34,10.34
01-Jul-20,3:00:00 PM,10.84,10.84
01-Jul-20,3:30:00 PM,11.37,11.38
01-Jul-20,4:00:00 PM,12.70,12.70
01-Jul-20,4:30:00 PM,14.28,14.29
01-Jul-20,5:00:00 PM,15.78,15.81
01-Jul-20,5:30:00 PM,17.07,17.15
01-Jul-20,6:00:00 PM,17.74,17.81
01-Jul-20,6:30:00 PM,18.33,18.39
01-Jul-20,7:00:00 PM,18.37,18.44
01-Jul-20,7:30:00 PM,18.19,18.23
01-Jul-20,8:00:00 PM,18.80,18.84
01-Jul-20,8:30:00 PM,17.89,17.93
01-Jul-20,9:00:00 PM,16.99,17.03
01-Jul-20,9:30:00 PM,16.74,16.78
01-Jul-20,10:00:00 PM,16.55,16.57
01-Jul-20,10:30:00 PM,15.04,15.04
01-Jul-20,11:00:00 PM,13.82,13.82
01-Jul-20,11:30:00 PM,12.78,12.78
02-Jul-20,12:00:00 AM,11.46,11.46
02-Jul-20,12:30:00 AM,10.50,10.50
02-Jul-20,1:00:00 AM,9.80,9.81
02-Jul-20,1:30:00 AM,9.17,9.19
02-Jul-20,2:00:00 AM,8.74,8.76
02-Jul-20,2:30:00 AM,8.52,8.54
02-Jul-20,3:00:00 AM,8.56,8.58
02-Jul-20,3:30:00 AM,8.47,8.50
02-Jul-20,4:00:00 AM,8.65,8.69
02-Jul-20,4:30:00 AM,8.99,9.02
02-Jul-20,5:00:00 AM,9.59,9.62
02-Jul-20,5:30:00 AM,10.47,10.48
02-Jul-20,6:00:00 AM,12.02,12.02
02-Jul-20,6:30:00 AM,13.52,13.52
02-Jul-20,7:00:00 AM,14.67,14.67
02-Jul-20,7:30:00 AM,14.44,14.44
02-Jul-20,8:00:00 AM,14.78,14.79
02-Jul-20,8:30:00 AM,13.71,13.72
02-Jul-20,9:00:00 AM,12.78,12.79
02-Jul-20,9:30:00 AM,13.19,13.20
02-Jul-20,10:00:00 AM,9.90,9.91
02-Jul-20,10:30:00 AM,8.88,8.88
02-Jul-20,11:00:00 AM,8.61,8.62
02-Jul-20,11:30:00 AM,7.08,7.08
02-Jul-20,12:00:00 PM,8.10,8.10
02-Jul-20,12:30:00 PM,8.12,8.13
02-Jul-20,1:00:00 PM,7.83,7.83
02-Jul-20,1:30:00 PM,8.63,8.63
02-Jul-20,2:00:00 PM,8.52,8.52
02-Jul-20,2:30:00 PM,9.19,9.19
02-Jul-20,3:00:00 PM,9.88,9.88
02-Jul-20,3:30:00 PM,11.06,11.06
02-Jul-20,4:00:00 PM,12.25,12.25
02-Jul-20,4:30:00 PM,13.74,13.74
02-Jul-20,5:00:00 PM,15.22,15.24
02-Jul-20,5:30:00 PM,16.39,16.44
02-Jul-20,6:00:00 PM,16.76,16.81
02-Jul-20,6:30:00 PM,17.37,17.42
02-Jul-20,7:00:00 PM,17.34,17.39
02-Jul-20,7:30:00 PM,17.33,17.38
02-Jul-20,8:00:00 PM,18.19,18.23
02-Jul-20,8:30:00 PM,17.76,17.79
02-Jul-20,9:00:00 PM,16.77,16.79
02-Jul-20,9:30:00 PM,16.48,16.50
02-Jul-20,10:00:00 PM,16.32,16.34
02-Jul-20,10:30:00 PM,14.77,14.77
02-Jul-20,11:00:00 PM,13.52,13.52
02-Jul-20,11:30:00 PM,12.26,12.26
03-Jul-20,12:00:00 AM,11.20,11.20
03-Jul-20,12:30:00 AM,10.13,10.13
03-Jul-20,1:00:00 AM,9.46,9.46
03-Jul-20,1:30:00 AM,8.90,8.91
03-Jul-20,2:00:00 AM,8.45,8.48
03-Jul-20,2:30:00 AM,8.24,8.27
03-Jul-20,3:00:00 AM,8.26,8.30
03-Jul-20,3:30:00 AM,8.29,8.34
03-Jul-20,4:00:00 AM,8.48,8.50
03-Jul-20,4:30:00 AM,8.76,8.77
03-Jul-20,5:00:00 AM,9.41,9.43
03-Jul-20,5:30:00 AM,10.14,10.14
03-Jul-20,6:00:00 AM,11.30,11.30
03-Jul-20,6:30:00 AM,12.78,12.78
03-Jul-20,7:00:00 AM,14.19,14.19
03-Jul-20,7:30:00 AM,14.63,14.63
03-Jul-20,8:00:00 AM,14.36,14.36
03-Jul-20,8:30:00 AM,12.98,12.98
03-Jul-20,9:00:00 AM,11.59,11.60
03-Jul-20,9:30:00 AM,10.35,10.37
03-Jul-20,10:00:00 AM,9.14,9.15
03-Jul-20,10:30:00 AM,8.54,8.55
03-Jul-20,11:00:00 AM,7.64,7.64
03-Jul-20,11:30:00 AM,7.19,7.19
03-Jul-20,12:00:00 PM,7.13,7.14
03-Jul-20,12:30:00 PM,7.03,7.03
03-Jul-20,1:00:00 PM,7.24,7.24
03-Jul-20,1:30:00 PM,8.26,8.26
03-Jul-20,2:00:00 PM,8.34,8.34
03-Jul-20,2:30:00 PM,8.81,8.82
03-Jul-20,3:00:00 PM,9.73,9.73
03-Jul-20,3:30:00 PM,10.88,10.88
03-Jul-20,4:00:00 PM,12.04,12.04
03-Jul-20,4:30:00 PM,13.41,13.42
03-Jul-20,5:00:00 PM,14.39,14.40
03-Jul-20,5:30:00 PM,15.17,15.22
03-Jul-20,6:00:00 PM,15.60,15.63
03-Jul-20,6:30:00 PM,16.26,16.29
03-Jul-20,7:00:00 PM,16.07,16.10
03-Jul-20,7:30:00 PM,15.89,15.91
03-Jul-20,8:00:00 PM,16.34,16.36
03-Jul-20,8:30:00 PM,15.41,15.43
03-Jul-20,9:00:00 PM,14.76,14.78
03-Jul-20,9:30:00 PM,14.68,14.70
03-Jul-20,10:00:00 PM,14.55,14.56
03-Jul-20,10:30:00 PM,13.39,13.40
03-Jul-20,11:00:00 PM,12.60,12.60
03-Jul-20,11:30:00 PM,11.85,11.85
04-Jul-20,12:00:00 AM,10.62,10.62
04-Jul-20,12:30:00 AM,9.79,9.79
04-Jul-20,1:00:00 AM,9.09,9.10
04-Jul-20,1:30:00 AM,8.66,8.67
04-Jul-20,2:00:00 AM,8.25,8.28
04-Jul-20,2:30:00 AM,8.16,8.19
04-Jul-20,3:00:00 AM,8.05,8.08
04-Jul-20,3:30:00 AM,8.05,8.08
04-Jul-20,4:00:00 AM,8.09,8.11
04-Jul-20,4:30:00 AM,8.09,8.13
04-Jul-20,5:00:00 AM,8.40,8.42
04-Jul-20,5:30:00 AM,8.89,8.93
04-Jul-20,6:00:00 AM,9.49,9.51
04-Jul-20,6:30:00 AM,10.24,10.27
04-Jul-20,7:00:00 AM,11.04,11.05
04-Jul-20,7:30:00 AM,11.51,11.52
04-Jul-20,8:00:00 AM,11.27,11.27
04-Jul-20,8:30:00 AM,11.01,11.01
04-Jul-20,9:00:00 AM,10.36,10.36
04-Jul-20,9:30:00 AM,9.39,9.39
04-Jul-20,10:00:00 AM,8.60,8.60
04-Jul-20,10:30:00 AM,7.71,7.71
04-Jul-20,11:00:00 AM,6.98,6.98
04-Jul-20,11:30:00 AM,6.56,6.56
04-Jul-20,12:00:00 PM,6.39,6.40
04-Jul-20,12:30:00 PM,6.28,6.29
04-Jul-20,1:00:00 PM,6.32,6.33
04-Jul-20,1:30:00 PM,6.84,6.85
04-Jul-20,2:00:00 PM,7.18,7.19
04-Jul-20,2:30:00 PM,7.92,7.94
04-Jul-20,3:00:00 PM,9.21,9.23
04-Jul-20,3:30:00 PM,10.51,10.52
04-Jul-20,4:00:00 PM,12.11,12.11
04-Jul-20,4:30:00 PM,13.98,13.98
04-Jul-20,5:00:00 PM,15.25,15.26
04-Jul-20,5:30:00 PM,16.54,16.58
04-Jul-20,6:00:00 PM,16.91,16.95
04-Jul-20,6:30:00 PM,17.51,17.55
04-Jul-20,7:00:00 PM,17.68,17.73
04-Jul-20,7:30:00 PM,17.41,17.44
04-Jul-20,8:00:00 PM,18.29,18.32
04-Jul-20,8:30:00 PM,17.34,17.36
04-Jul-20,9:00:00 PM,16.76,16.80
04-Jul-20,9:30:00 PM,16.64,16.68
04-Jul-20,10:00:00 PM,16.79,16.82
04-Jul-20,10:30:00 PM,15.54,15.56
04-Jul-20,11:00:00 PM,14.67,14.67
04-Jul-20,11:30:00 PM,13.61,13.61
05-Jul-20,12:00:00 AM,12.47,12.47
05-Jul-20,12:30:00 AM,11.37,11.37
05-Jul-20,1:00:00 AM,10.49,10.49
05-Jul-20,1:30:00 AM,9.96,9.96
05-Jul-20,2:00:00 AM,9.45,9.46
05-Jul-20,2:30:00 AM,9.23,9.25
05-Jul-20,3:00:00 AM,9.14,9.16
05-Jul-20,3:30:00 AM,9.08,9.10
05-Jul-20,4:00:00 AM,9.17,9.19
