Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,0.40,0.43
01-Jul-20,12:30:00 AM,0.39,0.42
01-Jul-20,1:00:00 AM,0.41,0.44
01-Jul-20,1:30:00 AM,0.42,0.45
01-Jul-20,2:00:00 AM,0.40,0.44
01-Jul-20,2:30:00 AM,0.38,0.42
01-Jul-20,3:00:00 AM,0.39,0.42
01-Jul-20,3:30:00 AM,0.37,0.41
01-Jul-20,4:00:00 AM,0.37,0.41
01-Jul-20,4:30:00 AM,0.39,0.42
01-Jul-20,5:00:00 AM,0.39,0.42
01-Jul-20,5:30:00 AM,0.41,0.44
01-Jul-20,6:00:00 AM,0.49,0.53
01-Jul-20,6:30:00 AM,0.58,0.64
01-Jul-20,7:00:00 AM,0.61,0.69
01-Jul-20,7:30:00 AM,0.59,0.67
01-Jul-20,8:00:00 AM,0.60,0.70
01-Jul-20,8:30:00 AM,0.60,0.73
01-Jul-20,9:00:00 AM,0.47,0.59
01-Jul-20,9:30:00 AM,0.52,0.66
01-Jul-20,10:00:00 AM,0.53,0.68
01-Jul-20,10:30:00 AM,0.47,0.63
01-Jul-20,11:00:00 AM,0.43,0.57
01-Jul-20,11:30:00 AM,0.42,0.55
01-Jul-20,12:00:00 PM,0.44,0.56
01-Jul-20,12:30:00 PM,0.48,0.60
01-Jul-20,1:00:00 PM,0.52,0.62
01-Jul-20,1:30:00 PM,0.56,0.66
01-Jul-20,2:00:00 PM,0.53,0.63
01-Jul-20,2:30:00 PM,0.54,0.64
01-Jul-20,3:00:00 PM,0.52,0.62
01-Jul-20,3:30:00 PM,0.57,0.65
01-Jul-20,4:00:00 PM,0.63,0.71
01-Jul-20,4:30:00 PM,0.70,0.77
01-Jul-20,5:00:00 PM,0.75,0.83
01-Jul-20,5:30:00 PM,0.78,0.85
01-Jul-20,6:00:00 PM,0.75,0.81
01-Jul-20,6:30:00 PM,0.72,0.78
01-Jul-20,7:00:00 PM,0.71,0.77
01-Jul-20,7:30:00 PM,0.61,0.67
01-Jul-20,8:00:00 PM,0.61,0.66
01-Jul-20,8:30:00 PM,0.63,0.67
01-Jul-20,9:00:00 PM,0.56,0.60
01-Jul-20,9:30:00 PM,0.57,0.61
01-Jul-20,10:00:00 PM,0.57,0.60
01-Jul-20,10:30:00 PM,0.54,0.57
01-Jul-20,11:00:00 PM,0.51,0.55
01-Jul-20,11:30:00 PM,0.48,0.52
02-Jul-20,12:00:00 AM,0.46,0.51
02-Jul-20,12:30:00 AM,0.45,0.49
02-Jul-20,1:00:00 AM,0.46,0.50
