Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,3.22,3.24
01-Jul-20,12:30:00 AM,3.02,3.04
01-Jul-20,1:00:00 AM,2.81,2.84
01-Jul-20,1:30:00 AM,2.67,2.70
01-Jul-20,2:00:00 AM,2.63,2.66
01-Jul-20,2:30:00 AM,2.57,2.60
01-Jul-20,3:00:00 AM,2.61,2.65
01-Jul-20,3:30:00 AM,2.68,2.71
01-Jul-20,4:00:00 AM,2.80,2.83
01-Jul-20,4:30:00 AM,3.03,3.05
01-Jul-20,5:00:00 AM,3.55,3.55
01-Jul-20,5:30:00 AM,3.85,3.86
01-Jul-20,6:00:00 AM,4.81,4.81
01-Jul-20,6:30:00 AM,5.08,5.08
01-Jul-20,7:00:00 AM,5.48,5.48
01-Jul-20,7:30:00 AM,5.48,5.48
01-Jul-20,8:00:00 AM,5.45,5.45
01-Jul-20,8:30:00 AM,5.13,5.13
01-Jul-20,9:00:00 AM,3.90,3.90
01-Jul-20,9:30:00 AM,3.00,3.00
01-Jul-20,10:00:00 AM,2.39,2.39
01-Jul-20,10:30:00 AM,1.86,1.86
01-Jul-20,11:00:00 AM,1.77,1.78
01-Jul-20,11:30:00 AM,2.22,2.22
01-Jul-20,12:00:00 PM,2.46,2.46
01-Jul-20,12:30:00 PM,3.03,3.03
01-Jul-20,1:00:00 PM,2.87,2.87
01-Jul-20,1:30:00 PM,3.03,3.03
01-Jul-20,2:00:00 PM,3.38,3.38
01-Jul-20,2:30:00 PM,3.45,3.45
01-Jul-20,3:00:00 PM,3.66,3.66
01-Jul-20,3:30:00 PM,4.05,4.05
01-Jul-20,4:00:00 PM,4.53,4.53
01-Jul-20,4:30:00 PM,5.32,5.32
01-Jul-20,5:00:00 PM,6.38,6.39
01-Jul-20,5:30:00 PM,7.05,7.06
01-Jul-20,6:00:00 PM,7.03,7.03
01-Jul-20,6:30:00 PM,7.06,7.06
01-Jul-20,7:00:00 PM,6.74,6.74
01-Jul-20,7:30:00 PM,6.43,6.43
01-Jul-20,8:00:00 PM,6.30,6.30
01-Jul-20,8:30:00 PM,5.88,5.88
01-Jul-20,9:00:00 PM,5.57,5.57
01-Jul-20,9:30:00 PM,5.14,5.14
01-Jul-20,10:00:00 PM,4.61,4.62
01-Jul-20,10:30:00 PM,4.30,4.31
01-Jul-20,11:00:00 PM,4.06,4.07
01-Jul-20,11:30:00 PM,3.69,3.71
02-Jul-20,12:00:00 AM,3.35,3.37
02-Jul-20,12:30:00 AM,3.09,3.12
02-Jul-20,1:00:00 AM,2.94,2.96
02-Jul-20,1:30:00 AM,3.07,3.10
02-Jul-20,2:00:00 AM,2.71,2.74
02-Jul-20,2:30:00 AM,2.67,2.70
02-Jul-20,3:00:00 AM,2.66,2.69
02-Jul-20,3:30:00 AM,2.70,2.73
02-Jul-20,4:00:00 AM,2.85,2.87
02-Jul-20,4:30:00 AM,2.97,2.99
02-Jul-20,5:00:00 AM,3.53,3.54
02-Jul-20,5:30:00 AM,3.99,3.99
02-Jul-20,6:00:00 AM,4.73,4.73
02-Jul-20,6:30:00 AM,5.14,5.14
02-Jul-20,7:00:00 AM,5.18,5.18
02-Jul-20,7:30:00 AM,5.14,5.14
02-Jul-20,8:00:00 AM,5.34,5.34
02-Jul-20,8:30:00 AM,4.61,4.61
02-Jul-20,9:00:00 AM,4.09,4.09
02-Jul-20,9:30:00 AM,3.66,3.66
02-Jul-20,10:00:00 AM,2.63,2.63
02-Jul-20,10:30:00 AM,2.19,2.19
02-Jul-20,11:00:00 AM,2.28,2.28
02-Jul-20,11:30:00 AM,1.79,1.79
02-Jul-20,12:00:00 PM,1.45,1.46
02-Jul-20,12:30:00 PM,1.80,1.81
02-Jul-20,1:00:00 PM,1.71,1.71
02-Jul-20,1:30:00 PM,2.07,2.07
02-Jul-20,2:00:00 PM,2.36,2.36
02-Jul-20,2:30:00 PM,2.84,2.84
02-Jul-20,3:00:00 PM,3.39,3.39
02-Jul-20,3:30:00 PM,3.83,3.83
02-Jul-20,4:00:00 PM,4.23,4.23
02-Jul-20,4:30:00 PM,4.92,4.92
02-Jul-20,5:00:00 PM,5.95,5.95
02-Jul-20,5:30:00 PM,6.75,6.76
02-Jul-20,6:00:00 PM,6.73,6.73
02-Jul-20,6:30:00 PM,6.70,6.70
02-Jul-20,7:00:00 PM,6.47,6.47
02-Jul-20,7:30:00 PM,6.24,6.24
02-Jul-20,8:00:00 PM,6.06,6.06
02-Jul-20,8:30:00 PM,5.66,5.66
02-Jul-20,9:00:00 PM,5.50,5.50
02-Jul-20,9:30:00 PM,5.05,5.05
02-Jul-20,10:00:00 PM,4.59,4.60
02-Jul-20,10:30:00 PM,4.25,4.26
