Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.92,8.05
01-Jul-20,12:30:00 AM,7.12,7.28
01-Jul-20,1:00:00 AM,6.46,6.63
01-Jul-20,1:30:00 AM,5.94,6.13
01-Jul-20,2:00:00 AM,5.66,5.87
01-Jul-20,2:30:00 AM,5.50,5.72
01-Jul-20,3:00:00 AM,5.41,5.64
01-Jul-20,3:30:00 AM,5.43,5.65
01-Jul-20,4:00:00 AM,5.72,5.92
01-Jul-20,4:30:00 AM,5.90,6.09
01-Jul-20,5:00:00 AM,6.53,6.69
01-Jul-20,5:30:00 AM,7.27,7.41
01-Jul-20,6:00:00 AM,8.17,8.29
01-Jul-20,6:30:00 AM,9.24,9.35
01-Jul-20,7:00:00 AM,9.76,9.82
01-Jul-20,7:30:00 AM,9.94,10.00
01-Jul-20,8:00:00 AM,9.39,9.44
01-Jul-20,8:30:00 AM,8.36,8.41
01-Jul-20,9:00:00 AM,6.37,6.42
01-Jul-20,9:30:00 AM,3.97,4.02
01-Jul-20,10:00:00 AM,2.83,2.90
01-Jul-20,10:30:00 AM,1.70,1.79
01-Jul-20,11:00:00 AM,1.49,1.61
01-Jul-20,11:30:00 AM,2.23,2.31
01-Jul-20,12:00:00 PM,1.69,1.80
01-Jul-20,12:30:00 PM,2.33,2.45
01-Jul-20,1:00:00 PM,2.69,2.80
01-Jul-20,1:30:00 PM,2.57,2.69
01-Jul-20,2:00:00 PM,4.63,4.72
01-Jul-20,2:30:00 PM,5.68,5.78
01-Jul-20,3:00:00 PM,6.46,6.56
01-Jul-20,3:30:00 PM,6.73,6.82
01-Jul-20,4:00:00 PM,8.00,8.09
01-Jul-20,4:30:00 PM,9.55,9.62
01-Jul-20,5:00:00 PM,11.48,11.50
01-Jul-20,5:30:00 PM,12.79,12.80
01-Jul-20,6:00:00 PM,13.06,13.07
01-Jul-20,6:30:00 PM,14.28,14.29
01-Jul-20,7:00:00 PM,13.93,13.95
01-Jul-20,7:30:00 PM,13.70,13.72
01-Jul-20,8:00:00 PM,13.60,13.63
01-Jul-20,8:30:00 PM,12.60,12.64
01-Jul-20,9:00:00 PM,12.02,12.07
01-Jul-20,9:30:00 PM,11.31,11.38
01-Jul-20,10:00:00 PM,11.24,11.32
01-Jul-20,10:30:00 PM,11.61,11.70
01-Jul-20,11:00:00 PM,10.68,10.76
01-Jul-20,11:30:00 PM,9.24,9.34
02-Jul-20,12:00:00 AM,8.02,8.15
02-Jul-20,12:30:00 AM,7.16,7.30
02-Jul-20,1:00:00 AM,6.54,6.70
02-Jul-20,1:30:00 AM,6.05,6.23
02-Jul-20,2:00:00 AM,5.74,5.94
02-Jul-20,2:30:00 AM,5.55,5.76
02-Jul-20,3:00:00 AM,5.49,5.70
02-Jul-20,3:30:00 AM,5.43,5.65
02-Jul-20,4:00:00 AM,5.66,5.85
02-Jul-20,4:30:00 AM,5.99,6.16
02-Jul-20,5:00:00 AM,6.54,6.70
02-Jul-20,5:30:00 AM,7.49,7.61
02-Jul-20,6:00:00 AM,8.39,8.49
02-Jul-20,6:30:00 AM,9.51,9.63
02-Jul-20,7:00:00 AM,10.38,10.47
02-Jul-20,7:30:00 AM,10.07,10.15
02-Jul-20,8:00:00 AM,9.71,9.79
02-Jul-20,8:30:00 AM,8.81,8.90
02-Jul-20,9:00:00 AM,7.08,7.16
02-Jul-20,9:30:00 AM,6.30,6.38
02-Jul-20,10:00:00 AM,2.52,2.66
02-Jul-20,10:30:00 AM,3.69,3.82
02-Jul-20,11:00:00 AM,1.12,1.41
02-Jul-20,11:30:00 AM,0.52,0.98
02-Jul-20,12:00:00 PM,0.40,0.92
02-Jul-20,12:30:00 PM,1.30,1.59
02-Jul-20,1:00:00 PM,2.50,2.72
02-Jul-20,1:30:00 PM,2.00,2.27
02-Jul-20,2:00:00 PM,2.65,2.88
02-Jul-20,2:30:00 PM,3.92,4.13
02-Jul-20,3:00:00 PM,5.22,5.40
02-Jul-20,3:30:00 PM,6.59,6.74
02-Jul-20,4:00:00 PM,8.02,8.15
02-Jul-20,4:30:00 PM,9.79,9.90
02-Jul-20,5:00:00 PM,11.58,11.64
02-Jul-20,5:30:00 PM,13.19,13.21
02-Jul-20,6:00:00 PM,13.60,13.62
02-Jul-20,6:30:00 PM,13.66,13.68
02-Jul-20,7:00:00 PM,13.25,13.27
02-Jul-20,7:30:00 PM,12.92,12.96
02-Jul-20,8:00:00 PM,13.11,13.15
02-Jul-20,8:30:00 PM,12.47,12.51
02-Jul-20,9:00:00 PM,11.94,11.99
02-Jul-20,9:30:00 PM,11.16,11.22
02-Jul-20,10:00:00 PM,11.33,11.40
02-Jul-20,10:30:00 PM,11.84,11.91
02-Jul-20,11:00:00 PM,10.71,10.79
02-Jul-20,11:30:00 PM,9.19,9.29
03-Jul-20,12:00:00 AM,7.93,8.05
03-Jul-20,12:30:00 AM,7.12,7.26
03-Jul-20,1:00:00 AM,6.51,6.68
03-Jul-20,1:30:00 AM,6.00,6.19
03-Jul-20,2:00:00 AM,5.68,5.88
03-Jul-20,2:30:00 AM,5.47,5.68
03-Jul-20,3:00:00 AM,5.44,5.65
03-Jul-20,3:30:00 AM,5.38,5.59
03-Jul-20,4:00:00 AM,5.55,5.76
